global_step,charts/episodic_length,losses/policy_loss,losses/entropy,charts/learning_rate,losses/clipfrac,losses/value_loss,charts/episodic_return,_runtime,_step,charts/SPS,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/approx_kl
60672,,0.01248457096517086,0.49900731444358826,0.0002636712742969394,0.02734375,149.4171600341797,,118.15662693977356,775,661.0,-0.006796852685511112,-0.0002856254577636719,1763260148.589201,0.0059238700196146965
62080,,-0.0022009629756212234,0.6059574484825134,0.00026282641920261085,0.0,0.00024433870567008853,,120.77504587173462,788,657.0,0.012349814176559448,0.05397719144821167,1763260151.20762,0.0008541028946638107
62084,500.0,,,,,,500.0,120.82856583595276,789,,,,1763260151.2611399,
62726,125.0,,,,,,125.0,122.10960507392883,797,,,,1763260152.542179,
63726,500.0,,,,,,500.0,123.75184488296509,806,,,,1763260154.184419,
64640,,-0.009374996647238731,0.569588840007782,0.00026129031903110445,0.0,0.0002339151978958398,,125.61969685554504,815,651.0,0.005506100133061409,-0.7944173812866211,1763260156.052271,0.0030533410608768463
69504,,-0.009776899591088295,0.5627309083938599,0.0002583717287052423,0.00390625,0.0002691387780942023,,134.8535704612732,863,640.0,0.007300347089767456,0.16435176134109497,1763260165.2861445,0.001655368134379387
70400,,-0.02479555830359459,0.5220201015472412,0.00025783409364521503,0.00390625,0.0036199530586600304,,136.56470441818237,872,638.0,-0.00788998231291771,-0.18419837951660156,1763260166.9972785,0.004584301263093948
70784,,0.007551804184913635,0.48970937728881836,0.0002576036786194891,0.0,181.2659912109375,,137.31372737884521,876,638.0,0.0032405154779553413,0.0014145374298095703,1763260167.7463014,0.0002987449988722801
74880,,0.006384887732565403,0.575843095779419,0.0002551459183450788,0.0,0.004029297735542059,,145.26690363883972,916,629.0,-0.0012599853798747063,-0.028093934059143066,1763260175.6994777,0.00032224785536527634
75520,,0.004652343690395355,0.5697438716888428,0.0002547618933022022,0.001953125,0.0004925758694298565,,146.4908549785614,922,628.0,-0.016923902556300163,-0.07500624656677246,1763260176.923429,0.0017566801980137825
76288,,-0.001155160367488861,0.611983060836792,0.0002543010632507503,0.0,84.95591735839844,,148.05024480819702,930,627.0,0.0019295690581202507,-6.496906280517578e-05,1763260178.4828188,2.7188099920749664e-05
77184,,-0.016157571226358414,0.5221118927001953,0.00025376342819072306,0.013671875,0.00018564642232377082,,149.78308367729187,938,625.0,0.022020598873496056,-0.30270278453826904,1763260180.2156577,0.0073828306049108505
77440,,0.0022533386945724487,0.5163850784301758,0.0002536098181735724,0.001953125,0.004393570125102997,,150.30638432502747,941,624.0,0.02237280271947384,0.13935589790344238,1763260180.7389584,0.003633825108408928
77568,,-0.005049675703048706,0.5481119751930237,0.0002535330131649971,0.001953125,0.00042693864088505507,,150.54432940483093,942,624.0,0.001900138333439827,-0.13206076622009277,1763260180.9769034,0.0005971621721982956
78208,,-0.007676348090171814,0.48121389746665955,0.0002531489881221205,0.00390625,0.00018315679335501045,,151.7894401550293,948,623.0,0.004450339823961258,-0.25714731216430664,1763260182.2220142,0.004706107079982758
80768,,-0.0034674135968089104,0.5623725652694702,0.00025161291705444455,0.0,122.66436004638672,,156.75634765625,974,619.0,0.005876034498214722,-4.0411949157714844e-05,1763260187.1889217,0.0004631374031305313
81408,,-0.01805878058075905,0.5450371503829956,0.00025122889201156795,0.0,0.004455938935279846,,157.97567486763,980,618.0,0.004205780103802681,-0.02544558048248291,1763260188.408249,0.000723816454410553
81920,,-0.0062960609793663025,0.5558681488037109,0.00025092167197726667,0.001953125,0.005829650908708572,,158.96736598014832,985,617.0,0.013337438926100731,-0.04437863826751709,1763260189.39994,0.002383572980761528
82944,,0.007509306073188782,0.5916527509689331,0.0002503072319086641,0.0,5.581531149800867e-05,,160.9433240890503,995,616.0,0.0034451261162757874,0.20327430963516235,1763260191.3758981,0.0010444428771734238
83072,,0.006213333457708359,0.5662254095077515,0.0002502304269000888,0.0,340.5818786621094,,161.24089407920837,997,616.0,-0.0002674451097846031,0.0004910826683044434,1763260191.673468,0.0006456179544329643
84992,,-0.0015750005841255188,0.5835696458816528,0.000249078351771459,0.0,4.6396533434744924e-05,,164.81865692138672,1015,613.0,-0.0007138336077332497,-0.17244398593902588,1763260195.251231,1.602713018655777e-05
85504,,-0.011308595538139343,0.5900497436523438,0.0002487711317371577,0.0,0.00015126285143196583,,165.7931957244873,1020,613.0,-0.005800874903798103,-0.14651119709014893,1763260196.2257698,0.0006010439246892929
86545,500.0,,,,,,500.0,167.67768454551697,1031,,,,1763260198.1102586,
88545,500.0,,,,,,500.0,171.302410364151,1050,,,,1763260201.7349844,
88832,,-0.0014177914708852768,0.5714530348777771,0.0002467742015141994,0.0,0.0004181512340437621,,171.94784307479858,1053,610.0,0.006237165071070194,-0.2454162836074829,1763260202.380417,0.00018640141934156418
89344,,5.27501106262207e-06,0.4970742464065552,0.0002464669814798981,0.0,0.00040264014387503266,,172.89080262184143,1058,609.0,-0.0028056278824806213,-0.14239752292633057,1763260203.3233767,0.00013215281069278717
91776,,-0.0016204938292503357,0.5603514909744263,0.000245007686316967,0.0,0.0039332592859864235,,177.44048500061035,1082,607.0,-0.01073959656059742,-0.13518106937408447,1763260207.873059,0.000767190009355545
91904,,-0.004414670169353485,0.5533503890037537,0.0002449308813083917,0.0,0.0004239939444232732,,177.67217755317688,1083,607.0,0.002148865722119808,-0.12179851531982422,1763260208.1047516,0.0004391884431242943
92672,,-0.0035658441483974457,0.5181550979614258,0.00024447005125693977,0.001953125,151.64540100097656,,179.19954562187195,1091,606.0,0.022168029099702835,-1.1801719665527344e-05,1763260209.6321197,0.0023873569443821907
