global_step,losses/approx_kl,_runtime,charts/SPS,_step,losses/old_approx_kl,_timestamp,losses/value_loss,charts/learning_rate,losses/explained_variance,charts/episodic_return,losses/clipfrac,losses/policy_loss,charts/episodic_length,losses/entropy
122240,0.00857066921889782,238.76329565048218,572.0,1456,-0.0215013287961483,1763260295.2778206,0.0002909625764004886,0.00022672810882795602,-0.1865382194519043,,0.064453125,-0.057336077094078064,,0.47461074590682983
122368,0.0016377521678805351,238.8978419303894,572.0,1457,-0.005659694783389568,1763260295.4123669,9.439242421649396e-05,0.0002266513038193807,0.026545703411102295,,0.001953125,0.0021492689847946167,,0.567441463470459
128128,0.0037932824343442917,245.3234465122223,582.0,1514,0.0133393295109272,1763260301.8379714,0.005911481566727161,0.0002231950784334913,0.1599496603012085,,0.001953125,-0.03234563395380974,,0.4880702793598175
128896,0.001830143854022026,246.5273461341858,582.0,1521,-0.02448268048465252,1763260303.041871,0.0001835181756177917,0.00022273424838203937,0.1579686403274536,,0.00390625,-0.0031571276485919952,,0.5264440178871155
129280,0.00211422611027956,247.1487374305725,582.0,1525,-0.008137336932122707,1763260303.6632624,0.0004211633058730513,0.0002225038333563134,0.08200490474700928,,0.001953125,-0.013477540574967861,,0.5396406054496765
129410,,247.40210437774658,,1527,,1763260303.9166293,,,,500.0,,,500.0,
129664,0.0027136746793985367,247.79155325889587,582.0,1529,-0.0022787265479564667,1763260304.3060782,0.0005946340970695019,0.00022227341833058745,0.0706053376197815,,0.0078125,-0.009152118116617203,,0.5606194138526917
130176,0.003291970118880272,248.5726146697998,582.0,1534,0.0002516303211450577,1763260305.0871396,0.00016443038475699723,0.0002219662128482014,-0.1165241003036499,,0.001953125,-0.018809828907251358,,0.4809924066066742
130410,,248.80647349357605,,1536,,1763260305.3209984,,,,500.0,,,500.0,
131072,0.0005518784746527672,249.98181343078613,583.0,1543,0.010121419094502926,1763260306.4963384,0.006228820886462927,0.00022142857778817415,-0.026311159133911133,,0.0,-0.00409061461687088,,0.5953534841537476
131328,0.0006385250017046928,250.3526976108551,583.0,1545,-0.006273937411606312,1763260306.8672225,0.00014315849693957716,0.0002212749677710235,-0.033553123474121094,,0.0,-0.004038847982883453,,0.6058877110481262
131410,,250.40550804138184,,1546,,1763260306.920033,,,,500.0,,,500.0,
132608,0.0010227737948298454,252.33309936523438,583.0,1558,0.017270781099796295,1763260308.8476243,0.0054667629301548,0.0002205069176852703,0.03997761011123657,,0.0,0.0031295567750930786,,0.5737012624740601
132661,,252.37447905540466,,1559,,1763260308.889004,,,,251.0,,,251.0,
133120,0.0026705972850322723,253.1144244670868,584.0,1563,0.0041529834270477295,1763260309.6289494,0.0001451727730454877,0.00022019969765096903,-0.14011681079864502,,0.0,0.008620619773864746,,0.5797045230865479
133376,0.0013100188225507736,253.54219102859497,584.0,1566,0.009547825902700424,1763260310.056716,0.005257860291749239,0.0002200460876338184,-0.0596851110458374,,0.001953125,-0.017226606607437134,,0.5620758533477783
135661,,256.8054389953613,,1588,,1763260313.319964,,,,500.0,,,500.0,
135680,0.0007194122299551964,256.9050889015198,585.0,1589,0.013737351633608341,1763260313.4196138,223.84413146972656,0.00021866359747946262,-1.7762184143066406e-05,,0.0,-0.004356846213340759,,0.5885743498802185
136576,0.001829349435865879,257.84075260162354,587.0,1597,0.0009799627587199211,1763260314.3552775,0.0003509206580929458,0.00021812596241943538,-1.0475385189056396,,0.001953125,-0.02270570397377014,,0.43869099020957947
137600,0.002399885095655918,258.9351432323456,588.0,1607,0.013702589087188244,1763260315.4496682,9.84301877906546e-05,0.00021751152235083282,-0.03283274173736572,,0.0078125,-0.03134717047214508,,0.4881487786769867
137728,0.0006718551740050316,259.11000633239746,588.0,1609,0.0021035922691226006,1763260315.6245313,245.2854766845703,0.0002174347173422575,-3.063678741455078e-05,,0.0,0.005669891834259033,,0.42788785696029663
137856,0.0009199455380439758,259.25580978393555,588.0,1610,-0.0009907744824886322,1763260315.7703347,0.004222400486469269,0.00021735791233368218,-0.24540066719055176,,0.0,-0.000516645610332489,,0.48921501636505127
138112,0.0005142055451869965,259.53718066215515,589.0,1612,0.0001727677881717682,1763260316.0517056,0.0001619278482394293,0.00021720430231653154,-0.07818734645843506,,0.0,0.007679931819438934,,0.571201741695404
139520,0.002358746714890003,261.09030508995056,591.0,1626,0.0026092296466231346,1763260317.60483,0.00030170250101946294,0.00021635944722220302,0.07485991716384888,,0.001953125,-0.025102511048316956,,0.538204550743103
140672,0.002426687628030777,262.34583473205566,593.0,1638,-0.010919257998466492,1763260318.8603597,460.531982421875,0.00021566820214502513,-1.4066696166992188e-05,,0.0,0.0050418563187122345,,0.5181724429130554
145536,0.00325628649443388,267.7801158428192,599.0,1687,0.013868383131921291,1763260324.2946408,0.006245756521821022,0.00021274961181916296,-0.2674088478088379,,0.00390625,0.0018805712461471558,,0.5294547080993652
150016,0.0011655008420348167,273.3541042804718,604.0,1732,-0.0031001856550574303,1763260329.8686292,0.00018548377556726336,0.00021006145107094198,-0.18268704414367676,,0.0,0.002854524180293083,,0.5991263389587402
151296,1.20578333735466e-05,275.3095164299011,604.0,1745,-0.0009309398010373116,1763260331.8240414,0.005303560756146908,0.00020929340098518878,-0.0821918249130249,,0.0,-0.0009088050574064255,,0.5705222487449646
152139,,276.51670241355896,,1753,,1763260333.0312274,,,,500.0,,,500.0,
152192,0.0008578021079301834,276.7025656700134,605.0,1754,-0.014143029227852821,1763260333.2170906,75.63252258300781,0.00020875576592516154,-1.895427703857422e-05,,0.0,-0.007197732571512461,,0.5753717422485352
153344,0.00021081231534481049,278.4510488510132,605.0,1765,-0.0010125990957021713,1763260334.9655738,0.003915144130587578,0.00020806452084798366,-0.1772247552871704,,0.0,0.006342191249132156,,0.5102846622467041
153639,,278.8722393512726,,1768,,1763260335.3867643,,,,500.0,,,500.0,
154496,0.001372779719531536,280.24747705459595,605.0,1777,-0.01970909908413887,1763260336.762002,0.0004832663689740002,0.00020737327577080578,-0.027472257614135742,,0.0,-0.009442787617444992,,0.6054131388664246
158720,0.0006136158481240273,285.7101056575775,609.0,1818,0.004861124791204929,1763260342.2246306,8.360878564417362e-05,0.0002048387104878202,-0.08884179592132568,,0.0,-0.0046135783195495605,,0.5292730331420898
159232,0.0008891411125659943,286.4346022605896,609.0,1823,-0.011667856946587563,1763260342.9491272,0.00010956808546325192,0.00020453149045351893,-0.07612895965576172,,0.0,0.004209160804748535,,0.5313760042190552
162048,7.847044616937637e-05,289.48821473121643,613.0,1851,0.0011593913659453392,1763260346.0027397,0.00027431853231973946,0.00020284178026486188,0.5221964120864868,,0.0,-0.002416815608739853,,0.4970512092113495
162560,0.0006581824272871017,290.0349907875061,613.0,1856,0.00011908635497093201,1763260346.5495157,0.0002422345569357276,0.0002025345602305606,-0.3588298559188843,,0.0,0.000384695827960968,,0.5153282880783081
163712,0.0004112608730792999,291.2689366340637,615.0,1868,-5.0051137804985046e-05,1763260347.7834616,0.0001932074810611084,0.00020184331515338272,-0.09390926361083984,,0.0,-0.002104204148054123,,0.57560133934021
