global_step,losses/entropy,losses/clipfrac,_timestamp,losses/approx_kl,losses/policy_loss,_runtime,charts/SPS,_step,losses/value_loss,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,charts/learning_rate,charts/episodic_length
82176,0.47162315249443054,0.0,1763260217.4692154,0.0003388524055480957,-0.0007537752389907837,161.2112913131714,614.0,1031,0.0009155138395726681,-0.06321799755096436,0.00013401731848716736,,0.00025076806196011603,
84096,0.5345968008041382,0.0,1763260220.1380515,7.1125105023384094e-06,0.0008656978607177734,163.88012742996216,616.0,1050,0.0008005328709259629,-0.0938957929611206,0.0008179275318980217,,0.0002496159868314862,
84352,0.5362708568572998,0.0,1763260220.5145402,9.006541222333908e-05,0.0024890974164009094,164.25661611557007,616.0,1053,415.8030700683594,-3.5643577575683594e-05,-0.0027407901361584663,,0.0002494623768143356,
84864,0.5119990110397339,0.0,1763260221.2283673,3.1686387956142426e-05,-0.00045938044786453247,164.97044324874878,616.0,1058,759.6268310546875,-6.830692291259766e-05,0.0009687608107924461,,0.0002491551567800343,
87424,0.6151725053787231,0.0,1763260224.8412101,3.750436007976532e-05,0.0006016045808792114,168.5832860469818,619.0,1083,276.0748291015625,7.367134094238281e-05,-0.0010327883064746857,,0.0002476190566085279,
88192,0.5664781332015991,0.0,1763260225.9243882,0.0001400122418999672,-0.006949115544557571,169.6664640903473,619.0,1091,589.5523071289062,0.001210331916809082,0.0011418545618653297,,0.000247158226557076,
89728,0.5478226542472839,0.01171875,1763260228.0353057,0.0044927531853318214,-0.04115039110183716,171.77738165855408,621.0,1106,0.00045792938908562064,0.31445902585983276,0.005815404467284679,,0.00024623656645417213,
90880,0.5078607797622681,0.009765625,1763260229.6780126,0.002547122538089752,-0.001763124018907547,173.4200885295868,622.0,1118,595.1517333984375,0.0003650188446044922,0.0019283238798379898,,0.00024554532137699425,
91648,0.5136744379997253,0.0,1763260230.6828394,0.0008827736601233482,0.008791066706180573,174.4249153137207,623.0,1125,0.0012793951900675893,0.04497337341308594,0.003292483277618885,,0.00024508449132554233,
92416,0.5338307023048401,0.0,1763260232.177353,0.0009576538577675819,-0.004751821979880333,175.91942882537842,622.0,1133,0.022647107020020485,-0.000240325927734375,0.0071220314130187035,,0.0002446236612740904,
93696,0.530036211013794,0.0,1763260233.908844,0.0008200500160455704,0.002699635922908783,177.6509199142456,623.0,1145,0.0002401692036073655,-0.21274662017822266,-0.006684102118015289,,0.0002438556111883372,
95616,0.5408953428268433,0.0,1763260236.5022252,0.00030347052961587906,-0.002367347478866577,180.24430108070374,625.0,1164,0.00042828457662835717,-0.10431206226348877,-0.0023838290944695473,,0.0002427035360597074,
95626,,,1763260236.5374718,,,180.27954769134521,,1165,,,,500.0,,500.0
96384,0.5239663124084473,0.0,1763260237.5595872,0.003102176822721958,-0.0011754855513572693,181.3016631603241,626.0,1172,0.0014532875502482057,-0.20097553730010986,0.0037941569462418556,,0.00024224270600825548,
97280,0.5339195728302002,0.0,1763260238.7322311,0.00025511346757411957,0.002603761851787567,182.4743070602417,627.0,1181,0.006367874331772327,0.0064775943756103516,0.0005589574575424194,,0.00024170507094822824,
97792,0.4805314838886261,0.0,1763260239.4396486,0.00014252495020627975,0.001986004412174225,183.18172454833984,627.0,1186,0.009998575784265995,-0.5384432077407837,0.008260148577392101,,0.00024139785091392696,
98944,0.5312725901603699,0.001953125,1763260240.980562,0.001663345843553543,-0.0007546767592430115,184.7226378917694,628.0,1197,0.0005911024636588991,-0.749943733215332,0.0026123225688934326,,0.00024070660583674908,
100608,0.42157673835754395,0.00390625,1763260243.2304301,0.004714270122349262,-0.033546432852745056,186.97250604629517,630.0,1213,0.0003639881906565279,-0.247269868850708,0.03574834018945694,,0.00023970814072526991,
100736,0.5094370245933533,0.0,1763260243.6017895,0.000234873965382576,0.008739978075027466,187.34386539459229,629.0,1215,403.70623779296875,0.0004125833511352539,-0.0014977473765611649,,0.0002396313357166946,
101888,0.5437758564949036,0.009765625,1763260245.3503263,0.0075419992208480835,-0.031642839312553406,189.09240221977234,630.0,1226,0.0006985431537032127,-0.18634748458862305,-0.009808050468564034,,0.0002389400906395167,
102272,0.5443544983863831,0.00390625,1763260245.8775463,0.004297914914786816,-0.04177718609571457,189.61962223052979,630.0,1230,0.009597571566700935,-0.7947937250137329,0.005838214419782162,,0.00023870967561379075,
102656,0.45569902658462524,0.0,1763260246.3965173,0.00016972795128822327,0.0015981467440724373,190.1385931968689,630.0,1234,823.2205200195312,0.0006610751152038574,0.0010429900139570236,,0.0002384792605880648,
103808,0.5143380761146545,0.0,1763260247.9687843,0.00010820571333169937,-0.0010419636964797974,191.71086025238037,631.0,1245,0.0075630247592926025,0.05781221389770508,0.0011789621785283089,,0.0002377880155108869,
104704,0.5230575799942017,0.0,1763260249.2016256,0.00040259864181280136,0.005846258252859116,192.943701505661,632.0,1254,815.4065551757812,-3.898143768310547e-05,0.00157127995043993,,0.00023725038045085967,
106496,0.4807625114917755,0.0,1763260251.6582658,0.00010866764932870865,0.001982908695936203,195.40034174919128,633.0,1271,0.0008177267154678702,-0.12382161617279053,0.002971823327243328,,0.00023617511033080518,
109312,0.5103328227996826,0.0,1763260255.5004327,0.00042812246829271317,-0.00579872727394104,199.24250864982605,636.0,1299,0.007048638071864843,-0.09736907482147217,-0.00014580879360437393,,0.00023448540014214814,
113408,0.5427794456481934,0.00390625,1763260260.5709379,0.002208736725151539,-0.010536029934883118,204.31301379203796,641.0,1339,0.0005525554879568517,-0.040230631828308105,0.00649209413677454,,0.00023202765441965312,
113536,0.5873369574546814,0.0,1763260260.6816742,0.0022478699684143066,-0.017775505781173706,204.42375016212463,641.0,1340,0.00026259556761942804,0.008959412574768066,0.021201185882091522,,0.0002319508494110778,
114432,0.5285693407058716,0.0,1763260261.4979048,0.003921774215996265,-0.02244742587208748,205.23998069763184,643.0,1349,0.0006689473520964384,-0.18378472328186035,-0.008492370136082172,,0.00023141321435105056,
115840,0.5337303280830383,0.0,1763260262.7556295,0.0004930170252919197,0.0042159222066402435,206.49770545959473,646.0,1363,0.0060897646471858025,0.029141366481781006,-0.0012602126225829124,,0.00023056835925672203,
116096,0.5261207818984985,0.0,1763260263.0264125,0.00046648457646369934,-0.0016985982656478882,206.768488407135,647.0,1365,0.0002202849864261225,-0.08324718475341797,0.005290426313877106,,0.0002304147492395714,
116608,0.5125830173492432,0.056640625,1763260263.6688,0.004676672630012035,0.016671502962708473,207.4108760356903,647.0,1370,0.00017004096298478544,-0.009752869606018066,-0.0006821053102612495,,0.0002301075292052701,
117626,,,1763260264.7605047,,,208.5025806427002,,1380,,,,500.0,,500.0
117632,0.5326446890830994,0.0,1763260264.8774462,0.00017389468848705292,-0.00016437098383903503,208.61952209472656,649.0,1381,568.6395263671875,-5.316734313964844e-05,-0.0016386620700359344,,0.00022949308913666755,
118400,0.560579776763916,0.0,1763260265.7531655,0.0018598195165395737,0.0047722309827804565,209.4952414035797,650.0,1388,0.00044269446516409516,-0.14134562015533447,0.004848182201385498,,0.00022903225908521563,
119040,0.5300001502037048,0.005859375,1763260266.5293882,0.005310315638780594,-0.020297277718782425,210.27146410942078,650.0,1395,0.009565942920744419,0.005839705467224121,0.0008056778460741043,,0.00022864823404233903,
119424,0.5864629745483398,0.0,1763260267.0014634,0.0001470278948545456,-0.0013190209865570068,210.7435393333435,651.0,1399,1075.402587890625,-0.00011920928955078125,0.0009689554572105408,,0.00022841781901661307,
120064,0.6037563681602478,0.0,1763260267.7490466,0.0034754332154989243,-0.03298582881689072,211.49112248420715,652.0,1405,0.009637030772864819,-0.025639772415161133,0.0006141886115074158,,0.00022803379397373646,
122752,0.5769912004470825,0.0,1763260270.9974306,0.00022589508444070816,0.0024437308311462402,214.739506483078,655.0,1432,152.28819274902344,1.3649463653564453e-05,0.003374590538442135,,0.00022642088879365474,
122880,0.5720539093017578,0.0,1763260271.1229188,0.00043612346053123474,0.00516645610332489,214.864994764328,655.0,1433,0.003021315671503544,-0.0848543643951416,-0.004176715388894081,,0.00022634408378507942,
125130,,,1763260273.1074843,,,216.8495602607727,,1455,,,,500.0,,500.0
125184,0.5669441223144531,0.0,1763260273.194767,0.0012159990146756172,-0.0011959616094827652,216.936842918396,660.0,1456,732.2594604492188,6.848573684692383e-05,-0.00038247276097536087,,0.00022496159363072366,
125312,0.529367208480835,0.0,1763260273.3063219,0.0008694706484675407,-0.0006342530250549316,217.04839777946472,660.0,1457,0.007673511281609535,-0.045461058616638184,0.01035079825669527,,0.00022488478862214833,
131072,0.5548803210258484,0.0,1763260279.9470887,0.0010478263720870018,-0.010286470875144005,223.6891646385193,667.0,1514,0.00044029750279150903,-0.06071364879608154,0.020516416057944298,,0.00022142857778817415,
131758,,,1763260280.7563848,,,224.49846076965332,,1521,,,,500.0,,500.0
132224,0.5713480710983276,0.005859375,1763260281.3095582,0.004883125424385071,-0.0021252259612083435,225.05163407325745,668.0,1525,0.00021228284458629787,-0.012698173522949219,0.031222734600305557,,0.00022073733271099627,
132352,0.5859413743019104,0.0,1763260281.4812212,9.097997099161148e-05,-0.0028481828048825264,225.22329711914062,669.0,1527,473.792724609375,4.0531158447265625e-05,0.0018599862232804298,,0.00022066052770242095,
132608,0.5659245848655701,0.0,1763260281.7758195,0.0025294143706560135,-0.004881523549556732,225.51789546012878,669.0,1529,0.0011653648689389229,-0.054331421852111816,0.014335831627249718,,0.0002205069176852703,
133120,0.574228048324585,0.0,1763260282.370264,0.0006850017234683037,0.0037509407848119736,226.1123399734497,669.0,1534,0.00038241571746766567,0.0342637300491333,-0.006307830102741718,,0.00022019969765096903,
133258,,,1763260282.5341334,,,226.27620935440063,,1536,,,,500.0,,500.0
134016,0.5662535429000854,0.0,1763260283.4282174,0.0004284260794520378,-0.0069112032651901245,227.17029333114624,670.0,1543,0.0012781585101038218,0.049285054206848145,-0.0012311385944485664,,0.0002196620625909418,
