losses/approx_kl,losses/value_loss,losses/entropy,losses/clipfrac,losses/policy_loss,charts/learning_rate,global_step,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,charts/SPS,_timestamp,charts/episodic_return,_step,_runtime
,,,,,,50590,,500.0,,,1763260171.5843577,500.0,689,115.32392477989197
8.536595851182938e-05,380.0585632324219,0.4439956545829773,0.0,0.004808098077774048,0.00026920123491436243,51456,-0.00015692692250013351,,0.27127474546432495,576.0,1763260173.0595562,,698,116.79912328720093
,,,,,,51870,,500.0,,,1763260173.6690125,500.0,702,117.4085795879364
2.5015324354171753e-05,7.033309459686279,0.5212527513504028,0.0,-0.0017236918210983276,0.0002686635998543352,52352,0.000248689204454422,,-0.04364180564880371,576.0,1763260174.5189493,,707,118.25851631164551
,,,,,,54413,,500.0,,,1763260177.9496372,500.0,729,121.68920421600342
0.0007817884907126427,612.2235717773438,0.4730640649795532,0.0,-0.0026265550404787064,0.000265745009528473,57216,-0.000942387618124485,500.0,-0.0009181499481201172,579.0,1763260182.4262884,500.0,757,126.16585540771484
0.00018297508358955383,866.5415649414062,0.5376179814338684,0.0,-0.004282498732209206,0.00026543778949417174,57728,0.0036598891019821167,,-0.0018705129623413086,580.0,1763260183.1723504,,762,126.91191744804382
0.00019452348351478577,815.7138061523438,0.4848271608352661,0.0,-0.0018542557954788208,0.00026513056945987046,58240,-0.0005100425332784653,,0.004688739776611328,581.0,1763260183.9750519,,767,127.71461892127991
0.0013333838433027267,2.088078022003174,0.49525362253189087,0.0,0.00804387591779232,0.0002645929343998432,59136,-0.007049154490232468,,-0.2965956926345825,582.0,1763260185.3054953,,775,129.0450623035431
0.0018944302573800087,0.827824592590332,0.5028350949287415,0.0,-0.0045461505651474,0.00026382488431409,60416,0.01624385267496109,,0.2889178395271301,583.0,1763260187.2451775,,788,130.9847445487976
0.0001900428906083107,0.720780074596405,0.42448821663856506,0.0,-0.0023169778287410736,0.00026328724925406277,61312,-8.642207831144333e-05,,-0.20306742191314697,584.0,1763260188.6574888,,797,132.3970558643341
,,,,,,62182,,500.0,,,1763260189.8962555,500.0,806,133.63582253456116
0.004527286626398563,0.4245606064796448,0.502282440662384,0.005859375,-0.01836160570383072,0.0002622119791340083,63104,-0.014524816535413265,,-0.23860633373260498,586.0,1763260191.4165351,,815,135.15610218048096
0.0022748205810785294,0.0015192311257123947,0.5850388407707214,0.0,-0.017308492213487625,0.00025937019381672144,67840,0.016931217163801193,,-0.5524908304214478,590.0,1763260198.5563235,,863,142.2958905696869
0.00070138368755579,0.0044881426729261875,0.5358560085296631,0.0,-0.00023800134658813477,0.0002588325587566942,68736,-0.0019363267347216606,,-19.983570098876953,591.0,1763260199.9319704,,872,143.671537399292
0.002391885034739971,0.0005883222329430282,0.5104633569717407,0.005859375,-0.0056379735469818115,0.00025860214373096824,69120,0.007530459202826023,,-0.6959768533706665,591.0,1763260200.510713,,876,144.25028014183044
,,,,,,73839,,500.0,,,1763260207.3042755,500.0,922,151.0438425540924
0.00035786256194114685,0.0005941212875768542,0.49402347207069397,0.0,-0.006550058722496033,0.00025529952836222947,74624,-0.011026594787836075,,-0.41979992389678955,597.0,1763260208.5878417,,930,152.32740879058838
0.001206948421895504,689.6566162109375,0.5117663741111755,0.0,-0.0030877701938152313,0.00025483869831077754,75392,-0.005872475914657116,,0.0001900196075439453,598.0,1763260209.7502935,,938,153.48986053466797
0.004395022988319397,0.0002459211682435125,0.49360668659210205,0.0078125,-0.020964447408914566,0.0002546082832850516,75776,0.012101339176297188,,0.015874922275543213,598.0,1763260210.2754023,,941,154.01496934890747
,,,,,,75839,,500.0,,,1763260210.314681,500.0,942,154.05424809455872
0.0018908139318227768,658.2000122070312,0.42055854201316833,0.0,-0.01702386699616909,0.000254224258242175,76416,0.020540811121463776,,0.00130540132522583,599.0,1763260211.2313647,,948,154.97093176841736
0.00543474406003952,0.0008599065477028489,0.5218654870986938,0.0078125,0.022420629858970642,0.00025261135306209326,79104,0.015155884437263012,,0.04167628288269043,602.0,1763260215.0994027,,974,158.838969707489
0.0008387789130210876,0.00011482091213110834,0.542273998260498,0.0,-0.009981423616409302,0.00025222732801921666,79744,-0.00616464763879776,,-0.2892580032348633,602.0,1763260216.028901,,980,159.7684681415558
0.0005347011610865593,0.0007636711234226823,0.5294930934906006,0.0,-0.004437129944562912,0.00025192013708874583,80256,-0.00163284782320261,,-0.040126919746398926,603.0,1763260216.775054,,985,160.5146210193634
0.0024199578911066055,0.0002503643336240202,0.4569180905818939,0.0,-0.01126035861670971,0.00025130569702014327,81280,0.026937181130051613,,0.5070230960845947,604.0,1763260218.301187,,995,162.04075407981873
0.004026693291962147,383.0889587402344,0.527376651763916,0.00390625,-0.009436197578907013,0.00025122889201156795,81408,-0.013894309289753437,,0.001159071922302246,603.0,1763260218.5223231,,997,162.26189017295837
0.00133429653942585,0.0003498888690955937,0.4754890203475952,0.0,0.0024552233517169952,0.00025007681688293815,83328,0.008472930639982224,,-0.9413031339645386,605.0,1763260221.291242,,1015,165.03080892562866
,,,,,,83839,,500.0,,,1763260221.9186585,500.0,1020,165.65822553634644
0.0012185638770461082,679.7551879882812,0.4354536831378937,0.0,-0.012874286621809006,0.0002491551567800343,84864,0.006729491986334324,,0.000467836856842041,607.0,1763260223.5137818,,1031,167.25334882736206
,,,,,,86839,,500.0,,,1763260226.3674843,500.0,1050,170.10705137252808
0.00012019556015729904,0.0012850768398493528,0.4636109471321106,0.0,0.00018061138689517975,0.00024777266662567854,87168,-0.0032463008537888527,,-0.2963327169418335,608.0,1763260226.9007802,,1053,170.64034724235535
0.00016891956329345703,0.0010660055559128523,0.4924902319908142,0.0,0.003145422786474228,0.00024746544659137726,87680,0.001888485625386238,,-0.2690228223800659,609.0,1763260227.6183472,,1058,171.35791420936584
0.0019558249041438103,0.00029113597702234983,0.4157146215438843,0.00390625,0.0007312241941690445,0.00024592934641987085,90240,0.0017265388742089272,,0.34166115522384644,610.0,1763260231.6209197,,1083,175.36048674583435
0.00662327092140913,0.004273836500942707,0.422126829624176,0.01171875,-0.010749023407697678,0.00024546851636841893,91008,-0.014439571648836136,,0.019486069679260254,610.0,1763260232.8153853,,1091,176.55495238304138
0.00045814644545316696,0.005854333750903606,0.4216221868991852,0.0,-0.0037927329540252686,0.0002445468562655151,92544,-0.006266667507588863,,-1.0356755256652832,611.0,1763260234.9575803,,1106,178.69714736938477
0.0029715467244386673,0.00026723145856522024,0.43304523825645447,0.0,0.004694545641541481,0.0002437788061797619,93824,-0.0014029871672391891,,-0.7671107053756714,613.0,1763260236.7228117,,1118,180.46237874031067
0.000472518615424633,144.94677734375,0.4619671702384949,0.0,0.002948002889752388,0.00024339478113688529,94464,-0.0014900369569659233,,-0.0001074075698852539,613.0,1763260237.641012,,1125,181.38057899475098
,,,,,,95339,,500.0,,,1763260238.7278574,500.0,1133,182.4674243927002
0.0005281949415802956,0.007866423577070236,0.4093186855316162,0.0,-0.0072273313999176025,0.00024216590099968016,96512,-0.003280547447502613,,0.026863276958465576,615.0,1763260240.4854424,,1145,184.22500944137573
9.991135448217392e-05,580.7569580078125,0.4560944139957428,0.0,0.0024740584194660187,0.00024101382587105036,98432,0.00022301357239484787,,0.00031763315200805664,617.0,1763260243.22915,,1164,186.96871709823608
0.00025523174554109573,0.007240285165607929,0.40618252754211426,0.0,-0.0055139511823654175,0.00024093702086247504,98560,0.0007413597777485847,,-0.05920827388763428,616.0,1763260243.5743027,,1165,187.31386971473694
0.003547282889485359,0.00038086913991719484,0.387031227350235,0.005859375,-0.011369850486516953,0.00024047619081102312,99328,0.026285860687494278,,-0.22494149208068848,616.0,1763260244.8934057,,1172,188.63297271728516
0.0003127679228782654,0.0002541476278565824,0.48126402497291565,0.0,0.002639668993651867,0.00023993855575099587,100224,-0.0058081019669771194,,-0.029502272605895996,617.0,1763260246.1440377,,1181,189.88360476493835
0.000842612236738205,0.00026393483858555555,0.4228473901748657,0.001953125,0.012524783611297607,0.0002396313357166946,100736,-0.003354506567120552,,-0.07248473167419434,617.0,1763260246.8539586,,1186,190.59352564811707
,,,,,,101839,,500.0,,,1763260248.3916004,500.0,1197,192.1311674118042
0.0005755387246608734,945.7611083984375,0.40227895975112915,0.0,-0.011669598519802094,0.00023801843053661287,103424,-0.0015843044966459274,,-9.000301361083984e-05,619.0,1763260250.7923923,,1213,194.53195929527283
0.0028885407373309135,0.0008054513018578291,0.4628680646419525,0.00390625,-0.02044994942843914,0.00023786482051946223,103680,0.015889815986156464,,-0.1103208065032959,619.0,1763260251.1449027,,1215,194.88446974754333
0.0015895860269665718,0.0003013157984241843,0.5381935834884644,0.001953125,-0.008047197014093399,0.00023717357544228435,104832,-0.0023315763100981712,,-0.12079322338104248,620.0,1763260252.7865138,,1226,196.5260808467865
0.002262122929096222,0.0014578222762793303,0.5306215286254883,0.00390625,-0.009049806743860245,0.00023694316041655838,105216,0.0023846887052059174,,0.020767807960510254,620.0,1763260253.3464007,,1230,197.08596777915955
0.0003860965371131897,0.0008990347268991172,0.5366002917289734,0.0,-0.006871957331895828,0.00023671274539083242,105600,-0.0005571376532316208,,-0.04277360439300537,620.0,1763260253.9217165,,1234,197.661283493042
0.00031184498220682144,0.00021098348952364177,0.5826015472412109,0.0,-0.00042181089520454407,0.00023602150031365454,106752,0.004700780846178532,,0.1299670934677124,621.0,1763260255.5189767,,1245,199.2585437297821
0.0034045428037643433,0.0012603752547875047,0.5568933486938477,0.0078125,0.005368448793888092,0.0002354838652536273,107648,-0.006355134770274162,,0.07811462879180908,621.0,1763260256.8061023,,1254,200.54566931724548
,,,,,,109339,,500.0,,,1763260259.1218047,500.0,1271,202.86137175559998
0.0059875426813960075,0.0003092230181209743,0.5643150210380554,0.009765625,-0.011929038912057877,0.000232718899496831,112256,-0.02512349933385849,,-0.08065879344940186,629.0,1763260262.0136392,,1299,205.75320625305176
0.0004902901127934456,763.4910888671875,0.5662411451339722,0.0,0.000730462372303009,0.00023056835925672203,115840,0.008840053342282772,,-2.3603439331054688e-05,634.0,1763260266.2217076,,1339,209.96127462387085
0.0011952891945838928,0.00945267453789711,0.5526049137115479,0.0,-0.011941906064748764,0.0002304915542481467,115968,0.009093547239899635,,0.18809103965759277,634.0,1763260266.3749518,,1340,210.11451888084412
8.488819003105164e-05,650.431396484375,0.4871944487094879,0.0,-0.003755096346139908,0.00022995391918811947,116864,0.00029043108224868774,,1.7702579498291016e-05,635.0,1763260267.5488887,,1349,211.2884557247162
0.001687644049525261,830.2621459960938,0.5039423108100891,0.0,-0.0058597177267074585,0.00022910906409379095,118272,0.005554191768169403,,0.0003063082695007324,636.0,1763260269.4118612,,1363,213.15142822265625
4.296191036701202e-06,0.0010182573460042477,0.5369904041290283,0.0,-0.0004664957523345947,0.0002289554540766403,118528,-0.0005358187481760979,,-0.020888686180114746,637.0,1763260269.732769,,1365,213.47233605384827
0.0030164923518896103,0.0008182346937246621,0.5419875383377075,0.00390625,-0.026975801214575768,0.00022864823404233903,119040,0.011793320998549461,,-0.013504862785339355,637.0,1763260270.4118502,,1370,214.1514172554016
0.0012508165091276169,0.001144574605859816,0.5293160080909729,0.00390625,-0.021583452820777893,0.00022803379397373646,120064,-0.0027312375605106354,,-1.621840476989746,639.0,1763260271.5396225,,1380,215.2791895866394
0.0009577283635735512,0.00036290439311414957,0.5360250473022461,0.0,0.001162562519311905,0.00022795698896516114,120192,0.002010268159210682,,0.10034376382827759,639.0,1763260271.6516829,,1381,215.39124989509583
0.0005519362166523933,630.1137084960938,0.5405324101448059,0.0,-0.001818651333451271,0.00022757296392228454,120832,-0.0025370558723807335,,6.407499313354492e-05,640.0,1763260272.248569,,1388,215.98813605308533
0.0005707284435629845,0.0011024196865037084,0.5041499733924866,0.0,0.00034750252962112427,0.00022711213387083262,121600,-0.0013076262548565865,,-0.08403158187866211,642.0,1763260272.9577298,,1395,216.69729685783386
