_step,_runtime,global_step,_timestamp,charts/episodic_length,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
1226,209.11498498916626,107776,1763260265.368715,,8.035916835069656e-05,0.017508506774902344,0.0005687521770596504,,0.0,0.0008693728595972061,0.5586174130439758,0.00023540706024505198,593.0,0.005379486829042435
1230,209.6418740749359,108160,1763260265.8956041,,0.0012262985110282898,0.00018787384033203125,-0.00023303180932998657,,0.0,0.007983479648828506,0.5307794809341431,0.00023517664521932602,594.0,905.90380859375
1234,210.16589546203613,108630,1763260266.4196255,500.0,,,,500.0,,,,,,
1245,211.70594334602356,109696,1763260267.9596734,,4.2675063014030457e-05,5.179643630981445e-05,0.002669021487236023,,0.0,0.002400122582912445,0.5110107660293579,0.00023425498511642218,595.0,1007.6402587890625
1254,212.91215205192566,110630,1763260269.165882,500.0,,,,500.0,,,,,,
1271,215.11923909187317,112384,1763260271.3729692,,0.004398049786686897,-0.1995224952697754,-0.01027144119143486,,0.005859375,-0.03363566845655441,0.4765819013118744,0.00023264209448825568,599.0,0.00040274797356687486
1299,217.64359331130981,115200,1763260273.8973234,,0.0006223348900675774,0.00020068883895874023,0.006803686730563641,,0.0,0.004898432642221451,0.49248576164245605,0.00023095238429959863,606.0,618.065185546875
1339,223.06488680839539,119296,1763260279.3186169,,0.0018370803445577621,-0.020776987075805664,-0.007414955645799637,,0.001953125,0.002008579671382904,0.4223291277885437,0.00022849462402518839,610.0,0.005541375372558832
1340,223.23470973968506,119424,1763260279.4884398,,0.00881684385240078,-0.026721954345703125,0.04548495635390282,,0.021484375,-0.0017284303903579712,0.4500521421432495,0.00022841781901661307,610.0,0.0008936406229622662
1349,224.41393327713013,120320,1763260280.6676633,,0.0003066575154662132,-0.018687963485717773,-0.0006876075640320778,,0.0,0.0017901360988616943,0.46366506814956665,0.00022788018395658582,611.0,0.004807198420166969
1363,226.21420574188232,121728,1763260282.4679358,,0.0004146723076701164,-2.6941299438476562e-05,-0.0031450586393475533,,0.0,0.006856728345155716,0.4301565885543823,0.0002270353288622573,612.0,563.1263427734375
1365,226.5459725856781,121984,1763260282.7997026,,0.003998691216111183,-0.41681718826293945,0.01062740571796894,,0.00390625,0.008083922788500786,0.4872167706489563,0.00022688171884510666,613.0,0.0010753360111266375
1370,227.17926263809204,122496,1763260283.4329927,,0.002834804356098175,-0.4033273458480835,0.0088929682970047,,0.01171875,-0.031950660049915314,0.38880863785743713,0.00022657449881080538,613.0,0.0008970766793936491
1380,228.12391209602356,123520,1763260284.3776422,,5.609635263681412e-05,-0.06575465202331543,0.0003392668440937996,,0.0,-0.0021002106368541718,0.4533766806125641,0.00022596005874220282,615.0,0.00037919243914075196
1381,228.1602816581726,123630,1763260284.4140117,500.0,,,,500.0,,,,,,
1388,228.83111667633057,124288,1763260285.0848467,,0.0027231117710471153,0.11944043636322021,-0.011634336784482002,,0.0,0.009631521999835968,0.47009265422821045,0.0002254992286907509,617.0,0.0069742873311042786
1395,229.49919509887695,125056,1763260285.7529252,,0.00020103808492422104,0.042518436908721924,0.003380286507308483,,0.0,-0.002418283373117447,0.5377921462059021,0.00022503839863929898,619.0,0.0003480853920336813
1399,229.87381887435913,125440,1763260286.127549,,0.0066225603222846985,-0.08320963382720947,-0.001692870631814003,,0.033203125,0.0023550130426883698,0.51104336977005,0.00022480798361357301,620.0,0.000924421998206526
1405,230.43125247955322,126080,1763260286.6849825,,0.00018187984824180603,-0.06798279285430908,0.0015094894915819168,,0.0,0.0034459326416254044,0.5545533895492554,0.0002244239585706964,621.0,0.0001998406369239092
1432,232.8970992565155,128768,1763260289.1508293,,8.443091064691544e-05,-0.05129134654998779,-0.0006993422284722328,,0.0,0.00037720054388046265,0.46064695715904236,0.0002228110533906147,627.0,0.00513156084343791
1433,233.00727009773254,128896,1763260289.2610002,,0.005126958712935448,-0.014838457107543945,-0.01829884760081768,,0.01171875,-0.01480039581656456,0.502686619758606,0.00022273424838203937,627.0,0.00045671057887375355
1455,235.4116187095642,131130,1763260291.6653488,500.0,,,,500.0,,,,,,
1456,235.5697901248932,131200,1763260291.8235202,,0.0023076068609952927,4.100799560546875e-05,0.000889018177986145,,0.0,-0.004440620541572571,0.4773291349411011,0.00022135177277959883,630.0,598.0350341796875
1457,235.73635959625244,131328,1763260291.9900897,,0.0001237429678440094,0.019482970237731934,0.0018502455204725266,,0.0,-0.0011429153382778168,0.5008565783500671,0.0002212749677710235,630.0,0.005406841170042753
1514,243.4438760280609,137130,1763260299.697606,500.0,,,,500.0,,,,,,
1521,244.3018057346344,137728,1763260300.5555358,,0.0021111294627189636,0.0004477500915527344,0.017214825376868248,,0.0,0.0066251978278160095,0.5086362957954407,0.0002174347173422575,635.0,1415.423583984375
1525,244.8179817199707,138189,1763260301.0717118,500.0,,,,500.0,,,,,,
1527,245.13402032852173,138368,1763260301.3877504,,0.003017619252204895,-0.05290114879608154,-0.003374645486474037,,0.001953125,0.009960450232028961,0.6057931184768677,0.0002170506922993809,636.0,0.006821858696639538
1529,245.30417776107788,138497,1763260301.5579078,308.0,,,,308.0,,,,,,
1534,245.9600224494934,139008,1763260302.2137525,,0.0002042129635810852,0.0002186894416809082,-0.0021780338138341904,,0.0,-1.8116086721420288e-05,0.5608097314834595,0.0002166666672565043,636.0,689.9017944335938
1536,246.23048186302185,139264,1763260302.484212,,0.003895111382007599,-0.11386525630950928,-0.00922640785574913,,0.0078125,-0.027156807482242584,0.5240244269371033,0.00021651305723935366,636.0,0.00039671300328336656
1543,246.8247411251068,139912,1763260303.0784712,500.0,,,,500.0,,,,,,
1545,246.9346923828125,140032,1763260303.1884224,,0.0007828520610928535,-0.00019299983978271484,0.010492303408682346,,0.0,0.009016670286655426,0.5151389837265015,0.00021605222718790174,638.0,977.8436279296875
1546,247.04637718200684,140160,1763260303.3001072,,0.003546513617038727,-0.13238799571990967,-0.0206874031573534,,0.025390625,-0.0331333726644516,0.4582679569721222,0.00021597542217932642,638.0,0.0060843718238174915
1558,248.19371223449707,141440,1763260304.4474423,,0.0003749700263142586,0.010608315467834473,-0.002908756025135517,,0.0,0.0008027069270610809,0.6191433668136597,0.0002152073720935732,641.0,0.0003871405206155032
1559,248.19914317131042,141448,1763260304.4528732,500.0,,,,500.0,,,,,,
1563,248.57059526443481,141948,1763260304.8243253,500.0,,,,500.0,,,,,,
1566,248.83420729637146,142204,1763260305.0879374,256.0,,,,256.0,,,,,,
1588,250.8764967918396,144384,1763260307.1302269,,0.0016033658757805824,0.009592115879058838,0.013719760812819004,,0.0,-0.011240936815738678,0.6238009929656982,0.00021344085689634085,646.0,0.00458886381238699
1589,250.99056363105774,144512,1763260307.2442937,,0.0002913316711783409,-0.017081618309020996,0.003333057276904583,,0.0,0.0011017918586730957,0.5758928656578064,0.00021336405188776553,646.0,0.0010092718293890357
1597,251.4773976802826,145124,1763260307.7311277,79.0,,,,79.0,,,,,,
1607,252.37098741531372,146048,1763260308.6247175,,0.004995889030396938,0.021142899990081787,-0.0027473000809550285,,0.005859375,-0.002598758786916733,0.579082190990448,0.00021244239178486168,649.0,0.0008378160418942571
1609,252.483060836792,146176,1763260308.736791,,0.0005048401653766632,4.976987838745117e-05,0.004702068865299225,,0.0,-0.0016778688877820969,0.5486639142036438,0.00021236558677628636,649.0,865.704345703125
1610,252.59413266181946,146304,1763260308.8478627,,0.0007281182333827019,-0.5930947065353394,-0.0114796357229352,,0.0,0.004651330411434174,0.4936973452568054,0.00021228878176771104,650.0,0.010174102149903774
1612,252.81641626358032,146560,1763260309.0701463,,0.0030373716726899147,-0.3101459741592407,0.021495413035154343,,0.00390625,-0.0037909410893917084,0.581291675567627,0.0002121351717505604,650.0,0.0002928379690274596
1626,254.12264680862427,147968,1763260310.3763769,,0.009551890194416046,-0.11551797389984131,0.053060345351696014,,0.009765625,-0.004604697227478027,0.563014805316925,0.00021129031665623188,653.0,0.0005212958785705268
1638,255.1676721572876,149120,1763260311.4214022,,0.0014113765209913254,-6.556510925292969e-05,0.009440219961106777,,0.0,0.00041925162076950073,0.5240399241447449,0.000210599071579054,655.0,803.0872802734375
1687,259.71768617630005,154112,1763260315.9714162,,1.8108636140823364e-05,1.043081283569336e-05,-0.0019464753568172455,,0.0,-0.00016402266919612885,0.526098370552063,0.00020760369079653174,663.0,838.6893920898438
1732,265.16208148002625,158720,1763260321.4158115,,0.0006503202021121979,-0.0445401668548584,0.0009523350745439529,,0.0,0.005916520953178406,0.5016752481460571,0.0002048387104878202,668.0,0.005736774764955044
1745,266.774053812027,160089,1763260323.0277839,500.0,,,,500.0,,,,,,
1753,267.89321184158325,160896,1763260324.146942,,0.0003937371075153351,-0.04056727886199951,-0.003451867029070854,,0.0,-0.004192359745502472,0.5610430836677551,0.00020353302534203976,669.0,0.0008618981810286641
1754,268.0517508983612,161024,1763260324.305481,,0.0015503838658332825,0.0033065080642700195,0.0070537421852350235,,0.0,-0.008674725890159607,0.5820346474647522,0.00020345622033346444,669.0,0.00017865371773950756
1765,269.41768503189087,162089,1763260325.671415,500.0,,,,500.0,,,,,,
1768,269.90468549728394,162432,1763260326.1584156,,7.130112498998642e-05,-0.16540980339050293,0.0005912249907851219,,0.0,-0.0005747051909565926,0.5921368598937988,0.00020261136523913592,670.0,0.0008126801694743335
1777,270.8541178703308,163328,1763260327.107848,,0.0001483634114265442,-0.13121306896209717,-0.0017247647047042847,,0.0,-0.00012701749801635742,0.5618885159492493,0.00020207373017910868,671.0,0.003268767846748233
