_timestamp,losses/clipfrac,_runtime,losses/old_approx_kl,losses/value_loss,charts/SPS,charts/episodic_return,charts/episodic_length,losses/approx_kl,losses/explained_variance,global_step,_step,losses/entropy,losses/policy_loss,charts/learning_rate
1763260286.8512826,0.0,230.61205458641052,-0.0023118695244193077,690.8036499023438,653.0,,,3.696698695421219e-05,-0.00024402141571044922,132864,1566,0.41238799691200256,0.0005361661314964294,0.00022035330766811967
1763260288.945299,0.005859375,232.70607089996338,-0.013682693243026733,0.0005304717924445868,658.0,,,0.001767624169588089,-0.0014050006866455078,135168,1588,0.4553995430469513,-0.00021763890981674194,0.0002189708175137639
1763260288.986129,,232.74690103530884,,,,500.0,500.0,,,135289,1589,,,
1763260289.7612238,0.00390625,233.52199578285217,-0.004568827338516712,0.0008045468712225556,660.0,,,0.00512751005589962,0.026142418384552002,136064,1597,0.5596648454666138,-0.007378756999969482,0.00021843318245373666
1763260290.8371837,0.0,234.59795570373535,-0.0071011995896697044,0.0006341143161989748,661.0,,,0.0006195614114403725,-0.031055569648742676,137088,1607,0.5170419216156006,-0.003647841513156891,0.0002178187423851341
1763260291.063391,,234.8241629600525,,,,500.0,500.0,,,137289,1609,,,
1763260291.2373486,0.0,234.99812054634094,0.005215434357523918,636.276611328125,661.0,,,0.0013573803007602692,-9.393692016601562e-05,137344,1610,0.44821980595588684,0.0005926787853240967,0.00021766513236798346
1763260291.5540738,0.001953125,235.31484580039978,0.0011454839259386063,0.0008835872868075967,661.0,,,0.003081228584051132,0.029814422130584717,137600,1612,0.39169394969940186,-0.01805480569601059,0.00021751152235083282
1763260293.4251125,0.0,237.185884475708,0.0019017737358808517,0.005444447509944439,662.0,,,8.167698979377747e-05,-0.03674161434173584,139008,1626,0.49251583218574524,0.004725992679595947,0.0002166666672565043
1763260295.045966,0.0,238.80673789978027,0.0038360590115189552,0.0003797704412136227,663.0,,,0.0003562597557902336,-0.12014925479888916,140288,1638,0.37747806310653687,-0.0007155165076255798,0.0002158986171707511
