losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,_runtime,charts/episodic_return,global_step,losses/clipfrac,_step,losses/value_loss,losses/old_approx_kl,losses/policy_loss
-0.11423957347869873,0.3890928030014038,7.894914597272873e-05,,1763260453.546831,758.0,0.00013179723464418203,397.29543900489807,,280448,0.0,2989,0.004258877597749233,-0.003018011339008808,0.0018539130687713623
,,,500.0,1763260454.290856,,,398.0394639968872,500.0,281307,,2997,,,
-0.7584052085876465,0.46914976835250854,6.17271289229393e-05,,1763260455.740855,759.0,0.00013041474448982626,399.4894630908966,,282752,0.0,3011,0.0005125720053911209,0.0004511522129178047,-0.001134989783167839
,,,500.0,1763260459.4324243,,,403.1810324192047,500.0,286807,,3051,,,
-0.4253528118133545,0.5184401869773865,0.0007774736732244492,,1763260459.6283658,763.0,0.0001278801792068407,403.3769738674164,,286976,0.0,3053,0.005286340601742268,-0.001992160454392433,-0.0017373710870742798
,,,500.0,1763260460.8099551,,,404.5585632324219,500.0,288307,,3066,,,
-0.4614666700363159,0.5008946061134338,0.00027104467153549194,,1763260461.326329,764.0,0.0001268049090867862,405.07493710517883,,288768,0.0,3070,0.000479252019431442,0.008608674630522728,0.005475476384162903
0.1754128336906433,0.4925980567932129,7.7822245657444e-05,,1763260462.9932382,764.0,0.00012603687355294824,406.7418463230133,,290048,0.0,3083,0.0049422369338572025,0.0013124076649546623,-0.0050467923283576965
-0.037744760513305664,0.5759762525558472,0.0002171676605939865,,1763260464.6856618,765.0,0.0001251152134500444,408.43426990509033,,291584,0.0,3098,0.0004419098258949816,0.003629462793469429,0.004538863897323608
0.023062705993652344,0.5044992566108704,6.553903222084045e-05,,1763260465.1368098,765.0,0.0001248079934157431,408.8854179382324,,292096,0.0,3103,0.0005145091563463211,0.001692233607172966,-0.004047729074954987
-0.031169533729553223,0.47373345494270325,0.000867948867380619,,1763260468.1298468,766.0,0.00012334869825281203,411.87845492362976,,294528,0.0,3127,0.00497311819344759,0.009865744970738888,-0.017454516142606735
