losses/entropy,_runtime,losses/approx_kl,_timestamp,losses/value_loss,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,losses/explained_variance,losses/policy_loss,_step,charts/SPS,global_step,losses/clipfrac,charts/episodic_return
0.5258243083953857,64.31920790672302,0.010411056689918041,1763260106.4486458,0.01694391295313835,-0.020619526505470276,,0.00026213517412543297,0.73375403881073,0.04142213240265846,1610,1033.0,63232,0.099609375,
,65.59175634384155,,1763260107.7211943,,,12.0,,,,1638,,64612,,12.0
0.5249476432800293,67.59266710281372,0.002668767236173153,1763260109.722105,85.85108947753906,-0.02000446245074272,,0.0002600614388938993,0.023985445499420166,-0.006471147760748863,1687,1034.0,66688,0.00390625,
,68.54200863838196,,1763260110.6714466,,,10.0,,,,1732,,67639,,10.0
,69.09802412986755,,1763260111.227462,,,9.0,,,,1745,,68158,,9.0
,69.46362853050232,,1763260111.5930665,,,104.0,,,,1753,,68584,,104.0
0.47138869762420654,69.54142451286316,0.011583498679101467,1763260111.6708624,0.048531096428632736,0.0197464432567358,,0.0002589093637652695,0.6360456943511963,-0.01847987249493599,1754,1033.0,68608,0.052734375,
,70.20064568519592,,1763260112.3300836,,,135.0,,,,1768,,69328,,135.0
0.5304310917854309,70.73909163475037,0.002223868854343891,1763260112.8685296,0.008920734748244286,-0.025659436360001564,,0.0002581413136795163,0.4274418354034424,0.00023470818996429443,1777,1033.0,69888,0.001953125,
0.5844400525093079,73.57573819160461,4.919618368148804e-05,1763260115.705176,0.08459006249904633,-0.0007725972682237625,,0.00025629799347370863,0.976323664188385,-0.00514906644821167,1818,1035.0,72960,0.0,
,73.9834337234497,,1763260116.1128716,,,268.0,,,,1823,,73450,,268.0
0.3594828248023987,76.34295153617859,0.0025139907374978065,1763260118.4723895,1.547531247138977,0.0012780195102095604,,0.00025445467326790094,0.9383491277694702,-0.03577040135860443,1851,1038.0,76032,0.0,
0.41062819957733154,77.89829802513123,0.0026937630027532578,1763260120.027736,0.0007116397609934211,0.014762751758098602,,0.00025337940314784646,0.9920011758804321,-0.042194679379463196,1868,1040.0,77824,0.01171875,
0.34659165143966675,78.38795208930969,0.0577416829764843,1763260120.51739,0.0017805751413106918,0.09990017116069794,,0.0002530721831135452,0.9950949549674988,-0.07741187512874603,1873,1041.0,78336,0.158203125,
0.36726289987564087,78.83102011680603,0.029013680294156075,1763260120.960458,0.0007797345169819891,0.05412972718477249,,0.0002528417680878192,0.988162100315094,-0.04946383833885193,1877,1040.0,78720,0.123046875,
0.38741371035575867,80.05614447593689,0.0012742653489112854,1763260122.1855824,0.012724792584776878,-0.0010791420936584473,,0.000252304133027792,0.058028340339660645,-0.0023623378947377205,1886,1035.0,79616,0.001953125,
0.3191814422607422,82.6035487651825,0.023271949961781502,1763260124.7329867,0.0018829312175512314,0.050835151225328445,,0.00025122889201156795,0.9028986692428589,-0.07298929989337921,1903,1024.0,81408,0.02734375,
0.31244805455207825,82.99972081184387,0.01406676322221756,1763260125.1291587,0.0004765275225508958,0.04621969908475876,,0.0002510752819944173,0.985005259513855,-0.04107996076345444,1906,1022.0,81664,0.14453125,
0.31083574891090393,85.4434461593628,0.0022216755896806717,1763260127.572884,0.00014501891564577818,0.005647407844662666,,0.0002503072319086641,0.976661205291748,-0.017986351624131203,1918,1007.0,82944,0.046875,
0.3275918662548065,85.78069138526917,0.01087505929172039,1763260127.9101293,0.0057687535881996155,-0.029199637472629547,,0.0002502304269000888,0.009637296199798584,0.0009962208569049835,1920,1005.0,83072,0.037109375,
0.2829357385635376,92.70811057090759,0.004279879853129387,1763260134.8375485,0.012676643207669258,-0.005600824952125549,,0.0002486943267285824,0.00724560022354126,-0.0027210265398025513,1945,956.0,85632,0.0078125,
0.23263180255889893,95.88867568969727,5.112495273351669e-05,1763260138.0181136,118.99221801757812,0.00010229740291833878,,0.00024784947163425386,0.010577797889709473,9.226612746715546e-05,1959,938.0,87040,0.0,
,99.01236343383789,,1763260141.1418014,,,500.0,,,,1973,,88519,,500.0
0.16830353438854218,101.72362923622131,0.009980650618672371,1763260143.8530672,0.00037581275682896376,-0.00019755959510803223,,0.00024623656645417213,0.9968104362487793,0.008510948158800602,1985,910.0,89728,0.0546875,
0.31513869762420654,103.12326049804688,0.006302211433649063,1763260145.2526984,0.001400592620484531,0.03132167086005211,,0.00024585254141129553,0.9989566206932068,-0.04173782095313072,1991,903.0,90368,0.078125,
,105.40331435203552,,1763260147.5327523,,,500.0,,,,2002,,91519,,500.0
,106.49010419845581,,1763260148.6195421,,,500.0,,,,2007,,92019,,500.0
0.2627936899662018,108.51645469665527,0.07944390177726746,1763260150.6458926,0.003037520218640566,0.02204252779483795,,0.00024431644123978913,0.9989960789680481,-0.017418280243873596,2016,881.0,92928,0.1901041716337204,
0.2214030623435974,110.19324827194214,0.0029493561014533043,1763260152.3226862,3.521472535794601e-06,0.013388785533607006,,0.0002438556111883372,0.9980025887489319,0.00920398160815239,2024,875.0,93696,0.013671875,
,110.748770236969,,1763260152.8782082,,,500.0,,,,2027,,94019,,500.0
0.28416314721107483,112.24303483963013,0.0009351326152682304,1763260154.3724728,0.00016053799481596798,-0.005533465184271336,,0.00024324117111973464,0.9990734457969666,0.01899661123752594,2034,868.0,94720,0.0,
0.35507693886756897,114.4713819026947,0.025440214201807976,1763260156.6008198,0.00038868168485350907,0.07830594480037689,,0.00024254992604255676,0.9995501041412354,-0.02085244469344616,2045,861.0,95872,0.171875,
0.35405176877975464,115.7146508693695,0.05848630890250206,1763260157.8440888,0.0035073368344455957,0.1582193225622177,,0.00024216590099968016,0.998955249786377,-0.04792990908026695,2051,857.0,96512,0.1276041716337204,
,115.765939950943,,1763260157.8953779,,,500.0,,,,2052,,96519,,500.0
0.3082978129386902,119.16941952705383,0.013284575194120407,1763260161.2988575,0.0416228361427784,-0.04492908716201782,,0.00024101382587105036,0.9994361400604248,-0.03131852298974991,2070,848.0,98432,0.060546875,
0.19055014848709106,120.18929505348206,0.0015884479507803917,1763260162.318733,0.00012025475007249042,0.01771577075123787,,0.00024070660583674908,0.9382814168930054,0.002617254853248596,2076,845.0,98944,0.0,
0.18494105339050293,124.16834449768066,0.0002859113737940788,1763260166.2977824,23.407337188720703,0.002337654121220112,,0.00023970814072526991,0.9749944806098938,-0.0006224345415830612,2093,831.0,100608,0.001953125,
0.19294993579387665,124.43369650840759,0.00044626370072364807,1763260166.5631344,0.000361166923539713,0.0010969508439302444,,0.0002396313357166946,0.999685525894165,-0.003972899168729782,2094,830.0,100736,0.025390625,
0.2834990620613098,129.5758514404297,0.003352973610162735,1763260171.7052894,0.005080664064735174,-0.025964777916669846,,0.00023832565057091415,0.9998745322227478,0.008260384202003479,2117,813.0,102912,0.09375,
,135.29054188728333,,1763260177.4199798,,,304.0,,,,2146,,105411,,304.0
0.18551842868328094,135.8284900188446,0.006158431060612202,1763260177.957928,0.000671282468829304,0.0029581552371382713,,0.00023671274539083242,0.9994578957557678,-0.012468509376049042,2148,795.0,105600,0.021484375,
0.19676443934440613,137.20450448989868,0.00020651519298553467,1763260179.3339424,0.009755738079547882,-0.00273820199072361,,0.00023632872034795582,0.9876709580421448,0.0016812421381473541,2155,792.0,106240,0.005859375,
0.20291857421398163,140.67356300354004,0.008228235878050327,1763260182.803001,0.0009906352497637272,0.009073864668607712,,0.00023533025523647666,0.9990591406822205,-0.014105208218097687,2172,784.0,107904,0.05078125,
0.2660243809223175,143.39727234840393,0.03861117362976074,1763260185.5267103,0.043808624148368835,0.08468842506408691,,0.00023456220515072346,0.9980810880661011,-0.07683378458023071,2185,778.0,109184,0.146484375,
0.27212759852409363,144.76870203018188,0.032136403024196625,1763260186.89814,0.003718019463121891,0.0843912810087204,,0.00023417819465976208,0.9998798370361328,-0.05186598747968674,2192,775.0,109824,0.064453125,
0.25698864459991455,146.15600895881653,0.008269433863461018,1763260188.285447,0.00038310958188958466,-0.003270672634243965,,0.00023379416961688548,0.9993641972541809,0.008272068575024605,2199,772.0,110464,0.05859375,
,148.61888074874878,,1763260190.7483187,,,500.0,,,,2211,,111724,,500.0
