losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/value_loss,losses/policy_loss,_timestamp,losses/entropy,_runtime,charts/episodic_return,losses/approx_kl,charts/learning_rate,_step,global_step,charts/SPS,charts/episodic_length
0.9957447052001953,0.08251398056745529,0.16015625,0.03473370522260666,-0.06541227549314499,1763260107.7914891,0.4225528836250305,65.64730715751648,,0.03561154007911682,0.00026090629398822784,1638,65280,1029.0,
0.9950987100601196,0.06847170740365982,0.177734375,0.042075250297784805,-0.04854371026158333,1763260111.1675205,0.5116834044456482,69.02333855628967,,0.07990443706512451,0.00025867894873954356,1687,68992,1033.0,
0.0001410841941833496,-0.00305863656103611,0.01171875,102.0379638671875,-0.0016134646721184254,1763260115.0361044,0.31993359327316284,72.89192247390747,,0.001274680718779564,0.00025606757844798267,1732,73344,1038.0,
0.7672116756439209,0.08825147897005081,0.072265625,0.00119062140583992,-0.03738284856081009,1763260116.2884867,0.3760000467300415,74.14430475234985,,0.039648883044719696,0.00025522272335365415,1745,74752,1039.0,
0.5572253465652466,0.0015763239935040474,0.0078125,0.0016381451860070229,-0.0023316051810979843,1763260116.9852397,0.2226775884628296,74.84105777740479,,0.0013413066044449806,0.0002547618933022022,1753,75520,1040.0,
0.36499738693237305,0.005929810926318169,0.0,0.0003515064890962094,-0.01050093024969101,1763260117.0934777,0.28192847967147827,74.94929575920105,,0.0005455184727907181,0.0002546850882936269,1754,75648,1040.0,
0.5273312926292419,-0.000323345884680748,0.0,0.00017478068184573203,-0.0019677765667438507,1763260118.3502808,0.2880967855453491,76.20609879493713,,5.205720663070679e-05,0.0002538402331992984,1768,77056,1041.0,
-0.34342920780181885,0.051246799528598785,0.091796875,0.0017960304394364357,-0.052892982959747314,1763260119.1610153,0.2624852955341339,77.01683330535889,,0.008785011246800423,0.00025330259813927114,1777,77952,1042.0,
0.3469747304916382,-5.5888667702674866e-05,0.0,0.00031104887602850795,0.0028479434549808502,1763260123.8937523,0.17430216073989868,81.74957036972046,,0.00041739270091056824,0.00025076806196011603,1818,82176,1033.0,
-0.5470807552337646,0.010871972888708115,0.033203125,0.00042041740380227566,0.0015359073877334595,1763260124.5709689,0.17051805555820465,82.42678689956665,,0.009988520294427872,0.00025046084192581475,1823,82688,1031.0,
0.4370298981666565,-0.0010996386408805847,0.00390625,0.0010112945456057787,-0.003530062735080719,1763260129.8204293,0.19268134236335754,87.67624735832214,,0.002426629886031151,0.0002487711317371577,1851,85504,1000.0,
,,,,,1763260134.4498096,,92.3056275844574,500.0,,,1868,87270,,500.0
,,,,,1763260135.5834172,,93.4392352104187,500.0,,,1873,87770,,500.0
0.7329126596450806,0.037552542984485626,0.068359375,0.0001309919316554442,-0.04185871034860611,1763260136.5677943,0.1535094529390335,94.42361235618591,,0.01093076728284359,0.000247158226557076,1877,88192,956.0,
0.11930674314498901,0.006388229317963123,0.0,1.2367204362817574e-05,-0.00859445333480835,1763260138.4285247,0.17027729749679565,96.2843427658081,,0.00022048037499189377,0.00024662059149704874,1886,89088,947.0,
,,,,,1763260141.9100466,,99.765864610672,500.0,,,1903,90770,,500.0
0.2251322865486145,-0.0006216736510396004,0.005859375,1.98448688024655e-05,0.002682521939277649,1763260142.6705446,0.2339819222688675,100.526362657547,,0.005125905387103558,0.0002453917113598436,1906,91136,927.0,
0.0002549886703491211,0.0014813533052802086,0.017578125,0.009771713055670261,0.0009228149428963661,1763260145.115752,0.23260942101478577,102.97157001495361,,0.001864430494606495,0.00024470046628266573,1918,92288,916.0,
0.20159178972244263,-0.03122021071612835,0.07421875,7.83406721893698e-06,0.04389718174934387,1763260145.6166553,0.19242578744888306,103.47247338294983,,0.0057266633957624435,0.0002445468562655151,1920,92544,914.0,
-0.5122241973876953,-0.002388997934758663,0.0234375,8.402330422541127e-05,0.01214093342423439,1763260150.8467999,0.23043261468410492,108.70261788368225,,0.0035138456150889397,0.00024301075609400868,1945,95104,893.0,
-1.0662646293640137,0.00019189342856407166,0.0,0.0005264618084765971,-8.624047040939331e-06,1763260153.6585429,0.19970206916332245,111.5143609046936,,8.315593004226685e-05,0.00024216590099968016,1959,96512,883.0,
-0.1457209587097168,0.03334174305200577,0.01953125,0.0011082648998126388,-0.03358837217092514,1763260156.2928963,0.2315746396780014,114.14871430397034,,0.0050888583064079285,0.00024132104590535164,1973,97920,874.0,
0.10027265548706055,0.03366456925868988,0.048828125,3.2943942642305046e-05,-0.0449533686041832,1763260158.629521,0.20206575095653534,116.48533892631531,,0.004152141511440277,0.00024055299581959844,1985,99200,868.0,
,,,,,1763260159.543566,,117.39938402175903,500.0,,,1991,99770,,500.0
0.0008448958396911621,0.009543156251311302,0.001953125,0.005007686093449593,-0.033625103533267975,1763260161.5616446,0.18403995037078857,119.41746258735657,,0.001432672142982483,0.00023955453070811927,2002,100864,860.0,
0.00048470497131347656,-0.005344303324818611,0.005859375,0.005089153070002794,0.03069504164159298,1763260162.4506664,0.31113019585609436,120.30648446083069,,0.006517644971609116,0.000239247310673818,2007,101376,858.0,
4.494190216064453e-05,0.00826471671462059,0.0390625,139.75875854492188,0.001072695478796959,1763260164.6844711,0.2051180899143219,122.54028916358948,,0.0043103452771902084,0.00023870967561379075,2016,102272,850.0,
0.27143388986587524,0.00369853712618351,0.005859375,0.00013300406862981617,0.0035403408110141754,1763260166.4730334,0.1762382537126541,124.32885146141052,,0.0024209823459386826,0.0002381720405537635,2024,103168,844.0,
0.7726691961288452,0.0020400304347276688,0.0,0.00043860822916030884,-0.004402153193950653,1763260167.0335646,0.11933254450559616,124.8893826007843,,0.00045445747673511505,0.00023801843053661287,2027,103424,843.0,
-0.38153278827667236,-0.0030373968183994293,0.015625,0.0004178422677796334,0.004799284040927887,1763260168.605974,0.16168683767318726,126.4617919921875,,0.0007541235536336899,0.00023755760048516095,2034,104192,838.0,
,,,,,1763260171.012007,,128.86782503128052,500.0,,,2045,105270,,500.0
