losses/old_approx_kl,losses/explained_variance,losses/value_loss,losses/policy_loss,_timestamp,charts/SPS,losses/clipfrac,losses/entropy,charts/episodic_length,_runtime,global_step,charts/episodic_return,charts/learning_rate,_step,losses/approx_kl
0.09908632934093475,0.9999614357948303,0.0016131465090438724,0.003916868939995766,1763260564.8549662,697.0,0.099609375,0.21629031002521515,,522.7813000679016,363008,,8.225806232076138e-05,4675,0.020935671404004097
,,,,1763260566.7028677,,,,500.0,524.6292016506195,364619,500.0,,4691,
0.004716892726719379,0.9998695850372314,0.0002441919641569257,-0.02891341969370842,1763260568.986855,698.0,0.03125,0.2559342384338379,,526.9131889343262,366464,,8.018433436518535e-05,4709,0.012353476136922836
0.011086119338870049,0.9997183084487915,5.7892037148121744e-05,-0.03010779619216919,1763260569.4279306,698.0,0.017578125,0.12204492092132568,,527.354264497757,366848,,7.995391933945939e-05,4713,0.003876578062772751
-0.003155798651278019,0.9996849894523621,0.0001012102875392884,-0.02842921018600464,1763260572.1980395,699.0,0.013671875,0.17076121270656586,,530.1243734359741,369408,,7.841781916795298e-05,4738,0.004533200524747372
0.13493117690086365,0.9998007416725159,0.0009170934790745378,-0.09245295822620392,1763260572.3209379,699.0,0.126953125,0.2538146376609802,,530.2472717761993,369536,,7.834101415937766e-05,4739,0.05862996354699135
-0.004155324772000313,0.7743160724639893,0.005705639719963074,0.009553804993629456,1763260572.4747074,699.0,0.078125,0.19318902492523193,,530.4010412693024,369664,,7.826420915080234e-05,4741,0.006073283031582832
0.04902508482336998,0.9996192455291748,0.0002359819336561486,-0.043848127126693726,1763260572.740462,700.0,0.03515625,0.20713643729686737,,530.6667959690094,369920,,7.81105991336517e-05,4743,0.006851973943412304
0.0010980479419231415,0.9994480609893799,0.00022539343626704067,0.00711175799369812,1763260575.7503562,701.0,0.0,0.12678579986095428,,533.6766901016235,372864,,7.634408393641934e-05,4772,0.0007948614656925201
0.05651587247848511,0.9992364048957825,9.994990250561386e-05,-0.05923990532755852,1763260577.2414103,702.0,0.091796875,0.28713101148605347,,535.1677441596985,374272,,7.549922884209082e-05,4786,0.00963249709457159
-0.022833919152617455,0.9997241497039795,0.00019677203090395778,0.005755717866122723,1763260577.3684852,702.0,0.01171875,0.19178161025047302,,535.2948191165924,374400,,7.54224238335155e-05,4787,0.003742888569831848
