charts/SPS,losses/clipfrac,_runtime,charts/episodic_return,_step,charts/learning_rate,_timestamp,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss
1077.0,0.01171875,139.55477666854858,,1432,0.00022657449881080538,1763260194.7210608,-0.003569476306438446,0.0021281130611896515,-0.13538503646850586,0.3950463533401489,0.0016499124467372894,122496,,0.0001266134495381266
,,139.56642198562622,500.0,1433,,1763260194.732706,,,,,,122525,500.0,
1078.0,0.0,141.64739537239075,,1455,0.00022519200865644962,1763260196.8136795,0.012833163142204285,-0.0017012953758239746,-0.7461687326431274,0.416828453540802,0.0004597678780555725,124800,,0.008170428685843945
1078.0,0.0,141.7592887878418,,1456,0.0002251152036478743,1763260196.9255729,0.00806325115263462,0.0021062269806861877,-7.516566276550293,0.47709542512893677,0.0006165113300085068,124928,,0.0027158106677234173
,,141.79304766654968,500.0,1457,,1763260196.9593318,,,,,,125025,500.0,
1079.0,0.0,147.08561301231384,,1514,0.0002215821878053248,1763260202.251897,-0.02117844671010971,-0.0043974872678518295,0.4325662851333618,0.5755670666694641,0.0017388053238391876,130816,,0.001033479580655694
,,147.70572900772095,500.0,1521,,1763260202.872013,,,,,,131525,500.0,
1079.0,0.0,148.1265640258789,,1525,0.0002208909427281469,1763260203.292848,-0.00858578085899353,0.008157390169799328,-0.40062129497528076,0.5517793893814087,0.00026497524231672287,131968,,0.0005844580591656268
1079.0,0.0,148.2422776222229,,1527,0.0002208141377195716,1763260203.4085617,0.004148721694946289,0.0009827790781855583,0.00046253204345703125,0.5032835602760315,0.0004312833771109581,132096,,904.4542236328125
1079.0,0.0,148.5004105567932,,1529,0.00022066052770242095,1763260203.6666946,-0.006152614951133728,0.011339482851326466,0.5935781002044678,0.6010066866874695,0.00043135229498147964,132352,,0.00178036920260638
1079.0,0.0,148.947655916214,,1534,0.00022035330766811967,1763260204.11394,-0.008912086486816406,0.03694857284426689,-0.2504006624221802,0.48704642057418823,0.0026485323905944824,132864,,0.0007628906751051545
,,149.07310700416565,500.0,1536,,1763260204.239391,,,,,,133025,500.0,
1079.0,0.0,149.77273321151733,,1543,0.00021981567260809243,1763260204.9390173,-0.004077784717082977,0.007705795578658581,0.4688715934753418,0.5205854177474976,0.0005754707381129265,133760,,0.004430796951055527
1079.0,0.0,149.99371981620789,,1545,0.0002196620625909418,1763260205.160004,-0.0005359277129173279,0.0011276565492153168,0.8622639775276184,0.46585848927497864,0.000336451455950737,134016,,0.00016508001135662198
,,149.99854826927185,500.0,1546,,1763260205.1648324,,,,,,134025,500.0,
1080.0,0.01171875,151.14571142196655,,1558,0.00021889401250518858,1763260206.3119955,0.011339429765939713,-0.000116678886115551,-1.7728686332702637,0.4213212728500366,0.00427329633384943,135296,,0.0012541062897071242
