charts/episodic_return,losses/approx_kl,_timestamp,losses/clipfrac,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/value_loss,charts/episodic_length,losses/policy_loss,_runtime,_step,global_step,charts/learning_rate,charts/SPS
,0.000517355278134346,1763260405.5818298,0.0,-0.0017176028341054916,-0.048365116119384766,0.5420917272567749,0.005190965719521046,,-0.003433268517255783,350.7974638938904,3713,353664,8.786482067080215e-05,1087.0
,0.00013017933815717697,1763260405.806593,0.0,0.0003202790394425392,0.004338443279266357,0.5119115114212036,0.0007723848102614284,,0.002273824065923691,351.0222270488739,3715,353920,8.77112106536515e-05,1087.0
500.0,,1763260407.2503352,,,,,,500.0,,352.46596932411194,3731,355529,,
,4.670582711696625e-06,1763260407.5672429,0.0,0.00016300659626722336,-0.005937695503234863,0.5424112677574158,0.0008728847606107593,,-0.0015846118330955505,352.7828769683838,3734,355840,8.655914280097932e-05,1087.0
,0.0001375209540128708,1763260409.5703151,0.0,-0.0013209637254476547,-0.5198119878768921,0.5249625444412231,0.0007324173930101097,,0.0004089921712875366,354.7859492301941,3755,358016,8.525345765519887e-05,1087.0
500.0,,1763260411.3299305,,,,,,500.0,,356.54556465148926,3775,360029,,
,0.0004853624850511551,1763260411.793509,0.0,-0.006125710904598236,-0.008851289749145508,0.559287965297699,0.00049600750207901,,-0.00473732128739357,357.00914311408997,3779,360448,8.379416249226779e-05,1087.0
,7.98683613538742e-05,1763260414.112279,0.0,0.0007732957601547241,-0.020349621772766113,0.6183832883834839,0.000351868977304548,,-0.003461536020040512,359.3279130458832,3804,363008,8.225806232076138e-05,1088.0
,0.00014736223965883255,1763260414.3387241,0.0,-0.002164454199373722,-0.14658379554748535,0.5840057730674744,0.003800023579970002,,-0.0017058877274394035,359.55435824394226,3807,363264,8.210445230361074e-05,1088.0
,0.00023434683680534363,1763260418.0778167,0.0,0.009358378127217293,-0.005453705787658691,0.6366375684738159,0.0005142694571986794,,-0.005446441471576691,363.29345083236694,3847,367360,7.964669930515811e-05,1088.0
,0.00032431259751319885,1763260421.0076036,0.0,-0.0023627839982509613,2.950429916381836e-05,0.5924851298332214,484.9554138183594,,-0.0011957250535488129,366.22323775291443,3879,370560,7.77265740907751e-05,1088.0
500.0,,1763260421.355003,,,,,,500.0,,366.57063722610474,3883,370974,,
