losses/old_approx_kl,charts/learning_rate,losses/approx_kl,losses/policy_loss,charts/episodic_return,_timestamp,losses/entropy,losses/clipfrac,charts/SPS,losses/value_loss,global_step,_runtime,losses/explained_variance,charts/episodic_length,_step
0.00026975013315677643,0.00026059907395392656,6.170943379402161e-06,-0.0010044127702713013,,1763260143.0653203,0.5868188142776489,0.0,1051.0,1.695578932762146,65792,88.21473717689514,-0.17951345443725586,,948
-0.0010667648166418076,0.0002592165837995708,1.3900920748710632e-05,-0.00016898661851882935,,1763260145.1954763,0.5959610939025879,0.0,1052.0,1.354327917098999,68096,90.34489321708679,-0.6404138803482056,,974
,,,,35.0,1763260145.5519428,,,,,68491,90.70135974884033,,35.0,980
0.007173198275268078,0.00025867894873954356,0.0019922731444239616,-0.009452156722545624,,1763260145.995909,0.5984600186347961,0.001953125,1053.0,1188.194091796875,68992,91.14532589912415,0.06310665607452393,,985
0.0025492561981081963,0.0002581413136795163,0.00040082912892103195,-0.0007724091410636902,,1763260146.8242683,0.5846002101898193,0.0,1053.0,0.8952848315238953,69888,91.9736852645874,-0.7346599102020264,,995
0.003214476630091667,0.0002579877036623657,4.272721707820892e-05,-0.00011676549911499023,,1763260147.0452352,0.5230129957199097,0.0,1053.0,0.81258624792099,70144,92.19465208053589,-0.2699371576309204,,997
-0.010856718756258488,0.0002569124335423112,0.0020892666652798653,-0.009541265666484833,,1763260148.6892595,0.610450267791748,0.0,1054.0,2.1740546226501465,71936,93.83867645263672,-47.13313674926758,,1015
0.03541964292526245,0.0002566052135080099,0.015305319800972939,-0.023850930854678154,,1763260149.1361275,0.5540896654129028,0.07421875,1055.0,18.90062713623047,72448,94.28554439544678,-198.97235107421875,,1020
,,,,500.0,1763260150.071836,,,,,73475,95.22125291824341,,500.0,1031
-0.005226613022387028,0.00025483869831077754,0.005164601840078831,0.0037752091884613037,,1763260151.8333917,0.5505962371826172,0.001953125,1056.0,0.0014926145086064935,75392,96.9828085899353,-0.2799769639968872,,1050
0.0032935859635472298,0.0002546850882936269,0.0007854560390114784,0.004721900448203087,,1763260152.0676928,0.559593915939331,0.0,1056.0,648.1211547851562,75648,97.21710968017578,-0.0006319284439086914,,1053
-0.005031055770814419,0.0002543778682593256,0.000999986194074154,-0.008849825710058212,,1763260152.580913,0.5386033058166504,0.0,1056.0,0.00023175359820015728,76160,97.73032999038696,-0.0001995563507080078,,1058
0.0058958688750863075,0.0002528417680878192,0.0017927950248122215,-0.017366111278533936,,1763260154.9435654,0.42384886741638184,0.00390625,1057.0,0.0047965883277356625,78720,100.0929822921753,0.3126989006996155,,1083
,,,,500.0,1763260155.6333358,,,,,79533,100.78275275230408,,500.0,1091
,,,,500.0,1763260157.0384262,,,,,81033,102.18784308433533,,500.0,1106
-0.010919040068984032,0.0002506912569515407,0.0011041313409805298,0.010444805026054382,,1763260158.19216,0.5623729825019836,0.0,1059.0,0.0005938551039434969,82304,103.34157681465149,0.17240303754806519,,1118
