losses/clipfrac,_runtime,charts/learning_rate,_timestamp,losses/policy_loss,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/old_approx_kl,charts/episodic_return,_step
0.0,195.12327814102173,0.00025130569702014327,1763260253.4543662,0.002858281135559082,0.0004602186381816864,81280,,400.02081298828125,0.004813253879547119,481.0,0.5269920229911804,0.008559191599488258,,1053
0.0,196.1276617050171,0.000250998476985842,1763260254.4587498,0.002710305154323578,0.0005239024758338928,81792,,378.19140625,0.003547191619873047,482.0,0.4541693925857544,-0.005296671763062477,,1058
0.0,201.0838975906372,0.0002494623768143356,1763260259.4149857,-0.01821967214345932,0.0011005057021975517,84352,,0.0032167595345526934,0.5117257833480835,483.0,0.4113945960998535,0.004295383580029011,,1083
,202.1679720878601,,1763260260.4990602,,,85218,500.0,,,,,,500.0,1091
,203.85099840164185,,1763260262.1820865,,,86718,500.0,,,,,,500.0,1106
0.0,205.8662838935852,0.0002473118365742266,1763260264.197372,-0.013657540082931519,0.0006375396624207497,87936,,0.0023762655910104513,0.7041870355606079,490.0,0.4997667074203491,0.0015625311061739922,,1118
0.0,207.18232202529907,0.0002468510065227747,1763260265.51341,0.0017570219933986664,0.0005295267328619957,88704,,0.00038755740388296545,0.6900300979614258,490.0,0.447223961353302,0.011283853091299534,,1125
0.0,208.56934475898743,0.0002463901764713228,1763260266.9004328,-0.010083496570587158,0.0009967721998691559,89472,,0.0005333094159141183,-0.41099417209625244,491.0,0.5044528245925903,-0.0050506871193647385,,1133
,210.63437032699585,,1763260268.9654584,,,90718,500.0,,,,,,500.0,1145
0.01171875,213.59263229370117,0.00024447005125693977,1763260271.9237204,-0.004978951066732407,0.002464153803884983,92672,,0.0006226773257367313,0.5546137094497681,495.0,0.45927882194519043,0.012587972916662693,,1164
,213.62384366989136,,1763260271.9549317,,,92718,500.0,,,,,,500.0,1165
0.0,214.46455073356628,0.00024400922120548785,1763260272.7956388,0.00013019517064094543,1.628231257200241e-05,93440,,0.0010713572846725583,0.5985803008079529,497.0,0.4742491841316223,-0.0009397836402058601,,1172
0.0,215.48042726516724,0.0002434715861454606,1763260273.8115153,-3.985315561294556e-05,2.2411346435546875e-05,94336,,195.5517578125,0.0030212998390197754,499.0,0.38071197271347046,-0.0009753406047821045,,1181
0.013671875,216.17181730270386,0.00024316436611115932,1763260274.5029054,-0.007058978080749512,0.0038710441440343857,94848,,0.002768378471955657,0.3711283802986145,499.0,0.4136030077934265,0.03940945118665695,,1186
0.0390625,218.32639598846436,0.00024247312103398144,1763260276.657484,-0.023265203461050987,0.013628160580992699,96000,,0.004086348693817854,0.6006331443786621,500.0,0.4278560280799866,0.027621418237686157,,1197
0.072265625,221.3466682434082,0.00024147465592250228,1763260279.6777563,-0.02341669797897339,0.013150786980986595,97664,,0.0007364843040704727,-0.3295055627822876,501.0,0.44171813130378723,0.00048122182488441467,,1213
0.0,221.59796452522278,0.00024139785091392696,1763260279.9290526,-0.0009377580136060715,9.595789015293121e-05,97792,,360.79974365234375,0.0018825531005859375,501.0,0.44982317090034485,0.00465947762131691,,1215
0.005859375,224.21267557144165,0.00024070660583674908,1763260282.5437636,0.002232801169157028,0.003718883730471134,98944,,0.00504806125536561,0.2052019238471985,500.0,0.3862074017524719,0.01200239360332489,,1226
