global_step,losses/explained_variance,charts/SPS,losses/clipfrac,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,_timestamp,losses/policy_loss,losses/entropy,charts/episodic_return,_step,_runtime,losses/approx_kl,losses/value_loss
133504,0.18138724565505981,520.0,0.001953125,-0.0013716034591197968,,0.00021996928262524307,1763260341.948795,-0.007353875786066055,0.443480521440506,,1536,283.51195311546326,0.0021079350262880325,0.004114145413041115
134272,-0.07509541511535645,520.0,0.0,-0.008407816290855408,,0.00021950845257379115,1763260343.2966218,0.006208896636962891,0.4414035379886627,,1543,284.8597798347473,0.0008303578943014145,0.00013776675041299313
134400,-8.881092071533203e-05,520.0,0.0,-0.002868915908038616,,0.00021943164756521583,1763260343.553611,-0.0041187480092048645,0.48780015110969543,,1545,285.1167690753937,0.00018357206135988235,0.0009138031164184213
134528,0.029893457889556885,520.0,0.0,0.004485815763473511,,0.0002193548425566405,1763260343.7781227,7.771328091621399e-05,0.4003700315952301,,1546,285.34128069877625,0.0003386102616786957,0.00014011049643158913
135773,,,,,500.0,,1763260345.9436874,,,500.0,1558,287.50684547424316,,
135808,-3.600120544433594e-05,520.0,0.0,0.005683813244104385,,0.0002185867924708873,1763260346.1651347,-0.0007952675223350525,0.4850025177001953,,1559,287.72829270362854,0.00015234202146530151,267.38909912109375
136273,,,,,500.0,,1763260346.8605807,,,500.0,1563,288.42373871803284,,
136576,0.03625768423080444,521.0,0.0,0.0020605307072401047,,0.00021812596241943538,1763260347.3332183,-0.008825212717056274,0.455204576253891,,1566,288.89637637138367,0.0010738801211118698,0.0005380462389439344
138773,,,,,500.0,,1763260349.9769866,,,500.0,1588,291.54014468193054,,
138880,0.0012111663818359375,524.0,0.0,-0.0033231182023882866,,0.00021674347226507962,1763260350.1187768,0.004090558737516403,0.38118767738342285,,1589,291.6819348335266,0.0001043984666466713,424.7585144042969
139773,,,,,500.0,,1763260351.042682,,,500.0,1597,292.60583996772766,,
140773,,,,,500.0,,1763260352.795534,,,500.0,1607,294.3586919307709,,
140928,-0.2377009391784668,525.0,0.0,-0.00439539086073637,,0.0002155145921278745,1763260353.2598336,0.0012904368340969086,0.5187487602233887,,1609,294.82299160957336,0.0002577444538474083,0.005136624909937382
141056,-0.3042769432067871,525.0,0.00390625,0.003961227834224701,,0.00021543778711929917,1763260353.495306,-0.011792264878749847,0.4166695773601532,,1610,295.05846405029297,0.003613043576478958,0.00028489751275628805
141273,,,,,500.0,,1763260353.7522445,,,500.0,1612,295.315402507782,,
142720,0.032847583293914795,526.0,0.0,-0.006455388851463795,,0.00021443932200782,1763260356.4098525,0.007003165781497955,0.41572442650794983,,1626,297.97301054000854,0.0015377523377537727,9.635560854803771e-05
143872,-0.00010943412780761719,527.0,0.0,0.004156940616667271,,0.00021374807693064213,1763260357.8800983,-0.004753105342388153,0.4019566774368286,,1638,299.4432563781738,8.212868124246597e-05,227.81118774414062
148864,8.285045623779297e-05,534.0,0.0,-0.006426607258617878,,0.00021075268159620464,1763260363.669169,0.0009027309715747833,0.5556590557098389,,1687,305.2323269844055,0.0006708195433020592,243.09068298339844
153344,-0.18990683555603027,538.0,0.0,9.20584425330162e-05,,0.00020806452084798366,1763260370.0716994,0.006428569555282593,0.5335014462471008,,1732,311.63485741615295,0.0005035800859332085,0.005617986433207989
154625,,,,,500.0,,1763260371.7549045,,,500.0,1745,313.318062543869,,
155520,0.12738996744155884,539.0,0.001953125,0.003919265232980251,,0.00020675883570220321,1763260373.4157152,-0.015932248905301094,0.5308889746665955,,1753,314.97887325286865,0.0018488643690943718,5.688122837455012e-05
155625,,,,,500.0,,1763260373.4731488,,,500.0,1754,315.03630685806274,,
156672,-0.00018024444580078125,539.0,0.0,-0.0007291417568922043,,0.00020606759062502533,1763260375.5065818,3.722682595252991e-05,0.5250339508056641,,1765,317.069739818573,2.8908252716064453e-05,435.309814453125
157056,-0.35907459259033203,539.0,0.001953125,0.00019817054271697998,,0.00020583717559929937,1763260376.149272,-0.0001741591840982437,0.5101508498191833,,1768,317.7124300003052,0.0014802254736423492,8.352444274351001e-05
