_timestamp,_step,losses/value_loss,charts/episodic_return,losses/old_approx_kl,losses/entropy,charts/SPS,losses/approx_kl,losses/clipfrac,charts/learning_rate,charts/episodic_length,losses/explained_variance,_runtime,global_step,losses/policy_loss
1763260310.071333,1381,0.0004789051308762282,,0.015264736488461494,0.6078377962112427,535.0,0.0024796780198812485,0.0,0.00022764976893085986,,0.049471259117126465,251.63653588294983,120704,0.0016048774123191833
1763260310.870736,1388,302.7462158203125,,-0.001457040198147297,0.6095935106277466,536.0,0.00017062481492757797,0.0,0.00022726574388798326,,9.98377799987793e-05,252.43593883514404,121344,0.003654009662568569
1763260311.6997786,1395,,230.0,,,,,,,230.0,,253.264981508255,122070,
1763260312.2250443,1399,0.0003549875400494784,,-0.002412978559732437,0.5862325429916382,538.0,0.0015657879412174225,0.0,0.00022657449881080538,,-0.25232017040252686,253.79024720191956,122496,-0.002082422375679016
1763260312.8074179,1405,,500.0,,,,,,,500.0,,254.37262082099915,123070,
1763260315.8486657,1432,0.0003598979383241385,,-0.0012249192222952843,0.5410857200622559,544.0,0.0010796291753649712,0.001953125,0.00022457756858784705,,0.15575242042541504,257.4138686656952,125824,-0.02076268196105957
1763260315.9762444,1433,0.00014097370149102062,,-0.004061296582221985,0.5689799189567566,544.0,0.004191572777926922,0.001953125,0.00022450076357927173,,0.12439680099487305,257.54144740104675,125952,0.012643709778785706
1763260319.699622,1455,422.3467712402344,,0.001950310543179512,0.5145692229270935,545.0,0.0004901494830846786,0.0,0.0002231950784334913,,4.172325134277344e-06,261.26482486724854,128128,0.003337763249874115
1763260319.922733,1456,0.003606738056987524,,-0.004425247199833393,0.5282776355743408,545.0,0.0019518574699759483,0.001953125,0.00022311827342491597,,0.08108001947402954,261.48793601989746,128256,-0.01829509437084198
1763260320.1451764,1457,0.0003402525035198778,,-0.006255052052438259,0.5134512782096863,545.0,0.0027071023359894753,0.009765625,0.00022304146841634065,,-0.37671148777008057,261.7103793621063,128384,-0.004870899021625519
1763260329.9791737,1514,0.0005584912141785026,,0.007685490883886814,0.5744117498397827,547.0,0.0037862183526158333,0.0078125,0.00021958525758236647,,0.37676286697387695,271.5443766117096,134144,-0.027915727347135544
1763260331.1261458,1521,,500.0,,,,,,,500.0,,272.69134879112244,134843,
1763260331.9939942,1525,0.0002121235302183777,,-0.0119681591168046,0.5364850759506226,547.0,0.0006635179743170738,0.0,0.00021889401250518858,,-0.5279700756072998,273.5591971874237,135296,-0.0009351372718811035
1763260332.275108,1527,305.43719482421875,,0.005541727878153324,0.4908900558948517,547.0,0.0005686851218342781,0.0,0.00021881720749661326,,-1.3113021850585938e-06,273.84031105041504,135424,0.0036852210760116577
1763260332.6020436,1529,0.0003131908888462931,,0.019077057018876076,0.5680948495864868,547.0,0.0011432981118559837,0.0,0.00021866359747946262,,-0.08741998672485352,274.1672465801239,135680,-0.009661465883255005
1763260333.1540325,1534,0.0002830034354701638,,0.013742123730480671,0.49113163352012634,548.0,0.0036071529611945152,0.001953125,0.00021835637744516134,,-0.6588729619979858,274.71923542022705,136192,-0.02033362165093422
1763260333.3104475,1536,,500.0,,,,,,,500.0,,274.8756504058838,136343,
1763260334.2018251,1543,0.0036647897213697433,,-0.007843965664505959,0.5764788389205933,549.0,0.0006509386003017426,0.0,0.0002178187423851341,,0.08659684658050537,275.767028093338,137088,-0.020572563633322716
1763260334.3899755,1545,,500.0,,,,,,,500.0,,275.9551784992218,137343,
1763260334.507057,1546,248.12835693359375,,0.0012666061520576477,0.4994584023952484,550.0,4.5513734221458435e-05,0.0,0.00021766513236798346,,-0.00020360946655273438,276.0722599029541,137344,-0.0034301765263080597
1763260335.925207,1558,0.0004062551015522331,,0.006194722838699818,0.4775581955909729,552.0,0.0013996297493577003,0.0,0.00021689708228223026,,0.14242255687713623,277.4904098510742,138624,-0.007158776745200157
1763260336.056886,1559,0.00022642708790954202,,-0.00043610576540231705,0.5398317575454712,552.0,0.0004329988732933998,0.0,0.00021682027727365494,,-0.3942910432815552,277.62208890914917,138752,-0.0021860450506210327
1763260336.5321796,1563,0.0003014915273524821,,-0.00461458507925272,0.5220406651496887,552.0,0.0009955903515219688,0.0,0.00021658986224792898,,0.1636490821838379,278.0973825454712,139136,-0.011194571852684021
1763260336.8373754,1566,250.7531280517578,,-0.007008838467299938,0.5533192753791809,553.0,0.0007105274125933647,0.0,0.00021643625223077834,,-0.00015246868133544922,278.40257835388184,139392,0.008496351540088654
1763260339.3945706,1588,0.0006415721727535129,,-0.007805418223142624,0.48628976941108704,556.0,0.0007569137960672379,0.0,0.00021505376207642257,,-0.3955651521682739,280.9597735404968,141696,0.005374133586883545
1763260339.6392407,1589,0.00018169032409787178,,0.016323227435350418,0.5066019296646118,556.0,0.001925184391438961,0.0,0.00021497695706784725,,-1.0606515407562256,281.204443693161,141824,-0.0027651190757751465
1763260341.0715144,1597,0.002449768828228116,,0.009699670597910881,0.46829915046691895,556.0,0.000982506200671196,0.0,0.00021451612701639533,,-0.06611323356628418,282.6367173194885,142592,-0.00468907505273819
1763260342.9102604,1607,0.00032242824090644717,,0.001999928615987301,0.49083641171455383,556.0,0.0010594753548502922,0.001953125,0.00021390168694779277,,0.21726387739181519,284.47546339035034,143616,-0.0003515779972076416
1763260343.177596,1609,,500.0,,,,,,,500.0,,284.7427990436554,143843,
1763260343.3677528,1610,251.2386474609375,,0.009722714312374592,0.4705164432525635,556.0,0.000750402919948101,0.0,0.00021374807693064213,,0.00044858455657958984,284.9329557418823,143872,-0.006019219756126404
1763260343.8160276,1612,0.00044417986646294594,,-0.0005883406847715378,0.5310250520706177,556.0,0.0001638457179069519,0.0,0.0002135944669134915,,-0.46452581882476807,285.38123059272766,144128,0.0005743391811847687
1763260346.4871047,1626,0.003286476479843259,,0.0032031964510679245,0.5939803719520569,556.0,0.00048878975212574,0.0,0.00021274961181916296,,-1.4103848934173584,288.0523076057434,145536,3.491342067718506e-05
1763260348.1386783,1638,0.0001806497311918065,,0.0021941326558589935,0.5602410435676575,557.0,0.00011022575199604034,0.0,0.00021198156173340976,,-1.0171234607696533,289.7038812637329,146816,-0.0011593252420425415
1763260355.1885104,1687,0.005127846263349056,,0.00013372115790843964,0.531275749206543,560.0,0.0007425229996442795,0.0,0.00020906298595946282,,-0.7319384813308716,296.7537133693695,151680,-0.0036826059222221375
1763260360.6506493,1732,468.22613525390625,,0.0014103753492236137,0.5601844191551208,566.0,4.3011270463466644e-05,0.0,0.0002063748106593266,,-7.927417755126953e-05,302.2158522605896,156160,-0.003299914300441742
1763260362.1634116,1745,0.00015296669153030962,,0.0010948805138468742,0.5743622779846191,568.0,0.004506374709308147,0.015625,0.0002055299555649981,,-0.06315040588378906,303.7286145687103,157568,-0.011505238711833954
1763260362.9794202,1753,0.005483446177095175,,0.0014835456386208534,0.5816072225570679,569.0,0.00023399945348501205,0.0,0.00020506912551354617,,0.08978289365768433,304.5446231365204,158336,-0.010164260864257812
1763260363.134585,1754,0.0001980910456040874,,-0.0009889965876936913,0.5563775300979614,569.0,0.00034428853541612625,0.0,0.00020499232050497085,,-0.05680680274963379,304.6997878551483,158464,0.00520121306180954
1763260364.376466,1765,0.00015631946735084057,,-0.005205679684877396,0.5266878008842468,570.0,0.0017726700752973557,0.0,0.00020430107542779297,,-0.09915149211883545,305.94166898727417,159616,-0.006034597754478455
1763260364.6655953,1768,0.004197479225695133,,-0.01396615244448185,0.5196443796157837,571.0,0.0008932463824748993,0.0,0.00020414746541064233,,0.12283480167388916,306.2307982444763,159872,-0.0065450891852378845
1763260365.9745264,1777,,500.0,,,,,,,500.0,,307.53972935676575,160753,
1763260371.959731,1818,411.66876220703125,,-0.005811288021504879,0.5609400868415833,574.0,0.001148582436144352,0.0,0.00020115207007620484,,0.00027239322662353516,313.524934053421,164864,-0.012315802276134491
1763260372.9708195,1823,227.01844787597656,,0.007366602309048176,0.5437460541725159,573.0,0.0016182148829102516,0.0,0.00020084485004190356,,0.00012886524200439453,314.5360224246979,165376,-0.026832932606339455
1763260377.975996,1851,,500.0,,,,,,,500.0,,319.54119896888733,168253,
1763260378.836683,1856,,500.0,,,,,,,500.0,,320.4018859863281,168753,
1763260380.3119347,1868,0.005359062924981117,,-0.0004683826118707657,0.5744209885597229,575.0,7.310695946216583e-05,0.0,0.00019807988428510725,,-0.023703575134277344,321.8771376609802,169984,-2.5704503059387207e-06
1763260380.8647454,1873,0.004281821195036173,,-0.0016292538493871689,0.5675033330917358,575.0,0.00030436739325523376,0.0,0.00019777266425080597,,0.21692049503326416,322.42994832992554,170496,-0.0034538060426712036
1763260381.3087382,1877,151.9756622314453,,-0.004290028475224972,0.5897477865219116,576.0,0.0020675258710980415,0.0,0.00019754224922508,,0.0003243684768676758,322.8739411830902,170880,-0.016756970435380936
1763260382.4710886,1886,210.05996704101562,,-0.0020954785868525505,0.5432619452476501,577.0,0.0003154752776026726,0.0,0.00019700461416505277,,-7.62939453125e-06,324.0362915992737,171776,0.009382324293255806
1763260384.16049,1895,,500.0,,,,,,,500.0,,325.725692987442,172753,
1763260385.4716015,1903,0.0005977944238111377,,0.01704639568924904,0.49690958857536316,577.0,0.0017265994101762772,0.0,0.0001959293440449983,,0.028284192085266113,327.03680443763733,173568,-0.022305529564619064
1763260385.776808,1906,570.5184936523438,,0.00015422888100147247,0.5350983738899231,577.0,0.00012570619583129883,0.0,0.00019577573402784765,,0.0005527734756469727,327.34201097488403,173824,-0.0028535667806863785
1763260387.1726782,1918,0.00020525450236164033,,-0.0033085327595472336,0.5462535619735718,579.0,0.0018489863723516464,0.0,0.00019500768394209445,,0.510812520980835,328.73788118362427,175104,-0.02672085538506508
1763260387.345066,1920,,500.0,,,,,,,500.0,,328.9102690219879,175253,
1763260390.156301,1945,308.92547607421875,,0.003659583628177643,0.5176302194595337,582.0,0.00037835724651813507,0.0,0.00019339477876201272,,0.0014410018920898438,331.7215039730072,177792,-0.007798927836120129
1763260391.714298,1959,396.7498779296875,,0.006145333871245384,0.5393140912055969,583.0,0.0003695320338010788,0.0,0.0001925499236676842,,0.00011920928955078125,333.2795009613037,179200,-0.005481541156768799
1763260393.2043898,1973,,500.0,,,,,,,500.0,,334.7695927619934,180693,
1763260394.5901532,1985,0.004387376829981804,,-0.00018554739654064178,0.5471925735473633,587.0,0.0013205986469984055,0.0,0.00019093701848760247,,0.35884058475494385,336.15535616874695,181888,-0.007482040673494339
1763260395.4247913,1991,0.00035765889333561063,,-0.003562839701771736,0.577529788017273,587.0,0.001295892521739006,0.0,0.00019055299344472587,,0.2570725083351135,336.98999428749084,182528,-0.020364003255963326
1763260397.355834,2002,0.0001314534165430814,,0.00017397385090589523,0.5392249822616577,587.0,0.000326317735016346,0.0,0.000189861748367548,,-1.243321180343628,338.92103695869446,183680,-0.0006096959114074707
1763260398.2203164,2007,0.00014297747111413628,,0.0049285488203167915,0.5182048678398132,587.0,0.00043765734881162643,0.0,0.0001895545283332467,,-0.19869005680084229,339.785519361496,184192,0.0046130940318107605
1763260399.7876372,2016,0.0001520525402156636,,-0.015586012974381447,0.5657376646995544,587.0,0.0018653739243745804,0.005859375,0.00018901689327321947,,-0.7863363027572632,341.3528401851654,185088,-0.012854630127549171
1763260400.3029168,2019,0.003634786931797862,,0.0009844405576586723,0.5358656048774719,587.0,0.0021534347906708717,0.001953125,0.00018886328325606883,,-0.46633827686309814,341.8681197166443,185344,-0.010007180273532867
1763260401.2339547,2024,0.006003445480018854,,-0.011334585957229137,0.5031684041023254,587.0,0.002003381960093975,0.0,0.00018855606322176754,,0.3251238465309143,342.7991576194763,185856,-0.02140558511018753
1763260401.7238898,2027,,500.0,,,,,,,500.0,,343.28909277915955,186193,
1763260402.1719463,2029,0.004268878139555454,,-0.01497035101056099,0.49997612833976746,587.0,0.0013463636860251427,0.0,0.00018824884318746626,,0.21398794651031494,343.7371492385864,186368,-0.007748769596219063
1763260403.0257978,2034,0.004738304298371077,,0.005275649018585682,0.4313834309577942,587.0,0.003300054930150509,0.005859375,0.00018794162315316498,,-0.845508337020874,344.5910007953644,186880,-0.017541654407978058
1763260405.094181,2045,0.00031908194068819284,,-0.015478016808629036,0.45822805166244507,587.0,0.00078628771007061,0.0,0.0001872503780759871,,-1.9446675777435303,346.6593840122223,188032,0.006396032869815826
1763260406.0766897,2051,0.00011612620437517762,,0.0017186366021633148,0.5266926884651184,587.0,9.115226566791534e-05,0.0,0.0001868663530331105,,-0.01696193218231201,347.6418926715851,188672,0.001157023012638092
1763260406.103612,2052,,500.0,,,,,,,500.0,,347.66881489753723,188693,
1763260408.185464,2070,0.0002009967138292268,,0.0012784702703356743,0.48227620124816895,589.0,0.00123696681112051,0.0,0.00018571429245639592,,-0.16642236709594727,349.75066685676575,190592,0.009911637753248215
1763260408.8104973,2076,,500.0,,,,,,,500.0,,350.3757002353668,191193,
1763260410.8029695,2093,0.0026759242173284292,,0.0018888218328356743,0.5273685455322266,591.0,7.467623800039291e-05,0.0,0.00018433180230204016,,0.4110642075538635,352.36817240715027,192896,0.0007570059970021248
1763260410.8536105,2094,,324.0,,,,,,,324.0,,352.41881346702576,193017,
1763260414.8986187,2117,,500.0,,,,,,,500.0,,356.4638216495514,195259,
1763260419.362286,2141,151.97601318359375,,-0.0005736676976084709,0.5295961499214172,590.0,1.2692995369434357e-05,0.0,0.0001814900169847533,,3.921985626220703e-05,360.9274890422821,197632,-0.0007421821355819702
1763260420.3367434,2146,0.00015301660459954292,,0.0012153591960668564,0.599199116230011,590.0,0.0001637246459722519,0.0,0.00018118279695045203,,-0.5413368940353394,361.90194630622864,198144,-0.0032251402735710144
1763260420.5752437,2147,5.395723565015942e-05,,-0.003568217158317566,0.5767722129821777,590.0,0.00013416074216365814,0.0,0.0001811059919418767,,0.09338730573654175,362.14044666290283,198272,-0.0024619046598672867
1763260420.6325805,2148,,500.0,,,,,,,500.0,,362.1977834701538,198308,
1763260422.1218002,2155,0.003935968969017267,,-0.0008477717638015747,0.550974428653717,590.0,0.00029626116156578064,0.0,0.0001806451618904248,,-0.2799288034439087,363.68700313568115,199040,-0.009492829442024231
1763260425.237232,2172,0.000186635967111215,,0.0037860143929719925,0.5449334383010864,589.0,0.0020316429436206818,0.001953125,0.00017964669677894562,,-0.3792051076889038,366.80243492126465,200704,-0.015030397102236748
1763260427.7626739,2185,307.8057556152344,,-0.002123654820024967,0.5989906191825867,588.0,0.00025850068777799606,0.0,0.00017887864669319242,,0.0001875758171081543,369.32787680625916,201984,0.007250331342220306
1763260429.140667,2192,0.00036168540827929974,,-0.01258766558021307,0.5738081932067871,588.0,0.000820123590528965,0.0,0.0001784178166417405,,0.07235527038574219,370.7058699131012,202752,-0.012644143775105476
1763260429.9244084,2198,78.13712310791016,,0.011420969851315022,0.46181637048721313,588.0,0.0006770873442292213,0.0,0.00017811059660743922,,-0.00042724609375,371.4896113872528,203264,0.004851832985877991
1763260430.062807,2199,0.0046183280646800995,,0.0036403322592377663,0.5955880284309387,589.0,0.0009481897577643394,0.0,0.0001780337915988639,,-0.15768325328826904,371.62801003456116,203392,-0.007766546681523323
1763260431.412683,2211,0.004406851716339588,,-0.0007590968161821365,0.5834400057792664,590.0,1.0866671800613403e-05,0.0,0.00017734254652168602,,0.19406425952911377,372.9778859615326,204544,0.0003521963953971863
1763260431.7598307,2214,,500.0,,,,,,,500.0,,373.32503366470337,204908,
1763260432.4627848,2220,218.52064514160156,,-0.0005100378766655922,0.5936741828918457,590.0,0.00022690463811159134,0.0,0.00017680491146165878,,5.620718002319336e-05,374.02798771858215,205440,-0.003126583993434906
1763260432.880086,2223,0.00013258469698484987,,-0.0035506580024957657,0.5257776379585266,591.0,0.00038741156458854675,0.0,0.00017657449643593282,,0.3160189986228943,374.44528889656067,205824,-0.002231564372777939
1763260433.0457838,2225,173.24220275878906,,0.0015235589817166328,0.5576447248458862,591.0,0.00029256846755743027,0.0,0.0001764976914273575,,0.0005202889442443848,374.6109867095947,205952,0.005002490244805813
1763260433.1900797,2226,0.003845666768029332,,-0.002103293314576149,0.5239641070365906,591.0,0.00023228302597999573,0.0,0.00017642088641878217,,-0.041776061058044434,374.75528264045715,206080,0.0011142250150442123
1763260433.3329883,2227,0.00015896873082965612,,-6.835907697677612e-05,0.5385839939117432,591.0,0.0009283479303121567,0.0,0.00017634408141020685,,0.007075667381286621,374.8981912136078,206208,-0.004824556410312653
1763260433.7959063,2231,0.00427166186273098,,0.002244614064693451,0.5783734321594238,591.0,0.0005457736551761627,0.0,0.0001761136663844809,,-0.2497875690460205,375.3611092567444,206592,0.00119706429541111
1763260434.2503095,2235,67.0368881225586,,-0.00025316234678030014,0.47178298234939575,592.0,0.00021538790315389633,0.0,0.00017588325135875493,,0.00029778480529785156,375.81551241874695,206976,0.0006157215684652328
1763260434.9899912,2241,0.0034044133499264717,,0.0018246900290250778,0.5198235511779785,592.0,2.60770320892334e-05,0.0,0.00017549922631587833,,0.04133272171020508,376.5551941394806,207616,-0.0009683705866336823
1763260435.8777676,2248,0.00012832519132643938,,0.010734393261373043,0.4775090217590332,593.0,0.0010153083130717278,0.0,0.0001750383962644264,,-0.47148048877716064,377.4429705142975,208384,0.0025731101632118225
1763260436.0497122,2250,186.3590850830078,,-0.0006732437759637833,0.46717268228530884,593.0,9.412504732608795e-05,0.0,0.0001749615912558511,,0.00012749433517456055,377.6149151325226,208512,-0.001668684184551239
1763260436.4569058,2253,0.0001128232543123886,,0.002772112376987934,0.5163031220436096,594.0,0.00011741276830434799,0.0,0.00017473117623012513,,-0.7075698375701904,378.02210879325867,208896,-0.0019299425184726715
1763260438.6315348,2272,,500.0,,,,,,,500.0,,380.19673776626587,210908,
1763260439.5590727,2280,0.0002393092872807756,,0.013338379561901093,0.48316019773483276,596.0,0.002424139529466629,0.0,0.0001730414805933833,,-0.01788163185119629,381.1242756843567,211712,-0.011844836175441742
1763260441.2850366,2295,0.00014399029896594584,,0.012004492804408073,0.5206498503684998,598.0,0.005830396898090839,0.0078125,0.00017211982049047947,,0.22366780042648315,382.85023951530457,213248,-0.05105616897344589
1763260441.5780933,2298,465.67919921875,,0.00018470827490091324,0.4954630136489868,598.0,0.00024673063308000565,0.0,0.00017196621047332883,,0.0003026127815246582,383.14329624176025,213504,0.0033191367983818054
1763260442.9999347,2310,0.00018462288426235318,,0.000813155435025692,0.5170214772224426,599.0,0.0004789372906088829,0.0,0.00017119816038757563,,-0.37006890773773193,384.5651376247406,214784,0.009753040969371796
1763260443.1722684,2312,489.4245300292969,,-0.0015581948682665825,0.5220655202865601,599.0,0.00015047471970319748,0.0,0.0001711213553790003,,0.00013214349746704102,384.7374713420868,214912,-0.00032084062695503235
1763260443.8831515,2318,0.0040723602287471294,,-0.0015173284336924553,0.5203920602798462,600.0,0.0008133435621857643,0.0,0.0001707373303361237,,0.22796779870986938,385.44835448265076,215552,-0.00043198466300964355
1763260444.318813,2322,261.7598876953125,,-0.004284747876226902,0.496291846036911,600.0,0.0001928163692355156,0.0,0.00017050691531039774,,8.51750373840332e-05,385.8840160369873,215936,-0.00034870952367782593
1763260444.6336126,2324,0.0002708171959966421,,-0.00013677403330802917,0.5494216680526733,600.0,2.5507062673568726e-05,0.0,0.0001703533052932471,,-0.1654949188232422,386.19881558418274,216192,0.0013446137309074402
1763260445.127716,2329,0.00018145200738217682,,-0.008230386301875114,0.5116540193557739,601.0,0.001122279092669487,0.0,0.00017004608525894582,,-0.4292593002319336,386.6929190158844,216704,-0.01138053834438324
1763260446.2631505,2339,8.880760287865996e-05,,0.0029142145067453384,0.5053070187568665,602.0,0.00022498704493045807,0.0,0.00016943164519034326,,-0.08024740219116211,387.8283534049988,217728,-0.006214374676346779
1763260446.7091923,2343,0.0037395667750388384,,-0.0012483689934015274,0.5026718974113464,602.0,2.080760896205902e-05,0.0,0.0001692012301646173,,0.0960196852684021,388.27439522743225,218112,-0.0015872195363044739
1763260447.2503743,2348,0.005897320806980133,,-0.0012582968920469284,0.5147147178649902,603.0,0.00044089555740356445,0.0,0.00016889401013031602,,0.06829994916915894,388.81557726860046,218624,-0.0007381811738014221
1763260447.9552243,2354,0.0001984554110094905,,-0.0016136523336172104,0.528532862663269,603.0,0.00029481761157512665,0.0,0.00016850998508743942,,0.2924298644065857,389.52042722702026,219264,-0.0028592124581336975
1763260448.9284565,2363,0.0019956636242568493,,0.005025959573686123,0.5617687702178955,604.0,0.00027728360146284103,0.0,0.00016797235002741218,,-0.13962984085083008,390.4936594963074,220160,-0.0025832056999206543
1763260451.8149998,2389,0.0001341527240583673,,-0.004205428063869476,0.5377098321914673,607.0,0.00016470067203044891,0.0,0.00016635944484733045,,-0.20030391216278076,393.38020277023315,222848,0.0019316039979457855
1763260452.4083586,2394,0.0001523657701909542,,-0.0006862916052341461,0.567854642868042,607.0,0.0006100814789533615,0.0,0.00016605222481302917,,0.18930447101593018,393.97356152534485,223360,0.0033858567476272583
