charts/learning_rate,global_step,_timestamp,losses/clipfrac,_step,losses/explained_variance,charts/episodic_length,charts/SPS,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_return,losses/value_loss,_runtime,losses/entropy
0.00024124424089677632,98048,1763260285.7310991,0.009765625,1234,-0.2145678997039795,,487.0,-0.002704039216041565,0.0020707566291093826,0.0009068064391613007,,0.00424060458317399,227.2946581840515,0.48150092363357544
0.00024055299581959844,99200,1763260287.1261327,0.0,1245,-0.24960637092590332,,490.0,-0.0010385960340499878,0.00013455934822559357,-5.887821316719055e-06,,0.00066440983209759,228.68969178199768,0.5279066562652588
0.0002400153607595712,100096,1763260288.1994581,0.0,1254,0.05622309446334839,,492.0,-0.006528766825795174,0.0010521365329623222,-0.0004298212006688118,,0.0030112131498754025,229.7630171775818,0.49527403712272644
,101873,1763260290.2286232,,1271,,500.0,,,,,500.0,,231.79218220710754,
0.00023725038045085967,104704,1763260295.669284,0.005859375,1299,-0.07561647891998291,,496.0,-0.006099201738834381,0.002766091376543045,0.0018160324543714523,,0.00021051487419754267,237.23284316062927,0.5311911106109619
0.00023479262017644942,108800,1763260302.8660064,0.00390625,1339,-0.10654640197753906,,498.0,0.002098768949508667,0.0022796159610152245,-0.01457593496888876,,0.0002454943605698645,244.4295654296875,0.5324697494506836
,108873,1763260302.9061182,,1340,,500.0,,,,,500.0,,244.46967720985413,
0.00023417819465976208,109824,1763260304.1250849,0.0,1349,-0.09591197967529297,,500.0,0.006482526659965515,0.0011839717626571655,-0.008743224665522575,,0.00010680360719561577,245.68864393234253,0.5322848558425903
0.00023333333956543356,111232,1763260305.9217775,0.0,1363,-0.30742406845092773,,503.0,-0.004819430410861969,0.002248736098408699,0.008900744840502739,,0.0005048769526183605,247.48533654212952,0.5425717830657959
,111373,1763260306.10604,,1365,,500.0,,,,,500.0,,247.6695990562439,
,111873,1763260306.7738702,,1370,,500.0,,,,,500.0,,248.33742928504944,
0.0002323348744539544,112896,1763260308.0301573,0.0,1380,-0.0002014636993408203,,505.0,-0.005034405738115311,0.0011399677023291588,-0.002359914593398571,,252.8874969482422,249.59371638298035,0.5957605838775635
,112953,1763260308.0636785,,1381,,80.0,,,,,80.0,,249.62723755836487,
0.0002319508494110778,113536,1763260308.8986716,0.0,1388,-0.02859950065612793,,506.0,0.0012975633144378662,7.15348869562149e-05,-0.0024998411536216736,,0.006185333244502544,250.46223068237305,0.5993459820747375
0.0002315668243682012,114176,1763260309.6913126,0.0,1395,0.0018707513809204102,,507.0,0.0034932754933834076,0.00016592629253864288,-0.004983432590961456,,168.86361694335938,251.25487160682678,0.5690481662750244
,114622,1763260310.1825645,,1399,,500.0,,,,,500.0,,251.7461235523224,
0.00023095238429959863,115200,1763260310.9808133,0.0,1405,-7.343292236328125e-05,,509.0,0.0061626136302948,0.0006930241361260414,0.003873114474117756,,530.5350341796875,252.54437232017517,0.48726868629455566
0.0002292626741109416,118016,1763260314.101737,0.0,1432,-0.11154019832611084,,514.0,0.001602068543434143,0.0001729307696223259,-0.0014635594561696053,,9.716514614410698e-05,255.66529607772827,0.5299906730651855
,118122,1763260314.138588,,1433,,500.0,,,,,500.0,,255.70214700698853,
0.00022788018395658582,120320,1763260316.7122731,0.0,1455,-0.9132710695266724,,518.0,-0.0005995370447635651,0.00015876907855272293,0.008209780789911747,,0.002561036730185151,258.2758321762085,0.5465516448020935
0.0002278033789480105,120448,1763260316.9659045,0.02734375,1456,0.45894134044647217,,518.0,-0.059705741703510284,0.00643756240606308,0.019347716122865677,,0.00042863452108576894,258.5294635295868,0.44435298442840576
0.00022772657393943518,120576,1763260317.1994736,0.01953125,1457,-0.6502426862716675,,518.0,-0.02831043303012848,0.004705370403826237,0.008033026941120625,,0.00025649918825365603,258.76303267478943,0.4398340880870819
0.00022427034855354577,126336,1763260327.4138703,0.0,1514,0.04676908254623413,,520.0,0.0002235155552625656,0.0004047844558954239,0.002118891105055809,,0.003809799440205097,268.9774293899536,0.5417382121086121
0.00022380951850209385,127104,1763260328.4294164,0.00390625,1521,-0.3026859760284424,,521.0,-0.011697135865688324,0.0039052432402968407,-0.008855015970766544,,6.209347338881344e-05,269.99297547340393,0.5222102403640747
