_runtime,losses/entropy,losses/clipfrac,losses/approx_kl,_timestamp,losses/policy_loss,charts/episodic_length,_step,losses/old_approx_kl,charts/learning_rate,charts/SPS,global_step,losses/value_loss,charts/episodic_return,losses/explained_variance
559.7369689941406,0.5326943397521973,0.0,6.635487079620361e-05,1763260618.17164,-0.0013860389590263367,,3807,0.0017657019197940826,8.026113937376067e-05,687.0,366336,0.00042674035648815334,,0.19935506582260132
563.9015448093414,,,,1763260622.3362157,,500.0,3847,,,,370385,,500.0,
567.3307816982269,0.47169721126556396,0.0,1.0015442967414856e-05,1763260625.7654526,-0.0001855716109275818,,3879,0.0007320661097764969,7.588325388496742e-05,690.0,373632,0.0032577780075371265,,-0.04529404640197754
567.7557666301727,0.5623583197593689,0.0,0.00036051496863365173,1763260626.1904376,-0.005499359220266342,,3883,-0.0012158751487731934,7.565283885924146e-05,691.0,374016,0.003333109663799405,,0.8612814545631409
567.8848876953125,0.4879615604877472,0.0,5.292706191539764e-06,1763260626.3195586,0.0003409832715988159,,3884,-0.0008103279396891594,7.557603385066614e-05,691.0,374144,0.000578679027967155,,0.038000643253326416
568.1651074886322,0.5009685158729553,0.0,5.270354449748993e-06,1763260626.5997784,-0.000703468918800354,,3887,-0.00023543182760477066,7.54224238335155e-05,691.0,374400,167.47119140625,,-0.0001780986785888672
568.6165719032288,,,,1763260627.0512428,,500.0,3891,,,,374885,,500.0,
569.3505747318268,0.5068449974060059,0.0,6.511155515909195e-05,1763260627.7852457,-0.0025825239717960358,,3898,-0.0035699112340807915,7.473118603229523e-05,691.0,375552,0.002818034030497074,,0.30391520261764526
570.8037288188934,0.528978168964386,0.0,2.0209699869155884e-07,1763260629.2383997,1.862645149230957e-07,,3912,0.00012675579637289047,7.38863309379667e-05,692.0,376960,255.90757751464844,,0.0010488629341125488
571.1854138374329,0.5203080773353577,0.0,0.00010191835463047028,1763260629.6200848,0.0015293359756469727,,3915,0.0028041452169418335,7.365591591224074e-05,692.0,377344,0.0002756691537797451,,0.8142356872558594
572.5392262935638,0.45503509044647217,0.0,2.049468457698822e-05,1763260630.9738972,-0.0010112645104527473,,3928,0.003263421356678009,7.288786582648754e-05,693.0,378624,0.0034597543999552727,,-4.378973007202148
574.24249792099,0.4211997985839844,0.0,0.0002690311521291733,1763260632.6771688,-0.003872305154800415,,3944,-0.005608841776847839,7.188940071500838e-05,694.0,380288,0.0005446667200885713,,-0.16984891891479492
574.2769088745117,,,,1763260632.7115798,,500.0,3945,,,,380385,,500.0,
574.3728156089783,0.5576564073562622,0.0,7.121171802282333e-05,1763260632.8074865,0.0019737519323825836,,3946,0.0009411731734871864,7.181259570643306e-05,694.0,380416,274.32354736328125,,9.906291961669922e-05
575.2901525497437,0.5482005476951599,0.0,0.00011161435395479202,1763260633.7248235,-0.0016798973083496094,,3954,-0.000614936463534832,7.127496064640582e-05,694.0,381312,0.00032562934211455286,,0.7067545652389526
576.2423746585846,0.46541446447372437,0.0,0.00010665412992238998,1763260634.6770456,0.000949174165725708,,3963,-0.0003991043195128441,7.073732558637857e-05,695.0,382208,0.0011884067207574844,,-0.5905365943908691
576.8774483203888,0.49845853447914124,0.0,2.1085143089294434e-05,1763260635.3121192,0.0019508842378854752,,3969,0.002302994951605797,7.035330054350197e-05,695.0,382848,0.0005721458583138883,,-0.78153395652771
578.0637629032135,0.5673375725746155,0.0,4.741735756397247e-05,1763260636.4984338,-0.00041576847434043884,,3981,0.0010459162294864655,6.966205546632409e-05,696.0,384000,435.3399658203125,,0.0012083053588867188
578.32923579216,0.4950197637081146,0.0,6.593763828277588e-05,1763260636.7639067,-0.0007435083389282227,,3983,0.0012909919023513794,6.950844544917345e-05,696.0,384256,0.0007926055695861578,,-0.9381639957427979
579.7033762931824,0.518917977809906,0.0,0.00017669424414634705,1763260638.1380472,0.0005979128181934357,,3997,0.0051637012511491776,6.866359763080254e-05,697.0,385664,0.0004161234537605196,,-0.9167299270629883
581.9757676124573,0.4769020080566406,0.0,0.000107545405626297,1763260640.4104385,-0.001898929476737976,,4020,0.0020763762295246124,6.728110747644678e-05,698.0,387968,381.1148376464844,,0.0005077719688415527
585.9274988174438,0.5457488298416138,0.0,3.952253609895706e-05,1763260644.3621697,-0.0007371567189693451,,4059,0.0020904215052723885,6.490015221061185e-05,700.0,391936,388.3658447265625,,0.0013338923454284668
588.7741937637329,0.49083012342453003,0.0,0.000510101206600666,1763260647.2088647,-0.009437557309865952,,4087,0.0059126270934939384,6.313363701337948e-05,702.0,394880,0.0004840869805775583,,0.28760355710983276
589.1532015800476,0.5714220404624939,0.0,0.0010571656748652458,1763260647.5878725,-0.013547725975513458,,4091,0.007901257835328579,6.290322926361114e-05,702.0,395264,0.000838810985442251,,-1.2556891441345215
590.5017354488373,0.5436280965805054,0.0,0.00011793151497840881,1763260648.9364064,-0.0019370131194591522,,4105,-0.002278074622154236,6.205837416928262e-05,703.0,396672,0.0007355817942880094,,0.12196606397628784
590.8672688007355,0.4866257905960083,0.0,0.00010304059833288193,1763260649.3019397,-0.005131389945745468,,4109,-0.0010660002008080482,6.182795914355665e-05,703.0,397056,0.0032893717288970947,,-0.7775605916976929
591.5391023159027,0.5278052687644958,0.0,0.00013890396803617477,1763260649.9737732,-0.0018495786935091019,,4115,-0.00428082887083292,6.144393410068005e-05,703.0,397696,0.0007826522924005985,,-0.44457340240478516
591.9060051441193,0.5482898950576782,0.0,0.0001799529418349266,1763260650.340676,-0.00218963623046875,,4119,-5.781184881925583e-05,6.121351907495409e-05,704.0,398080,0.002469419501721859,,0.790562093257904
594.408145904541,0.4900442361831665,0.0,0.0003752373158931732,1763260652.8428168,-0.010349171236157417,,4144,-0.005577566102147102,5.967741890344769e-05,705.0,400640,0.0006768935127183795,,-1.3555729389190674
594.9863312244415,0.5043285489082336,0.0,5.957949906587601e-05,1763260653.4210021,0.0018488168716430664,,4150,-0.0011897319927811623,5.9293393860571086e-05,705.0,401280,0.0003384292358532548,,0.19009733200073242
596.7775437831879,0.47747501730918884,0.0,0.00016265083104372025,1763260655.2122147,-0.0033645331859588623,,4168,0.006331273354589939,5.821812737849541e-05,706.0,403072,0.002439789939671755,,0.5271660685539246
598.3353817462921,0.5304521918296814,0.0,4.083476960659027e-05,1763260656.7700527,-0.0005423538386821747,,4184,-0.002490714192390442,5.721966226701625e-05,707.0,404736,0.0007134578772820532,,0.03850370645523071
599.3577401638031,0.48107752203941345,0.0,0.00021187122911214828,1763260657.792411,-0.002081841230392456,,4194,-0.005242080427706242,5.6605222198413685e-05,708.0,405760,0.0007956621702760458,,0.13912469148635864
599.8506307601929,0.5526918768882751,0.0,4.164222627878189e-05,1763260658.2853017,0.0007466673851013184,,4199,0.0007699830457568169,5.6298002164112404e-05,708.0,406272,0.0006963666528463364,,-1.8997516632080078
602.3598947525024,0.47792160511016846,0.0,0.00033049192279577255,1763260660.7945657,-0.008781444281339645,,4224,0.005808438174426556,5.4761905630584806e-05,709.0,408832,0.0005823176470585167,,0.4315200448036194
602.8497273921967,0.5232904553413391,0.0,0.0003436896950006485,1763260661.2843983,-0.006772305816411972,,4229,0.00380156934261322,5.4454685596283525e-05,710.0,409344,0.0006831487407907844,,0.31429219245910645
604.2646498680115,0.5023719668388367,0.0,2.4493783712387085e-06,1763260662.6993208,-0.00025877729058265686,,4243,0.00021077319979667664,5.3609830501955e-05,710.0,410752,0.0007854181458242238,,-0.9206830263137817
604.4962005615234,0.47407978773117065,0.0,4.801712930202484e-05,1763260662.9308715,-0.002090945839881897,,4246,0.005595572292804718,5.345622048480436e-05,711.0,411008,151.94290161132812,,0.0007676482200622559
605.1298706531525,0.5152919292449951,0.0,4.169624298810959e-05,1763260663.5645416,-0.0009115338325500488,,4252,0.004117676056921482,5.307219544192776e-05,711.0,411648,0.000621479470282793,,0.18859678506851196
605.2890932559967,,,,1763260663.7237642,,500.0,4254,,,,411885,,500.0,
