losses/entropy,losses/value_loss,charts/episodic_length,_runtime,losses/approx_kl,charts/learning_rate,losses/explained_variance,charts/SPS,losses/clipfrac,_step,losses/policy_loss,charts/episodic_return,global_step,_timestamp,losses/old_approx_kl
0.5690572261810303,0.000599260616581887,,195.37256169319153,0.00965497363358736,0.0002460061514284462,-0.4408336877822876,533.0,0.025390625,1083,-0.013790056109428406,,90112,1763260253.7084107,-0.019819416105747223
0.5066779851913452,104.80728149414062,,196.7965111732483,0.0003134133294224739,0.00024554532137699425,-0.00030541419982910156,533.0,0.0,1091,0.002550942823290825,,90880,1763260255.1323602,0.003497631289064884
0.5015349984169006,0.00510758301243186,,199.52603673934937,8.828006684780121e-05,0.0002446236612740904,-0.38128769397735596,534.0,0.0,1106,-0.0014534629881381989,,92416,1763260257.8618858,0.0018045678734779358
0.5520926713943481,0.0002065217704512179,,201.6209318637848,0.00012292806059122086,0.0002438556111883372,-0.1503516435623169,534.0,0.0,1118,0.001880444586277008,,93696,1763260259.956781,-0.0013409918174147606
0.5731415152549744,260.9879455566406,,202.44620561599731,0.00021011941134929657,0.0002434715861454606,-0.0002713203430175781,536.0,0.0,1125,0.0015463829040527344,,94336,1763260260.7820547,-0.005835013464093208
0.5183897018432617,0.0005012213950976729,,203.55126810073853,0.005899267271161079,0.00024293395108543336,-2.004345178604126,537.0,0.021484375,1133,0.017850354313850403,,95232,1763260261.8871171,-0.016107961535453796
0.40393513441085815,0.0005239565507508814,,205.55565786361694,0.0007899310439825058,0.00024216590099968016,-0.28746628761291504,538.0,0.0,1145,-0.002337891608476639,,96512,1763260263.891507,0.010168496519327164
0.46539655327796936,0.008969533257186413,,208.67965030670166,7.97901302576065e-05,0.00024101382587105036,-0.045095086097717285,540.0,0.0,1164,0.0027680806815624237,,98432,1763260267.0154994,0.0006649810820817947
0.41738560795783997,0.0004612427728716284,,208.87215375900269,0.0024082837626338005,0.00024093702086247504,-0.5897935628890991,540.0,0.0,1165,-0.0003035739064216614,,98560,1763260267.2080028,-0.006405672989785671
,,500.0,209.97541666030884,,,,,,1172,,500.0,99256,1763260268.3112657,
0.47739240527153015,0.0002766438410617411,,211.6029052734375,0.0007186988368630409,0.00023993855575099587,0.02695375680923462,541.0,0.00390625,1181,-0.002637997269630432,,100224,1763260269.9387543,0.006225262768566608
0.4693111777305603,0.00017086738080251962,,212.3903033733368,0.0017992984503507614,0.0002396313357166946,-0.1507399082183838,541.0,0.00390625,1186,-0.013498306274414062,,100736,1763260270.7261524,0.014085246250033379
0.4412316083908081,131.67909240722656,,213.79745960235596,0.0013188784942030907,0.00023901689564809203,-0.00025475025177001953,543.0,0.001953125,1197,0.006359517574310303,,101760,1763260272.1333086,-0.017335988581180573
