charts/episodic_length,_runtime,global_step,charts/SPS,losses/value_loss,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,charts/learning_rate,charts/episodic_return,losses/entropy,losses/approx_kl,_timestamp,losses/clipfrac
,139.88743829727173,54272,478.0,1.1915514469146729,0.09133356809616089,-0.002169109880924225,-0.0011881906539201736,729,0.0002675115247257054,,0.5050204992294312,2.6479363441467285e-05,1763260198.3242733,0.0
,145.68500351905823,57088,478.0,160.98208618164062,0.0006196498870849609,-0.00021868199110031128,0.00677501130849123,757,0.00026582181453704834,,0.5735918879508972,0.0001828828826546669,1763260204.1218386,0.0
,146.69358921051025,57600,478.0,416.9526062011719,0.005173981189727783,-0.0015620142221450806,0.0009365379810333252,762,0.00026551459450274706,,0.49826037883758545,0.00025036372244358063,1763260205.1304243,0.0
,147.71510815620422,58112,478.0,183.4475860595703,0.01536548137664795,-0.0006309710443019867,-0.0053002359345555305,767,0.0002652073744684458,,0.5557457208633423,0.00048517901450395584,1763260206.1519432,0.0
,149.28224682807922,58880,479.0,210.89920043945312,0.10322219133377075,-0.003991162404417992,-0.0014681508764624596,775,0.00026474654441699386,,0.5258444547653198,0.0006071543321013451,1763260207.7190819,0.0
,151.98592925071716,60288,479.0,0.16034258902072906,-0.8073090314865112,0.0013269595801830292,-0.0006845975294709206,788,0.00026390168932266533,,0.570488452911377,0.0008716443553566933,1763260210.4227643,0.0
,153.76500177383423,61184,480.0,0.06184474751353264,0.075436532497406,-0.00832831859588623,-0.0007609231397509575,797,0.0002633640542626381,,0.5482640266418457,0.000269581563770771,1763260212.2018368,0.0
,155.3624701499939,61952,480.0,233.13909912109375,0.0010051727294921875,-0.0021535009145736694,0.00028464291244745255,806,0.00026290322421118617,,0.5942548513412476,2.916622906923294e-05,1763260213.7993052,0.0
,157.1267397403717,62848,480.0,0.03305065259337425,-0.0032442808151245117,0.005854383111000061,0.0002795923501253128,815,0.00026236558915115893,,0.6286559104919434,0.00024004466831684113,1763260215.5635748,0.0
,166.60083484649658,67584,481.0,0.0035798309836536646,-0.030231356620788574,0.0014496520161628723,0.010120288468897343,863,0.0002595238038338721,,0.517253577709198,0.0016942964866757393,1763260225.03767,0.005859375
,168.39105129241943,68480,482.0,447.30364990234375,-0.0003268718719482422,0.001996740698814392,0.0010516941547393799,872,0.00025898616877384484,,0.5209802389144897,0.0006019007414579391,1763260226.8278863,0.0
500.0,169.16400384902954,68907,,,,,,876,,500.0,,,1763260227.600839,
,178.63555216789246,73600,483.0,0.0034698264207690954,0.16402292251586914,-0.0004059150815010071,0.006155908107757568,922,0.00025591396843083203,,0.5371509194374084,0.00011751800775527954,1763260237.0723872,0.0
500.0,180.1586856842041,74407,,,,,,930,,500.0,,,1763260238.5955207,
,181.87824273109436,75264,483.0,0.000519322871696204,-0.2892094850540161,-0.011860549449920654,-0.008975481614470482,938,0.00025491550331935287,,0.5014387369155884,0.0029058363288640976,1763260240.3150778,0.001953125
,182.4270839691162,75520,483.0,92.325927734375,-0.00010597705841064453,0.003482602536678314,-0.003143192268908024,941,0.0002547618933022022,,0.5005032420158386,0.00044146832078695297,1763260240.863919,0.0
,182.67552089691162,75648,483.0,0.003286810824647546,0.2736557126045227,-0.010496292263269424,0.0061839912086725235,942,0.0002546850882936269,,0.4416404962539673,0.002950427122414112,1763260241.112356,0.001953125
,183.9499273300171,76288,484.0,0.00021452848159242421,-0.04098856449127197,0.00027182698249816895,0.0031438469886779785,948,0.0002543010632507503,,0.4811820983886719,0.0006196405738592148,1763260242.3867624,0.0
500.0,189.09539771080017,78907,,,,,,974,,500.0,,,1763260247.5322328,
,190.35108876228333,79488,484.0,490.01214599609375,0.00010693073272705078,0.005476692691445351,0.0019443202763795853,980,0.0002523809380363673,,0.5166798830032349,0.0004041474312543869,1763260248.7879238,0.0
,191.41760349273682,80000,484.0,370.4355773925781,-0.0003037452697753906,7.585063576698303e-05,-0.001508832909166813,985,0.0002520737471058965,,0.5350567698478699,1.1975876986980438e-05,1763260249.8544385,0.0
,193.49306797981262,81024,484.0,482.6018981933594,-7.963180541992188e-05,-0.0042319707572460175,0.005093331448733807,995,0.0002514593070372939,,0.4667518436908722,0.002488379366695881,1763260251.929903,0.0
,193.99028944969177,81280,484.0,0.0006139485631138086,-0.05050313472747803,0.0017140768468379974,0.006951961666345596,997,0.00025130569702014327,,0.531731128692627,0.0016070157289505005,1763260252.4271245,0.001953125
,197.6560254096985,83072,484.0,0.005217920057475567,-0.543188214302063,-0.010829828679561615,0.0023481836542487144,1015,0.0002502304269000888,,0.5175488591194153,0.002621888183057308,1763260256.0928605,0.001953125
,198.66226649284363,83584,485.0,0.004409866873174906,0.19292128086090088,-0.007029548287391663,-0.007650756277143955,1020,0.0002499232068657875,,0.5176058411598206,0.0010389303788542747,1763260257.0991015,0.0
,200.89138174057007,84736,485.0,0.0006071853567846119,-0.28209519386291504,-0.01949314773082733,0.0036342162638902664,1031,0.0002492319617886096,,0.5480942130088806,0.002507004886865616,1763260259.3282168,0.0
,203.39012789726257,86656,489.0,0.004689301364123821,0.02271205186843872,0.0033862926065921783,0.012717966921627522,1050,0.0002480798866599798,,0.5432754158973694,0.0005676122382283211,1763260261.826963,0.0
,203.70764636993408,86912,490.0,133.92999267578125,8.52346420288086e-05,-0.009850811213254929,-0.008767595514655113,1053,0.0002479262766428292,,0.5553995966911316,0.0008266642689704895,1763260262.1444814,0.0
,204.34260177612305,87424,491.0,584.0162353515625,-0.00027883052825927734,-0.0020373910665512085,0.004520470276474953,1058,0.0002476190566085279,,0.47928857803344727,0.0005073174834251404,1763260262.7794368,0.0
