charts/SPS,losses/clipfrac,charts/episodic_length,losses/approx_kl,_step,losses/value_loss,losses/entropy,charts/learning_rate,losses/old_approx_kl,_runtime,charts/episodic_return,global_step,losses/explained_variance,losses/policy_loss,_timestamp
,,500.0,,775,,,,,148.42374086380005,500.0,60741,,,1763260206.8837729
499.0,0.0,,0.0018888022750616074,788,0.0398862324655056,0.5827276110649109,0.00026282641920261085,0.004813244566321373,151.01105046272278,,62080,0.3749244809150696,0.01889333873987198,1763260209.4710824
499.0,0.01171875,,0.005907968617975712,789,0.04042999818921089,0.494127482175827,0.00026274961419403553,-0.01712561398744583,151.25909113883972,,62208,-0.10602939128875732,-0.0018936507403850555,1763260209.7191231
499.0,0.0,,0.0005303053185343742,797,0.06466187536716461,0.48491814732551575,0.0002622887841425836,-0.001654808409512043,152.76451182365417,,62976,-0.14135098457336426,-0.0036018937826156616,1763260211.2245438
499.0,0.0,,0.00047594867646694183,806,0.032758891582489014,0.5154892206192017,0.00026175114908255637,-0.012053657323122025,154.5076949596405,,63872,0.1933283805847168,0.0015973858535289764,1763260212.967727
499.0,0.0,,0.0006369771435856819,815,339.52008056640625,0.5495272278785706,0.0002612135140225291,-0.006799899972975254,156.24923467636108,,64768,-0.00030541419982910156,-0.008292175829410553,1763260214.7092667
501.0,0.0,,0.0005414597690105438,863,0.38344767689704895,0.5063533782958984,0.0002584485337138176,-0.010528761893510818,165.08153080940247,,69376,0.6951791644096375,-0.0007402300834655762,1763260223.5415628
,,255.0,,872,,,,,166.4925935268402,255.0,70048,,,1763260224.9526255
500.0,0.0078125,,0.0035739168524742126,876,201.3470916748047,0.5175819396972656,0.00025783409364521503,0.001895863562822342,167.24345088005066,,70400,0.5662846565246582,-0.03270266205072403,1763260225.7034829
,,500.0,,916,,,,,175.2748773097992,500.0,74588,,,1763260233.7349093
501.0,0.0,,5.483999848365784e-05,922,371.61639404296875,0.4529443085193634,0.0002549923083279282,-6.513670086860657e-06,176.48250269889832,,75136,0.0042105913162231445,-0.0001261383295059204,1763260234.9425347
,,500.0,,930,,,,,177.98441243171692,500.0,76018,,,1763260236.4444444
501.0,0.0,,0.0006692968308925629,938,0.001189542468637228,0.5215773582458496,0.000253993843216449,0.006519131362438202,179.6913137435913,,76800,-0.581730842590332,0.0016307048499584198,1763260238.1513457
501.0,0.0,,0.0008145393803715706,941,540.3455200195312,0.5368814468383789,0.0002538402331992984,-0.002007092349231243,180.19249844551086,,77056,0.001263737678527832,-0.009846800938248634,1763260238.6525304
501.0,0.0,,1.4458782970905304e-05,942,0.0022053399588912725,0.5229611992835999,0.00025376342819072306,0.0019947299733757973,180.40111303329468,,77184,0.029967784881591797,0.0012955144047737122,1763260238.861145
502.0,0.0,,0.00015651527792215347,948,0.000794948311522603,0.514144778251648,0.00025337940314784646,-0.001577223651111126,181.59380841255188,,77824,0.48849451541900635,-0.0008628629148006439,1763260240.0538404
502.0,0.001953125,,0.000540868379175663,974,5.388373392634094e-05,0.5934081673622131,0.0002517665270715952,-0.0027167508378624916,186.7206325531006,,80512,-0.01700139045715332,0.002988390624523163,1763260245.1806645
502.0,0.0,,0.00019360054284334183,980,412.2456970214844,0.5266108512878418,0.0002514593070372939,0.003529605455696583,187.76134371757507,,81024,-0.00018930435180664062,-0.004657387733459473,1763260246.2213757
502.0,0.0,,0.0003978777676820755,985,207.42031860351562,0.4913822412490845,0.00025115208700299263,8.439458906650543e-05,188.7451572418213,,81536,-0.0009282827377319336,0.006320744752883911,1763260247.2051892
502.0,0.0,,0.0006968574598431587,995,286.0311279296875,0.5377205610275269,0.00025053764693439007,0.007435577921569347,190.7791404724121,,82560,0.000544130802154541,0.005089297890663147,1763260249.2391725
503.0,0.0,,0.0006193025037646294,997,0.0007407197845168412,0.5626137852668762,0.00025038403691723943,-0.0006045019254088402,191.2586088180542,,82816,-0.19623959064483643,-0.009518209844827652,1763260249.7186408
503.0,0.0,,0.0011238185688853264,1015,413.7301940917969,0.5749294757843018,0.00024930876679718494,0.003166018985211849,194.7927167415619,,84608,-0.00018930435180664062,-0.002071179449558258,1763260253.2527487
503.0,0.0,,0.0012367330491542816,1020,358.10308837890625,0.533355176448822,0.00024900154676288366,0.001885056495666504,195.781325340271,,85120,-0.00037109851837158203,-0.019366715103387833,1763260254.2413573
503.0,0.029296875,,0.0060727559030056,1031,0.000257646112004295,0.5124255418777466,0.0002483103016857058,0.04936259984970093,197.95542430877686,,86272,-0.0011206865310668945,-0.03398571535944939,1763260256.4154563
504.0,0.0,,0.004142334684729576,1050,0.004695165902376175,0.4834929406642914,0.000247158226557076,0.0070610009133815765,201.39966821670532,,88192,-0.04280364513397217,-0.033478185534477234,1763260259.8597002
,,500.0,,1053,,,,,201.7410717010498,500.0,88518,,,1763260260.2011037
,,500.0,,1058,,,,,202.31795835494995,500.0,89018,,,1763260260.7779903
,,500.0,,1082,,,,,205.65785598754883,500.0,91518,,,1763260264.117888
510.0,0.0,,0.00019088387489318848,1083,223.6682586669922,0.5758528709411621,0.00024516129633411765,0.0005485732108354568,205.863023519516,,91520,0.0009946227073669434,-0.0015493780374526978,1763260264.3230555
511.0,0.0,,0.0007956987246870995,1091,0.00012506425264291465,0.5248523354530334,0.0002446236612740904,0.0049286531284451485,207.28785181045532,,92416,0.5691856145858765,0.008219407871365547,1763260265.7478838
512.0,0.0,,0.0020995326340198517,1106,0.0002534026571083814,0.4858155846595764,0.00024370200117118657,0.020316854119300842,209.9407958984375,,93952,-1.586228609085083,-0.019295010715723038,1763260268.400828
513.0,0.0,,5.587190389633179e-05,1118,645.1879272460938,0.5288325548171997,0.00024301075609400868,-0.001401655375957489,212.00888681411743,,95104,-5.614757537841797e-05,-0.0020582955330610275,1763260270.4689188
514.0,0.001953125,,0.0017079487442970276,1125,0.0007695472449995577,0.46916472911834717,0.00024254992604255676,-0.008172418922185898,213.0762903690338,,95872,-0.11776900291442871,-0.012166246771812439,1763260271.5363224
515.0,0.0,,3.299582749605179e-05,1133,357.5235290527344,0.48756635189056396,0.00024208909599110484,-0.00044372212141752243,214.00726103782654,,96640,0.00012093782424926758,-0.0007284209132194519,1763260272.467293
518.0,0.025390625,,0.010118295438587666,1145,0.00012852184590883553,0.4447230100631714,0.00024132104590535164,0.0234468262642622,215.40570640563965,,97920,0.1835063099861145,-0.006027510389685631,1763260273.8657384
519.0,0.0,,1.4180317521095276e-05,1164,0.0005568119813688099,0.47633641958236694,0.00024016897077672184,0.0006244257092475891,218.68614196777344,,99840,-0.15001094341278076,-0.0004619769752025604,1763260277.146174
519.0,0.0,,0.00010720919817686081,1165,0.00019332015654072165,0.47183889150619507,0.00024009216576814651,0.0021837009117007256,218.91686749458313,,99968,0.01392287015914917,-0.0015499815344810486,1763260277.3768995
519.0,0.0,,0.00021090172231197357,1172,478.5365295410156,0.4443524181842804,0.00023970814072526991,-0.0007680617272853851,220.11232471466064,,100608,-3.361701965332031e-05,-0.0028416691347956657,1763260278.5723567
,,500.0,,1181,,,,,221.6470844745636,500.0,101518,,,1763260280.1071165
,,500.0,,1186,,,,,222.9987497329712,500.0,102018,,,1763260281.4587817
519.0,0.0,,0.0003472808748483658,1197,0.005507906898856163,0.502341091632843,0.0002381720405537635,0.005420880392193794,225.09364914894104,,103168,-0.09184694290161133,-0.01792028173804283,1763260283.5536811
