losses/approx_kl,losses/value_loss,global_step,losses/entropy,losses/explained_variance,_timestamp,losses/policy_loss,_runtime,charts/episodic_length,_step,losses/old_approx_kl,charts/SPS,charts/learning_rate,charts/episodic_return,losses/clipfrac
0.00019997823983430862,0.0002350782451685518,129664,0.3927990198135376,-0.12298226356506348,1763260205.9596562,0.0008325874805450439,178.30600214004517,,1638,0.0010400926694273949,742.0,0.00022227341833058745,,0.0
0.00432587880641222,2.1444589947350323e-05,134656,0.3582748472690582,0.1276286244392395,1763260214.2582133,0.001008313149213791,186.60455918312073,,1687,0.013082883320748806,735.0,0.00021927803754806519,,0.001953125
0.00025142915546894073,4.672939394367859e-05,139264,0.32631415128707886,0.09403616189956665,1763260221.9226604,-0.0005507282912731171,194.26900625228882,,1732,-0.0016991868615150452,730.0,0.00021651305723935366,,0.0
0.00016854144632816315,0.0031608836725354195,140544,0.4183659553527832,0.25950926542282104,1763260224.0138688,-0.00010216236114501953,196.3602147102356,,1745,-0.007557272911071777,729.0,0.00021574500715360045,,0.0
,,141338,,,1763260225.2766957,,197.62304162979126,500.0,1753,,,,500.0,
0.0004991739988327026,153.7334747314453,141440,0.35136857628822327,-3.159046173095703e-05,1763260225.4535372,0.002087622880935669,197.79988312721252,,1754,0.006631990894675255,728.0,0.0002152073720935732,,0.0
0.0002982094883918762,0.0005356469191610813,142592,0.3547130525112152,0.0690544843673706,1763260227.2886956,-0.004117768257856369,199.63504147529602,,1765,0.000985361635684967,727.0,0.00021451612701639533,,0.0
0.0006468342617154121,216.53712463378906,142848,0.3145003020763397,-5.137920379638672e-05,1763260227.728255,0.004657678306102753,200.0746009349823,,1768,0.002840089611709118,727.0,0.0002143625169992447,,0.0
,,143838,,,1763260229.1587892,,201.5051350593567,500.0,1777,,,,500.0,
0.0042714402079582214,0.005916104651987553,147968,0.3301923871040344,0.2666812539100647,1763260235.7096245,0.03180081397294998,208.05597043037415,,1818,-0.016709037125110626,723.0,0.00021129031665623188,,0.005859375
0.011828185990452766,0.005475431215018034,148480,0.35157495737075806,0.775336503982544,1763260236.5180662,0.0005649514496326447,208.86441206932068,,1823,-0.014527887105941772,723.0,0.0002109830966219306,,0.048828125
,,151338,,,1763260240.9098504,,213.25619626045227,500.0,1851,,,,500.0,
,,151838,,,1763260241.6968286,,214.04317450523376,500.0,1856,,,,500.0,
