_timestamp,charts/learning_rate,charts/episodic_return,losses/clipfrac,losses/approx_kl,_runtime,losses/entropy,charts/episodic_length,global_step,losses/value_loss,charts/SPS,_step,losses/explained_variance,losses/policy_loss,losses/old_approx_kl
1763260491.0271897,9.14746560738422e-05,,0.08984375,0.019379079341888428,430.7967267036438,0.22167009115219116,,347648,0.0004895431338809431,820.0,3981,0.9982370138168335,-0.051971495151519775,0.10190734267234802
1763260491.2163692,9.132104605669156e-05,,0.1875,0.043206069618463516,430.985906124115,0.2474936842918396,,347904,0.001697976840659976,821.0,3983,0.9480518698692322,-0.02199317328631878,0.044583551585674286
1763260492.478151,9.047619096236303e-05,,0.072265625,0.006191613152623177,432.24768805503845,0.1788385808467865,,349312,0.0007697158143855631,821.0,3997,0.9819685220718384,-0.043074704706668854,0.040751684457063675
1763260494.5612688,8.909370080800727e-05,,0.0,0.00016922689974308014,434.3308057785034,0.20694683492183685,,351616,0.0008752058492973447,823.0,4020,0.9994456171989441,-0.0013365689665079117,0.0013285055756568909
1763260498.2652652,8.663594780955464e-05,,0.0703125,0.01612609066069126,438.03480219841003,0.2392483800649643,,355712,0.0007312537636607885,825.0,4059,0.9980050325393677,-0.02612242102622986,0.03160391002893448
1763260500.787613,8.494623762089759e-05,,0.015625,0.004781403578817844,440.55714988708496,0.23186758160591125,,358528,0.038458697497844696,827.0,4087,0.13093477487564087,-0.0024401210248470306,0.017652597278356552
1763260501.1370666,,500.0,,,440.9066035747528,,500.0,358956,,,4091,,,
1763260502.5300388,8.379416249226779e-05,,0.0,0.00017723999917507172,442.29957580566406,0.2693842053413391,,360448,0.001769418828189373,828.0,4105,0.9225559234619141,-0.0018780417740345001,0.005975751206278801
1763260502.8671432,8.356374746654183e-05,,0.14453125,0.01970040798187256,442.6366801261902,0.17354252934455872,,360832,0.0011811513686552644,828.0,4109,0.9877628684043884,-0.019135143607854843,0.012601659633219242
1763260503.3464034,,500.0,,,443.1159403324127,,500.0,361456,,,4115,,,
