charts/SPS,_timestamp,charts/episodic_length,global_step,losses/old_approx_kl,losses/value_loss,losses/clipfrac,losses/policy_loss,_step,charts/learning_rate,losses/entropy,charts/episodic_return,losses/explained_variance,losses/approx_kl,_runtime
1077.0,1763260135.3960779,,125696,0.04939747601747513,0.0031976711470633745,0.04296875,-0.024449585005640984,1945,0.00022465437359642237,0.164323091506958,,0.38024353981018066,0.00904322974383831,123.63936877250671
1078.0,1763260136.6731014,,127104,0.007813050411641598,2.054910898208618,0.0,0.0012566335499286652,1959,0.00022380951850209385,0.1792583018541336,,-0.00011813640594482422,0.0006618695333600044,124.91639232635498
,1763260137.9539058,500.0,128556,,,,,1973,,,500.0,,,126.19719672203064
1078.0,1763260139.0863273,,129792,0.0024311989545822144,0.0012878243578597903,0.0,-0.00701393187046051,1985,0.00022219661332201213,0.18216289579868317,,-0.03659319877624512,0.0007446035742759705,127.32961821556091
1078.0,1763260139.6772745,,130432,0.0002839230000972748,0.0003798868565354496,0.0,3.6728568375110626e-05,1991,0.00022181260283105075,0.1963210105895996,,-0.15340709686279297,0.00026754289865493774,127.920565366745
,1763260140.6556668,500.0,131556,,,,,2002,,,500.0,,,128.8989577293396
,1763260141.0956476,500.0,132056,,,,,2007,,,500.0,,,129.33893847465515
1079.0,1763260141.9931908,,132992,0.012402176856994629,2.4100227165035903e-05,0.037109375,-0.0027471836656332016,2016,0.00022027650265954435,0.1319999098777771,,-0.1051492691040039,0.0038696154952049255,130.23648166656494
1079.0,1763260142.2161787,,133248,0.000863121822476387,0.0017424689140170813,0.0,0.00035798177123069763,2019,0.0002201228926423937,0.1264735460281372,,0.2960420250892639,0.00025327131152153015,130.45946955680847
1079.0,1763260142.694937,,133760,-0.004879441112279892,0.0007741433219052851,0.0,0.002947300672531128,2024,0.00021981567260809243,0.22871369123458862,,-0.08278763294219971,0.00038383714854717255,130.938227891922
,1763260142.9319644,500.0,134056,,,,,2027,,,500.0,,,131.1752552986145
1079.0,1763260143.61657,,134784,0.002430189400911331,0.00017745813238434494,0.01171875,-0.0004954840987920761,2034,0.00021920123253948987,0.12943150103092194,,-0.08983469009399414,0.00035543739795684814,131.8598608970642
1079.0,1763260144.6603065,,135936,0.0018122736364603043,3.554225622792728e-05,0.0,0.0026952214539051056,2045,0.00021850998746231198,0.23478199541568756,,-0.12937355041503906,0.00012078322470188141,132.90359735488892
,1763260145.1419027,500.0,136556,,,,,2051,,,500.0,,,133.3851935863495
1080.0,1763260145.2163632,,136576,0.0007120547816157341,0.016170432791113853,0.015625,0.0007679760456085205,2052,0.00021812596241943538,0.1867750585079193,,-4.76837158203125e-06,0.004991545341908932,133.4596540927887
1080.0,1763260146.9556327,,138496,0.006141286343336105,1.456664267607266e-05,0.05078125,0.004253706894814968,2070,0.00021697388729080558,0.17715445160865784,,0.04252976179122925,0.009717162698507309,135.19892358779907
,1763260147.414768,500.0,139056,,,,,2076,,,500.0,,,135.65805888175964
1080.0,1763260149.0295634,,140800,-0.013398456387221813,0.0015185725642368197,0.072265625,0.0162944532930851,2093,0.00021559139713644981,0.23471611738204956,,-0.12127315998077393,0.011241725645959377,137.27285432815552
1080.0,1763260149.1401322,,140928,0.008110590279102325,2.5366944100824185e-05,0.0,-0.009078335016965866,2094,0.0002155145921278745,0.21623265743255615,,-0.07080233097076416,0.0016173925250768661,137.38342308998108
1081.0,1763260151.351675,,143360,0.0008811075240373611,5.0570539315231144e-05,0.0,-0.001636609435081482,2117,0.0002140552969649434,0.09091369807720184,,-0.04604935646057129,0.00016851536929607391,139.59496593475342
1081.0,1763260154.0800529,,146304,0.0005719056352972984,0.0032036062330007553,0.0,0.0024537676945328712,2146,0.00021228878176771104,0.13914477825164795,,0.04781991243362427,0.00011488702148199081,142.3233437538147
,1763260154.232342,500.0,146556,,,,,2148,,,500.0,,,142.47563290596008
1081.0,1763260154.8568368,,147200,0.028651408851146698,0.004070661962032318,0.044921875,0.003033936023712158,2155,0.0002117511467076838,0.0851009339094162,,0.023662865161895752,0.02416575327515602,143.10012769699097
1081.0,1763260156.481598,,148992,0.053978510200977325,2.725661215663422e-05,0.06640625,-0.04062650352716446,2172,0.00021067587658762932,0.14163178205490112,,0.13860231637954712,0.007727745920419693,144.7248888015747
1082.0,1763260157.6326294,,150272,0.01111266016960144,0.0012094004778191447,0.00390625,-0.013829663395881653,2185,0.00020990784105379134,0.14525176584720612,,0.05772078037261963,0.0008318331092596054,145.87592029571533
1082.0,1763260158.3437107,,151040,0.009652769193053246,1.6367757780244574e-05,0.001953125,-0.000981055200099945,2192,0.00020944701100233942,0.11660558730363846,,0.2933867573738098,0.0018661189824342728,146.58700156211853
,1763260158.800323,500.0,151556,,,,,2198,,,500.0,,,147.04361391067505
1082.0,1763260158.9101038,,151680,0.005005643703043461,151.65478515625,0.0,0.0009751543402671814,2199,0.00020906298595946282,0.10343798249959946,,-0.00013303756713867188,0.00047810468822717667,147.15339469909668
1082.0,1763260160.061049,,152960,-0.019490430131554604,2.063382271444425e-05,0.021484375,0.024353064596652985,2211,0.00020829493587370962,0.1097337156534195,,0.3927638530731201,0.001405591145157814,148.30433988571167
1082.0,1763260160.3156948,,153216,-0.0061787767335772514,0.0026186692994087934,0.0,0.008327499032020569,2214,0.00020814132585655898,0.1800130009651184,,0.1372915506362915,0.0010171318426728249,148.55898571014404
1082.0,1763260160.8761444,,153856,0.004547576420009136,7.64074720791541e-05,0.0,0.0030402913689613342,2220,0.00020775730081368238,0.13844069838523865,,0.06841510534286499,0.0002908920869231224,149.11943531036377
1082.0,1763260161.0997443,,154112,0.001185455359518528,0.011826498433947563,0.00390625,0.00034993747249245644,2223,0.00020760369079653174,0.08345925062894821,,-0.00010073184967041016,0.00040442217141389847,149.34303522109985
1082.0,1763260161.3516834,,154368,-0.004344495013356209,0.00018888511112891138,0.0390625,0.0008215438574552536,2225,0.0002074500807793811,0.10440374910831451,,-0.013036012649536133,0.006208991631865501,149.5949742794037
1082.0,1763260161.4671757,,154496,0.02317054569721222,0.00025114783784374595,0.048828125,-0.025943871587514877,2226,0.00020737327577080578,0.15439473092556,,0.2683051824569702,0.005615091882646084,149.71046662330627
,1763260161.489972,500.0,154556,,,,,2227,,,500.0,,,149.73326301574707
1082.0,1763260162.3345454,,155392,0.045186080038547516,0.00016890447295736521,0.001953125,-0.030588485300540924,2235,0.00020683564071077853,0.2841947376728058,,-0.31498968601226807,0.0054008848965168,150.5778362751007
1082.0,1763260162.9217741,,156032,-0.0032205358147621155,0.00011452236503828317,0.0,-0.00852557085454464,2241,0.00020645161566790193,0.14787104725837708,,0.014728665351867676,0.0004892498254776001,151.16506505012512
1082.0,1763260163.514363,,156672,-0.006158527918159962,35.60477828979492,0.00390625,-0.006258055567741394,2248,0.00020606759062502533,0.1138165146112442,,-1.1563301086425781e-05,0.000651228241622448,151.7576539516449
1082.0,1763260163.735958,,156928,0.026478301733732224,4.072267984156497e-06,0.01953125,-0.006166521459817886,2250,0.0002059139806078747,0.16584160923957825,,-0.06359601020812988,0.007321149110794067,151.97924900054932
1082.0,1763260164.0712538,,157312,0.0007203267887234688,3.113293132628314e-05,0.0,0.0010698437690734863,2253,0.00020568356558214873,0.13537634909152985,,0.06209629774093628,0.00013738777488470078,152.31454467773438
1082.0,1763260165.8140774,,159232,-0.0039056865498423576,0.0012780023971572518,0.0,0.013257920742034912,2272,0.00020453149045351893,0.12692894041538239,,-0.1348247528076172,0.0016005849465727806,154.05736827850342
,1763260166.5317018,500.0,160056,,,,,2280,,,500.0,,,154.77499270439148
,1763260167.9017954,500.0,161556,,,,,2295,,,500.0,,,156.14508628845215
1083.0,1763260168.2290263,,161920,0.0019663097336888313,0.00017933626077137887,0.025390625,-0.0014446908608078957,2298,0.0002029185852734372,0.18895386159420013,,-0.08622884750366211,0.009810029529035091,156.47231721878052
1083.0,1763260169.2701368,,163072,0.00014784932136535645,2.0687098503112793,0.00390625,0.003361290320754051,2310,0.00020222734019625932,0.08775455504655838,,-2.0623207092285156e-05,0.0014623049646615982,157.513427734375
1083.0,1763260169.4927921,,163328,0.0005767215043306351,1.9922077626688406e-05,0.013671875,0.0014016106724739075,2312,0.00020207373017910868,0.10560450702905655,,0.30269789695739746,0.001422043889760971,157.73608303070068
1083.0,1763260170.0825467,,163968,0.03505299985408783,9.594426956027746e-05,0.021484375,-0.021687988191843033,2318,0.00020168970513623208,0.174080491065979,,-0.07912731170654297,0.007184391841292381,158.3258376121521
1083.0,1763260170.4156058,,164352,-0.0006997045129537582,6.84224214637652e-05,0.0,-5.799531936645508e-05,2322,0.00020145929011050612,0.13340751826763153,,0.04900527000427246,4.126131534576416e-05,158.6588966846466
,1763260170.5533614,500.0,164556,,,,,2324,,,500.0,,,158.79665231704712
,1763260171.0344994,500.0,165056,,,,,2329,,,500.0,,,159.27779030799866
,1763260171.9573853,500.0,166056,,,,,2339,,,500.0,,,160.20067620277405
1084.0,1763260172.3877435,,166528,-0.023082837462425232,1.8713948520598933e-05,0.00390625,0.0017183106392621994,2343,0.00020015360496472567,0.1664690524339676,,-0.29091811180114746,0.002588166855275631,160.63103437423706
