losses/entropy,losses/policy_loss,losses/approx_kl,charts/learning_rate,losses/value_loss,_step,global_step,charts/episodic_length,_timestamp,charts/SPS,losses/clipfrac,charts/episodic_return,losses/old_approx_kl,losses/explained_variance,_runtime
0.22367049753665924,0.007137063890695572,0.03759694844484329,0.0002170506922993809,5.226448593020905e-06,1973,138368,,1763260148.2561731,1065.0,0.080078125,,-0.0021895933896303177,-0.0064885616302490234,136.54151606559753
0.2548958659172058,-0.005474209785461426,0.0024076830595731735,0.00021635944722220302,0.1301237940788269,1985,139520,,1763260149.3308322,1065.0,0.0078125,,-0.0032127462327480316,-5.9723854064941406e-05,137.61617517471313
0.2649582028388977,0.0019692499190568924,0.003683137707412243,0.00021597542217932642,0.000702313263900578,1991,140160,,1763260149.9201794,1065.0,0.005859375,,-0.0024957461282610893,-0.016346216201782227,138.20552229881287
0.30247974395751953,0.006689518690109253,0.0038625746965408325,0.00021528417710214853,4.383893246995285e-05,2002,141312,,1763260151.0252433,1065.0,0.060546875,,0.011360323056578636,-0.0026214122772216797,139.31058621406555
0.19718481600284576,6.198883056640625e-05,0.00044602714478969574,0.00021497695706784725,8.653438999317586e-05,2007,141824,,1763260151.519046,1065.0,0.0,,0.0045688338577747345,0.0033735036849975586,139.80438899993896
0.21378456056118011,-0.024048559367656708,0.0014300141483545303,0.00021443932200782,3.449977521086112e-05,2016,142720,,1763260152.3445327,1065.0,0.0078125,,0.01550086960196495,0.0030832886695861816,140.62987565994263
0.17335723340511322,0.010400716215372086,0.003828980028629303,0.00021428571199066937,34.95130920410156,2019,142976,,1763260152.581883,1065.0,0.0078125,,0.002183111384510994,-3.981590270996094e-05,140.86722588539124
0.24374929070472717,0.0020036697387695312,0.0026754233986139297,0.0002139784919563681,2.0625314712524414,2024,143488,,1763260153.052475,1065.0,0.005859375,,0.013383140787482262,-2.7418136596679688e-05,141.33781790733337
0.18681100010871887,0.0025519635528326035,0.0016101524233818054,0.00021374807693064213,0.00014947705494705588,2027,143872,,1763260153.419753,1065.0,0.04296875,,0.0036643166095018387,-0.0017415285110473633,141.70509600639343
0.20234477519989014,-0.0007620900869369507,0.00038137752562761307,0.0002136712719220668,0.5257635116577148,2029,144000,,1763260153.5378177,1065.0,0.0,,-0.006174362264573574,-3.1828880310058594e-05,141.82316064834595
