losses/policy_loss,losses/explained_variance,losses/approx_kl,_timestamp,charts/episodic_return,losses/clipfrac,_runtime,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/old_approx_kl,_step,losses/entropy,charts/SPS,global_step
,,,1763260233.781402,500.0,,191.60533022880554,,500.0,,,2280,,,135787
,,,1763260236.9368317,500.0,,194.76075983047485,,500.0,,,2295,,,137287
0.00017669424414634705,0.9994230270385742,0.010917187668383121,1763260237.69508,,0.021484375,195.51900815963745,0.0015777512453496456,,0.00021751152235083282,0.020674165338277817,2298,0.23315668106079102,714.0,137600
,,,1763260240.0978882,500.0,,197.92181634902954,,500.0,,,2310,,,138787
-0.08627551794052124,0.9990907311439514,0.0821104645729065,1763260240.5529325,,0.12109375,198.3768606185913,0.00017630877846386284,,0.0002166666672565043,0.11218436807394028,2312,0.27389711141586304,710.0,139008
-0.008589090779423714,0.9986615777015686,0.0023060329258441925,1763260241.860286,,0.0,199.68421411514282,0.0005297327879816294,,0.0002162826422136277,0.005423065274953842,2318,0.2594135105609894,709.0,139648
-0.07416616380214691,0.998705267906189,0.08236078917980194,1763260242.6482615,,0.1119791641831398,200.4721896648407,0.0006296334904618561,,0.00021605222718790174,0.029454553499817848,2322,0.32639381289482117,708.0,140032
,,,1763260242.970246,500.0,,200.79417419433594,,500.0,,,2324,,,140287
,,,1763260244.028056,500.0,,201.85198402404785,,500.0,,,2329,,,140787
,,,1763260246.107541,500.0,,203.93146920204163,,500.0,,,2339,,,141787
