_timestamp,charts/episodic_return,losses/clipfrac,charts/episodic_length,_step,charts/learning_rate,_runtime,global_step,charts/SPS,losses/value_loss,losses/policy_loss,losses/entropy,losses/old_approx_kl,losses/approx_kl,losses/explained_variance
1763260198.5327964,,0.0,,1186,0.0002423195110168308,177.47475838661194,96256,634.0,145.0336456298828,-0.0028727129101753235,0.4031626582145691,-0.0009140279144048691,0.00017406977713108063,0.0033403635025024414
1763260200.5633569,,0.068359375,,1197,0.00024162826593965292,179.50531888008118,97408,633.0,0.0009574149735271931,-0.03042745590209961,0.3620263338088989,0.014717085286974907,0.024226710200309753,0.17482608556747437
1763260203.4408054,,0.009765625,,1213,0.00024062980082817376,182.38276743888855,99072,632.0,0.00029629829805344343,0.007111378014087677,0.29826900362968445,-0.001167135313153267,0.00322803296148777,-0.006698250770568848
1763260203.6903703,,0.0,,1215,0.00024055299581959844,182.6323323249817,99200,631.0,89.3805160522461,0.00025276094675064087,0.3619326949119568,-0.00013516657054424286,0.00022007524967193604,0.0034578442573547363
1763260205.6679134,,0.00390625,,1226,0.00023986175074242055,184.60987544059753,100352,631.0,0.008403163403272629,0.004155494272708893,0.39444947242736816,0.0010973438620567322,0.004126666113734245,0.5695573687553406
1763260206.3557134,,0.0,,1230,0.0002396313357166946,185.29767537117004,100736,631.0,259.615966796875,0.00127420574426651,0.371863454580307,0.0022846683859825134,0.00015590153634548187,0.0025989413261413574
1763260206.9930491,500.0,,500.0,1234,,185.93501114845276,101149,,,,,,,
1763260209.0152118,,0.00390625,,1245,0.00023870967561379075,187.9571738243103,102272,630.0,77.34876251220703,0.0006439164280891418,0.32769501209259033,0.020554130896925926,0.004311228170990944,0.0029961466789245605
1763260210.6077056,,0.0,,1254,0.0002381720405537635,189.54966759681702,103168,629.0,244.8545379638672,-0.006018581800162792,0.378386527299881,0.004426241852343082,0.00013321172446012497,-0.00023996829986572266
1763260213.7577302,,0.0,,1271,0.00023709677043370903,192.6996922492981,104960,628.0,0.0005186477792449296,0.013782262802124023,0.3820668160915375,0.010587171651422977,0.0008533438667654991,0.49350202083587646
1763260218.7550454,,0.0546875,,1299,0.00023540706024505198,197.69700741767883,107776,626.0,0.0019390510860830545,-0.02404482290148735,0.35071608424186707,-0.0033956561237573624,0.031854547560214996,0.0029261112213134766
1763260226.0733452,,0.0,,1339,0.00023294931452255696,205.01530718803406,111872,623.0,0.0014816742623224854,-0.011135254055261612,0.38997596502304077,0.004930631257593632,0.0011383285745978355,0.7003798484802246
1763260226.2993157,,0.08984375,,1340,0.00023287250951398164,205.24127769470215,112000,623.0,0.0006762336706742644,-0.024738237261772156,0.29174932837486267,0.03773108869791031,0.011082500219345093,0.2619518041610718
