charts/SPS,_runtime,charts/episodic_return,_timestamp,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac
673.0,359.6046624183655,,1763260380.7808404,-0.00035127904266119003,,0.0004242062568664551,1.1635012924671173e-05,0.5775495767593384,0.0001649769546929747,-0.00021516159176826477,225152,2449,41.50867462158203,0.0
674.0,361.6623742580414,,1763260382.8385522,0.002865980379283428,,-0.16207683086395264,0.000957840122282505,0.5567454695701599,0.00016397848958149552,0.0009493380784988403,226816,2465,0.00509445508942008,0.0
675.0,364.9322943687439,,1763260386.1084723,0.0035897567868232727,,-0.00011038780212402344,0.00012576766312122345,0.5974057912826538,0.00016251919441856444,0.001664191484451294,229248,2491,175.85287475585938,0.0
675.0,365.23562121391296,,1763260386.4117992,0.00021934881806373596,,-0.09555971622467041,7.456541061401367e-05,0.6111077070236206,0.0001623655844014138,-0.0025205761194229126,229504,2493,6.921605381648988e-05,0.0
676.0,366.66656374931335,,1763260387.8427417,0.001322200521826744,,-0.0004906654357910156,0.0001520942896604538,0.5845777988433838,0.00016159754886757582,-0.0012265369296073914,230784,2506,280.2418212890625,0.0
677.0,367.61868238449097,,1763260388.7948604,-0.004446930252015591,,-0.3530339002609253,0.00013389717787504196,0.5847991704940796,0.00016105991380754858,-0.0007624886929988861,231680,2514,9.77179006440565e-05,0.0
,367.64628195762634,500.0,1763260388.82246,,500.0,,,,,,231695,2515,,
677.0,368.22837352752686,,1763260389.4045515,0.0033908458426594734,,-0.14916110038757324,0.0007143570110201836,0.5843982696533203,0.0001607526937732473,-0.006347239017486572,232192,2520,0.00017305780784226954,0.0
678.0,369.66633319854736,,1763260390.8425112,0.0005422327667474747,,0.0022869110107421875,1.7547979950904846e-05,0.5417870283126831,0.0001599846436874941,-0.0005941092967987061,233472,2533,0.0034027332440018654,0.0
678.0,370.43169116973877,,1763260391.6078691,-0.003308556042611599,,-0.06318938732147217,0.0012680673971772194,0.5797317028045654,0.0001596006186446175,0.002955704927444458,234112,2540,0.00011119664850411937,0.0
679.0,371.1719162464142,,1763260392.3480942,-0.0012652557343244553,,-0.00019311904907226562,0.0004897918552160263,0.5485780835151672,0.0001592165936017409,-0.004448004066944122,234752,2547,124.25816345214844,0.0
680.0,373.74518871307373,,1763260394.9213667,-0.0016443589702248573,,1.1324882507324219e-06,4.641246050596237e-05,0.5868673920631409,0.00015783410344738513,-0.002935374155640602,237056,2570,136.3173828125,0.0
680.0,373.8902688026428,,1763260395.0664468,-0.005087333731353283,,-0.02548539638519287,0.0006407899782061577,0.5493370890617371,0.0001577572984388098,-0.003542982041835785,237184,2571,0.0038106502033770084,0.0
