losses/old_approx_kl,global_step,charts/learning_rate,losses/clipfrac,_timestamp,losses/policy_loss,_step,charts/SPS,charts/episodic_return,_runtime,losses/value_loss,charts/episodic_length,losses/explained_variance,losses/entropy,losses/approx_kl
-0.0041894493624567986,84736,0.0002492319617886096,0.017578125,1763260180.1567416,-0.024975690990686417,1091,637.0,,159.01681661605835,0.00035694518010132015,,-0.2734025716781616,0.5325630903244019,0.006351080723106861
7.724389433860779e-06,86272,0.0002483103016857058,0.0,1763260182.7798457,0.0008887425065040588,1106,636.0,,161.63992071151733,0.0003212359733879566,,-0.13675498962402344,0.5540014505386353,4.318356513977051e-05
0.006424933671951294,87424,0.0002476190566085279,0.0,1763260184.8387852,-0.0035611502826213837,1118,635.0,,163.69886016845703,60.28535079956055,,0.00014650821685791016,0.5669935941696167,0.0005191490054130554
-0.005064038559794426,88192,0.000247158226557076,0.0,1763260186.125372,-0.0007928498089313507,1125,634.0,,164.98544692993164,0.00029451740556396544,,0.014880359172821045,0.528905987739563,9.143166244029999e-05
-0.008893953636288643,88960,0.00024669739650562406,0.0,1763260187.5321202,0.007905028760433197,1133,633.0,,166.39219522476196,123.2481918334961,,9.256601333618164e-05,0.5677281022071838,0.00046735629439353943
-0.009244502522051334,90240,0.00024592934641987085,0.015625,1763260189.8040411,0.008275829255580902,1145,632.0,,168.6641161441803,0.00019347290799487382,,0.049486637115478516,0.5740762948989868,0.006680157966911793
0.00422779843211174,92160,0.00024477727129124105,0.00390625,1763260193.206538,0.00602327287197113,1164,631.0,,172.06661295890808,0.00044229382183402777,,0.2701786160469055,0.5639241933822632,0.004316067323088646
-0.0048341648653149605,92288,0.00024470046628266573,0.0,1763260193.420036,-0.0001861266791820526,1165,631.0,,172.28011107444763,6.171173299662769e-05,,-0.38380753993988037,0.5323684215545654,0.000905933789908886
-0.008411209098994732,92928,0.00024431644123978913,0.0,1763260194.5851703,0.0038820281624794006,1172,630.0,,173.4452452659607,182.39744567871094,,0.0002587437629699707,0.5067983865737915,0.0015188874676823616
,93894,,,1763260196.221366,,1181,,500.0,175.08144092559814,,500.0,,,
,94394,,,1763260197.1617346,,1186,,500.0,176.0218095779419,,500.0,,,
0.004227533005177975,95488,0.00024278034106828272,0.0,1763260199.2453218,-0.002041563391685486,1197,627.0,,178.1053967475891,139.55213928222656,,5.811452865600586e-05,0.5203599333763123,0.00014677178114652634
0.004706257022917271,97152,0.00024178187595680356,0.01171875,1763260202.2726302,-0.02439391240477562,1213,626.0,,181.1327052116394,0.0004866449744440615,,0.26262974739074707,0.4683227837085724,0.0036133071407675743
,97394,,,1763260202.5646973,,1215,,500.0,181.42477226257324,,500.0,,,
0.007660846225917339,98432,0.00024101382587105036,0.0,1763260204.6585224,-0.008854679763317108,1226,625.0,,183.51859736442566,118.81111145019531,,6.4373016357421875e-06,0.5801873207092285,0.000567200593650341
,98894,,,1763260205.3808396,,1230,,500.0,184.24091458320618,,500.0,,,
0.0016469256952404976,99328,0.00024047619081102312,0.015625,1763260206.2308545,0.013973738998174667,1234,624.0,,185.09092950820923,0.00011668618390103802,,-0.5155097246170044,0.4996938109397888,0.0021166829392313957
,100394,,,1763260208.1616898,,1245,,500.0,187.02176475524902,,500.0,,,
0.0006249556317925453,101376,0.000239247310673818,0.0,1763260210.0228007,0.0019496232271194458,1254,622.0,,188.88287568092346,0.00011721946066245437,,0.17846494913101196,0.469489187002182,0.00012132246047258377
0.00026499107480049133,103040,0.00023824884556233883,0.0,1763260213.0540545,-0.00016398727893829346,1271,621.0,,191.91412949562073,0.005558490287512541,,0.013530194759368896,0.573101282119751,9.363144636154175e-05
,105894,,,1763260218.2514696,,1299,,500.0,197.11154460906982,,500.0,,,
0.0025116708129644394,109952,0.00023410138965118676,0.0,1763260225.9082577,-0.001253034919500351,1339,615.0,,204.76833271980286,174.21282958984375,,6.198883056640625e-05,0.5274798274040222,6.130710244178772e-05
-0.009331557899713516,110080,0.00023402458464261144,0.001953125,1763260226.154599,-0.023332983255386353,1340,615.0,,205.01467394828796,0.004457753151655197,,0.04828071594238281,0.5736781358718872,0.0035971608012914658
0.0025157323107123375,110976,0.0002334869495825842,0.0,1763260227.8324583,-0.0035747475922107697,1349,614.0,,206.6925332546234,178.85891723632812,,-6.973743438720703e-05,0.5391802191734314,0.00031260866671800613
,112394,,,1763260230.4987526,,1363,,500.0,209.35882759094238,,500.0,,,
-0.0033883536234498024,112640,0.00023248848447110504,0.0,1763260230.9494631,-0.004184536635875702,1365,612.0,,209.80953812599182,0.005181444808840752,,0.1293179988861084,0.5272744297981262,0.00010982993990182877
-0.02588518336415291,113152,0.00023218126443680376,0.0,1763260231.910067,0.004204265773296356,1370,612.0,,210.77014207839966,0.00017260867753066123,,-0.3439199924468994,0.5804585218429565,0.0029463814571499825
0.007737843319773674,114176,0.0002315668243682012,0.05078125,1763260233.774858,-0.028278086334466934,1380,611.0,,212.63493299484253,0.000317921832902357,,0.24877417087554932,0.5028010010719299,0.018580883741378784
-0.008702498860657215,114304,0.00023149001935962588,0.0,1763260234.0024657,-0.012349538505077362,1381,611.0,,212.8625407218933,0.00012776997755281627,,-0.48438191413879395,0.5301518440246582,0.00216031726449728
0.00022951513528823853,114944,0.00023110599431674927,0.0,1763260235.8919377,-0.0006108470261096954,1388,609.0,,214.75201272964478,235.1491241455078,,0.00015103816986083984,0.5430082082748413,4.400312900543213e-05
0.05517610162496567,115712,0.00023064516426529735,0.021484375,1763260237.2638433,-0.04527392238378525,1395,608.0,,216.12391829490662,0.00037427310599014163,,-0.0784294605255127,0.4851212799549103,0.01284607034176588
0.008434288203716278,116096,0.0002304147492395714,0.0,1763260237.9545856,-0.009717211127281189,1399,608.0,,216.81466054916382,0.0071343122981488705,,0.09311747550964355,0.4746212959289551,0.0017371736466884613
0.005446284078061581,116736,0.0002300307241966948,0.0078125,1763260239.0507512,0.0009383484721183777,1405,608.0,,217.91082620620728,0.0003944855707231909,,-0.06080162525177002,0.526837170124054,0.00198944378644228
0.0014363788068294525,119424,0.00022841781901661307,0.0,1763260243.3238747,-0.0003032088279724121,1432,608.0,,222.1839497089386,251.74172973632812,,0.00016862154006958008,0.558456540107727,0.0001941099762916565
-0.0033978912979364395,119552,0.00022834101400803775,0.0,1763260243.5410054,0.0012409985065460205,1433,608.0,,222.40108036994934,0.006998102646321058,,0.2380499243736267,0.5189553499221802,0.0026955213397741318
0.009030035696923733,121856,0.00022695852385368198,0.0,1763260247.4941788,0.015683621168136597,1455,608.0,,226.3542537689209,0.00011735370208043605,,-0.27952003479003906,0.5536385178565979,0.0013811355456709862
,121894,,,1763260247.5380046,,1456,,500.0,226.39807963371277,,500.0,,,
0.00846442487090826,121984,0.00022688171884510666,0.0,1763260247.7506084,-0.005153310485184193,1457,608.0,,226.6106834411621,116.4840316772461,,9.149312973022461e-05,0.4745013117790222,0.0006487322971224785
