charts/learning_rate,charts/episodic_return,_timestamp,losses/policy_loss,losses/old_approx_kl,_runtime,charts/SPS,losses/explained_variance,losses/approx_kl,losses/value_loss,global_step,losses/entropy,losses/clipfrac,charts/episodic_length,_step
8.494623762089759e-05,,1763260545.1012735,-0.0013223811984062195,-0.004025106318295002,523.9328224658966,719.0,-0.21268486976623535,0.0002533840015530586,0.00021331463358365,358528,0.5233449339866638,0.0,,3713
,500.0,1763260545.2694948,,,524.1010437011719,,,,,358710,,,500.0,3715
8.387096750084311e-05,,1763260547.0555034,4.585087299346924e-05,0.0009823618456721306,525.8870522975922,720.0,4.172325134277344e-05,4.361383616924286e-06,187.7850341796875,360320,0.5815064907073975,0.0,,3731
8.364055247511715e-05,,1763260547.4439287,-0.0019439458847045898,0.009660215117037296,526.2754776477814,720.0,-0.18407213687896729,0.0004017418250441551,0.000212613376788795,360704,0.5896649360656738,0.0,,3734
8.241167233791202e-05,,1763260549.7421,0.0008750110864639282,0.0020244792103767395,528.573648929596,721.0,-0.00013589859008789062,2.0673498511314392e-05,69.3531265258789,362752,0.4952540993690491,0.0,,3755
8.11827922007069e-05,,1763260551.758034,-0.0005320161581039429,0.002193547785282135,530.5895829200745,722.0,4.589557647705078e-06,1.9924715161323547e-05,332.08477783203125,364800,0.5778275728225708,0.0,,3775
,500.0,1763260552.1332042,,,530.9647531509399,,,,,365210,,,500.0,3779
7.941628427943215e-05,,1763260554.6493413,-0.0008574314415454865,-0.00020415149629116058,533.4808902740479,724.0,-4.0531158447265625e-05,1.261197030544281e-05,299.25994873046875,367744,0.5676264762878418,0.0,,3804
7.918586925370619e-05,,1763260554.9822652,0.00045214593410491943,-0.0032923631370067596,533.813814163208,724.0,-0.07866275310516357,6.861425936222076e-05,0.00024469575146213174,368128,0.49878963828086853,0.0,,3807
,500.0,1763260559.026196,,,537.8577449321747,,,,,372210,,,500.0,3847
7.480799104087055e-05,,1763260562.2649148,-0.0021480098366737366,-0.0015349015593528748,541.0964636802673,728.0,-0.0026311874389648438,8.333101868629456e-05,0.0027806744910776615,375424,0.5633361339569092,0.0,,3879
7.457757601514459e-05,,1763260562.6476002,0.0031906403601169586,0.005753368139266968,541.4791491031647,728.0,4.881620407104492e-05,7.501617074012756e-05,131.4770965576172,375808,0.5793680548667908,0.0,,3883
7.450077100656927e-05,,1763260562.7700238,-0.004237912595272064,0.0002306448295712471,541.6015727519989,728.0,-0.12791645526885986,0.00013542454689741135,0.00284000881947577,375936,0.5012770891189575,0.0,,3884
,500.0,1763260563.0531893,,,541.8847382068634,,,,,376210,,,500.0,3887
7.403994095511734e-05,,1763260563.5208995,0.00219716876745224,0.0002970118075609207,542.3524484634399,729.0,-0.1391674280166626,0.00014601834118366241,0.0002652288821991533,376704,0.5238065719604492,0.0,,3891
7.365591591224074e-05,,1763260564.1820917,-7.616449147462845e-05,-5.493219941854477e-05,543.0136406421661,729.0,0.11546999216079712,2.22865492105484e-06,0.003080949420109391,377344,0.5606250762939453,0.0,,3898
7.281106081791222e-05,,1763260565.6042402,0.00013799965381622314,-0.0009474307298660278,544.4357891082764,730.0,-3.0159950256347656e-05,1.952238380908966e-05,196.9041748046875,378752,0.5190340280532837,0.0,,3912
7.258064579218626e-05,,1763260565.9760776,-0.0005233772099018097,0.001136651262640953,544.8076264858246,730.0,-0.10058414936065674,6.025657057762146e-06,0.000278833438642323,379136,0.5517863035202026,0.0,,3915
7.181259570643306e-05,,1763260567.2912586,-0.0032236017286777496,-0.002260611392557621,546.1228075027466,731.0,0.0459170937538147,0.0003087511286139488,0.0031565348617732525,380416,0.5770259499549866,0.0,,3928
7.08141305949539e-05,,1763260568.9541793,0.0016217678785324097,0.0007146745920181274,547.7857282161713,732.0,-0.019900798797607422,7.623434066772461e-05,0.00031697150552645326,382080,0.5980714559555054,0.0,,3944
7.073732558637857e-05,,1763260569.0802736,-0.0009213574230670929,0.0046944646164774895,547.9118225574493,732.0,-0.04196453094482422,8.197221904993057e-05,0.00028844072949141264,382208,0.6064236164093018,0.0,,3945
,500.0,1763260569.1076949,,,547.9392437934875,,,,,382210,,,500.0,3946
7.019969052635133e-05,,1763260570.0172088,-0.00026550889015197754,-0.004756090231239796,548.8487577438354,732.0,0.23824471235275269,9.377207607030869e-05,0.00029693549731746316,383104,0.5358207821846008,0.0,,3954
6.966205546632409e-05,,1763260570.9675536,-0.0044124796986579895,0.0024390602484345436,549.7991025447845,732.0,0.04040849208831787,6.716977804899216e-05,0.00038530517485924065,384000,0.5421494841575623,0.0,,3963
6.927803042344749e-05,,1763260571.6095102,-0.0030163228511810303,-0.0017412789165973663,550.4410591125488,733.0,-0.1409904956817627,0.00021047331392765045,0.00027078978018835187,384640,0.5823944807052612,0.0,,3969
6.858679262222722e-05,,1763260572.7996085,-0.00019026175141334534,0.000906970351934433,551.6311573982239,733.0,-7.843971252441406e-05,2.305954694747925e-06,57.98557662963867,385792,0.51813143491745,0.0,,3981
6.843318260507658e-05,,1763260573.0305293,-0.0031563639640808105,0.0007296018302440643,551.8620781898499,733.0,-0.1385279893875122,0.00010737590491771698,0.00042616669088602066,386048,0.5291777849197388,0.0,,3983
6.758832751074806e-05,,1763260574.471306,-0.00011324882507324219,0.0002130446955561638,553.302855014801,734.0,-0.04580819606781006,3.1972303986549377e-06,0.0022723209112882614,387456,0.5740617513656616,0.0,,3997
6.62058373563923e-05,,1763260576.7954133,0.0017527267336845398,-8.684862405061722e-05,555.626962184906,735.0,-3.528594970703125e-05,5.090329796075821e-05,190.2542724609375,389760,0.5287456512451172,0.0,,4020
6.382488209055737e-05,,1763260580.7899108,-0.001545557752251625,0.0003722533583641052,559.6214597225189,737.0,1.9431114196777344e-05,7.028691470623016e-05,85.96408081054688,393728,0.5254043340682983,0.0,,4059
6.205837416928262e-05,,1763260583.546185,-0.0014671534299850464,0.0032236548140645027,562.3777339458466,739.0,-0.020850777626037598,6.0389749705791473e-05,0.0003991519333794713,396672,0.5345271229743958,0.0,,4087
6.182795914355665e-05,,1763260583.9044492,-0.0011651292443275452,0.00017416570335626602,562.7359981536865,739.0,0.02819085121154785,2.1488405764102936e-05,0.0004660526756197214,397056,0.5676588416099548,0.0,,4091
6.098310404922813e-05,,1763260585.2317526,-0.009834418073296547,-0.0008968431502580643,564.0633015632629,740.0,-0.01107490062713623,0.0002032201737165451,0.0010294800158590078,398464,0.6327592730522156,0.0,,4105
6.075268902350217e-05,,1763260585.625718,-0.004638912156224251,-0.0021859342232346535,564.4572670459747,740.0,-0.07545506954193115,6.566103547811508e-05,0.002547338604927063,398848,0.4897657632827759,0.0,,4109
6.036866398062557e-05,,1763260586.2108133,0.0007979609072208405,-0.0028232866898179054,565.0423622131348,740.0,0.05815619230270386,2.176966518163681e-05,0.00040028186049312353,399488,0.5287042856216431,0.0,,4115
6.013824895489961e-05,,1763260586.594306,0.0012942524626851082,-0.0023196255788207054,565.4258549213409,741.0,-0.007307648658752441,4.051718860864639e-05,0.0023948089219629765,399872,0.5636826753616333,0.0,,4119
5.8602148783393204e-05,,1763260589.1668544,0.0006107911467552185,0.0021331384778022766,567.9984033107758,742.0,-0.03873860836029053,3.8022175431251526e-05,0.0003927287762053311,402432,0.5807830691337585,0.0,,4144
