charts/episodic_return,charts/episodic_length,_step,losses/explained_variance,charts/SPS,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,losses/policy_loss,losses/value_loss,_runtime,global_step,losses/entropy,losses/approx_kl,_timestamp
,,1020,-0.3542267084121704,642.0,0.0,0.00025046084192581475,-0.016900479793548584,-0.0017341561615467072,0.00539282476529479,154.35774946212769,82688,0.4647105634212494,0.0024912767112255096,1763260175.4014044
,,1031,-0.7698934078216553,641.0,0.017578125,0.00024976959684863687,0.016578085720539093,-0.025537360459566116,0.00039198235026560724,156.4554784297943,83840,0.3871173560619354,0.005580883473157883,1763260177.4991333
,,1050,-0.0012553930282592773,638.0,0.005859375,0.00024861752172000706,0.008011341094970703,0.0028440281748771667,0.006398419849574566,159.9235532283783,85760,0.4329215884208679,0.002467246726155281,1763260180.9672081
,,1053,0.08774453401565552,638.0,0.005859375,0.0002483871066942811,0.00265444815158844,-0.0064146146178245544,0.01044559758156538,160.58407878875732,86144,0.3969775140285492,0.00398210808634758,1763260181.6277337
,,1058,0.023348748683929443,638.0,0.0,0.0002480798866599798,-0.0008973758667707443,-0.0032075755298137665,0.006326716393232346,161.46645879745483,86656,0.47438204288482666,0.00041039474308490753,1763260182.5101137
,,1082,2.6881694793701172e-05,636.0,0.0,0.00024662059149704874,-0.01695880852639675,0.015205290168523788,158.55018615722656,165.5381109714508,89088,0.4094894528388977,0.0014867745339870453,1763260186.581766
,,1083,-0.3042750358581543,636.0,0.0,0.0002465437864884734,0.0031276270747184753,-0.007276061922311783,0.008653717115521431,165.77421379089355,89216,0.3799651861190796,0.0010553225874900818,1763260186.8178687
500.0,500.0,1091,,,,,,,,167.1098153591156,90016,,,1763260188.1534703
,,1106,0.00045162439346313477,634.0,0.0,0.00024516129633411765,0.005320057272911072,-0.0011521819978952408,451.5561218261719,169.79995489120483,91520,0.5104162693023682,0.00012190267443656921,1763260190.8436098
,,1118,-0.1809169054031372,634.0,0.01171875,0.00024439324624836445,-0.010851170867681503,0.010015994310379028,0.0002460474497638643,171.9908847808838,92800,0.46705591678619385,0.0019035525619983673,1763260193.0345397
500.0,500.0,1125,,,,,,,,173.15383386611938,93516,,,1763260194.1974888
,,1133,-0.1640075445175171,632.0,0.0,0.0002434715861454606,0.0023633642122149467,0.006089627742767334,0.0005472349585033953,174.7056179046631,94336,0.3946666121482849,0.0008643334731459618,1763260195.7492728
500.0,500.0,1145,,,,,,,,176.75319147109985,95516,,,1763260197.7968464
500.0,500.0,1164,,,,,,,,180.1732997894287,97516,,,1763260201.2169547
