charts/episodic_return,losses/explained_variance,charts/SPS,losses/entropy,_timestamp,_runtime,losses/policy_loss,losses/clipfrac,charts/learning_rate,global_step,losses/value_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,_step
500.0,,,,1763260421.0279763,399.8707232475281,,,,239721,,,,500.0,2571
500.0,,,,1763260421.9048254,400.7475724220276,,,,240221,,,,500.0,2576
,0.001868605613708496,640.0,0.38211724162101746,1763260422.105703,400.948450088501,-8.781719952821732e-05,0.0,0.00015591397823300213,240256,221.98590087890625,0.00017421692609786987,-0.00039353035390377045,,2577
,0.8712631464004517,639.0,0.3493552803993225,1763260427.4845457,406.32729268074036,-0.0142650306224823,0.0,0.00015399385301861912,243456,0.006465660408139229,0.0023789452388882637,-0.009468655101954937,,2608
,0.7221722602844238,639.0,0.30643999576568604,1763260427.9352562,406.7780032157898,-0.004325103014707565,0.0,0.00015384024300146848,243712,0.00022757500119041651,0.0002913437783718109,0.007064769044518471,,2610
500.0,,,,1763260430.6455357,409.4882826805115,,,,245721,,,,500.0,2630
,0.0028603672981262207,640.0,0.4060100317001343,1763260431.3473973,410.1901443004608,-0.00551881268620491,0.0,0.00015230414282996207,246272,266.4297180175781,0.0008804025128483772,0.0017824219539761543,,2636
,0.003825247287750244,641.0,0.31410330533981323,1763260432.4943051,411.3370521068573,0.0013302452862262726,0.0,0.0001516897027613595,247296,280.8196105957031,0.0006089825183153152,0.004589134827256203,,2646
,0.7738103270530701,641.0,0.37030160427093506,1763260432.61962,411.4623670578003,-0.008511397987604141,0.0,0.0001516128977527842,247424,0.006666186731308699,0.0003806501626968384,0.003326326608657837,,2647
,-0.880274772644043,641.0,0.29848453402519226,1763260432.7498777,411.59262466430664,0.0002804342657327652,0.001953125,0.00015153609274420887,247552,0.0003309368039481342,0.0023448066785931587,0.013414888642728329,,2648
,-1.1302590370178223,642.0,0.3493880033493042,1763260435.0699658,413.9127128124237,-0.00418176781386137,0.0,0.00015030721260700375,249600,0.000286800874164328,0.0013277968391776085,0.0023813312873244286,,2668
,0.5567020177841187,643.0,0.33107131719589233,1763260435.6627636,414.5055105686188,0.004136577248573303,0.009765625,0.0001500000071246177,250112,0.0005036700167693198,0.0036813607439398766,0.002285006456077099,,2673
,0.3852497935295105,643.0,0.38021349906921387,1763260436.8343248,415.6770718097687,0.003799811005592346,0.0,0.00014938556705601513,251136,0.00035716849379241467,0.0016992194578051567,0.0016351854428648949,,2683
,0.4402836561203003,644.0,0.4110983908176422,1763260437.2842245,416.1269714832306,-0.00785859301686287,0.00390625,0.00014915515203028917,251520,0.0002873003832064569,0.0038935216143727303,0.026579847559332848,,2687
500.0,,,,1763260437.4839742,416.32672119140625,,,,251721,,,,500.0,2689
,-0.04982924461364746,644.0,0.32440251111984253,1763260437.921665,416.76441192626953,-0.011652451008558273,0.0,0.0001488479319959879,252032,0.0006977077573537827,0.000680890865623951,0.0022613918408751488,,2692
,0.4071859121322632,647.0,0.42310523986816406,1763260442.548366,421.3911130428314,-0.0027188360691070557,0.005859375,0.00014639017172157764,256128,0.00019456780864857137,0.006889057345688343,0.018649214878678322,,2732
,0.5447955131530762,648.0,0.3768009543418884,1763260444.9021368,423.74488377571106,-0.023021548986434937,0.009765625,0.00014516129158437252,258176,0.0004518349305726588,0.0032501593232154846,-0.0033758878707885742,,2752
,-2.039081573486328,648.0,0.45139455795288086,1763260445.5195951,424.3623421192169,0.00031688064336776733,0.013671875,0.00014485407155007124,258688,0.00047986669233068824,0.00603210274130106,0.02941194735467434,,2757
500.0,,,,1763260447.2427626,426.0855095386505,,,,260221,,,,500.0,2772
500.0,,,,1763260448.4171038,427.25985074043274,,,,261221,,,,500.0,2782
,0.00544208288192749,650.0,0.29377076029777527,1763260448.5412087,427.3839557170868,0.00041969865560531616,0.0,0.00014331797137856483,261248,266.50189208984375,0.00029578525573015213,0.004241392947733402,,2783
,0.006619453430175781,650.0,0.3115416467189789,1763260449.7280443,428.57079124450684,0.0010982723906636238,0.0,0.00014270353130996227,262272,154.48590087890625,0.0005017062649130821,0.007598471827805042,,2793
,0.45265907049179077,652.0,0.29855868220329285,1763260453.4201052,432.26285219192505,-0.003000577911734581,0.0,0.00014078340609557927,265472,0.004265885800123215,0.0005956161767244339,0.005452292039990425,,2824
,0.8893358111381531,653.0,0.27610471844673157,1763260455.8028767,434.64562368392944,-0.030828475952148438,0.0,0.00013963133096694946,267392,0.00585672864690423,0.0013457126915454865,-0.008140768855810165,,2843
,0.0026828646659851074,654.0,0.2647653818130493,1763260457.3917687,436.23451566696167,-0.005641525611281395,0.0,0.00013878647587262094,268800,235.5093994140625,0.00048744212836027145,0.003376181237399578,,2857
,0.9315782785415649,656.0,0.3139718174934387,1763260460.211497,439.05424404144287,-0.00939103215932846,0.0,0.00013725039025302976,271360,0.005033319350332022,0.0007561426609754562,0.004533309489488602,,2882
500.0,,,,1763260461.1937232,440.03647017478943,,,,272221,,,,500.0,2890
,0.004152059555053711,656.0,0.3390901982784271,1763260464.3259053,443.1686522960663,0.0024547576904296875,0.0,0.0001354838750557974,274304,45.498348236083984,0.0008095735684037209,0.01295862253755331,,2911
,-0.0012847185134887695,657.0,0.33208394050598145,1763260467.7814991,446.6242461204529,-0.00010725483298301697,0.0,0.0001340245798928663,276736,267.6289367675781,0.00016012322157621384,-0.001878642477095127,,2935
500.0,,,,1763260469.8800325,448.7227795124054,,,,278221,,,,500.0,2949
,0.003917574882507324,658.0,0.2896867096424103,1763260471.1652343,450.007981300354,8.80751758813858e-05,0.0,0.0001324884797213599,279296,134.82211303710938,2.868473529815674e-07,-5.548819899559021e-05,,2960
,0.007961571216583252,659.0,0.3587578535079956,1763260472.8850644,451.72781133651733,-0.0020588375627994537,0.0,0.00013156681961845607,280832,383.1962890625,0.0002688458189368248,-0.005504637025296688,,2975
,-0.0015097856521606445,660.0,0.40204745531082153,1763260474.4078696,453.25061655044556,-0.006208485923707485,0.0,0.00013072196452412754,282240,238.47174072265625,0.00020192749798297882,0.0017373766750097275,,2989
,-1.1823194026947021,660.0,0.3571212589740753,1763260475.3800523,454.22279930114746,-0.0035019665956497192,0.0,0.0001301843294641003,283136,0.0002649427915457636,0.00018357299268245697,0.0027617812156677246,,2997
,0.060240864753723145,661.0,0.3487720787525177,1763260476.9514794,455.79422640800476,-0.00516044907271862,0.0,0.00012933947436977178,284544,0.00024123101320583373,0.0013438127934932709,0.015461986884474754,,3011
,0.7202497720718384,663.0,0.3486613631248474,1763260481.4717598,460.3145067691803,-0.015447497367858887,0.0,0.00012688171409536153,288640,0.0002577854029368609,0.002237851731479168,-0.01188387256115675,,3051
,0.0036925077438354492,664.0,0.3028716444969177,1763260481.64795,460.49069690704346,-0.004906162619590759,0.0,0.0001268049090867862,288768,118.81002807617188,0.000671088695526123,-0.006201686337590218,,3053
,0.4022282361984253,664.0,0.36480283737182617,1763260483.1753435,462.0180904865265,-0.022594451904296875,0.017578125,0.00012596006854437292,290176,0.0005407487042248249,0.0050202179700136185,0.013719089329242706,,3066
,0.32922184467315674,665.0,0.4046270251274109,1763260483.636874,462.4796209335327,0.0008850991725921631,0.0,0.00012572965351864696,290560,0.00018648328841663897,7.309950888156891e-06,0.0017195167019963264,,3070
,0.0011636614799499512,665.0,0.3134611248970032,1763260485.0423694,463.88511633872986,0.0003779437392950058,0.0,0.00012496160343289375,291840,96.74480438232422,9.77860763669014e-05,0.0009059319272637367,,3083
,0.9429464340209961,666.0,0.3098786771297455,1763260486.8232965,465.66604351997375,-0.0018629059195518494,0.0,0.0001240399433299899,293376,0.005843887105584145,0.00014625303447246552,0.002179723232984543,,3098
,0.6888025999069214,666.0,0.3706900477409363,1763260487.412781,466.25552797317505,-0.0003390684723854065,0.0,0.00012373272329568863,293888,0.0057142977602779865,8.238386362791061e-05,0.0021693864837288857,,3103
,0.00207364559173584,668.0,0.3766304850578308,1763260490.160465,469.00321197509766,-0.0005016475915908813,0.0,0.00012227342813275754,296320,262.20977783203125,0.00011208094656467438,0.001197589561343193,,3127
,0.10194510221481323,668.0,0.38691583275794983,1763260490.4345675,469.27731442451477,-0.00012834416702389717,0.0,0.0001221198181156069,296576,0.00044756638817489147,2.7818605303764343e-05,0.003490367904305458,,3129
,-0.0005886554718017578,669.0,0.368222713470459,1763260491.7413898,470.58413672447205,-0.0017683357000350952,0.0,0.00012142857303842902,297728,159.4279327392578,4.07705083489418e-05,-0.0032004276290535927,,3141
,0.11066973209381104,669.0,0.33108916878700256,1763260492.00998,470.85272693634033,-0.002633489668369293,0.0,0.00012127496302127838,297984,0.0002821961243171245,8.479692041873932e-05,-0.001850903034210205,,3143
,4.857778549194336e-05,669.0,0.3830467760562897,1763260492.3246965,471.16744351387024,-0.0008714497089385986,0.0,0.00012112135300412774,298240,88.7491455078125,0.0009161923080682755,-0.01084798015654087,,3146
,-0.0008695125579833984,670.0,0.38024449348449707,1763260494.0652199,472.9079668521881,0.00024355202913284302,0.0,0.0001201996929012239,299776,115.91018676757812,7.798895239830017e-05,0.005054879933595657,,3161
500.0,,,,1763260495.095712,473.93845891952515,,,,300721,,,,500.0,3170
,-0.779104471206665,671.0,0.4149433672428131,1763260496.6014733,475.44422030448914,8.261576294898987e-05,0.0,0.00011881720274686813,302080,0.00019827537471428514,0.0002270461991429329,-0.0004019802436232567,,3183
,0.165474534034729,671.0,0.34778347611427307,1763260497.129215,475.97196197509766,0.004669001791626215,0.0,0.00011850998271256685,302592,0.00029770118999294937,0.0007404880598187447,0.004644044674932957,,3188
,-0.6554760932922363,673.0,0.45022764801979065,1763260500.3484614,479.19120836257935,-0.00225200317800045,0.001953125,0.0001167434747912921,305536,0.0005933818174526095,0.0017636427655816078,0.006354845128953457,,3217
500.0,,,,1763260501.0615954,479.9043424129486,,,,306221,,,,500.0,3224
,-1.2854492664337158,675.0,0.4554789662361145,1763260503.681022,482.52376890182495,0.0003038756549358368,0.0,0.00011490015458548442,308608,0.00037234436604194343,6.19739294052124e-05,-0.0004179012030363083,,3247
,0.549517035484314,675.0,0.3846995234489441,1763260504.0031006,482.84584760665894,-0.006799401715397835,0.0,0.00011474654456833377,308864,0.006155253387987614,0.0006209444254636765,0.007245941087603569,,3250
,0.3362099528312683,675.0,0.34299126267433167,1763260504.2464926,483.08923959732056,0.003191843628883362,0.0,0.00011459293455118313,309120,0.0007730079814791679,0.0010283160954713821,0.0040948763489723206,,3252
,0.3201991319656372,675.0,0.32920601963996887,1763260504.5304277,483.3731746673584,0.0007759407162666321,0.0,0.0001144393245340325,309376,0.007475098595023155,0.00018046889454126358,0.000646849162876606,,3255
,-2.3126602172851562e-05,676.0,0.3955562710762024,1763260504.9354289,483.77817583084106,0.004364572465419769,0.0,0.00011420890950830653,309760,286.5023498535156,0.0004718266427516937,-0.00130482017993927,,3259
,-0.3329172134399414,676.0,0.36728206276893616,1763260506.441857,485.2846040725708,0.0014568828046321869,0.00390625,0.00011336405441397801,311168,0.00046124961227178574,0.0010242601856589317,-0.005609340034425259,,3272
