charts/SPS,charts/episodic_length,losses/clipfrac,charts/learning_rate,losses/policy_loss,_runtime,losses/value_loss,_timestamp,losses/entropy,losses/approx_kl,losses/old_approx_kl,losses/explained_variance,charts/episodic_return,_step,global_step
650.0,,0.02734375,0.00018709676805883646,-0.017871957272291183,315.17269587516785,0.0028102535288780928,1763260336.3417778,0.1327105164527893,0.003723815083503723,0.013603957369923592,0.7126659154891968,,2045,188288
650.0,,0.0,0.00018671274301595986,-0.004156164824962616,315.8547508716583,0.002623920328915119,1763260337.0238328,0.25785502791404724,0.00047913286834955215,0.007158027030527592,0.8711084127426147,,2051,188928
650.0,,0.076171875,0.00018663593800738454,-0.018915986642241478,316.0262668132782,0.0003577587194740772,1763260337.1953487,0.2663719356060028,0.012990349903702736,0.0482417494058609,-1.0007383823394775,,2052,189056
652.0,,0.015625,0.00018556068243924528,-0.01343570463359356,317.98516821861267,0.0035884235985577106,1763260339.1542501,0.28127411007881165,0.0043042441830039024,-0.00020319316536188126,0.8422122001647949,,2070,190848
652.0,,0.025390625,0.00018517665739636868,-0.04738178104162216,318.99323534965515,0.0006067143986001611,1763260340.1623173,0.3281540870666504,0.004429231397807598,0.025738384574651718,-0.09915363788604736,,2076,191488
652.0,,0.001953125,0.00018417819228488952,-0.004543831571936607,321.44244360923767,185.40106201171875,1763260342.6115255,0.26930251717567444,0.0011659841984510422,0.008209938183426857,0.0022690892219543457,,2093,193152
652.0,,0.0,0.0001841013872763142,0.0032980889081954956,321.6356358528137,0.0034584971144795418,1763260342.8047178,0.27740147709846497,0.0013673314824700356,0.0018768655136227608,0.14476048946380615,,2094,193280
,500.0,,,,325.1525604724884,,1763260346.3216424,,,,,500.0,2117,195609
,500.0,,,,328.0127305984497,,1763260349.1818125,,,,,500.0,2141,198109
,500.0,,,,328.59875106811523,,1763260349.767833,,,,,500.0,2146,198609
655.0,,0.0,0.00018087557691615075,0.005328603088855743,328.71797275543213,297.54388427734375,1763260349.8870547,0.30008623003959656,0.00081663578748703,0.003158753737807274,0.005949676036834717,,2147,198656
655.0,,0.0,0.00018079877190757543,0.00032212212681770325,328.85548162460327,0.0038408413529396057,1763260350.0245636,0.3502960205078125,2.3189932107925415e-06,0.00033570826053619385,0.779823362827301,,2148,198784
656.0,,0.005859375,0.0001803379418561235,0.004035696387290955,329.6859586238861,0.00032780447509139776,1763260350.8550406,0.35332220792770386,0.003739817999303341,0.0031700627878308296,-0.028211355209350586,,2155,199552
655.0,,0.0,0.00017933947674464434,-0.0005726851522922516,332.286349773407,202.36952209472656,1763260353.4554317,0.4089389741420746,0.0005859928205609322,-0.005291842855513096,0.0147780179977417,,2172,201216
,500.0,,,,334.3481705188751,,1763260355.5172524,,,,,500.0,2185,202609
655.0,,0.0,0.00017811059660743922,-0.012505434453487396,335.4849343299866,0.0043932609260082245,1763260356.6540163,0.2675459682941437,0.0014563966542482376,0.021343454718589783,0.7620927095413208,,2192,203264
656.0,,0.0,0.00017772657156456262,0.0013433992862701416,336.1727840900421,0.00040358168189413846,1763260357.341866,0.3433622121810913,2.8828158974647522e-05,0.0012550503015518188,-0.7599226236343384,,2198,203904
656.0,,0.0,0.0001776497665559873,-0.00695246085524559,336.29791283607483,0.00021792550978716463,1763260357.4669948,0.35348349809646606,0.0010579684749245644,-0.004276908002793789,-0.41384243965148926,,2199,204032
657.0,,0.01953125,0.00017695852147880942,-0.004484042525291443,337.61708760261536,117.95924377441406,1763260358.7861695,0.2910482883453369,0.003665129654109478,-0.01691959798336029,0.0029870271682739258,,2211,205184
657.0,,0.001953125,0.00017672810645308346,-0.010731611400842667,338.03264141082764,0.0008987393812276423,1763260359.2017233,0.32791316509246826,0.001448310911655426,-0.004387184977531433,0.7880393862724304,,2214,205568
,500.0,,,,338.6898093223572,,1763260359.8588912,,,,,500.0,2220,206109
658.0,,0.02734375,0.00017619047139305621,-0.011600296013057232,339.1000475883484,0.00034439502633176744,1763260360.2691295,0.3109997510910034,0.010122190229594707,-0.004975530318915844,0.41043227910995483,,2223,206464
,500.0,,,,339.26546835899353,,1763260360.4345503,,,,,500.0,2225,206609
658.0,,0.0,0.00017603686137590557,0.00038479268550872803,339.3873908519745,25.577024459838867,1763260360.5564728,0.3009956181049347,0.00036564283072948456,0.001704733818769455,0.001753687858581543,,2226,206720
658.0,,0.0,0.00017596005636733025,0.0031904876232147217,339.5099859237671,0.009328644722700119,1763260360.6790679,0.3665318191051483,0.0019313842058181763,-0.005415052175521851,0.7758382558822632,,2227,206848
659.0,,0.0,0.0001757296413416043,0.00459497794508934,339.96318435668945,0.024692876264452934,1763260361.1322663,0.2745814323425293,0.0006222398951649666,-0.004312231205403805,0.0028342604637145996,,2231,207232
659.0,,0.0,0.00017549922631587833,-0.0035278163850307465,340.3867156505585,170.572021484375,1763260361.5557976,0.3248037099838257,0.0007798168808221817,-0.00463387556374073,0.0012857317924499512,,2235,207616
659.0,,0.0,0.00017511520127300173,-0.0042690858244895935,341.1036419868469,0.01293083094060421,1763260362.272724,0.35133859515190125,0.000225885771214962,-0.001818009652197361,0.07790249586105347,,2241,208256
