losses/explained_variance,charts/episodic_return,global_step,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/entropy,losses/old_approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length,charts/SPS,_timestamp,losses/approx_kl
-0.0012732744216918945,,71424,0.00025721965357661247,1521,0.0021409783512353897,70.4355947971344,0.34526702761650085,0.015020173974335194,0.02734375,133.92259216308594,,1050.0,1763260112.6036708,0.003039891831576824
0.13634079694747925,,72064,0.00025683562853373587,1527,0.012991540133953094,71.02330803871155,0.33958280086517334,-0.01629684306681156,0.013671875,0.001433150959201157,,1050.0,1763260113.191384,0.009469586424529552
-0.007802248001098633,,72320,0.00025668201851658523,1529,-0.02061305195093155,71.24390435218811,0.3872101902961731,0.07301568984985352,0.08984375,5.1974573580082506e-05,,1050.0,1763260113.4119804,0.02099267579615116
,500.0,72821,,1534,,71.61865544319153,,,,,500.0,,1763260113.7867315,
0.9792388677597046,,72960,0.00025629799347370863,1536,0.010129641741514206,71.80141115188599,0.35007336735725403,0.012945139780640602,0.05859375,0.0011325033847242594,,1051.0,1763260113.9694872,0.01166305597871542
-0.006830573081970215,,73728,0.0002558371634222567,1543,-0.0008379947394132614,72.52344036102295,0.3700370192527771,0.035234130918979645,0.009765625,0.0001340026647085324,,1051.0,1763260114.6915164,0.005618634633719921
-0.0018353462219238281,,73856,0.0002557603584136814,1545,-0.00626908615231514,72.63880634307861,0.33858025074005127,0.018809927627444267,0.09375,0.0063846539705991745,,1051.0,1763260114.8068824,0.013781796209514141
0.9230568408966064,,73984,0.00025568355340510607,1546,-0.020291518419981003,72.74901747703552,0.3025379776954651,0.011928495019674301,0.130859375,0.0003897249116562307,,1052.0,1763260114.9170935,0.03432850539684296
-0.006351351737976074,,75264,0.00025491550331935287,1558,0.012455914169549942,73.90168881416321,0.36436691880226135,0.035912249237298965,0.0390625,0.0001824837818276137,,1052.0,1763260116.0697649,0.018049899488687515
,500.0,75321,,1559,,73.92376470565796,,,,,500.0,,1763260116.0918407,
-0.006054043769836426,,75776,0.0002546082832850516,1563,0.02290363609790802,74.38537979125977,0.32856184244155884,-0.005714437924325466,0.091796875,0.00035821134224534035,,1052.0,1763260116.5534558,0.007896441034972668
0.6364514827728271,,76032,0.00025445467326790094,1566,-0.02594172954559326,74.61074638366699,0.3046341836452484,0.07638788223266602,0.115234375,0.0007316726259887218,,1053.0,1763260116.7788224,0.01413811556994915
