losses/entropy,global_step,losses/clipfrac,losses/approx_kl,charts/episodic_length,charts/episodic_return,losses/policy_loss,_runtime,losses/value_loss,charts/learning_rate,losses/old_approx_kl,losses/explained_variance,_timestamp,_step,charts/SPS
0.16391998529434204,97280,0.037109375,0.004130133427679539,,,-0.02912897989153862,111.32581043243408,5.717696666717529,0.00024170507094822824,-0.0086350804194808,-8.058547973632812e-05,1763260153.5069005,1753,893.0
0.19965045154094696,97408,0.015625,0.004146710969507694,,,-0.012424169108271599,111.51070261001587,0.0009172221180051565,0.00024162826593965292,0.013419263996183872,0.12704509496688843,1763260153.6917927,1754,893.0
0.22490189969539642,98816,0.068359375,0.012907148338854313,,,0.005080144852399826,114.19839000701904,0.00019033388525713235,0.0002407834108453244,-0.0025132736191153526,0.7831849455833435,1763260156.3794801,1768,884.0
0.27577126026153564,99712,0.0,0.00038386881351470947,,,-0.0005694422870874405,115.94929504394531,142.14617919921875,0.00024024577578529716,-0.00284012034535408,-1.5497207641601562e-05,1763260158.1303852,1777,878.0
0.18736086785793304,103936,0.0,0.0003442782908678055,,,0.002193823456764221,124.30048274993896,0.0016331705264747143,0.0002377112105023116,-0.011188173666596413,0.05836474895477295,1763260166.4815729,1818,853.0
0.12352176010608673,104448,0.013671875,0.0012463005259633064,,,-0.01009894534945488,125.35295820236206,0.00018955633277073503,0.0002374039904680103,0.0032706158235669136,0.1105571985244751,1763260167.5340483,1823,849.0
0.11194248497486115,107264,0.015625,0.0028477273881435394,,,-0.007850157096982002,131.7937569618225,5.5331010818481445,0.00023571428027935326,0.009756948798894882,-8.702278137207031e-05,1763260173.974847,1851,829.0
0.10271287709474564,109056,0.02734375,0.006145808845758438,,,-0.0202217698097229,135.3065414428711,0.00017201701120939106,0.00023463901015929878,0.028551112860441208,-0.02868211269378662,1763260177.4876316,1868,820.0
0.22231249511241913,109568,0.080078125,0.004321340471506119,,,0.0006626322865486145,136.35741877555847,0.0001433102006558329,0.0002343317901249975,0.002209588885307312,0.0030956268310546875,1763260178.538509,1873,818.0
0.15720829367637634,109952,0.0625,0.019985899329185486,,,0.008019518107175827,137.14160585403442,2.5949910195777193e-05,0.00023410138965118676,0.027795899659395218,-0.019459843635559082,1763260179.322696,1877,816.0
0.1718662977218628,110848,0.00390625,0.0016731349751353264,,,0.011111214756965637,138.85189628601074,0.0009234684403054416,0.00023356375459115952,-0.004433684982359409,0.007643342018127441,1763260181.0329864,1886,812.0
0.2920019030570984,112640,0.125,0.004606346599757671,,,-0.018867645412683487,142.341810464859,9.156718078884296e-06,0.00023248848447110504,0.018597597256302834,0.0028516650199890137,1763260184.5229006,1903,805.0
0.1569177508354187,112896,0.005859375,0.001887839287519455,,,-0.01596394181251526,142.86937499046326,0.00026611541397869587,0.0002323348744539544,0.013150328770279884,0.0012840032577514648,1763260185.050465,1906,804.0
0.19073247909545898,114176,0.107421875,0.003175875172019005,,,-0.025312334299087524,145.4135947227478,3.7312565837055445e-06,0.0002315668243682012,0.017010554671287537,0.026179075241088867,1763260187.5946848,1918,798.0
0.1265122890472412,114304,0.037109375,0.0031673088669776917,,,-0.032041702419519424,145.72609996795654,5.7589335441589355,0.00023149001935962588,0.024893678724765778,-4.1604042053222656e-05,1763260187.90719,1920,797.0
0.19233836233615875,116864,0.02734375,0.003651781938970089,,,0.002025708556175232,150.7822048664093,0.0006585788214579225,0.00022995391918811947,-0.0011129779741168022,0.01392441987991333,1763260192.963295,1945,787.0
0.2125498354434967,118272,0.0546875,0.0031506922096014023,,,0.010210428386926651,153.56032609939575,0.21900440752506256,0.00022910906409379095,-0.005028188228607178,-3.1948089599609375e-05,1763260195.7414162,1959,782.0
,119686,,,500.0,500.0,,156.2783465385437,,,,,1763260198.4594367,1973,
0.15453797578811646,120960,0.078125,0.01083271112293005,,,-0.016400683671236038,158.8749122619629,6.234904503799044e-07,0.00022749615891370922,0.017766455188393593,-0.07310616970062256,1763260201.0560024,1985,773.0
0.22601671516895294,121600,0.064453125,0.0026309574022889137,,,-0.00415385328233242,160.13683700561523,8.684130079927854e-06,0.00022711213387083262,0.027300551533699036,0.024928152561187744,1763260202.3179271,1991,771.0
,122686,,,500.0,500.0,,162.23443126678467,,,,,1763260204.4155214,2002,
,123186,,,500.0,500.0,,163.30052852630615,,,,,1763260205.4816186,2007,
0.12861350178718567,124160,0.015625,8.096173405647278e-05,,,-0.0022900765761733055,165.33727955818176,7.663828910153825e-06,0.00022557603369932622,0.005983559414744377,0.022297382354736328,1763260207.5183697,2016,762.0
0.2806769013404846,124928,0.0859375,0.004866590723395348,,,-0.02082735300064087,166.9320192337036,0.000282083114143461,0.0002251152036478743,0.022567976266145706,-0.053519248962402344,1763260209.1131094,2024,759.0
,125186,,,500.0,500.0,,167.4749903678894,,,,,1763260209.6560805,2027,
