losses/old_approx_kl,global_step,charts/SPS,charts/episodic_return,charts/learning_rate,losses/approx_kl,_step,_timestamp,losses/explained_variance,losses/entropy,losses/clipfrac,losses/policy_loss,_runtime,losses/value_loss,charts/episodic_length
0.01787101849913597,121728,618.0,,0.0002270353288622573,0.0015154527500271797,1380,1763260257.4941728,-0.024686574935913086,0.5495145320892334,0.001953125,0.005876392126083374,223.9711878299713,0.00018161839398089796,
,121844,,500.0,,,1381,1763260257.557533,,,,,224.0345480442047,,500.0
-0.003716742619872093,122496,618.0,,0.00022657449881080538,0.0015948750078678131,1388,1763260258.9757595,-0.23600924015045166,0.5289611220359802,0.00390625,0.0069278329610824585,225.45277452468872,0.007680076640099287,
-0.010838865302503109,123136,617.0,,0.00022619047376792878,0.0013405615463852882,1395,1763260260.237867,-0.0009766817092895508,0.48074936866760254,0.0,-0.0016037700697779655,226.71488213539124,122.70231628417969,
,123588,,500.0,,,1399,1763260260.9956932,,,,,227.47270822525024,,500.0
0.003977599553763866,124160,616.0,,0.00022557603369932622,0.0009144982323050499,1405,1763260262.239247,0.003122091293334961,0.4237881302833557,0.0078125,-0.005413629114627838,228.71626210212708,85.82416534423828,
0.007818390615284443,126848,613.0,,0.0002239631285192445,0.0017031049355864525,1432,1763260267.39608,-0.09199345111846924,0.46635138988494873,0.0,0.0011598765850067139,233.87309503555298,0.006384994834661484,
0.03073171153664589,126976,613.0,,0.00022388632351066917,0.008144699037075043,1433,1763260267.6321223,-0.23499608039855957,0.4809781312942505,0.02734375,0.01860671117901802,234.10913729667664,0.0001580575917614624,
,129211,,500.0,,,1455,1763260271.7402616,,,,,238.21727657318115,,500.0
-0.0002053854987025261,129280,612.0,,0.0002225038333563134,0.0004518544301390648,1456,1763260271.948798,-7.11679458618164e-05,0.49373412132263184,0.0,-0.008087977766990662,238.42581295967102,142.95135498046875,
0.010507240891456604,129408,612.0,,0.0002224270283477381,0.0005192607641220093,1457,1763260272.1597536,-0.12813317775726318,0.5020721554756165,0.001953125,0.0012030936777591705,238.63676857948303,0.005452942103147507,
,135211,,500.0,,,1514,1763260280.6918378,,,,,247.1688528060913,,500.0
-0.0013011852279305458,135936,614.0,,0.00021850998746231198,4.5738182961940765e-05,1521,1763260282.053798,-0.20645081996917725,0.5155900716781616,0.0,0.000564228743314743,248.5308129787445,0.005245327949523926,
-0.010686241090297699,136320,614.0,,0.00021827957243658602,0.0011607576161623001,1525,1763260282.7811913,-0.00017523765563964844,0.5018016695976257,0.0,0.0029991939663887024,249.25820636749268,107.35887145996094,
0.0003467407077550888,136576,613.0,,0.00021812596241943538,0.003446010872721672,1527,1763260283.234898,-0.13056421279907227,0.5525429248809814,0.005859375,-0.015574980527162552,249.71191310882568,0.00021878888946957886,
,136711,,500.0,,,1529,1763260283.421158,,,,,249.89817309379578,,500.0
-0.007162274792790413,137216,614.0,,0.00021774193737655878,0.0009859949350357056,1534,1763260283.9633603,-3.230571746826172e-05,0.472809374332428,0.0,-0.0032247640192508698,250.44037532806396,50.68181610107422,
0.023695725947618484,137472,615.0,,0.00021758832735940814,0.002548530697822571,1536,1763260284.249359,-0.22345960140228271,0.47349101305007935,0.0,0.006798859685659409,250.72637391090393,8.772953151492402e-05,
,138211,,500.0,,,1543,1763260284.9722161,,,,,251.4492311477661,,500.0
0.0016536591574549675,138368,616.0,,0.0002170506922993809,0.0004727626219391823,1545,1763260285.2185056,-0.17858517169952393,0.5656929612159729,0.0,0.0005227513611316681,251.69552063941956,0.007264512591063976,
-0.014140180312097073,138496,616.0,,0.00021697388729080558,0.0030417731031775475,1546,1763260285.3595026,-0.09026670455932617,0.5442755818367004,0.005859375,-0.00834511499851942,251.83651757240295,8.714318391866982e-05,
0.0030511030927300453,139520,617.0,,0.00021635944722220302,0.00014375243335962296,1558,1763260286.6847794,-4.781418800354004,0.532668948173523,0.0,0.0022197365760803223,253.161794424057,0.008433833718299866,
0.007778063416481018,139648,617.0,,0.0002162826422136277,0.005404559895396233,1559,1763260286.9270403,-1.514911413192749,0.5147926807403564,0.005859375,0.021578576415777206,253.40405535697937,0.00023517139197792858,
-0.003992351703345776,140032,617.0,,0.00021605222718790174,0.002412724308669567,1563,1763260287.671098,-0.9512506723403931,0.5551360249519348,0.001953125,0.008109869435429573,254.14811301231384,0.014337542466819286,
,140344,,500.0,,,1566,1763260288.1827369,,,,,254.65975189208984,,500.0
-0.001850212924182415,142592,615.0,,0.00021451612701639533,0.0018272614106535912,1588,1763260292.380419,-0.029247283935546875,0.5571469664573669,0.0,-0.011918343603610992,258.85743403434753,0.004244932904839516,
-0.00848210509866476,142720,615.0,,0.00021443932200782,0.0010813632979989052,1589,1763260292.6020052,0.03594076633453369,0.5152691006660461,0.0,0.001249842345714569,259.0790202617645,0.0003407678159419447,
-0.003377392888069153,143488,615.0,,0.0002139784919563681,0.002587374299764633,1597,1763260293.9825833,-0.4155312776565552,0.446978896856308,0.005859375,-0.019135408103466034,260.4595983028412,0.007309661712497473,
0.0029100021347403526,144512,615.0,,0.00021336405188776553,0.0010190391913056374,1607,1763260295.7108462,0.15568602085113525,0.42394956946372986,0.0,-0.005644224584102631,262.18786120414734,0.006630640476942062,
-0.007523068226873875,144768,615.0,,0.00021321044187061489,0.0029162773862481117,1609,1763260295.9782078,-0.06330704689025879,0.47790053486824036,0.0,0.020155053585767746,262.4552228450775,0.00011245909263379872,
,144844,,500.0,,,1610,1763260296.0186794,,,,,262.49569439888,,500.0
0.011311626993119717,145024,615.0,,0.00021305683185346425,0.00421097781509161,1612,1763260296.256902,0.043000221252441406,0.466214120388031,0.001953125,-0.0011698082089424133,262.73391699790955,0.00647507980465889,
-0.002488963305950165,146432,617.0,,0.00021221197675913572,0.0001954827457666397,1626,1763260297.849626,-0.0002269744873046875,0.5291430950164795,0.0,-0.00037148594856262207,264.3266410827637,118.06379699707031,
0.022380445152521133,147712,619.0,,0.00021144392667338252,0.005272176116704941,1638,1763260299.2255898,-0.14445960521697998,0.43231427669525146,0.005859375,-0.004873700439929962,265.7026047706604,0.00043986932723782957,
-0.0029924092814326286,152704,623.0,,0.00020844854589086026,0.00011469889432191849,1687,1763260305.8229728,-0.5572209358215332,0.47074973583221436,0.0,0.0044617075473070145,272.29998779296875,0.0005233935080468655,
,157344,,500.0,,,1732,1763260313.7683907,,,,,280.2454056739807,,500.0
-0.001498425379395485,158720,622.0,,0.0002048387104878202,0.00035304948687553406,1745,1763260315.5684028,0.03850942850112915,0.5629473328590393,0.0,-0.0045733340084552765,282.04541778564453,0.0001408317475579679,
-0.0014927638694643974,159488,623.0,,0.0002043778804363683,0.0006793653592467308,1753,1763260316.4044192,-0.22218716144561768,0.5452814698219299,0.0,-0.006138898432254791,282.8814342021942,0.004683117847889662,
0.016082722693681717,159616,624.0,,0.00020430107542779297,0.0012454353272914886,1754,1763260316.5432856,0.11945843696594238,0.5419454574584961,0.001953125,-0.006289981305599213,283.02030062675476,0.0003509691159706563,
-0.0009276038035750389,160768,625.0,,0.00020360983035061508,0.0012376299127936363,1765,1763260317.8320549,-0.23340630531311035,0.5619844794273376,0.0,-0.00044533610343933105,284.30906987190247,6.789487088099122e-05,
0.003944468684494495,161024,625.0,,0.00020345622033346444,0.0003293277695775032,1768,1763260318.1466672,-0.34159278869628906,0.5293328762054443,0.0,0.0029620733112096786,284.6236822605133,0.004717059899121523,
-0.003217104822397232,161920,626.0,,0.0002029185852734372,0.00038380734622478485,1777,1763260319.1556633,-0.0001195669174194336,0.5255357027053833,0.0,-0.004977617412805557,285.63267827033997,280.28472900390625,
-0.04373084381222725,166144,631.0,,0.00020038401999045163,0.003815276548266411,1818,1763260323.8107371,-0.03943586349487305,0.5057030320167542,0.0,0.004001934081315994,290.28775215148926,2.7423460778663866e-05,
0.006939842365682125,166656,632.0,,0.00020007679995615035,0.002149275504052639,1823,1763260324.3841877,-0.020688652992248535,0.555183470249176,0.0,0.02189677581191063,290.8612027168274,0.00039629568345844746,
-0.010831525549292564,169600,635.0,,0.000198310284758918,0.005652312189340591,1851,1763260327.5629375,-0.09371697902679443,0.5849670767784119,0.0,0.0005880892276763916,294.0399525165558,0.0003297176444903016,
