charts/episodic_length,charts/episodic_return,losses/policy_loss,charts/SPS,_timestamp,losses/explained_variance,_step,charts/learning_rate,losses/entropy,losses/old_approx_kl,losses/clipfrac,_runtime,losses/approx_kl,global_step,losses/value_loss
,,-0.006599515676498413,589.0,1763260209.3758357,0.16462105512619019,1145,0.0002475422515999526,0.4828513264656067,0.025146134197711945,0.01953125,175.85278272628784,0.0064803557470440865,87552,0.00025202854885719717
,,-0.0036022886633872986,587.0,1763260213.0147405,-0.17929983139038086,1164,0.0002463901764713228,0.536199152469635,-0.0020508840680122375,0.0,179.49168753623962,7.718987762928009e-05,89472,0.00039318602648563683
,,-0.005308695137500763,587.0,1763260213.249291,-0.32302284240722656,1165,0.00024631337146274745,0.4516165256500244,0.0038266554474830627,0.009765625,179.72623801231384,0.004860423505306244,89600,0.0001734023680910468
,,-0.00831911712884903,587.0,1763260214.5038607,0.00026869773864746094,1172,0.00024592934641987085,0.4485737085342407,-0.003348098136484623,0.0,180.98080778121948,0.0013896645978093147,90240,388.0338439941406
500.0,500.0,,,1763260216.243456,,1181,,,,,182.7204029560089,,91199,
500.0,500.0,,,1763260217.2220993,,1186,,,,,183.6990463733673,,91699,
,,-0.0018141157925128937,585.0,1763260219.3747828,6.139278411865234e-05,1197,0.00024439324624836445,0.4788142740726471,0.0008760672062635422,0.0,185.85172986984253,0.00019038282334804535,92800,58.70690155029297
,,0.01673542708158493,583.0,1763260222.535944,0.271278977394104,1213,0.00024339478113688529,0.5226777195930481,0.007761565037071705,0.017578125,189.01289105415344,0.007710305042564869,94464,0.0002341938961762935
500.0,500.0,,,1763260222.814996,,1215,,,,,189.2919430732727,,94699,
,,0.00862121768295765,583.0,1763260224.9714842,0.0001227259635925293,1226,0.00024262673105113208,0.5399178266525269,-0.0014284458011388779,0.0,191.44843125343323,0.0009601246565580368,95744,125.43568420410156
500.0,500.0,,,1763260225.728478,,1230,,,,,192.2054250240326,,96199,
,,0.009735025465488434,582.0,1763260226.6747863,0.34886765480041504,1234,0.00024208909599110484,0.5858184695243835,0.03117809072136879,0.001953125,193.1517333984375,0.0021684635430574417,96640,0.0002866293943952769
500.0,500.0,,,1763260228.6504366,,1245,,,,,195.12738370895386,,97699,
,,-0.004184674471616745,581.0,1763260230.59191,-0.024626731872558594,1254,0.00024086021585389972,0.427127480506897,-0.006559404544532299,0.001953125,197.06885695457458,0.0020244577899575233,98688,0.0007585944840684533
