losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.0,,1763260361.9094017,0.00020768049580510706,-0.0008708415552973747,303.4288465976715,153984,1765,0.0018776787910610437,-0.8043204545974731,555.0,0.5587007999420166,0.0007443679496645927,-0.0016748718917369843,
0.0,,1763260362.2290893,0.00020752688578795642,0.024606475606560707,303.7485342025757,154240,1768,0.012924084439873695,-0.24125587940216064,555.0,0.599435031414032,0.0016778148710727692,-0.004771143198013306,
0.0,,1763260363.309841,0.00020698925072792917,-0.004014209844172001,304.82928586006165,155136,1777,475.2250061035156,0.0016327500343322754,557.0,0.5110345482826233,0.00029675383120775223,-0.00185476616024971,
0.001953125,,1763260369.3164763,0.0002044546854449436,0.03715253621339798,310.8359212875366,159360,1818,0.0002707381499931216,-0.4659053087234497,560.0,0.489723801612854,0.004113943316042423,0.011747106909751892,
0.0,,1763260369.9100099,0.00020414746541064233,0.004805797711014748,311.4294548034668,159872,1823,0.00039554841350764036,-0.08985447883605957,560.0,0.5110985636711121,0.0003678407520055771,0.00020931661128997803,
0.0,,1763260374.280104,0.00020245775522198528,-0.01037386991083622,315.7995488643646,162688,1851,0.00553877092897892,0.06256157159805298,562.0,0.5119964480400085,0.0007277410477399826,-0.008567361161112785,
0.0,,1763260375.1155648,0.000202150535187684,0.0003881184384226799,316.635009765625,163200,1856,0.0051460531540215015,-0.35006535053253174,562.0,0.5004581212997437,0.0001934310421347618,-0.002012859098613262,
0.0,,1763260377.130902,0.0002013824851019308,-0.002415047027170658,318.6503469944,164480,1868,0.00022244623687583953,-0.12607073783874512,562.0,0.5315616130828857,0.0001163603737950325,-0.0010251961648464203,
0.0,,1763260377.9088202,0.00020107526506762952,-0.002553335390985012,319.4282650947571,164992,1873,0.0002926875604316592,-0.004664897918701172,562.0,0.5475286841392517,0.00014111679047346115,-0.0029104724526405334,
0.0,,1763260378.5588534,0.00020084485004190356,0.0007454026490449905,320.078298330307,165376,1877,9.445981413591653e-05,0.040320634841918945,562.0,0.5459492802619934,0.0007668696343898773,-0.004974678158760071,
