charts/SPS,losses/clipfrac,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/old_approx_kl,global_step,charts/episodic_return,_runtime,_step,_timestamp,losses/policy_loss,charts/episodic_length,losses/value_loss
613.0,0.0,-0.0003113746643066406,3.931857645511627e-05,0.4689772129058838,0.00023164362937677652,-0.00037653930485248566,114048,,211.56448078155518,1365,1763260232.7416859,0.0006917640566825867,,20.84653091430664
613.0,0.0,7.086992263793945e-05,0.00012518465518951416,0.41237449645996094,0.00023133640934247524,-0.00500696524977684,114560,,212.5155861377716,1370,1763260233.6927912,-0.006515715271234512,,315.5354919433594
609.0,0.0,-6.4373016357421875e-06,7.057655602693558e-05,0.40100398659706116,0.00023072196927387267,0.0017776647582650185,115584,,215.20882034301758,1380,1763260236.3860254,-0.0030157454311847687,,167.035888671875
609.0,0.0,0.6197508573532104,0.0002286890521645546,0.40235623717308044,0.00023064516426529735,-3.145541995763779e-05,115712,,215.43170762062073,1381,1763260236.6089127,-0.004040682688355446,,0.006114993244409561
609.0,0.0,0.11570662260055542,0.0007342314347624779,0.4508545994758606,0.00023018433421384543,-0.009912400506436825,116480,,216.67269015312195,1388,1763260237.8498952,-0.0055103302001953125,,7.562450628029183e-05
609.0,0.0,-5.8650970458984375e-05,0.0007668444886803627,0.45593923330307007,0.00022980030917096883,-0.0031085340306162834,117120,,217.79105138778687,1395,1763260238.9682565,0.003566991537809372,,309.7980651855469
,,,,,,,117509,500.0,218.31339383125305,1399,1763260239.490599,,500.0,
610.0,0.0,0.1047978401184082,7.105059921741486e-06,0.4249804615974426,0.00022918586910236627,0.0006587440147995949,118144,,219.12409615516663,1405,1763260240.3013012,0.00025989115238189697,,0.007527270819991827
610.0,0.0,-0.6155129671096802,0.0017886627465486526,0.437188982963562,0.00022749615891370922,-0.005647888407111168,120960,,223.82724857330322,1432,1763260245.0044537,-0.00048533640801906586,,6.076873978599906e-05
,,,,,,,121009,500.0,223.8709192276001,1433,1763260245.0481243,,500.0,
610.0,0.0,-0.11139225959777832,0.0016987500712275505,0.5192345380783081,0.00022611366875935346,0.00639850739389658,123264,,227.73622012138367,1455,1763260248.9134252,-0.007087934762239456,,0.00019798280845861882
610.0,0.0,-0.24448883533477783,0.00017675291746854782,0.4795225262641907,0.00022603686375077814,-0.004846108146011829,123392,,227.95291447639465,1456,1763260249.1301196,-0.002578131854534149,,0.00018854283553082496
,,,,,,,123509,500.0,228.01676750183105,1457,1763260249.1939726,,500.0,
609.0,0.001953125,0.280525267124176,0.0049045756459236145,0.48442384600639343,0.0002225038333563134,0.0074134282767772675,129280,,237.85521793365479,1514,1763260259.032423,-0.01862192153930664,,0.00020234493422321975
,,,,,,,130009,500.0,238.8834252357483,1521,1763260260.0606303,,500.0,
610.0,0.0,0.012395679950714111,0.002147657796740532,0.4855150878429413,0.00022181260283105075,0.01582118682563305,130432,,239.41154837608337,1525,1763260260.5887535,-0.015433404594659805,,0.0002323091175640002
610.0,0.0,3.1888484954833984e-05,0.0006463779136538506,0.4193907380104065,0.00022173579782247543,0.004984564147889614,130560,,239.58168959617615,1527,1763260260.7588947,0.0020420998334884644,,262.3890380859375
610.0,0.0,-0.690848708152771,0.00013065338134765625,0.41961848735809326,0.0002215821878053248,0.0045990776270627975,130816,,239.84918975830078,1529,1763260261.0263948,0.0020244531333446503,,0.0004469202540349215
611.0,0.0,0.4557482600212097,0.0008695535361766815,0.38938841223716736,0.0002212749677710235,-0.0026153400540351868,131328,,240.4351921081543,1534,1763260261.6123972,-0.00323515385389328,,0.0001885054080048576
,,,,,,,131509,500.0,240.6018204689026,1536,1763260261.7790256,,500.0,
612.0,0.0,-0.35825908184051514,7.743667811155319e-05,0.387528657913208,0.00022073733271099627,-0.0007520271465182304,132224,,241.44223284721375,1543,1763260262.619438,-0.0036474037915468216,,0.005886754486709833
612.0,0.009765625,-0.039150357246398926,0.004647472873330116,0.4444751739501953,0.00022058372269384563,-0.015229908749461174,132480,,241.84831357002258,1545,1763260263.0255187,-0.024961933493614197,,0.00022986697149462998
,,,,,,,132509,500.0,241.89537954330444,1546,1763260263.0725846,,500.0,
612.0,0.0,-0.26977264881134033,0.00034637562930583954,0.4211231768131256,0.00021981567260809243,0.004523923620581627,133760,,243.89519929885864,1558,1763260265.0724044,0.0011145398020744324,,0.001979667926207185
613.0,0.0,0.007963597774505615,0.000592915341258049,0.4592762887477875,0.0002197388675995171,0.006164439022541046,133888,,244.07715940475464,1559,1763260265.2543645,0.0023018494248390198,,7.890272536315024e-05
612.0,0.001953125,-0.24236714839935303,0.001536802388727665,0.4533275067806244,0.00021950845257379115,-0.008486387319862843,134272,,244.72489595413208,1563,1763260265.902101,0.001420486718416214,,0.00023894835612736642
612.0,0.00390625,-0.0004239082336425781,0.0020378464832901955,0.45811527967453003,0.0002193548425566405,-0.010455464012920856,134528,,245.1520595550537,1566,1763260266.3292646,-0.005827613174915314,,280.21026611328125
613.0,0.001953125,0.025015711784362793,0.0010785898193717003,0.4778454899787903,0.00021797235240228474,0.0021187802776694298,136832,,248.84100770950317,1588,1763260270.0182128,-0.0022827181965112686,,0.00016990814765449613
613.0,0.0,-0.19806146621704102,0.0019217347726225853,0.5027006268501282,0.00021789554739370942,0.0011359462514519691,136960,,249.04108047485352,1589,1763260270.2182856,-0.004859499633312225,,0.00013438558380585164
613.0,0.0,0.09892410039901733,6.888434290885925e-05,0.5239193439483643,0.0002174347173422575,-0.00016785785555839539,137728,,250.20551085472107,1597,1763260271.382716,0.0014544427394866943,,0.003665233962237835
614.0,0.00390625,0.11850553750991821,0.0013215942308306694,0.5192240476608276,0.00021682027727365494,-0.01829294115304947,138752,,251.4274342060089,1607,1763260272.6046393,-0.004495758563280106,,0.007753743324428797
615.0,0.0,0.045789122581481934,2.6825815439224243e-05,0.5170092582702637,0.0002166666672565043,0.0015194900333881378,139008,,251.66857504844666,1609,1763260272.8457801,0.0007724929600954056,,0.000107099513115827
