losses/explained_variance,charts/SPS,losses/clipfrac,losses/entropy,losses/old_approx_kl,charts/episodic_return,_timestamp,losses/value_loss,losses/policy_loss,global_step,charts/learning_rate,charts/episodic_length,_step,losses/approx_kl,_runtime
0.8726046085357666,1043.0,0.0,0.44247761368751526,0.0026116305962204933,,1763260171.056191,1.1139791011810303,0.0006519891321659088,60800,0.00026359446928836405,,815,1.923646777868271e-05,86.11384797096252
-0.005266427993774414,1049.0,0.0,0.5523263216018677,-0.001273689791560173,,1763260175.4011068,632.3191528320312,-0.0033033937215805054,65664,0.0002606758789625019,,863,0.00014632754027843475,90.45876383781433
,,,,,500.0,1763260176.2314367,,,66608,,500.0,872,,91.28909373283386
-0.09476113319396973,1050.0,0.00390625,0.4869478642940521,-0.014526071026921272,,1763260176.654097,0.12124990671873093,0.00042913854122161865,67072,0.00025983102386817336,,876,0.0019051413983106613,91.71175408363342
0.009609222412109375,1053.0,0.0,0.5375542640686035,0.017035655677318573,,1763260180.1300318,214.7589874267578,-0.0009933505207300186,70912,0.00025752687361091375,,916,0.0016187606379389763,95.18768882751465
-2.1554696559906006,1053.0,0.0,0.5595704317092896,-0.010090647265315056,,1763260180.698892,0.02333303727209568,0.009600590914487839,71552,0.00025714284856803715,,922,0.0030970536172389984,95.75654911994934
0.014706611633300781,1054.0,0.0,0.5645185112953186,-0.00391626451164484,,1763260181.4011388,0.010594310238957405,-0.0004050303250551224,72320,0.00025668201851658523,,930,0.0011758273467421532,96.45879578590393
,,,,,500.0,1763260182.1100593,,,73116,,500.0,938,,97.16771626472473
0.08438915014266968,1055.0,0.013671875,0.5314562916755676,0.012592089362442493,,1763260182.4303615,0.0004208400787319988,-0.012421597726643085,73472,0.00025599077343940735,,941,0.006342962384223938,97.48801851272583
-0.9429154396057129,1055.0,0.005859375,0.5332857370376587,-0.005425143055617809,,1763260182.540963,0.00032466836273670197,0.0040181949734687805,73600,0.00025591396843083203,,942,0.0030081355944275856,97.59861993789673
,,,,,500.0,1763260183.015168,,,74116,,500.0,948,,98.07282495498657
0.0017244815826416016,1057.0,0.0,0.5250644683837891,0.0054604895412921906,,1763260185.4112363,0.005408325232565403,-0.009172189980745316,76800,0.000253993843216449,,974,0.0007904414087533951,100.46889328956604
-0.2552453279495239,1058.0,0.017578125,0.4820326268672943,0.018500380218029022,,1763260185.9621727,0.0005037511582486331,-0.04679941013455391,77440,0.0002536098181735724,,980,0.006162307225167751,101.01982975006104
0.03729814291000366,1058.0,0.0,0.5345105528831482,0.019430097192525864,,1763260186.439305,0.0006870080251246691,-0.005549218505620956,77952,0.00025330259813927114,,985,0.000977405346930027,101.49696207046509
-0.059657931327819824,1059.0,0.00390625,0.5163878798484802,0.018889807164669037,,1763260187.366736,0.0002877808874472976,0.005085393786430359,78976,0.0002526881580706686,,995,0.0028129396960139275,102.42439293861389
,,,,,500.0,1763260187.482736,,,79116,,500.0,997,,102.54039311408997
,,,,,500.0,1763260189.2298143,,,81116,,500.0,1015,,104.28747129440308
,,,,,500.0,1763260189.6685143,,,81616,,500.0,1020,,104.7261712551117
-0.0001188516616821289,1061.0,0.0,0.542375385761261,-0.0033990275114774704,,1763260190.6760597,324.756103515625,0.0005322284996509552,82688,0.00025046084192581475,,1031,0.00026552751660346985,105.7337167263031
,,,,,500.0,1763260192.4148862,,,84616,,500.0,1050,,107.4725432395935
-0.18011963367462158,1063.0,0.013671875,0.49890923500061035,-0.006655181758105755,,1763260192.740151,0.0006254062172956765,-0.014501916244626045,84992,0.000249078351771459,,1053,0.004207051359117031,107.79780793190002
-0.16731703281402588,1063.0,0.0,0.5419998168945312,0.022683367133140564,,1763260193.1810896,0.00030142811010591686,-0.0027418360114097595,85504,0.0002487711317371577,,1058,0.0023172469809651375,108.2387466430664
-0.579883337020874,1064.0,0.0,0.5428330302238464,2.4104490876197815e-05,,1763260195.5151305,0.00017407430277671665,-0.006640493869781494,88064,0.0002472350315656513,,1083,0.0011147893965244293,110.57278752326965
-0.08681380748748779,1065.0,0.0,0.4981200397014618,0.002104409970343113,,1763260196.1817005,0.006149231921881437,-0.002643987536430359,88832,0.0002467742015141994,,1091,7.98078253865242e-05,111.23935747146606
-0.06329381465911865,1066.0,0.0,0.577118456363678,0.0005201734602451324,,1763260197.5743842,0.0009009376517497003,-0.0003790147602558136,90368,0.00024585254141129553,,1106,1.399219036102295e-05,112.6320412158966
,,,,,500.0,1763260198.6427114,,,91616,,500.0,1118,,113.70036840438843
