losses/clipfrac,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,charts/SPS,losses/value_loss,_runtime,charts/learning_rate,charts/episodic_length,charts/episodic_return,_step,global_step,losses/entropy,_timestamp
0.001953125,0.0049276202917099,0.0032231658697128296,-0.011606644839048386,0.3500019907951355,1061.0,40.0295295715332,81.95666861534119,0.0002653609844855964,,,775,57856,0.6128857731819153,1763260167.3110485
,,,,,,,83.01746129989624,,136.0,136.0,788,59073,,1763260168.3718412
,,,,,,,83.7329409122467,,199.0,199.0,797,59852,,1763260169.0873208
0.0,1.0089017450809479e-05,0.0005741231143474579,0.00010623503476381302,-1.6106483936309814,1063.0,1.8521621227264404,84.63711810112,0.00026359446928836405,,,806,60800,0.5787838697433472,1763260169.991498
0.0,0.0008643912151455879,0.004992533475160599,0.002625926397740841,0.47262609004974365,1063.0,265.58514404296875,85.34391641616821,0.00026313363923691213,,,815,61568,0.5161815881729126,1763260170.6982963
0.001953125,0.001188899390399456,-0.006411976180970669,0.0013267295435070992,-0.0646660327911377,1065.0,525.0213623046875,89.17685866355896,0.00026059907395392656,,,863,65792,0.5488009452819824,1763260174.5312386
0.0,0.0006066197529435158,0.000491870567202568,0.007733643986284733,0.18931537866592407,1066.0,390.11077880859375,89.99982523918152,0.0002600614388938993,,,872,66688,0.5050746202468872,1763260175.3542051
0.0,0.0008700015023350716,-0.0015760213136672974,-0.003855685703456402,-1.0454437732696533,1066.0,1.0851608514785767,90.33264470100403,0.00025983102386817336,,,876,67072,0.5012681484222412,1763260175.6870246
,,,,,,,94.60485625267029,,500.0,500.0,922,71864,,1763260179.9592361
0.0,0.00023311935365200043,-0.002985447645187378,-0.0038034524768590927,-1.1009507179260254,1070.0,0.008088603615760803,95.39736270904541,0.00025645160349085927,,,930,72704,0.5388113856315613,1763260180.7517426
0.0,0.0016398876905441284,-0.012279506772756577,0.01072561927139759,-0.002322673797607422,1070.0,380.74755859375,96.1029691696167,0.00025599077343940735,,,938,73472,0.5401561856269836,1763260181.457349
0.01171875,0.003591693937778473,-0.020447619259357452,0.0010791290551424026,0.4069996476173401,1070.0,0.0002782937081065029,96.43251848220825,0.0002557603584136814,,,941,73856,0.5656458139419556,1763260181.7868984
,,,,,,,96.43636989593506,,500.0,500.0,942,73864,,1763260181.7907498
0.005859375,0.007902493700385094,-0.048144176602363586,0.013793525286018848,0.11240792274475098,1070.0,0.005117158405482769,97.02283096313477,0.0002553763333708048,,,948,74496,0.5236836075782776,1763260182.3772109
0.0,0.003254764713346958,0.016350548714399338,-0.020948559045791626,0.021843433380126953,1072.0,0.00038899583159945905,99.43163990974426,0.00025376342819072306,,,974,77184,0.5236776471138,1763260184.7860198
0.005859375,0.006440529599785805,-0.0009193569421768188,0.018228799104690552,-0.012020230293273926,1072.0,0.00023211009101942182,100.02346134185791,0.00025337940314784646,,,980,77824,0.5237592458724976,1763260185.3778412
0.013671875,0.00427333265542984,-0.01930420473217964,0.018188605085015297,0.07718682289123535,1072.0,0.00016620232781860977,100.46490120887756,0.0002530721831135452,,,985,78336,0.4780021607875824,1763260185.819281
0.0,0.0012139584869146347,-0.02141352742910385,-0.0010551679879426956,0.4280943274497986,1073.0,0.0002739517076406628,101.38626623153687,0.0002524577430449426,,,995,79360,0.5147395730018616,1763260186.7406461
0.0,0.001597810536623001,0.005714520812034607,0.005232896655797958,0.0003363490104675293,1073.0,111.62965393066406,101.49884366989136,0.0002523809380363673,,,997,79488,0.49728089570999146,1763260186.8532236
,,,,,,,103.16222548484802,,500.0,500.0,1015,81364,,1763260188.5166054
,,,,,,,103.59978580474854,,500.0,500.0,1020,81864,,1763260188.9541657
0.0,0.00031366385519504547,0.0017438717186450958,0.006815264001488686,-0.00046074390411376953,1074.0,284.8365783691406,104.61269426345825,0.0002503072319086641,,,1031,82944,0.5662164688110352,1763260189.9670742
0.009765625,0.003016968257725239,-0.004545893520116806,-0.013251709751784801,0.24623161554336548,1075.0,0.0013206187868490815,106.35120058059692,0.0002491551567800343,,,1050,84864,0.5321885347366333,1763260191.7055805
0.0,0.000616041012108326,0.004643093794584274,-0.0015661092475056648,0.0006987452507019043,1075.0,231.253662109375,106.57370781898499,0.00024900154676288366,,,1053,85120,0.549913227558136,1763260191.9280877
0.0,0.00044101662933826447,-0.004509530961513519,-0.0034079868346452713,-0.00018107891082763672,1076.0,237.39337158203125,107.01842522621155,0.0002486943267285824,,,1058,85632,0.5255493521690369,1763260192.372805
0.00390625,0.0019144043326377869,-0.02245739847421646,0.009717626497149467,0.1050460934638977,1076.0,0.006336337886750698,109.36244487762451,0.000247158226557076,,,1083,88192,0.5078765153884888,1763260194.7168248
,,,,,,,110.08182764053345,,500.0,500.0,1091,89010,,1763260195.4362075
,,,,,,,111.44021081924438,,500.0,500.0,1106,90510,,1763260196.7945907
0.0,0.0002564014866948128,0.000519677996635437,-0.008370759896934032,-0.9254130125045776,1077.0,0.0002244125062134117,112.62455892562866,0.000245007686316967,,,1118,91776,0.43849390745162964,1763260197.9789388
,,,,,,,113.21780729293823,,500.0,500.0,1125,92510,,1763260198.5721872
0.0078125,0.00280581321567297,-0.01659330166876316,0.011675010435283184,0.11188304424285889,1078.0,0.001218834426254034,113.99983501434326,0.00024408602621406317,,,1133,93312,0.46272844076156616,1763260199.354215
,,,,,,,115.05491256713867,,500.0,500.0,1145,94510,,1763260200.4092925
,,,,,,,116.81743383407593,,500.0,500.0,1164,96510,,1763260202.1718137
0.0,0.0011139381676912308,-0.0024746060371398926,0.007488753646612167,-0.0002809762954711914,1079.0,245.4009246826172,116.88687539100647,0.00024216590099968016,,,1165,96512,0.49860796332359314,1763260202.2412553
0.0,0.00012832507491111755,-0.0019471123814582825,-0.006653768941760063,-0.019014835357666016,1079.0,0.0005838565994054079,117.55111384391785,0.00024170507094822824,,,1172,97280,0.47307288646698,1763260202.9054937
0.00390625,0.0011190557852387428,-0.015450946986675262,0.005368552170693874,0.20570045709609985,1079.0,0.004200829192996025,118.37618041038513,0.000241167435888201,,,1181,98176,0.5336927175521851,1763260203.7305603
0.001953125,0.0014193430542945862,-0.007993480190634727,-0.0041465796530246735,-0.06899499893188477,1079.0,0.004704427905380726,118.84810185432434,0.00024086021585389972,,,1186,98688,0.5499371886253357,1763260204.2024817
0.005859375,0.0032682297751307487,-0.022572848945856094,-0.003090229816734791,0.17958515882492065,1080.0,0.0005118742119520903,119.87874341011047,0.00024016897077672184,,,1197,99840,0.5619475841522217,1763260205.2331233
0.009765625,0.003975133411586285,0.0008112825453281403,-0.007543538697063923,0.02075207233428955,1080.0,0.00010282301082042977,121.3684823513031,0.00023917050566524267,,,1213,101504,0.5168036222457886,1763260206.7228622
0.0,0.0006967000663280487,-0.0037662535905838013,-0.0008334387093782425,0.0003153085708618164,1080.0,329.0323791503906,121.48009657859802,0.00023909370065666735,,,1215,101632,0.5305381417274475,1763260206.8344765
0.03125,0.00741759967058897,-0.04120483249425888,0.02406235784292221,0.15528404712677002,1081.0,0.000565710011869669,122.52078437805176,0.00023840245557948947,,,1226,102784,0.44129443168640137,1763260207.8751643
0.0,0.00016792677342891693,0.006494995206594467,-0.001268181949853897,0.16309213638305664,1081.0,0.00791270099580288,122.85496950149536,0.0002381720405537635,,,1230,103168,0.52485591173172,1763260208.2093494
0.0,5.1662325859069824e-05,-0.0009083636105060577,-0.0012986864894628525,-2.9802322387695312e-05,1081.0,547.8345336914062,123.22409009933472,0.00023794162552803755,,,1234,103552,0.5193140506744385,1763260208.57847
0.0,7.413141429424286e-05,-0.0006422735750675201,0.0040444545447826385,0.04439729452133179,1081.0,0.0078010233119130135,124.2603497505188,0.00023725038045085967,,,1245,104704,0.4617657959461212,1763260209.6147296
0.0,0.00020567886531352997,-0.0006461627781391144,0.006429573521018028,-0.0005273818969726562,1081.0,387.1864013671875,125.065833568573,0.00023671274539083242,,,1254,105600,0.5320980548858643,1763260210.4202135
