losses/approx_kl,charts/episodic_length,charts/episodic_return,losses/old_approx_kl,global_step,losses/entropy,losses/value_loss,losses/clipfrac,_step,charts/learning_rate,losses/explained_variance,_runtime,_timestamp,losses/policy_loss,charts/SPS
0.0009459350258111954,,,-0.01001075841486454,85760,0.394849568605423,0.0004880048509221524,0.001953125,1050,0.00024861752172000706,-0.6454648971557617,106.36214971542358,1763260191.7074807,-0.007234042510390282,1086.0
2.110470086336136e-05,,,-8.61380249261856e-06,86016,0.41016820073127747,340.4022216796875,0.0,1053,0.0002484639117028564,0.00010722875595092773,106.58744430541992,1763260191.9327753,-0.00020580925047397614,1087.0
0.0007209908217191696,,,-0.000833515077829361,86528,0.38859057426452637,276.51263427734375,0.0,1058,0.00024815669166855514,0.001812756061553955,107.06992673873901,1763260192.4152577,0.008092664182186127,1086.0
0.00020624417811632156,,,0.0003923485055565834,89216,0.530672550201416,0.0006571928388439119,0.0,1083,0.0002465437864884734,0.08896315097808838,109.48335266113281,1763260194.8286836,-0.004245199263095856,1087.0
0.000350399874150753,,,0.005280845798552036,89984,0.5209761261940002,498.5545959472656,0.0,1091,0.0002460829564370215,2.6226043701171875e-06,110.18544554710388,1763260195.5307765,0.008092634379863739,1087.0
0.00031189341098070145,,,0.002356520853936672,91520,0.46112218499183655,317.84686279296875,0.0,1106,0.00024516129633411765,-0.0005147457122802734,111.54994893074036,1763260196.89528,0.007108917459845543,1088.0
0.0002905502915382385,,,-0.003324441611766815,92800,0.5214064717292786,0.0005009274464100599,0.0,1118,0.00024439324624836445,-0.36178135871887207,112.70378947257996,1763260198.0491204,-0.0016579581424593925,1088.0
4.596542567014694e-05,,,0.0010953480377793312,93440,0.5284141898155212,275.4198303222656,0.0,1125,0.00024400922120548785,-0.00015413761138916016,113.29551386833191,1763260198.6408448,-0.0005127042531967163,1088.0
0.0012777624651789665,,,0.0006706072017550468,94336,0.5226343274116516,0.00015567659283988178,0.0,1133,0.0002434715861454606,0.3286905288696289,114.1629285812378,1763260199.5082595,0.0005315914750099182,1088.0
0.00046418141573667526,,,0.0037340009585022926,95488,0.4808840751647949,418.84326171875,0.0,1145,0.00024278034106828272,4.0531158447265625e-06,115.20535063743591,1763260200.5506816,-0.002004784531891346,1088.0
,500.0,500.0,,97436,,,,1164,,,116.92093873023987,1763260202.2662697,,
0.00046300143003463745,,,0.002075187861919403,97536,0.5250993371009827,403.949462890625,0.0,1165,0.0002415514609310776,0.0008910298347473145,117.02177333831787,1763260202.3671043,0.0011207908391952515,1089.0
0.00024694856256246567,,,-0.0022850940003991127,98304,0.49049362540245056,0.000567676848731935,0.0,1172,0.00024109063087962568,-0.019924402236938477,117.72194147109985,1763260203.0672724,0.002358546480536461,1089.0
0.0031625907868146896,,,0.0038127638399600983,99200,0.5016830563545227,0.0006855805986560881,0.0,1181,0.00024055299581959844,0.3923504948616028,118.53625297546387,1763260203.881584,0.0026491554453969,1089.0
0.0004455074667930603,,,-0.003248784691095352,99712,0.46967101097106934,0.000451161089586094,0.0,1186,0.00024024577578529716,-0.04499673843383789,118.99394583702087,1763260204.3392768,7.734447717666626e-05,1089.0
0.0005813809111714363,,,-0.0015472909435629845,100864,0.4785703718662262,0.00020569447951857,0.0,1197,0.00023955453070811927,0.15274852514266968,120.05451083183289,1763260205.3998418,-0.0014933943748474121,1089.0
,500.0,500.0,,102436,,,,1213,,,121.4744074344635,1763260206.8197384,,
0.0006174938753247261,,,-0.001423950307071209,102656,0.4814128875732422,0.006144784390926361,0.0,1215,0.0002384792605880648,-0.10921764373779297,121.68490672111511,1763260207.0302377,6.638467311859131e-06,1089.0
0.0008380338549613953,,,0.008047858253121376,103808,0.48373422026634216,0.0005229352391324937,0.0,1226,0.0002377880155108869,0.015361189842224121,122.72275304794312,1763260208.068084,0.0009493157267570496,1089.0
0.0041654594242572784,,,0.01572505757212639,104320,0.38188719749450684,0.00011640055890893564,0.005859375,1230,0.00023748079547658563,0.26154017448425293,123.16548609733582,1763260208.510817,-0.024059593677520752,1090.0
0.001523459330201149,,,-0.008982708677649498,104704,0.4420137405395508,0.0006180671625770628,0.0,1234,0.00023725038045085967,-0.14077413082122803,123.53374886512756,1763260208.8790798,-0.002094753086566925,1089.0
0.00010820850729942322,,,-0.003948511555790901,105856,0.4738611578941345,0.0002482809068169445,0.0,1245,0.00023655913537368178,-0.19398128986358643,124.56997752189636,1763260209.9153085,0.0005341339856386185,1090.0
0.0002682078629732132,,,0.007915651425719261,106752,0.41612446308135986,0.0008211770327761769,0.0,1254,0.00023602150031365454,-0.16746342182159424,125.34960961341858,1763260210.6949406,-0.005282286554574966,1090.0
,500.0,500.0,,108436,,,,1271,,,126.87686824798584,1763260212.2221992,,
0.00013381335884332657,,,-0.00041972566395998,111360,0.4123043715953827,0.00011933704081457108,0.0,1299,0.00023325653455685824,0.1960359811782837,129.50117135047913,1763260214.8465023,-0.0070011205971241,1091.0
,500.0,500.0,,115436,,,,1339,,,133.14230132102966,1763260218.4876323,,
0.00011481344699859619,,,0.0009285919368267059,115456,0.5141165256500244,276.6727600097656,0.0,1340,0.000230798774282448,2.086162567138672e-05,133.21694588661194,1763260218.5622768,-0.00047488510608673096,1091.0
,500.0,500.0,,116436,,,,1349,,,134.06254649162292,1763260219.4078774,,
0.0014179544523358345,,,0.00595006812363863,117888,0.4370419681072235,0.00011801237997133285,0.005859375,1363,0.0002293394791195169,-0.8975695371627808,135.4090871810913,1763260220.7544181,0.007856469601392746,1092.0
6.752461194992065e-05,,,0.006652377545833588,118016,0.5102630853652954,349.42803955078125,0.0,1365,0.0002292626741109416,-3.2901763916015625e-05,135.52333164215088,1763260220.8686626,-0.0007463321089744568,1092.0
0.00010419730097055435,,,-0.0008249012753367424,118528,0.5389440059661865,199.654052734375,0.0,1370,0.0002289554540766403,0.00015908479690551758,136.00663590431213,1763260221.3519669,-0.0008361339569091797,1091.0
0.00038537196815013885,,,0.0009246896952390671,119552,0.5588504672050476,168.012939453125,0.0,1380,0.00022834101400803775,-0.00010800361633300781,136.90138006210327,1763260222.246711,0.0021071694791316986,1092.0
6.780959665775299e-06,,,0.000705222599208355,119680,0.50046306848526,0.003963033203035593,0.0,1381,0.00022826420899946243,-0.10158562660217285,137.0414228439331,1763260222.3867538,-0.0004991628229618073,1092.0
0.000684741884469986,,,-0.007206901907920837,120448,0.5764582753181458,195.80796813964844,0.0,1388,0.0002278033789480105,0.00023943185806274414,137.71863079071045,1763260223.0639617,-0.003742516040802002,1092.0
0.002056819386780262,,,-0.0028889821842312813,121216,0.5670450329780579,0.0007900822092778981,0.0078125,1395,0.00022734254889655858,0.06991702318191528,138.42579865455627,1763260223.7711296,-0.009106729179620743,1092.0
0.014450142160058022,,,0.044066645205020905,121600,0.4587900936603546,0.004793969914317131,0.025390625,1399,0.00022711213387083262,-0.2875089645385742,138.762282371521,1763260224.1076133,-0.001371033489704132,1092.0
0.0009613418951630592,,,-0.025268148630857468,122240,0.5307152271270752,0.0006705829291604459,0.005859375,1405,0.00022672810882795602,-0.06798756122589111,139.37586998939514,1763260224.721201,-0.004176417365670204,1092.0
,500.0,500.0,,124936,,,,1432,,,141.78875851631165,1763260227.1340895,,
6.131269037723541e-05,,,-0.0013103242963552475,125056,0.49161452054977417,192.14697265625,0.0,1433,0.00022503839863929898,-1.0967254638671875e-05,141.89834761619568,1763260227.2436786,-0.0021492093801498413,1092.0
0.007319104857742786,,,-0.01037396676838398,127360,0.46909022331237793,0.00020004931138828397,0.017578125,1455,0.0002236559084849432,-0.23754239082336426,143.97461485862732,1763260229.3199458,-0.02841213345527649,1093.0
,500.0,500.0,,127436,,,,1456,,,144.00214624404907,1763260229.3474772,,
0.0026713311672210693,,,-0.009705709293484688,127488,0.5392959713935852,375.85357666015625,0.00390625,1457,0.0002235791034763679,-0.00023472309112548828,144.0864486694336,1763260229.4317796,-0.01251077651977539,1093.0
0.001299421302974224,,,-0.005987568758428097,133376,0.5190371870994568,0.00019422886543907225,0.001953125,1514,0.0002200460876338184,-0.1413862705230713,149.3894386291504,1763260234.7347696,0.009594820439815521,1093.0
0.0010629473254084587,,,0.0036959750577807426,134016,0.4550051689147949,579.6804809570312,0.0,1521,0.0002196620625909418,0.0003045201301574707,149.98664498329163,1763260235.331976,0.001040467992424965,1093.0
,500.0,500.0,,134436,,,,1525,,,150.33185052871704,1763260235.6771815,,
0.00014462508261203766,,,-0.0024783089756965637,134656,0.5208317637443542,0.005485618952661753,0.0,1527,0.00021927803754806519,-0.061597585678100586,150.57007789611816,1763260235.9154088,-0.0028955861926078796,1093.0
0.00016932282596826553,,,0.0009405212476849556,134912,0.5370623469352722,5.145397153683007e-05,0.0,1529,0.00021912442753091455,0.09261524677276611,150.7963285446167,1763260236.1416595,-0.0009229183197021484,1093.0
0.00674359779804945,,,-0.0010891491547226906,135424,0.5195678472518921,7.138528599170968e-05,0.0234375,1534,0.00021881720749661326,-0.079170823097229,151.24432802200317,1763260236.589659,-0.01597016677260399,1094.0
0.0009905705228447914,,,-0.002361084334552288,135552,0.5092452168464661,252.19187927246094,0.005859375,1536,0.00021874040248803794,0.00016802549362182617,151.35849118232727,1763260236.7038221,-0.009294547140598297,1094.0
,415.0,415.0,,136351,,,,1543,,,152.0781888961792,1763260237.4235198,,
0.0016806870698928833,,,-0.006971299648284912,136576,0.5720301270484924,0.0077249896712601185,0.0,1545,0.00021812596241943538,-1.956954002380371,152.28659558296204,1763260237.6319265,-0.008967079222202301,1094.0
0.00010600872337818146,,,0.00056406669318676,136704,0.516929030418396,0.0012290498707443476,0.0,1546,0.00021804915741086006,-2.1013734340667725,152.39633512496948,1763260237.741666,0.0006486978381872177,1094.0
0.0003563296049833298,,,0.00021850131452083588,137856,0.46214279532432556,245.70816040039062,0.0,1558,0.00021735791233368218,-0.00030040740966796875,153.4318332672119,1763260238.7771642,-0.0007486045360565186,1094.0
0.000750507228076458,,,-0.008120984770357609,137984,0.4954707622528076,0.005231641698628664,0.0,1559,0.00021728110732510686,-0.9394493103027344,153.54342699050903,1763260238.888758,0.0028885602951049805,1094.0
0.000483914278447628,,,-0.006273648701608181,138368,0.5731242299079895,718.4259033203125,0.0,1563,0.0002170506922993809,6.35385513305664e-05,153.9141824245453,1763260239.2595134,0.004740551114082336,1094.0
0.0013843495398759842,,,-0.00989683996886015,138752,0.5565073490142822,0.00028209752053953707,0.0,1566,0.00021682027727365494,-1.4927446842193604,154.24453043937683,1763260239.5898614,-0.005157403647899628,1094.0
0.0009392537176609039,,,0.00918583758175373,140928,0.4381396472454071,429.53973388671875,0.0,1588,0.0002155145921278745,0.00029289722442626953,156.27082443237305,1763260241.6161554,-0.0027153082191944122,1094.0
0.002133515663444996,,,0.009547491557896137,141056,0.4569931924343109,0.005154905840754509,0.0,1589,0.00021543778711929917,-0.024272680282592773,156.3823368549347,1763260241.7276678,-0.020037665963172913,1094.0
,500.0,500.0,,141851,,,,1597,,,157.09632921218872,1763260242.4416602,,
,500.0,500.0,,142851,,,,1607,,,158.01768136024475,1763260243.3630123,,
2.8116628527641296e-06,,,-0.00037110690027475357,143104,0.4951460063457489,0.0008931971387937665,0.0,1609,0.00021420890698209405,-0.5108200311660767,158.23716807365417,1763260243.582499,0.00023182854056358337,1094.0
0.0025986135005950928,,,0.007896965369582176,143232,0.4263135492801666,0.00017205148469656706,0.001953125,1610,0.00021413210197351873,0.018641889095306396,158.34829354286194,1763260243.6936245,-0.00990346074104309,1094.0
0.0018845908343791962,,,0.03242123872041702,143360,0.42344173789024353,250.98895263671875,0.0,1612,0.0002140552969649434,6.538629531860352e-05,158.462087392807,1763260243.8074183,0.0005948152393102646,1094.0
,500.0,500.0,,144851,,,,1626,,,159.78904366493225,1763260245.1343746,,
0.00034022238105535507,,,0.0003723902627825737,146048,0.40333104133605957,0.005165370646864176,0.001953125,1638,0.00021244239178486168,0.4006674885749817,160.9087574481964,1763260246.2540884,0.005393501371145248,1094.0
