losses/entropy,losses/explained_variance,losses/value_loss,losses/clipfrac,_runtime,charts/SPS,losses/policy_loss,_timestamp,losses/old_approx_kl,charts/episodic_length,charts/episodic_return,losses/approx_kl,_step,global_step,charts/learning_rate
0.28204911947250366,0.0025119781494140625,556.0307006835938,0.0,216.7095181941986,1079.0,-0.0010178834199905396,1763260301.9101772,-0.00035173166543245316,,,0.0004129325971007347,2227,204160,0.00017757296154741198
,,,,217.1102888584137,,,1763260302.310948,,500.0,500.0,,2231,204655,
0.30730941891670227,0.4767109155654907,0.000622237625066191,0.001953125,217.52590560913086,1079.0,0.003292985260486603,1763260302.7265646,-0.0006871968507766724,,,0.0010866466909646988,2235,205056,0.00017703532648738474
,,,,218.0013391971588,,,1763260303.2019982,,500.0,500.0,,2241,205655,
0.3526375889778137,0.8190802931785583,0.007906857877969742,0.0,218.6791386604309,1079.0,-0.003981336951255798,1763260303.8797977,0.003333738073706627,,,0.00028705596923828125,2248,206336,0.00017626727640163153
0.3742699921131134,0.2691512107849121,0.0014791220892220736,0.00390625,218.8997757434845,1079.0,-0.0034373123198747635,1763260304.1004348,0.0010114200413227081,,,0.0015503708273172379,2250,206592,0.0001761136663844809
0.32186564803123474,0.7145898342132568,0.007845036685466766,0.0078125,219.12283515930176,1080.0,-0.012670110911130905,1763260304.3234942,0.02104882523417473,,,0.002823839895427227,2253,206848,0.00017596005636733025
0.34316253662109375,0.009356796741485596,35.985084533691406,0.0,220.86142659187317,1080.0,0.00048577040433883667,1763260306.0620856,0.0036736540496349335,,,0.00023701228201389313,2272,208768,0.00017480798123870045
,,,,221.60232210159302,,,1763260306.8029811,,500.0,500.0,,2280,209655,
,,,,222.96127486228943,,,1763260308.161934,,500.0,500.0,,2295,211155,
0.4028075337409973,0.46784061193466187,0.0006753309862688184,0.0,223.26586604118347,1080.0,0.004282331094145775,1763260308.466525,-0.00984241720288992,,,0.000690818764269352,2298,211456,0.00017319509061053395
,,,,224.32046103477478,,,1763260309.52112,,500.0,500.0,,2310,212655,
0.4582667052745819,0.8551514744758606,0.009687184356153011,0.0,224.56328773498535,1080.0,0.00010118633508682251,1763260309.7639468,0.006528360769152641,,,0.0001509152352809906,2312,212864,0.00017235023551620543
0.49382156133651733,-1.5095608234405518,0.000950551824644208,0.0,225.11809372901917,1080.0,-0.0055700913071632385,1763260310.3187528,0.010554580949246883,,,0.001508423127233982,2318,213504,0.00017196621047332883
0.47817733883857727,-0.9582061767578125,0.010893475264310837,0.0,225.49002814292908,1080.0,7.827766239643097e-05,1763260310.6906872,-0.0010573109611868858,,,0.0001580873504281044,2322,213888,0.00017173579544760287
0.4724268913269043,-2.771116018295288,0.0007029159460216761,0.0,225.7111279964447,1080.0,0.00013518333435058594,1763260310.911787,0.003215768374502659,,,0.00026685837656259537,2324,214144,0.00017158218543045223
,,,,226.0878221988678,,,1763260311.2884812,,500.0,500.0,,2329,214655,
,,,,227.0073368549347,,,1763260312.207996,,500.0,500.0,,2339,215655,
0.5008273720741272,-0.2914769649505615,0.0009490293450653553,0.0,227.4192817211151,1081.0,-0.001034073531627655,1763260312.6199408,0.0033463137224316597,,,0.00017602834850549698,2343,216064,0.00017043011030182242
0.36935320496559143,-4.7441816329956055,0.001629888080060482,0.0,227.89951539039612,1081.0,-0.010189101099967957,1763260313.1001744,0.0073052383959293365,,,0.0018818732351064682,2348,216576,0.00017012289026752114
,,,,228.38660264015198,,,1763260313.5872617,,500.0,500.0,,2354,217155,
0.34948664903640747,-1.9482576847076416,0.0016107148258015513,0.001953125,229.2851595878601,1081.0,-0.00517088919878006,1763260314.4858186,-0.0033430829644203186,,,0.0008140038698911667,2363,218112,0.0001692012301646173
0.39239534735679626,0.0006514787673950195,336.6006164550781,0.0,231.6134171485901,1081.0,0.0032383818179368973,1763260316.8140762,0.008796969428658485,,,0.0007763747125864029,2389,220672,0.0001676651299931109
0.3668598234653473,0.005083262920379639,258.64532470703125,0.0,232.0923194885254,1081.0,0.00443953275680542,1763260317.2929785,-0.0015191705897450447,,,0.0001598680391907692,2394,221184,0.00016735790995880961
0.4164026975631714,0.007230520248413086,430.60919189453125,0.0,233.46610403060913,1081.0,0.0010475032031536102,1763260318.666763,-0.002268092706799507,,,5.653314292430878e-05,2409,222720,0.00016643624985590577
0.376764178276062,0.476249098777771,0.0015973281115293503,0.0,235.09458088874817,1082.0,-0.0011173337697982788,1763260320.29524,0.006695683114230633,,,0.0005629723891615868,2426,224512,0.0001653609797358513
0.418874055147171,-0.8608719110488892,0.009482622146606445,0.0,235.43375825881958,1082.0,0.000874049961566925,1763260320.6344173,0.006423525512218475,,,0.00043156370520591736,2430,224896,0.00016513056471012533
