losses/clipfrac,losses/explained_variance,_timestamp,global_step,charts/episodic_return,losses/entropy,charts/SPS,losses/approx_kl,charts/learning_rate,charts/episodic_length,_step,losses/old_approx_kl,losses/value_loss,losses/policy_loss,_runtime
0.0,-0.1086587905883789,1763260340.8134408,251008,,0.5291270613670349,1100.0,0.0001827925443649292,0.00014946237206459045,,2689,-0.002758607268333435,0.0005008738953620195,-0.001386759802699089,255.65267372131348
0.0,-0.02167034149169922,1763260341.1316302,251264,,0.5055480003356934,1100.0,0.00044534262269735336,0.00014930876204743981,,2692,0.00509167555719614,0.006199267692863941,-0.0034815315157175064,255.97086310386658
0.0,0.003227055072784424,1763260344.8645763,255360,,0.6060899496078491,1100.0,4.607252776622772e-05,0.00014685100177302957,,2732,0.0013263169676065445,0.0020559171680361032,0.000917777419090271,259.703809261322
0.0,0.036443471908569336,1763260346.7603724,257408,,0.5606771111488342,1100.0,6.604567170143127e-05,0.00014562212163582444,,2752,0.006302105262875557,0.00010680907871574163,0.00039095431566238403,261.59960532188416
0.0,-0.38399434089660645,1763260347.202716,257920,,0.5256541967391968,1100.0,6.712041795253754e-05,0.00014531490160152316,,2757,-0.00032802484929561615,0.00017803946684580296,-0.0008652694523334503,262.0419490337372
0.0,-0.3617594242095947,1763260348.6052613,259456,,0.5765151381492615,1100.0,0.00030755065381526947,0.00014439324149861932,,2772,0.005266280844807625,0.00019337411504238844,0.0006856098771095276,263.4444942474365
0.00390625,-0.8260284662246704,1763260349.5239544,260480,,0.560705304145813,1100.0,0.000375114381313324,0.00014377880143001676,,2782,0.002132931724190712,0.0002090154739562422,-0.0015446227043867111,264.36318731307983
0.0,-0.31471097469329834,1763260349.6341836,260608,,0.5858635902404785,1100.0,0.0002991827204823494,0.00014370199642144144,,2783,-0.0019324114546179771,0.00010602841211948544,-0.0011229664087295532,264.47341656684875
,,1763260350.482003,261609,500.0,,,,,500.0,2793,,,,265.32123589515686
0.0,0.00021797418594360352,1763260353.199286,264576,,0.5687034726142883,1100.0,4.451535642147064e-05,0.0001413210411556065,,2824,0.004566000774502754,538.5360717773438,-0.00034564267843961716,268.03851890563965
,,1763260354.8429542,266410,500.0,,,,,500.0,2843,,,,269.6821870803833
0.0,0.15963667631149292,1763260356.1948445,267904,,0.5863272547721863,1100.0,0.0008170893415808678,0.00013932411093264818,,2857,-0.0033944742754101753,0.0001903920347103849,-0.0025057513266801834,271.03407740592957
0.0,0.00035005807876586914,1763260358.3814828,270336,,0.5554395318031311,1100.0,9.957607835531235e-05,0.00013786483032163233,,2882,0.007277355529367924,591.59765625,0.0026627779006958008,273.2207157611847
0.0,-1.2143633365631104,1763260359.1904097,271232,,0.5682463049888611,1100.0,6.760377436876297e-05,0.00013732719526160508,,2890,-0.0009083868935704231,0.00015570988762192428,-0.002805601805448532,274.0296425819397
0.0,-1.5804104804992676,1763260361.1412444,273408,,0.5230849981307983,1100.0,0.00026937946677207947,0.00013602151011582464,,2911,-0.0003068670630455017,0.007436874322593212,-0.006742396391928196,275.98047733306885
0.0,0.00011557340621948242,1763260363.322831,275840,,0.5552881360054016,1101.0,5.9942714869976044e-05,0.00013456221495289356,,2935,-0.0042320741340518,201.90670776367188,0.001989200711250305,278.1620638370514
0.0,-5.137920379638672e-05,1763260364.5848722,277248,,0.560127854347229,1101.0,4.8673711717128754e-05,0.00013371735985856503,,2949,-0.0027668969705700874,215.8236846923828,-0.0009644180536270142,279.4241051673889
0.0,-0.40581774711608887,1763260365.620762,278400,,0.4970918893814087,1101.0,1.0211020708084106e-05,0.00013302611478138715,,2960,0.0023393183946609497,0.003803716041147709,0.0006362907588481903,280.4599950313568
0.0,-3.5481934547424316,1763260366.9923575,279936,,0.5985084772109985,1101.0,0.00044400710612535477,0.0001321044546784833,,2975,0.00431253295391798,0.000683275458868593,0.0041603147983551025,281.83159041404724
