_timestamp,losses/policy_loss,losses/value_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,losses/entropy,losses/clipfrac,_step,losses/explained_variance,global_step,charts/SPS,_runtime,charts/learning_rate,charts/episodic_return
1763260450.9795365,0.0029195770621299744,0.00020470911113079637,0.0010028034448623657,0.008263221010565758,,0.559109091758728,0.0,2155,-0.0646127462387085,191488,577.0,360.0429904460907,0.00018517665739636868,
1763260453.9882631,-0.0008482672274112701,365.10760498046875,1.5985220670700073e-05,0.00029824674129486084,,0.560956597328186,0.0,2172,-7.95125961303711e-05,193152,577.0,363.051717042923,0.00018417819228488952,
1763260456.4782498,-0.008997265249490738,0.0002691416011657566,0.0013220887631177902,0.006129534915089607,,0.48268768191337585,0.0,2185,0.06770014762878418,194560,577.0,365.5417037010193,0.000183333337190561,
1763260457.6971872,0.0013580471277236938,379.6740417480469,0.0002652769908308983,-0.005940987728536129,,0.5821294784545898,0.0,2192,-5.5789947509765625e-05,195200,577.0,366.76064109802246,0.0001829493121476844,
1763260458.7080386,-0.01858258619904518,0.0003125032817479223,0.0016315774992108345,0.0001353556290268898,,0.5552215576171875,0.001953125,2198,0.0988662838935852,195840,577.0,367.7714924812317,0.0001825652871048078,
1763260458.9024012,-0.01018524169921875,0.00022985141549725085,0.0015705674886703491,-0.009632114320993423,,0.5283598899841309,0.0,2199,-0.9167529344558716,195968,577.0,367.96585512161255,0.00018248848209623247,
1763260460.3758001,0.007507896050810814,201.98118591308594,0.0005717761814594269,-0.00312594510614872,,0.5169340968132019,0.0,2211,-4.8995018005371094e-05,197120,578.0,369.43925404548645,0.0001817972370190546,
1763260460.812475,-0.008234288543462753,0.00013281061546877027,0.0011362992227077484,0.015656551346182823,,0.5685920715332031,0.0,2214,-0.03554391860961914,197504,578.0,369.8759288787842,0.00018156682199332863,
1763260461.465737,,,,,500.0,,,2220,,198078,,370.5291910171509,,500.0
1763260461.8985622,-0.00011458434164524078,8.157324191415682e-05,4.069879651069641e-07,0.00012667756527662277,,0.5624045729637146,0.0,2223,-0.027190804481506348,198400,579.0,370.96201610565186,0.0001810291869333014,
1763260462.0618591,,,,,500.0,,,2225,,198578,,371.12531304359436,,500.0
1763260462.205778,-0.0009200125932693481,432.54541015625,0.0002595428377389908,0.005887914448976517,,0.5514814853668213,0.0,2226,3.695487976074219e-05,198656,579.0,371.26923179626465,0.00018087557691615075,
1763260462.3561742,-0.0012248351704329252,0.003198718186467886,2.490449696779251e-05,0.0011406568810343742,,0.5783595442771912,0.0,2227,-0.06591856479644775,198784,579.0,371.41962814331055,0.00018079877190757543,
1763260462.8164282,0.003059171140193939,359.9560546875,0.00022004544734954834,0.0009156744927167892,,0.605112612247467,0.0,2231,2.384185791015625e-06,199168,580.0,371.87988209724426,0.00018056835688184947,
1763260463.2870507,,,,,500.0,,,2235,,199578,,372.3505046367645,,500.0
1763260464.0483518,-0.0002552904188632965,192.98094177246094,1.2098811566829681e-05,-6.210524588823318e-05,,0.5091990232467651,0.0,2241,-9.000301361083984e-05,200192,580.0,373.11180567741394,0.0001799539168132469,
1763260464.9801402,0.0006913505494594574,9.369755571242422e-05,4.4520944356918335e-05,0.00015161186456680298,,0.571946382522583,0.0,2248,-0.06762456893920898,200960,581.0,374.043594121933,0.00017949308676179498,
1763260465.156044,-3.7319958209991455e-05,448.25677490234375,8.03731381893158e-06,0.000798739492893219,,0.5932998657226562,0.0,2250,5.2809715270996094e-05,201088,581.0,374.21949791908264,0.00017941628175321966,
1763260465.5977778,0.0007576243951916695,0.00017094318172894418,0.0015767700970172882,0.0015163123607635498,,0.489511102437973,0.0,2253,-0.3420264720916748,201472,582.0,374.6612317562103,0.0001791858667274937,
1763260467.7339904,-0.007593186572194099,0.004215766675770283,0.0008043656125664711,0.0005917707458138466,,0.5971419811248779,0.0,2272,-0.08353245258331299,203264,583.0,376.7974443435669,0.00017811059660743922,
1763260468.6390822,,,,,500.0,,,2280,,204127,,377.7025361061096,,500.0
1763260470.4322698,,,,,500.0,,,2295,,205627,,379.49572372436523,,500.0
1763260470.8591092,-0.006744123995304108,0.0002396775525994599,0.0005159070715308189,-0.005677149631083012,,0.5892264246940613,0.0,2298,0.056922316551208496,205952,586.0,379.9225630760193,0.0001764976914273575,
1763260472.2110155,,,,,500.0,,,2310,,207127,,381.27446937561035,,500.0
1763260472.5017338,-0.01364794373512268,0.005484556779265404,0.0006197057664394379,-0.0022589601576328278,,0.5787294507026672,0.0,2312,-0.016265034675598145,207360,587.0,381.5651876926422,0.00017565283633302897,
1763260473.2144642,0.0015514418482780457,0.00024960163864307106,2.9548071324825287e-05,0.0014200164005160332,,0.5755336880683899,0.0,2318,-0.03587019443511963,208000,587.0,382.27791810035706,0.00017526881129015237,
1763260473.6510067,-0.004380585625767708,0.000598494487348944,0.0002731531858444214,0.0008736681193113327,,0.5088350176811218,0.0,2322,-0.12469375133514404,208384,588.0,382.7144606113434,0.0001750383962644264,
1763260473.8464217,,,,,500.0,,,2324,,208627,,382.9098756313324,,500.0
1763260474.4114416,,,,,500.0,,,2329,,209127,,383.4748954772949,,500.0
1763260475.5672066,,,,,500.0,,,2339,,210127,,384.63066053390503,,500.0
1763260476.0454893,-0.0037908554077148438,0.00019627773144748062,0.0001972150057554245,-0.005188295617699623,,0.46799999475479126,0.0,2343,-0.2509564161300659,210560,590.0,385.10894322395325,0.0001737327256705612,
1763260476.620897,-0.01725658029317856,0.0001357103610644117,0.0032433224841952324,0.02205399051308632,,0.5656749606132507,0.0,2348,-0.050609588623046875,211072,590.0,385.6843509674072,0.0001734255056362599,
1763260477.1996882,,,,,500.0,,,2354,,211627,,386.26314210891724,,500.0
1763260478.2812755,-0.006326552480459213,8.25584284029901e-05,0.00019335374236106873,0.001102084293961525,,0.4766988456249237,0.0,2363,-0.03560209274291992,212608,592.0,387.34472942352295,0.00017250384553335607,
1763260481.201036,0.0012397244572639465,356.7065124511719,7.051043212413788e-05,0.0006287433207035065,,0.520977258682251,0.0,2389,5.3882598876953125e-05,215168,594.0,390.2644898891449,0.00017096774536184967,
1763260481.8042626,-0.00024169497191905975,615.4828491210938,0.00019509624689817429,-0.0015287147834897041,,0.5375030040740967,0.0,2394,-9.226799011230469e-05,215680,595.0,390.867716550827,0.00017066052532754838,
1763260485.6803682,-0.00010147690773010254,0.004605012945830822,0.00017153285443782806,0.004938310012221336,,0.5368409752845764,0.0,2426,-0.24945366382598877,218880,597.0,394.7438220977783,0.00016874040011316538,
1763260486.1259873,0.003954652696847916,277.5857849121094,0.00037960708141326904,0.003419194370508194,,0.5043133497238159,0.0,2430,4.8279762268066406e-05,219264,597.0,395.18944120407104,0.00016850998508743942,
1763260488.3836353,,,,,500.0,,,2449,,221213,,397.44708919525146,,500.0
1763260490.362164,0.005657251924276352,0.004906441550701857,0.000235765241086483,-0.003067425452172756,,0.5385406613349915,0.0,2465,-0.17318320274353027,222848,600.0,399.4256179332733,0.00016635944484733045,
1763260494.2342572,,,,,500.0,,,2491,,225487,,403.2977111339569,,500.0
1763260494.4234176,,,,,170.0,,,2493,,225657,,403.4868714809418,,170.0
