charts/SPS,charts/episodic_length,losses/entropy,charts/learning_rate,losses/old_approx_kl,_timestamp,losses/approx_kl,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,global_step,charts/episodic_return,_runtime,losses/clipfrac
1086.0,,0.5017455220222473,0.0001653609797358513,-0.0033135702833533287,1763260283.5148263,0.00023138057440519333,443.19635009765625,0.0024802200496196747,-0.002452850341796875,2465,224512,,232.4298152923584,0.0
1086.0,,0.47249048948287964,0.00016374807455576956,-0.00814749114215374,1763260285.9851594,0.0006668325513601303,0.051232121884822845,-0.011849600821733475,-3.0739240646362305,2491,227200,,234.90014839172363,0.0
1087.0,,0.466392457485199,0.00016359446453861892,0.017881501466035843,1763260286.2092483,0.003062804229557514,0.004059266299009323,-0.0004121512174606323,-0.012068748474121094,2493,227456,,235.12423729896545,0.005859375
1087.0,,0.5251690149307251,0.00016282641445286572,0.0032004546374082565,1763260287.3708432,0.0002681296318769455,0.04191726818680763,0.005166284739971161,-1.071716070175171,2506,228736,,236.28583216667175,0.0
1087.0,,0.4658128321170807,0.0001623655844014138,0.002748916856944561,1763260288.0855584,0.000376005657017231,584.52392578125,0.005243755877017975,0.0010079145431518555,2514,229504,,237.00054740905762,0.0
1087.0,,0.45831310749053955,0.00016228877939283848,0.0032903002575039864,1763260288.1976318,0.0004684673622250557,0.04900909960269928,-0.013338975608348846,-3.720247268676758,2515,229632,,237.1126208305359,0.0
1087.0,,0.41111689805984497,0.00016198157391045243,-0.0016428856179118156,1763260288.6501899,0.000763903371989727,0.005340290255844593,0.0005220770835876465,-0.13403284549713135,2520,230144,,237.56517887115479,0.0
,500.0,,,,1763260289.825956,,,,,2533,231460,500.0,238.7409451007843,
1087.0,,0.43334099650382996,0.0001607526937732473,0.004196575842797756,1763260290.5227435,0.0001304810866713524,0.011206480674445629,0.0008143484592437744,-3.499380588531494,2540,232192,,239.43773245811462,0.0
1087.0,500.0,0.3541664183139801,0.00016029186372179538,-0.0014050314202904701,1763260291.2366717,0.00022721383720636368,545.8289794921875,0.0046132877469062805,-0.004076719284057617,2547,232960,500.0,240.15166068077087,0.0
1087.0,,0.4196489751338959,0.0001588325685588643,0.011855106800794601,1763260293.4343913,0.0012996681034564972,0.0020993335638195276,-0.001971304416656494,-3.3854470252990723,2570,235392,,242.34938025474548,0.0
,500.0,,,,1763260293.460435,,,,,2571,235460,500.0,242.37542390823364,
,500.0,,,,1763260293.9120073,,,,,2576,235960,500.0,242.82699632644653,
1087.0,,0.4296700358390808,0.0001584485435159877,0.009891741909086704,1763260294.0065515,0.0003444524481892586,648.8038330078125,-0.0006803497672080994,0.0002180933952331543,2577,236032,,242.92154049873352,0.0
1087.0,,0.39661747217178345,0.0001565284183016047,-0.0008535636588931084,1763260296.9201229,0.00018579233437776566,0.0018789160531014204,-0.0007732734084129333,0.23482942581176758,2608,239232,,245.83511185646057,0.0
,500.0,,,,1763260297.0660894,,,,,2610,239460,500.0,245.98107838630676,
,500.0,,,,1763260298.9247534,,,,,2630,241460,500.0,247.83974242210388,
1087.0,,0.47554272413253784,0.00015483870811294764,-0.0005474807694554329,1763260299.4992232,0.0005190419033169746,412.657470703125,-0.0010171905159950256,-0.002540111541748047,2636,242048,,248.41421222686768,0.0
1087.0,,0.47925126552581787,0.00015422426804434508,0.001735917292535305,1763260300.4296575,3.957469016313553e-05,290.82293701171875,-0.002742711454629898,-3.540515899658203e-05,2646,243072,,249.34464645385742,0.0
1087.0,,0.4795154929161072,0.00015414746303576976,-0.0013231271877884865,1763260300.5417817,0.0005364483222365379,0.003085742937400937,-0.000901881605386734,-0.10818839073181152,2647,243200,,249.45677065849304,0.0
1087.0,,0.5179858207702637,0.00015407065802719444,-0.002356979064643383,1763260300.6551802,0.00039875786751508713,0.0005132557125762105,7.390230894088745e-05,0.16789257526397705,2648,243328,,249.57016921043396,0.0
1087.0,,0.488364040851593,0.00015284177788998932,-0.0032843155786395073,1763260302.5188658,0.00014871638268232346,0.0004647637833841145,-0.0017297230660915375,-0.37158727645874023,2668,245376,,251.43385481834412,0.0
1087.0,,0.44862473011016846,0.00015253455785568804,-0.004032628610730171,1763260302.9720533,0.0003025233745574951,0.0006729376618750393,-0.0006277374923229218,-0.08725237846374512,2673,245888,,251.88704228401184,0.0
1087.0,,0.4534033536911011,0.00015192011778708547,0.0010979743674397469,1763260303.9120023,0.00014811474829912186,0.0003197115729562938,-0.0037692300975322723,0.2763872742652893,2683,246912,,252.82699131965637,0.0
1088.0,,0.45038309693336487,0.0001516897027613595,-0.006806663237512112,1763260304.2539577,0.0018108664080500603,0.00031632237369194627,-0.018674910068511963,-0.4126778841018677,2687,247296,,253.16894674301147,0.005859375
,500.0,,,,1763260304.3806703,,,,,2689,247460,500.0,253.29565930366516,
1087.0,,0.44388383626937866,0.00015138248272705823,0.0037863682955503464,1763260304.7407572,0.002564903348684311,0.0012742741964757442,-0.03249631077051163,0.12378263473510742,2692,247808,,253.65574622154236,0.0
,500.0,,,,1763260308.4944696,,,,,2732,251960,500.0,257.40945863723755,
,500.0,,,,1763260310.4106107,,,,,2752,253960,500.0,259.32559967041016,
1087.0,,0.4795180559158325,0.0001473886368330568,0.0022127553820610046,1763260310.8959296,0.00021241791546344757,823.7387084960938,0.004582248628139496,-0.0003782510757446289,2757,254464,,259.8109185695648,0.0
