_timestamp,losses/old_approx_kl,losses/entropy,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/clipfrac,losses/approx_kl,losses/explained_variance,_step,charts/episodic_return,_runtime,global_step,losses/policy_loss,charts/SPS
1763260576.757707,0.004333876073360443,0.6076985597610474,0.0026062126271426678,,0.00011781873763538897,0.0,0.000256391242146492,-0.0014848709106445312,3188,,485.81987500190735,303744,-0.005103342235088348,664.0
1763260579.5089936,-0.0011168932542204857,0.6106599569320679,0.00019450602121651173,,0.0001159754247055389,0.0,4.892144352197647e-05,0.01837289333343506,3217,,488.5711615085602,306816,0.0022008568048477173,666.0
1763260580.122044,,,,500.0,,,,,3224,500.0,489.1842119693756,307500,,
1763260582.3040178,0.0006174109876155853,0.581915020942688,0.00018373575585428625,,0.00011413210449973121,0.0,4.0493905544281006e-05,-0.05377507209777832,3247,,491.3661856651306,309888,-0.002406831830739975,669.0
1763260582.529462,0.003676065243780613,0.5386730432510376,0.00298199150711298,,0.00011397849448258057,0.0,0.0001679370179772377,0.060429155826568604,3250,,491.59162998199463,310144,0.005422607064247131,669.0
1763260582.7513826,0.003876078873872757,0.5947604179382324,0.00016467946988996118,,0.00011382488446542993,0.0,9.832903742790222e-05,-0.01793646812438965,3252,,491.8135504722595,310400,0.0015714839100837708,669.0
1763260583.0139155,-0.0008532116189599037,0.6173716187477112,0.0031093184370547533,,0.00011367127444827929,0.0,4.115980118513107e-05,-0.04455924034118652,3255,,492.07608342170715,310656,0.001438133418560028,670.0
1763260583.3499851,0.0022413404658436775,0.5761114358901978,0.0035447566770017147,,0.00011344085942255333,0.0,8.577201515436172e-05,0.012310445308685303,3259,,492.4121530056,311040,-0.003363490104675293,670.0
1763260584.535115,,,,500.0,,,,,3272,500.0,493.5972828865051,312411,,
1763260584.838353,0.0030539240688085556,0.5833712816238403,0.0002236106083728373,,0.00011244239431107417,0.0,0.0003093276172876358,-0.03209960460662842,3275,,493.9005208015442,312704,-0.0017124265432357788,671.0
1763260584.8553872,,,,339.0,,,,,3276,339.0,493.91755509376526,312750,,
1763260586.598277,-0.0008063418790698051,0.6070322394371033,0.0002273882128065452,,0.00011129031918244436,0.0,0.00016286317259073257,-0.020103096961975098,3296,,495.6604449748993,314624,0.0010558441281318665,673.0
1763260586.8221908,-0.0006568972021341324,0.5679024457931519,599.2573852539062,,0.00011113670916529372,0.0,5.7250261306762695e-05,-2.7179718017578125e-05,3299,,495.8843586444855,314880,0.0030706264078617096,673.0
1763260590.4411983,0.002554282546043396,0.5229822993278503,0.0033034211955964565,,0.00010875576117541641,0.0,2.4741515517234802e-05,-0.016933798789978027,3338,,499.50336623191833,318848,-0.0011428818106651306,676.0
1763260591.6305215,,,,500.0,,,,,3351,500.0,500.6926894187927,320219,,
1763260592.162056,0.00043444614857435226,0.6122159957885742,520.7750244140625,,0.0001076036860467866,0.0,7.049832493066788e-05,-2.849102020263672e-05,3357,,501.2242238521576,320768,0.0025984495878219604,678.0
1763260592.4208252,0.001395590603351593,0.5439104437828064,141.8826141357422,,0.00010745007602963597,0.0,0.00029530003666877747,5.6684017181396484e-05,3360,,501.4829931259155,321024,-0.01514299213886261,678.0
1763260596.007346,,,,500.0,,,,,3398,500.0,505.06951379776,324899,,
1763260596.3838582,0.0015547731891274452,0.5355817675590515,0.0002854268532246351,,0.00010491551802260801,0.0,1.270044595003128e-05,-0.008298397064208984,3401,,505.44602608680725,325248,0.000637054443359375,681.0
1763260596.939592,-0.0005750963464379311,0.5618996024131775,0.00032922864193096757,,0.00010460829798830673,0.0,0.0008497769013047218,-0.010618209838867188,3406,,506.00175976753235,325760,-0.013996005058288574,682.0
1763260597.0628061,0.007861527614295483,0.5629098415374756,0.00018073816318064928,,0.00010453149297973141,0.0,0.00042289216071367264,-0.04306447505950928,3407,,506.1249740123749,325888,-0.0032745301723480225,682.0
1763260598.2965245,0.004098429344594479,0.5252820253372192,0.0031546021346002817,,0.00010384024790255353,0.0,0.00034954678267240524,0.02655470371246338,3419,,507.35869240760803,327040,-0.004623599350452423,682.0
1763260599.1118412,0.002077324315905571,0.5660406947135925,0.00019229823374189436,,0.00010337941785110161,0.0,0.00026716478168964386,-0.00613856315612793,3426,,508.17400908470154,327808,-0.004507765173912048,683.0
1763260599.264554,-0.0019370606169104576,0.5515226125717163,428.2181396484375,,0.00010330261284252629,0.0,6.0389749705791473e-05,3.439188003540039e-05,3428,,508.326721906662,327936,0.0018688701093196869,683.0
1763260600.044618,0.0013102684170007706,0.5893880128860474,0.00030968975625000894,,0.00010284178279107437,0.0,1.753866672515869e-05,-0.005539417266845703,3435,,509.10678577423096,328704,0.0009467899799346924,683.0
1763260601.6048114,0.006093015894293785,0.575936496257782,0.00026754860300570726,,0.00010192012268817052,0.0,6.922893226146698e-05,0.013597726821899414,3450,,510.66697931289673,330240,-0.0005786698311567307,684.0
1763260601.731044,0.000386933796107769,0.6165405511856079,0.00015099924348760396,,0.0001018433176795952,0.0,4.193466156721115e-05,0.010549187660217285,3451,,510.7932119369507,330368,6.720051169395447e-05,684.0
1763260602.782232,,,,500.0,,,,,3462,500.0,511.84439992904663,331399,,
1763260604.2334871,,,,500.0,,,,,3476,500.0,513.2956550121307,332899,,
1763260604.5604286,0.0028185173869132996,0.5065598487854004,0.00038831098936498165,,0.00010015360749093816,0.0,0.00093817338347435,-0.28987324237823486,3479,,513.6225965023041,333184,0.002775333821773529,686.0
1763260606.480883,-0.0010506780818104744,0.5580610036849976,0.0027823650743812323,,9.900153963826597e-05,0.0,4.4121406972408295e-05,-0.0075408220291137695,3498,,515.5430507659912,335104,0.0014223121106624603,688.0
1763260606.9647555,0.005032949149608612,0.5754554271697998,0.0015192561550065875,,9.869431960396469e-05,0.0,0.00046911463141441345,0.009869158267974854,3503,,516.026923418045,335616,-0.003860391676425934,688.0
1763260607.9240515,,,,500.0,,,,,3513,500.0,516.9862194061279,336594,,
