global_step,losses/value_loss,_runtime,_timestamp,losses/approx_kl,losses/old_approx_kl,_step,charts/SPS,charts/episodic_return,losses/entropy,losses/policy_loss,charts/learning_rate,charts/episodic_length,losses/clipfrac,losses/explained_variance
103552,447.4097595214844,232.57245707511902,1763260322.6278121,0.0007599592208862305,0.003560619428753853,1197,509.0,,0.48642483353614807,-0.00134359672665596,0.00023794162552803755,,0.0,0.0003471970558166504
105216,0.0037862369790673256,235.3395495414734,1763260325.3949046,0.00022106710821390152,0.004511761479079723,1213,510.0,,0.4264964759349823,-0.004738231189548969,0.00023694316041655838,,0.0,0.08066034317016602
105472,0.0005537226097658277,235.7352306842804,1763260325.7905858,0.0010362425819039345,-0.00843095313757658,1215,511.0,,0.42996910214424133,0.014408465474843979,0.00023678955039940774,,0.005859375,0.22610151767730713
106507,,237.56581902503967,1763260327.621174,,,1226,,500.0,,,,500.0,,
107007,,238.2590527534485,1763260328.3144078,,,1230,,500.0,,,,500.0,,
107392,0.00027649657567963004,239.11021304130554,1763260329.165568,0.0006062332540750504,0.0013142675161361694,1234,512.0,,0.48267191648483276,-0.006213698536157608,0.00023563747527077794,,0.0,-2.4407920837402344
108507,,240.89819741249084,1763260330.9535525,,,1245,,500.0,,,,500.0,,
109440,0.002281832043081522,242.3223578929901,1763260332.377713,0.0027371635660529137,0.0066338106989860535,1254,513.0,,0.47310522198677063,-0.00019762665033340454,0.00023440859513357282,,0.0,0.6253171563148499
111104,558.5733032226562,244.60936760902405,1763260334.6647227,7.187388837337494e-05,-0.001706887036561966,1271,516.0,,0.45271673798561096,-0.0001531168818473816,0.00023341014457400888,,0.0,0.0004913210868835449
114007,,248.39010977745056,1763260338.4454648,,,1299,,500.0,,,,500.0,,
118016,558.2821655273438,253.6379747390747,1763260343.6933298,0.0006119487807154655,-0.006464450620114803,1339,526.0,,0.5544814467430115,-0.002122931182384491,0.0002292626741109416,,0.0,0.0009804368019104004
118144,0.0046104369685053825,253.76636815071106,1763260343.8217232,0.011915916576981544,0.010489702224731445,1340,526.0,,0.5762938261032104,-0.02823064848780632,0.00022918586910236627,,0.01171875,0.809643566608429
119040,530.106689453125,254.75838708877563,1763260344.8137422,0.0007502362132072449,0.001337902620434761,1349,528.0,,0.48443368077278137,-0.010531898587942123,0.00022864823404233903,,0.0,0.0006681680679321289
120507,,256.6365957260132,1763260346.6919508,,,1363,,500.0,,,,500.0,,
120704,0.004372171126306057,257.0217821598053,1763260347.0771372,0.00019155163317918777,0.003127087838947773,1365,530.0,,0.513536274433136,4.045665264129639e-05,0.00022764976893085986,,0.0,0.188387930393219
121216,0.004873173777014017,257.8060495853424,1763260347.8614047,0.0001178281381726265,-0.003730817697942257,1370,530.0,,0.4972183108329773,-0.0031524673104286194,0.00022734254889655858,,0.0,0.12883758544921875
122240,0.004881658591330051,259.4191551208496,1763260349.4745102,0.0031091049313545227,-0.0005601923912763596,1380,531.0,,0.5394385457038879,-0.0133303701877594,0.00022672810882795602,,0.009765625,-0.07249927520751953
122368,0.0006718869553878903,259.6305003166199,1763260349.6858554,0.0009586233645677567,0.006698746234178543,1381,531.0,,0.536064863204956,-0.012354668229818344,0.0002266513038193807,,0.0,0.3384661078453064
