losses/clipfrac,losses/value_loss,losses/old_approx_kl,_timestamp,charts/episodic_length,global_step,losses/policy_loss,losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_return,_runtime,charts/learning_rate,_step,charts/SPS
0.0,2.162480354309082,5.879998207092285e-05,1763260248.5888715,,57216,5.3882598876953125e-05,0.005723834037780762,0.5377767086029053,7.957220077514648e-06,,157.7598955631256,0.000265745009528473,767,443.0
,,,1763260250.1117225,500.0,58078,,,,,500.0,159.28274655342102,,775,
0.0,326.57794189453125,0.004770132713019848,1763260252.7117298,,59264,0.007780525833368301,0.01713043451309204,0.5049409866333008,0.0004236111417412758,,161.88275384902954,0.0002645161293912679,788,444.0
0.0,1.1991146802902222,-0.004247409291565418,1763260252.9533815,,59392,0.003647744655609131,0.003024160861968994,0.5621396899223328,0.00017077941447496414,,162.1244056224823,0.0002644393243826926,789,444.0
,,,1763260254.557183,500.0,60236,,,,,500.0,163.72820711135864,,797,
0.0,0.4628804326057434,0.0036749588325619698,1763260256.601638,,61184,0.0039028190076351166,-0.08199000358581543,0.43303656578063965,0.0009219842031598091,,165.77266216278076,0.0002633640542626381,806,446.0
0.0,0.3312699496746063,-0.0055109355598688126,1763260258.3918092,,62080,-0.004748523235321045,-0.25625014305114746,0.4650278687477112,0.00036405958235263824,,167.56283330917358,0.00026282641920261085,815,446.0
0.0,0.0007710041245445609,0.0034503405913710594,1763260267.9799213,,66944,-0.002821817994117737,-0.28200197219848633,0.5408248901367188,0.0004871254786849022,,177.15094542503357,0.0002599078288767487,863,450.0
0.0,0.003237315686419606,-0.017495060339570045,1763260269.7942169,,67840,-0.011114370077848434,0.29152458906173706,0.490151047706604,0.0010301023721694946,,178.96524095535278,0.00025937019381672144,872,451.0
0.0,0.0032979422248899937,-0.004554249346256256,1763260270.5675344,,68224,-0.010220460593700409,-5.4836273193359375e-06,0.43814152479171753,0.000707654282450676,,179.7385585308075,0.0002591397787909955,876,451.0
0.0,0.004803571850061417,-0.00039394106715917587,1763260278.6931095,,72320,-0.005646891891956329,-0.5900744199752808,0.4285654127597809,0.00022865738719701767,,187.8641335964203,0.00025668201851658523,916,454.0
0.00390625,0.000437081849668175,-0.002329394221305847,1763260279.9925237,,72960,-0.01910235546529293,0.15515553951263428,0.5465899705886841,0.001841805875301361,,189.16354775428772,0.00025629799347370863,922,454.0
