losses/clipfrac,charts/episodic_return,charts/learning_rate,losses/explained_variance,global_step,_step,losses/entropy,_timestamp,charts/SPS,_runtime,losses/value_loss,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length
0.0,,0.0002530721831135452,0.00015556812286376953,78336,974,0.5400670766830444,1763260289.103818,461.0,198.09868693351746,486.9154052734375,-0.0013224445283412933,0.00014626141637563705,0.004001854918897152,
0.0,,0.0002526881580706686,-0.12707149982452393,78976,980,0.4684782326221466,1763260289.9654794,463.0,198.96034836769104,0.003890922525897622,-0.003940196707844734,0.0012642964720726013,0.00375303253531456,
0.0,,0.0002523809380363673,-0.2125779390335083,79488,985,0.48230794072151184,1763260290.5594592,464.0,199.5543282032013,0.005198029801249504,0.0017036721110343933,0.00029146671295166016,-0.00607326440513134,
0.0,,0.0002517665270715952,-0.3587639331817627,80512,995,0.5350268483161926,1763260291.789415,467.0,200.78428387641907,0.005383362527936697,0.0015356019139289856,0.0006602024659514427,0.007551585324108601,
0.001953125,,0.00025161291705444455,-0.4138052463531494,80768,997,0.4559740722179413,1763260292.0975175,467.0,201.09238648414612,0.00022005362552590668,-0.02202809974551201,0.002539072185754776,0.012690145522356033,
0.0,,0.00025053764693439007,-3.434633731842041,82560,1015,0.5093998908996582,1763260295.3628776,469.0,204.35774660110474,0.0014463856350630522,-0.0023168399930000305,0.0005521969869732857,0.004769057966768742,
0.0,,0.0002502304269000888,0.08781850337982178,83072,1020,0.5587632656097412,1763260296.2624035,469.0,205.25727248191833,0.0012913988903164864,-0.0041778795421123505,0.0012658704072237015,-0.01975087821483612,
0.01953125,,0.0002495391818229109,-1.5367765426635742,84224,1031,0.49469900131225586,1763260298.2898674,470.0,207.2847363948822,0.00018016743706539273,0.0002349168062210083,0.004571312107145786,0.01453543920069933,
0.046875,,0.0002483871066942811,-1.4887099266052246,86144,1050,0.5061085820198059,1763260301.375692,473.0,210.3705608844757,0.0006899632280692458,-0.03457537293434143,0.009650920517742634,-0.0035793455317616463,
0.0,,0.00024823349667713046,6.318092346191406e-06,86400,1053,0.4613615572452545,1763260301.7269104,473.0,210.72177934646606,211.12843322753906,-0.002241365611553192,0.00012527033686637878,0.002757227048277855,
0.0,,0.0002479262766428292,-1.4543533325195312e-05,86912,1058,0.46739262342453003,1763260302.295754,475.0,211.29062294960022,247.88250732421875,-5.55478036403656e-05,0.00020170677453279495,-0.002369591034948826,
0.0,,0.0002464669814798981,-7.104873657226562e-05,89344,1082,0.4214509427547455,1763260305.9260845,479.0,214.92095351219177,426.1747741699219,0.006594862788915634,0.0005671177059412003,-0.0003660842776298523,
0.0,,0.0002463901764713228,0.10027205944061279,89472,1083,0.48186367750167847,1763260306.1561537,479.0,215.1510226726532,0.003978716675192118,0.0006515085697174072,0.00016444269567728043,-0.004060202278196812,
,500.0,,,90303,1091,,1763260307.594061,,216.5889298915863,,,,,500.0
,500.0,,,91803,1106,,1763260310.2823958,,219.27726483345032,,,,,500.0
0.0,,0.0002442396362312138,-0.002079486846923828,93056,1118,0.5312457084655762,1763260312.244298,482.0,221.23916697502136,0.0007379867602139711,-0.004760203883051872,0.0013640215620398521,0.009822721593081951,
,500.0,,,93803,1125,,1763260313.2286832,,222.22355222702026,,,,,500.0
0.0,,0.00024331797612830997,-0.023947834968566895,94592,1133,0.49408286809921265,1763260314.2142897,485.0,223.20915865898132,0.0005944968434050679,-0.0022736452519893646,0.0004898440092802048,0.006248947232961655,
,500.0,,,95803,1145,,1763260315.6378875,,224.6327564716339,,,,,500.0
0.0,,0.00024139785091392696,-0.08797347545623779,97792,1164,0.4164557456970215,1763260318.084285,492.0,227.0791540145874,0.0002455368230585009,-0.005379680544137955,0.0025422023609280586,0.005801270715892315,
,500.0,,,97803,1165,,1763260318.1142156,,227.10908460617065,,,,,500.0
0.021484375,,0.00024093702086247504,-0.07845211029052734,98560,1172,0.5258961319923401,1763260318.9888358,493.0,227.98370480537415,0.0004334554832894355,-0.01517227292060852,0.008108803071081638,-0.011472227983176708,
0.0,,0.0002403993858024478,-0.10505032539367676,99456,1181,0.5037841796875,1763260320.2886915,495.0,229.28356051445007,0.007011589594185352,0.016365788877010345,0.0015930896624922752,-0.01187132392078638,
0.005859375,,0.00024009216576814651,0.0034620165824890137,99968,1186,0.5068737864494324,1763260321.27323,495.0,230.26809906959534,0.00547078438103199,-0.00781109556555748,0.000990506261587143,0.0020191650837659836,
0.0,,0.00023940092069096863,0.06815630197525024,101120,1197,0.5268946290016174,1763260323.4236708,495.0,232.41853976249695,0.0009647483821026981,-0.003708392381668091,0.0009042294695973396,0.002358566038310528,
0.0,,0.00023840245557948947,0.14029377698898315,102784,1213,0.5197188258171082,1763260326.3754923,496.0,235.370361328125,0.00022168329451233149,-0.010551112703979015,0.0015966789796948433,0.006697184406220913,
0.0,,0.00023832565057091415,0.00026547908782958984,102912,1215,0.5097153782844543,1763260326.6591184,496.0,235.65398740768433,181.48477172851562,0.003620203584432602,0.001086357980966568,-0.004691854119300842,
