_timestamp,losses/policy_loss,losses/value_loss,charts/episodic_return,losses/explained_variance,losses/entropy,losses/approx_kl,losses/clipfrac,charts/episodic_length,_runtime,charts/SPS,global_step,_step,losses/old_approx_kl,charts/learning_rate
1763260236.6269412,0.0031492337584495544,2.051090955734253,,-0.18168222904205322,0.6091560125350952,3.142375499010086e-05,0.0,,145.57701325416565,479.0,56192,775,-0.0006045876070857048,0.0002663594495970756
1763260238.662681,,,238.0,,,,,238.0,147.6127531528473,,57322,788,,
1763260240.332508,-0.020287737250328064,1.8971531391143799,,-5.48258113861084,0.5135090947151184,0.001982620917260647,0.001953125,,149.2825801372528,480.0,58112,797,0.009068290702998638,0.0002652073744684458
1763260241.7892215,0.0008682310581207275,395.9576416015625,,-2.968311309814453e-05,0.5680590867996216,2.211984246969223e-05,0.0,,150.73929357528687,481.0,58880,806,0.001019311137497425,0.00026474654441699386
1763260243.423392,-0.004150914028286934,1.4328551292419434,,-0.10576057434082031,0.5355250835418701,0.00010980665683746338,0.0,,152.37346410751343,482.0,59776,815,0.0024800803512334824,0.0002642089093569666
1763260252.074306,0.0017439685761928558,569.139404296875,,0.00023180246353149414,0.48633426427841187,9.606871753931046e-05,0.0,,161.02437806129456,487.0,64640,863,-0.0003283163532614708,0.00026129031903110445
1763260253.742966,,,500.0,,,,,500.0,162.69303798675537,,65623,872,,
1763260254.6700482,-0.02487720549106598,0.047023456543684006,,-5.218600749969482,0.5165227055549622,0.013424643315374851,0.033203125,,163.62012028694153,488.0,66048,876,-0.016025975346565247,0.0002604454639367759
1763260263.1092222,-0.00703030452132225,321.8752746582031,,-0.00023555755615234375,0.5513942837715149,0.00030351709574460983,0.0,,172.0592942237854,491.0,70656,922,0.00026904139667749405,0.0002576804836280644
1763260264.7134104,-0.0002462510019540787,0.00017142819706350565,,-0.9453396797180176,0.5069701671600342,0.0007747076451778412,0.00390625,,173.66348242759705,492.0,71552,930,-0.003665819764137268,0.00025714284856803715
1763260266.0954297,-0.01949756219983101,0.006145492196083069,,0.24320733547210693,0.4994633197784424,0.0017621135339140892,0.0,,175.04550170898438,493.0,72320,938,-0.00030741747468709946,0.00025668201851658523
1763260266.6030376,,,500.0,,,,,500.0,175.5531096458435,,72623,941,,
1763260266.8244445,-0.0052078962326049805,349.986572265625,,-3.933906555175781e-06,0.5352693200111389,0.0006653685122728348,0.0,,175.774516582489,493.0,72704,942,-0.005660057067871094,0.00025645160349085927
1763260268.0228894,-0.0010561943054199219,0.0037424813490360975,,-0.04028797149658203,0.5438729524612427,0.00023698247969150543,0.0,,176.97296142578125,493.0,73344,948,-0.00672578252851963,0.00025606757844798267
1763260272.959166,0.00033994484692811966,0.0004073562740813941,,0.22286289930343628,0.5070299506187439,0.002361766993999481,0.00390625,,181.90923810005188,495.0,76032,974,-0.017992258071899414,0.00025445467326790094
1763260273.9602888,,,500.0,,,,,500.0,182.91036081314087,,76623,980,,
1763260274.9247675,,,500.0,,,,,500.0,183.87483954429626,,77123,985,,
1763260276.8512263,,,500.0,,,,,500.0,185.80129837989807,,78123,995,,
1763260277.3126187,0.003483518958091736,0.005978213623166084,,0.03341943025588989,0.4639439582824707,0.0017415834590792656,0.0,,186.262690782547,496.0,78336,997,0.00584642868489027,0.0002530721831135452
1763260280.716656,-0.010829713195562363,587.4937744140625,,-0.00023090839385986328,0.4727969169616699,0.0013998216018080711,0.0,,189.66672801971436,496.0,80128,1015,0.014600405469536781,0.00025199694209732115
1763260281.6868002,-0.012892479076981544,531.6275634765625,,3.337860107421875e-05,0.40010690689086914,0.0004995455965399742,0.0,,190.63687229156494,497.0,80640,1020,0.0014448603615164757,0.00025168972206301987
1763260283.7903545,-0.010404102504253387,0.00799545831978321,,0.15256577730178833,0.3663260042667389,0.0018643904477357864,0.0,,192.74042654037476,497.0,81792,1031,0.0024987999349832535,0.000250998476985842
1763260287.3691814,-0.014999426901340485,512.8896484375,,7.987022399902344e-06,0.5040857195854187,0.001687592826783657,0.0,,196.31925344467163,498.0,83712,1050,0.002461451105773449,0.0002498464018572122
1763260288.0244288,-0.0021867454051971436,0.00038673097151331604,,-0.3919825553894043,0.47503700852394104,0.00163346529006958,0.0,,196.9745008945465,498.0,84096,1053,0.00044283829629421234,0.0002496159868314862
1763260288.8967903,-0.01816432923078537,0.00034231581958010793,,0.10738152265548706,0.5137649774551392,0.006628668867051601,0.015625,,197.8468623161316,499.0,84608,1058,0.026280894875526428,0.00024930876679718494
1763260291.9435458,,,500.0,,,,,500.0,200.89361786842346,,87123,1083,,
1763260293.376922,-0.03103906288743019,0.0006393012008629739,,0.24588507413864136,0.5137150287628174,0.005159896798431873,0.0,,202.32699394226074,505.0,87936,1091,0.0028940653428435326,0.0002473118365742266
1763260295.8247318,0.0031297989189624786,0.0007011994021013379,,-0.05335843563079834,0.4779241681098938,0.0033697830513119698,0.017578125,,204.77480387687683,507.0,89472,1106,-0.012270686216652393,0.0002463901764713228
1763260297.7844179,-0.005248291417956352,111.14444732666016,,3.8504600524902344e-05,0.5029792785644531,0.0017473790794610977,0.001953125,,206.73448991775513,508.0,90624,1118,-0.008271412923932076,0.0002456989313941449
