_step,losses/policy_loss,charts/episodic_length,_timestamp,charts/episodic_return,_runtime,losses/approx_kl,losses/clipfrac,global_step,charts/learning_rate,losses/explained_variance,losses/old_approx_kl,charts/SPS,losses/entropy,losses/value_loss
1405,0.004157319664955139,,1763260131.2985234,,71.18309545516968,0.00475230161100626,0.046875,65408,0.0002608294889796525,-0.019287705421447754,0.022330528125166893,1028.0,0.28210708498954773,0.0017040659440681338
1432,0.005077240988612175,,1763260133.737466,,73.62203812599182,0.00597038771957159,0.115234375,68096,0.0002592165837995708,-0.00016248226165771484,0.03579756245017052,1031.0,0.28544068336486816,120.70018005371094
1433,-0.0051559749990701675,,1763260133.8848832,,73.76945519447327,0.0027736173942685127,0.001953125,68224,0.0002591397787909955,0.015762746334075928,0.003102620132267475,1031.0,0.3385137617588043,0.00571747962385416
1455,0.0033271871507167816,,1763260137.1645052,,77.04907727241516,0.0019943872466683388,0.0,70528,0.0002577572886366397,0.022692859172821045,-0.001746159978210926,1015.0,0.31397849321365356,0.0003058567817788571
1456,,500.0,1763260137.2140238,500.0,77.09859585762024,,,70559,,,,,,
1457,-0.00015446729958057404,,1763260137.4033167,,77.28788876533508,0.000240229070186615,0.0,70656,0.0002576804836280644,-0.00010383129119873047,0.0013219267129898071,1014.0,0.23520693182945251,144.51068115234375
1514,0.017519254237413406,,1763260147.9387615,,87.8233335018158,0.0004776306450366974,0.0,76544,0.00025414745323359966,-0.007337331771850586,-0.011242089793086052,954.0,0.2101350724697113,0.0004072145093232393
1521,-0.005684828385710716,,1763260148.9870625,,88.8716344833374,0.0101266298443079,0.04296875,77184,0.00025376342819072306,-7.712841033935547e-05,-0.0019146017730236053,949.0,0.2782086730003357,0.013461711816489697
1527,-0.002079227939248085,,1763260149.9810236,,89.86559557914734,3.795325756072998e-05,0.005859375,77824,0.00025337940314784646,-0.016263604164123535,0.001295141875743866,946.0,0.1773497611284256,0.00014462189574260265
1529,,500.0,1763260150.2144952,500.0,90.09906721115112,,,78059,,,,,,
1534,,500.0,1763260150.988479,500.0,90.87305092811584,,,78559,,,,,,
1536,0.001035306602716446,,1763260151.3245814,,91.20915341377258,0.0003427146002650261,0.0,78720,0.0002528417680878192,-0.011022210121154785,0.007345710881054401,941.0,0.31108558177948,0.004329153802245855
1543,-0.03836851567029953,,1763260152.479768,,92.36434006690979,0.00813205074518919,0.056640625,79488,0.0002523809380363673,-0.029874563217163086,0.020109005272388458,937.0,0.3056589961051941,1.0189292879658751e-05
1545,-0.01634981296956539,,1763260152.7086983,,92.59327030181885,0.008310634642839432,0.013671875,79616,0.000252304133027792,-7.736682891845703e-05,0.003526335582137108,936.0,0.26118582487106323,136.1007843017578
1546,-0.002765648066997528,,1763260152.9009583,,92.78553032875061,0.0009016701951622963,0.01171875,79744,0.00025222732801921666,-0.012468576431274414,0.009781981818377972,936.0,0.2483566552400589,0.002061526756733656
1558,0.012004297226667404,,1763260154.849494,,94.73406600952148,0.003309832885861397,0.009765625,81024,0.0002514593070372939,-0.0008443593978881836,0.01691020280122757,930.0,0.23366175591945648,4.1276143747381866e-05
1559,,500.0,1763260154.8896055,500.0,94.77417755126953,,,81059,,,,,,
1563,-0.006136838346719742,,1763260155.6008418,,95.48541378974915,0.0017519043758511543,0.0546875,81536,0.00025115208700299263,-0.017738938331604004,0.0038928790017962456,927.0,0.17872829735279083,0.0001460336206946522
1566,0.0025541670620441437,,1763260156.0061085,,95.89068055152893,0.002507469616830349,0.046875,81792,0.000250998476985842,-0.02258753776550293,0.021807610988616943,926.0,0.19690479338169098,0.0008327307878062129
1589,0.0005549974739551544,,1763260159.6728168,,99.55738878250122,0.002295226790010929,0.001953125,84096,0.0002496159868314862,-4.553794860839844e-05,0.00444731954485178,914.0,0.2694888114929199,138.9403839111328
1597,-0.0008898749947547913,,1763260160.987187,,100.8717589378357,0.004645246081054211,0.02734375,84992,0.000249078351771459,0.02393108606338501,0.008209423162043095,911.0,0.20757946372032166,9.906920604407787e-05
1607,-0.03207576274871826,,1763260162.571145,,102.45571708679199,0.008934274315834045,0.013671875,86016,0.0002484639117028564,0.0044214725494384766,0.041501548141241074,906.0,0.29959404468536377,0.00033154452103190124
1609,0.025722581893205643,,1763260162.798196,,102.68276810646057,0.002202879637479782,0.0078125,86144,0.0002483871066942811,-6.520748138427734e-05,0.008408298715949059,906.0,0.21232843399047852,139.88304138183594
1610,-0.03022805228829384,,1763260163.000583,,102.88515496253967,0.005377110093832016,0.03515625,86272,0.0002483103016857058,0.01475512981414795,0.008606028743088245,905.0,0.28113576769828796,0.0023706324864178896
1638,-0.009954717010259628,,1763260167.6120305,,107.4966025352478,0.006514512933790684,0.1015625,89088,0.00024662059149704874,-2.4199485778808594e-05,0.01501980796456337,891.0,0.2767142057418823,3.909489393234253
1687,-0.0018407050520181656,,1763260175.0247636,,114.90933561325073,0.019467594102025032,0.0625,94080,0.00024362519616261125,-5.4717063903808594e-05,0.06488721072673798,876.0,0.22318416833877563,0.019543353468179703
1732,-0.01976925879716873,,1763260182.8530867,,122.73765873908997,0.029142698273062706,0.048828125,98688,0.00024086021585389972,0.3633255958557129,-0.03135104849934578,857.0,0.2623072564601898,0.0025992305018007755
1745,,500.0,1763260185.2514217,500.0,125.13599371910095,,,100059,,,,,,
1753,-0.012225320562720299,,1763260186.6900902,,126.57466220855713,0.0062697408720850945,0.015625,100864,0.00023955453070811927,-0.008414506912231445,0.003925742581486702,847.0,0.3150266408920288,4.155664282734506e-05
1754,-0.0011249938979744911,,1763260186.8962145,,126.78078651428223,0.0016989419236779213,0.056640625,100992,0.00023947772569954395,-0.0038602352142333984,-0.004119151271879673,847.0,0.2140297293663025,8.514053479302675e-05
1765,,500.0,1763260188.5716164,500.0,128.45618844032288,,,102059,,,,,,
1768,7.00727105140686e-06,,1763260189.1662874,,129.05085945129395,0.00015291385352611542,0.0,102400,0.00023863287060521543,0.00015151500701904297,-0.0023741666227579117,843.0,0.1180545836687088,0.00013609719462692738
1777,0.00455670990049839,,1763260190.574041,,130.45861291885376,0.015251119621098042,0.041015625,103296,0.0002380952355451882,-0.0020689964294433594,-0.06139593943953514,840.0,0.25007522106170654,0.00047107087448239326
1818,-0.006550256162881851,,1763260197.139845,,137.02441692352295,0.00011099223047494888,0.0234375,107520,0.00023556067026220262,0.044512033462524414,-0.004051548428833485,830.0,0.1699792742729187,7.12521250534337e-06
1823,0.0022168979048728943,,1763260197.945185,,137.82975697517395,0.0024963216856122017,0.109375,108032,0.00023525345022790134,-0.024584412574768066,-0.005268492735922337,829.0,0.19888323545455933,2.366202352277469e-06
1851,-0.0005835816264152527,,1763260202.2725468,,142.15711879730225,0.009950535371899605,0.080078125,110848,0.00023356375459115952,0.0031476616859436035,0.010363373905420303,823.0,0.18471452593803406,0.00010049996490124613
1856,-0.033524930477142334,,1763260203.055327,,142.93989896774292,0.007794901728630066,0.037109375,111360,0.00023325653455685824,0.11635679006576538,0.016407983377575874,822.0,0.12271508574485779,8.213680848712102e-05
1868,,500.0,1763260204.874835,500.0,144.75940704345703,,,112559,,,,,,
1873,,500.0,1763260205.678717,500.0,145.56328892707825,,,113059,,,,,,
1877,-0.03199733793735504,,1763260206.4193451,,146.30391716957092,0.051448795944452286,0.1171875,113536,0.0002319508494110778,0.32378286123275757,0.09858398884534836,818.0,0.18844039738178253,0.0007140962989069521
1886,-0.04131200164556503,,1763260207.7956212,,147.68019318580627,0.012514641508460045,0.15234375,114432,0.00023141321435105056,0.16586315631866455,0.049917977303266525,816.0,0.19469568133354187,0.00034707601298578084
1903,0.00019144266843795776,,1763260210.4432755,,150.32784748077393,0.0008489787578582764,0.0078125,116096,0.0002304147492395714,0.003739476203918457,0.012034166604280472,813.0,0.18848729133605957,26.056251525878906
1906,-0.0003045066259801388,,1763260210.995359,,150.87993097305298,1.3966113328933716e-05,0.0390625,116480,0.00023018433421384543,0.7814426422119141,0.0011462867259979248,813.0,0.21558386087417603,0.001525640138424933
1918,0.002230783924460411,,1763260212.8523722,,152.7369441986084,0.0071602631360292435,0.05078125,117632,0.00022949308913666755,0.011707425117492676,0.016577834263443947,810.0,0.1489141434431076,145.5174102783203
1920,-0.041983462870121,,1763260213.2398963,,153.1244683265686,0.0392562560737133,0.09375,117888,0.0002293394791195169,0.8483524322509766,0.09383075684309006,810.0,0.25076714158058167,0.0006143752834759653
1945,-0.02321295440196991,,1763260217.2883792,,157.17295122146606,0.008178165182471275,0.095703125,120448,0.0002278033789480105,0.934629499912262,0.025908788666129112,805.0,0.19276997447013855,0.004303205292671919
1959,-0.0009018722921609879,,1763260219.5590003,,159.44357228279114,0.0026769861578941345,0.033203125,121856,0.00022695852385368198,0.9121407866477966,0.0057610925287008286,802.0,0.18470872938632965,0.00041868185508064926
1973,-0.012248598039150238,,1763260221.8214262,,161.70599818229675,0.0018533691763877869,0.01953125,123264,0.00022611366875935346,0.9551229476928711,0.003917355090379715,799.0,0.18112812936306,2.9242244636407122e-05
1985,-0.002537176012992859,,1763260223.7989266,,163.68349862098694,0.0026646722108125687,0.09765625,124544,0.00022534561867360026,0.9891448020935059,-0.011326100677251816,797.0,0.25405341386795044,0.002223973860964179
1991,,500.0,1763260224.6376827,500.0,164.52225470542908,,,125059,,,,,,
2002,0.0001622214913368225,,1763260226.3938906,,166.27846264839172,0.03327350318431854,0.083984375,126208,0.0002243471535621211,0.9191295504570007,-0.011246392503380775,795.0,0.13326343894004822,9.702508396003395e-05
2007,0.009592857211828232,,1763260227.197165,,167.0817370414734,0.014998084865510464,0.080078125,126720,0.0002240399335278198,0.9631914496421814,0.008412822149693966,794.0,0.27165621519088745,5.332162254489958e-05
2016,-0.004284553229808807,,1763260228.610759,,168.49533104896545,0.014651486650109291,0.01171875,127616,0.00022350229846779257,0.16021543741226196,-0.040070001035928726,793.0,0.1154206171631813,0.45737341046333313
2024,-0.0675019770860672,,1763260229.9730155,,169.85758757591248,0.08487331122159958,0.162109375,128512,0.00022296466340776533,0.9930859804153442,0.12476779520511627,792.0,0.20368582010269165,0.009250897914171219
2027,-0.008283831179141998,,1763260230.4247606,,170.30933260917664,0.001210009679198265,0.01953125,128768,0.0002228110533906147,0.9803727269172668,0.013376817107200623,791.0,0.193137526512146,4.1391514969291165e-05
2034,,500.0,1763260231.447541,500.0,171.33211302757263,,,129531,,,,,,
2045,0.0048788804560899734,,1763260233.1098764,,172.99444842338562,0.08373663574457169,0.05859375,130560,0.00022173579782247543,0.3616907596588135,0.10757620632648468,789.0,0.20197531580924988,119.38441467285156
2051,-0.05698417127132416,,1763260234.069354,,173.95392608642578,0.03769482299685478,0.064453125,131200,0.00022135177277959883,0.9781131744384766,0.04774875193834305,788.0,0.29556143283843994,0.0017494040075689554
2052,-0.027214042842388153,,1763260234.26056,,174.14513206481934,0.14269477128982544,0.109375,131328,0.0002212749677710235,0.9970847368240356,0.20101101696491241,788.0,0.19969360530376434,0.007126849610358477
2070,,432.0,1763260236.7999818,432.0,176.68455386161804,,,133035,,,,,,
2076,-0.018134336918592453,,1763260237.7534966,,177.63806867599487,0.0032560667023062706,0.046875,133632,0.00021989247761666775,0.9936810731887817,0.007731116376817226,785.0,0.17188085615634918,6.465084879891947e-06
