losses/clipfrac,global_step,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_timestamp,charts/episodic_length,losses/explained_variance,losses/value_loss,_step,charts/learning_rate,losses/entropy,_runtime,charts/SPS
,43275,,,101.0,,1763260112.7983494,101.0,,,1133,,,52.528523445129395,
,44028,,,126.0,,1763260113.4048324,126.0,,,1145,,,53.13500642776489,
,45113,,,131.0,,1763260114.4556968,131.0,,,1164,,,54.185870885849,
0.173828125,45696,-0.03551212698221207,0.03270777314901352,,0.05206761509180069,1763260115.041545,,0.9769155383110046,0.045314688235521317,1172,0.00027265746030025184,0.4470996558666229,54.771718978881836,1017.0
,46353,,,260.0,,1763260115.5793955,260.0,,,1181,,,55.30956959724426,
0.001953125,46848,-0.039344675838947296,0.040327608585357666,,0.005762418732047081,1763260116.0644302,,0.9239113330841064,0.03786620497703552,1186,0.00027196621522307396,0.43813687562942505,55.79460430145264,1020.0
0.1458333283662796,48000,-0.06110427528619766,0.014861509203910828,,0.04119717329740524,1763260117.082432,,0.5602540373802185,0.03277864307165146,1197,0.0002712749701458961,0.5015349984169006,56.8126060962677,1022.0
0.0390625,49536,0.009555542841553688,-0.01601453125476837,,0.003800821490585804,1763260118.4391422,,-0.002712726593017578,0.056631382554769516,1213,0.00027035331004299223,0.5407094955444336,58.16931629180908,1025.0
,49689,,,236.0,,1763260118.5606625,236.0,,,1215,,,58.290836572647095,
,50396,,,322.0,,1763260119.1925933,322.0,,,1226,,,58.92276740074158,
0.009765625,50560,-0.0002635344862937927,-0.0025308122858405113,,0.0022985590621829033,1763260119.387469,,-0.0009152889251708984,88.34945678710938,1230,0.00026973886997438967,0.5404485464096069,59.11764311790466,1026.0
0.0703125,50944,0.003374642925336957,0.021515581756830215,,0.011969869956374168,1763260119.7202246,,-0.0009628534317016602,0.06048313528299332,1234,0.0002695084549486637,0.5724085569381714,59.450398683547974,1027.0
,51576,,,42.0,,1763260120.268124,42.0,,,1245,,,59.99829816818237,
,52145,,,11.0,,1763260120.779791,11.0,,,1254,,,60.50996518135071,
,53279,,,12.0,,1763260121.8360548,12.0,,,1271,,,61.56622886657715,
0.12890625,56192,0.05117899924516678,0.011190064251422882,,0.017145395278930664,1763260124.495137,,0.010540425777435303,0.009741237387061119,1299,0.0002663594495970756,0.5707894563674927,64.2253110408783,1033.0
0.07421875,60160,-0.01133771426975727,0.05071581155061722,,0.009362285025417805,1763260128.0093238,,-0.02247166633605957,0.0018488592468202114,1339,0.00026397849433124065,0.5519124865531921,67.73949790000916,1039.0
