charts/SPS,losses/approx_kl,losses/clipfrac,losses/entropy,global_step,charts/learning_rate,_runtime,charts/episodic_length,charts/episodic_return,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,_timestamp,losses/old_approx_kl
1009.0,7.47237354516983e-05,0.0,0.21504487097263336,75008,0.0002550691133365035,81.76184558868408,,,0.0008402878302149475,5.305558443069458e-05,-0.05973315238952637,1365,1763260142.0206516,0.002403661608695984
1002.0,0.006954875774681568,0.0625,0.20487819612026215,75520,0.0002547618933022022,82.7463002204895,,,0.0001311136584263295,-0.015318190678954124,-0.06049394607543945,1370,1763260143.0051062,0.016714446246623993
989.0,0.004651224240660667,0.04296875,0.2441384643316269,76544,0.00025414745323359966,84.82760739326477,,,3.058225047425367e-06,-0.016118820756673813,-0.021367907524108887,1380,1763260145.0864134,0.01647426374256611
,,,,76643,,84.8868796825409,500.0,500.0,,,,1381,1763260145.1456857,
979.0,0.000438077375292778,0.0,0.20766866207122803,77312,0.00025368662318214774,86.35695242881775,,,0.0063466462306678295,-0.012585517950356007,0.08632087707519531,1388,1763260146.6157584,0.00359487347304821
974.0,0.002438196912407875,0.056640625,0.1861884891986847,78080,0.0002532257931306958,87.58792114257812,,,4.6893539547454566e-05,-0.0010834522545337677,0.012527048587799072,1395,1763260147.8467271,0.0222469549626112
971.0,0.014397706836462021,0.04296875,0.21335867047309875,78464,0.00025299537810496986,88.19625473022461,,,9.811950440052897e-05,-0.0034863725304603577,-0.028774023056030273,1399,1763260148.4550607,0.040831152349710464
967.0,0.01821811869740486,0.0390625,0.18530140817165375,79104,0.00025261135306209326,89.19301152229309,,,1.9024673747480847e-06,0.003508899360895157,0.018955111503601074,1405,1763260149.4518175,0.02969593182206154
953.0,0.004063587635755539,0.005859375,0.24887576699256897,81792,0.000250998476985842,93.20454168319702,,,0.0031097361352294683,0.028221670538187027,0.0007342696189880371,1432,1763260153.4633477,0.005232261493802071
953.0,0.0001007644459605217,0.0,0.24687105417251587,81920,0.00025092167197726667,93.39848303794861,,,0.00032994584762491286,-0.0008181317243725061,-0.007896661758422852,1433,1763260153.657289,0.0008107880130410194
,,,,84143,,96.74744367599487,500.0,500.0,,,,1455,1763260157.0062497,
941.0,2.1175481379032135e-05,0.0,0.21566340327262878,84224,0.0002495391818229109,96.95128893852234,,,4.065935134887695,-0.0006590895354747772,-6.115436553955078e-05,1456,1763260157.210095,-0.0025968318805098534
940.0,0.0015653716400265694,0.001953125,0.19948101043701172,84352,0.0002494623768143356,97.12383031845093,,,0.00032245449256151915,0.0012442003935575485,-0.07486248016357422,1457,1763260157.3826363,0.010362229309976101
,,,,90143,,106.02492475509644,500.0,500.0,,,,1514,1763260166.2837307,
911.0,0.000938069075345993,0.0,0.20921112596988678,90880,0.00024554532137699425,107.19916653633118,,,0.0005987532204017043,0.017422199249267578,-0.03932476043701172,1521,1763260167.4579725,-0.008421557024121284
908.0,0.00022632256150245667,0.0,0.26841095089912415,91520,0.00024516129633411765,108.13418292999268,,,0.00015494706167373806,-0.0073776524513959885,-0.02754998207092285,1527,1763260168.392989,0.005265099927783012
908.0,0.001691131852567196,0.046875,0.3429014980792999,91648,0.00024508449132554233,108.36752247810364,,,0.09031904488801956,-0.017271004617214203,-2.2292137145996094e-05,1529,1763260168.6263285,0.018877144902944565
906.0,0.002308890223503113,0.0234375,0.22106528282165527,92160,0.00024477727129124105,109.12894463539124,,,0.01709151454269886,-0.023379934951663017,-3.218650817871094e-05,1534,1763260169.3877506,-0.0032622497528791428
905.0,0.0026653530076146126,0.029296875,0.22340312600135803,92416,0.0002446236612740904,109.52418565750122,,,0.00016664538998156786,0.005086742341518402,-0.009688019752502441,1536,1763260169.7829916,-0.008041421882808208
,,,,93143,,110.52752304077148,500.0,500.0,,,,1543,1763260170.786329,
902.0,7.008668035268784e-05,0.0,0.11463499814271927,93312,0.00024408602621406317,110.882479429245,,,0.002308129332959652,0.0004310132935643196,-0.05135524272918701,1545,1763260171.1412854,-0.001308235339820385
902.0,0.02730540931224823,0.08984375,0.3262160122394562,93440,0.00024400922120548785,111.04102277755737,,,0.00041893235174939036,0.008041849359869957,-0.01994776725769043,1546,1763260171.2998288,0.046373337507247925
,,,,94643,,112.67148566246033,500.0,500.0,,,,1558,1763260172.9302917,
898.0,0.004297509789466858,0.009765625,0.25031694769859314,94720,0.00024324117111973464,112.83720922470093,,,25.838150024414062,-0.01151338405907154,-5.4836273193359375e-05,1559,1763260173.0960152,0.015106120146811008
,,,,95143,,113.39852237701416,500.0,500.0,,,,1563,1763260173.6573284,
896.0,0.0010725902393460274,0.005859375,0.17487040162086487,95488,0.00024278034106828272,113.91072630882263,,,0.00019930084818042815,0.001253366470336914,-0.016754150390625,1566,1763260174.1695323,0.016735229641199112
888.0,0.0003139907494187355,0.021484375,0.14441505074501038,97792,0.00024139785091392696,117.51058149337769,,,0.0013684193836525083,0.00206562876701355,-0.048717617988586426,1589,1763260177.7693875,-5.899835377931595e-05
