_step,charts/episodic_length,losses/explained_variance,charts/learning_rate,losses/clipfrac,losses/entropy,losses/old_approx_kl,_runtime,_timestamp,losses/value_loss,losses/policy_loss,charts/SPS,charts/episodic_return,losses/approx_kl,global_step
1271,500.0,,,,,,63.18819546699524,1763260123.4620254,,,,500.0,,55334
1299,,0.9569044709205627,0.00026513056945987046,0.103515625,0.33744335174560547,0.050492532551288605,65.81517553329468,1763260126.0890055,0.0014483090490102768,-0.046029381453990936,1036.0,,0.048066090792417526,58240
1339,500.0,,,,,,69.42218661308289,1763260129.6960166,,,,500.0,,62334
1340,,0.00043070316314697266,0.0002626728091854602,0.017578125,0.29673826694488525,-0.0007064957171678543,69.49239778518677,1763260129.7662277,0.48263058066368103,0.025987524539232254,1041.0,,0.0010743942111730576,62336
1363,,0.88986736536026,0.0002612135140225291,0.169921875,0.3720887005329132,0.01797434315085411,71.69585418701172,1763260131.9696841,8.024763519642875e-05,-0.03478796035051346,1043.0,,0.03078814595937729,64768
1365,,0.003714263439178467,0.0002611367090139538,0.0,0.3362770676612854,-0.0180097334086895,71.80912590026855,1763260132.0829558,0.0184163898229599,0.015751071274280548,1043.0,,0.0014249244704842567,64896
1370,,0.0049765706062316895,0.0002608294889796525,0.005859375,0.38103771209716797,0.009801890701055527,72.28961324691772,1763260132.5634432,152.7381134033203,0.0018756315112113953,1043.0,,0.002119351178407669,65408
1380,,0.007701754570007324,0.00026021504891104996,0.00390625,0.20329219102859497,-0.01644992083311081,73.22257494926453,1763260133.496405,132.70518493652344,-0.0011224150657653809,1044.0,,0.0013604126870632172,66432
1381,,0.9784795045852661,0.00026013824390247464,0.03125,0.24581697583198547,0.0043150028213858604,73.3323962688446,1763260133.6062262,0.008560503832995892,-0.002799011766910553,1044.0,,0.0017769420519471169,66560
1388,,-0.07716941833496094,0.0002596774138510227,0.08984375,0.30146875977516174,0.020363980904221535,74.06126117706299,1763260134.335091,9.40369936870411e-05,-0.0056688785552978516,1045.0,,0.003155229613184929,67328
1395,,0.9810616374015808,0.0002592933888081461,0.00390625,0.24211353063583374,0.007901410572230816,75.0877456665039,1763260135.3615756,0.004397883545607328,-0.006640523672103882,1038.0,,0.000585765577852726,67968
1399,,0.0048871636390686035,0.00025906297378242016,0.013671875,0.2107728123664856,0.0115651935338974,75.66866612434387,1763260135.942496,132.7449951171875,0.0019455496221780777,1035.0,,0.0028805676847696304,68352
1405,,0.9941624402999878,0.00025867894873954356,0.0,0.24755419790744781,0.006224066950380802,76.71247100830078,1763260136.986301,0.002415826078504324,-0.011695615947246552,1028.0,,0.0006134612485766411,68992
1432,,0.9154857993125916,0.0002569892385508865,0.033203125,0.2735859751701355,0.013623188249766827,81.49847793579102,1763260141.7723079,0.00030485959723591805,-0.0261048786342144,999.0,,0.005092223174870014,71808
1433,500.0,,,,,,81.55930614471436,1763260141.833136,,,,500.0,,71834
1455,,0.9736959934234619,0.00025560674839653075,0.00390625,0.22680535912513733,0.0017174463719129562,86.27053308486938,1763260146.544363,0.00028784837923012674,0.020074691623449326,967.0,,0.0026984382420778275,74112
1456,,0.02233797311782837,0.00025552994338795543,0.0,0.34144437313079834,0.01334784273058176,86.49236059188843,1763260146.7661905,0.00023046910064294934,-0.00745285302400589,965.0,,0.0034777196124196053,74240
1457,500.0,,,,,,86.54578423500061,1763260146.8196142,,,,500.0,,74334
1514,,0.6101542711257935,0.00025199694209732115,0.00390625,0.20380815863609314,-0.005500685423612595,95.94272255897522,1763260156.2165525,0.000367829721653834,0.008339710533618927,928.0,,0.0005761105567216873,80128
1521,500.0,,,,,,96.99015092849731,1763260157.2639809,,,,500.0,,80834
1527,,0.013646602630615234,0.00025122889201156795,0.01953125,0.1989932656288147,0.01295660249888897,98.04804277420044,1763260158.3218727,0.09006201475858688,0.0028905291110277176,920.0,,0.007489372976124287,81408
1529,,0.8355674147605896,0.0002510752819944173,0.078125,0.24576860666275024,0.05295285955071449,98.44372224807739,1763260158.7175522,0.0009934068657457829,-0.03985749930143356,919.0,,0.03409989923238754,81664
1534,,0.7783327698707581,0.00025076806196011603,0.1041666641831398,0.2416236698627472,0.03788544237613678,99.24714422225952,1763260159.5209742,0.0007475685561075807,0.012449394911527634,917.0,,0.03536031395196915,82176
1536,500.0,,,,,,99.47939586639404,1763260159.7532258,,,,500.0,,82334
