global_step,losses/entropy,losses/old_approx_kl,losses/explained_variance,losses/clipfrac,_step,_runtime,losses/value_loss,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,charts/episodic_return,losses/approx_kl,losses/policy_loss
126208,0.522526204586029,0.007540332153439522,-0.08247947692871094,0.015625,1457,152.27683782577515,0.00011907078442163765,,1763260205.040789,997.0,0.0002243471535621211,,0.0062161777168512344,-0.007160067558288574
131968,0.4898366928100586,0.00011669192463159561,-0.24268817901611328,0.0,1514,157.87415885925293,0.0065444824285805225,,1763260210.63811,999.0,0.0002208909427281469,,0.0003213202580809593,-0.0036799609661102295
132736,0.5356603860855103,0.0069407932460308075,-0.7624679803848267,0.0,1521,158.6171350479126,0.00021006829047109932,,1763260211.381086,999.0,0.000220430112676695,,0.0014763642102479935,-0.013903766870498657
133120,0.5170271396636963,-0.004494054242968559,-0.10534071922302246,0.005859375,1525,159.0036268234253,0.0001507014676462859,,1763260211.767578,999.0,0.00022019969765096903,,0.0031099338084459305,0.012091539800167084
133255,,,,,1527,159.15300679206848,,500.0,1763260211.9169579,,,500.0,,
133504,0.5511635541915894,0.018781382590532303,-0.021631240844726562,0.001953125,1529,159.38917446136475,0.006465509533882141,,1763260212.1531255,999.0,0.00021996928262524307,,0.002663426101207733,-0.03123956359922886
134016,0.5534598231315613,0.01930718682706356,-0.29967761039733887,0.009765625,1534,159.91087293624878,0.00021457379625644535,,1763260212.674824,999.0,0.0002196620625909418,,0.005180428735911846,-0.016473449766635895
134255,,,,,1536,160.0723261833191,,500.0,1763260212.8362772,,,500.0,,
134912,0.44624757766723633,0.0026869382709264755,-0.10050678253173828,0.0,1543,160.79692792892456,0.005505959969013929,,1763260213.560879,999.0,0.00021912442753091455,,0.000608198344707489,0.000573277473449707
135168,0.4858458936214447,0.0012356815859675407,-0.020871996879577637,0.001953125,1545,161.0457832813263,0.00026549084577709436,,1763260213.8097343,999.0,0.0002189708175137639,,0.004506629891693592,-0.026742516085505486
135255,,,,,1546,161.08690667152405,,500.0,1763260213.8508577,,,500.0,,
136448,0.4393841326236725,0.005779441446065903,-0.11170613765716553,0.0,1558,162.39154744148254,0.006127092055976391,,1763260215.1554985,998.0,0.0002182027674280107,,0.00025582127273082733,0.0024281498044729233
136576,0.451540470123291,0.006538688205182552,0.21368056535720825,0.0,1559,162.50902771949768,0.0003236671327613294,,1763260215.2729788,998.0,0.00021812596241943538,,0.0016588205471634865,-0.0020955130457878113
136960,0.46802979707717896,-0.0024958355352282524,0.027142465114593506,0.0,1563,162.87859630584717,0.007011929992586374,,1763260215.6425474,999.0,0.00021789554739370942,,0.0009219804778695107,-0.00452048983424902
137255,,,,,1566,163.14164662361145,,500.0,1763260215.9055977,,,500.0,,
139520,0.4962703585624695,-0.00023381132632493973,-0.08856701850891113,0.001953125,1588,165.47073650360107,0.00018026624456979334,,1763260218.2346876,998.0,0.00021635944722220302,,0.0019174376502633095,-0.03387508541345596
139648,0.43688255548477173,0.007171716541051865,0.20888656377792358,0.0,1589,165.6076488494873,3.0188462915248238e-05,,1763260218.3716,998.0,0.0002162826422136277,,0.0003014523535966873,-0.006670121103525162
140416,0.4929693937301636,-0.017807913944125175,-0.07390284538269043,0.0,1597,166.36682748794556,0.007897402159869671,,1763260219.1307786,998.0,0.00021582181216217577,,0.001660279929637909,0.00455600768327713
141440,0.4833541810512543,-0.000967969186604023,-0.08650481700897217,0.0,1607,167.3517689704895,0.008083847351372242,,1763260220.11572,999.0,0.0002152073720935732,,0.00013024639338254929,-0.0006127506494522095
141696,0.478079617023468,0.0013046888634562492,-0.057265520095825195,0.0,1609,167.57410383224487,0.0001462563086533919,,1763260220.338055,999.0,0.00021505376207642257,,0.003544681705534458,0.009660469368100166
141755,,,,,1610,167.59517216682434,,500.0,1763260220.3591232,,,500.0,,
141952,0.5064234733581543,-0.001906268298625946,0.05355328321456909,0.0,1612,167.83788800239563,0.004992669448256493,,1763260220.601839,999.0,0.00021490015205927193,,6.684102118015289e-05,-0.003677845001220703
143360,0.5035523772239685,-0.0002479199320077896,6.198883056640625e-06,0.0,1626,169.10378289222717,361.310546875,,1763260221.867734,1000.0,0.0002140552969649434,,0.0007704105228185654,-0.006664596498012543
144640,0.5865743160247803,-0.002006934955716133,0.1593233346939087,0.03515625,1638,170.25012469291687,0.00043614162132143974,,1763260223.0140758,1001.0,0.0002132872468791902,,0.007023584097623825,0.012223616242408752
149632,0.5650590658187866,0.011562716215848923,0.17737501859664917,0.015625,1687,174.82150220870972,0.00016023872012738138,,1763260227.5854533,1004.0,0.00021029185154475272,,0.006132643669843674,-0.029292259365320206
154240,0.536089301109314,-0.0036769071593880653,-0.06631529331207275,0.0,1732,178.98887610435486,0.00020840576326008886,,1763260231.7528272,1006.0,0.00020752688578795642,,0.0007369471713900566,-0.009754396975040436
155520,0.514735221862793,-0.00978012103587389,0.0035971999168395996,0.001953125,1745,180.14071822166443,5.115048770676367e-05,,1763260232.9046693,1007.0,0.00020675883570220321,,0.0017411839216947556,-0.004767637699842453
