global_step,losses/policy_loss,losses/explained_variance,_timestamp,_runtime,losses/clipfrac,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,charts/SPS,losses/approx_kl,losses/value_loss,charts/episodic_length,_step,losses/entropy
66560,0.00012032687664031982,0.010877549648284912,1763260147.3214457,94.41738677024841,0.0,0.00026013824390247464,,-0.0005024047568440437,973.0,1.3588927686214447e-05,84.11038970947266,,872,0.5063791275024414
67018,,,1763260147.681102,94.77704310417175,,,500.0,,,,,500.0,876,
71466,,,1763260151.7617276,98.85766863822937,,,500.0,,,,,500.0,922,
72320,-0.010492593050003052,-0.42211365699768066,1763260152.5709033,99.66684436798096,0.00390625,0.00025668201851658523,,-0.013744638301432133,982.0,0.003205901011824608,0.005029049701988697,,930,0.5294605493545532
72878,,,1763260153.0427809,100.13872194290161,,,98.0,,,,,98.0,938,
73216,0.0009452402591705322,0.49143773317337036,1763260153.4005618,100.49650287628174,0.0,0.000256144383456558,,0.001605713739991188,983.0,0.00025680847465991974,0.0008243849733844399,,941,0.5946500897407532
73344,0.007932975888252258,-0.6310558319091797,1763260153.5173957,100.61333680152893,0.0,0.00025606757844798267,,-0.002765391021966934,983.0,0.0023134853690862656,0.0017107411986216903,,942,0.550112247467041
73856,0.005355715751647949,-0.24565696716308594,1763260153.9672017,101.06314277648926,0.0,0.0002557603584136814,,-0.0038455240428447723,984.0,0.0005586463958024979,0.007985481061041355,,948,0.5726497173309326
76416,-0.0164557546377182,-1.2090809345245361,1763260156.371941,103.46788215637207,0.00390625,0.000254224258242175,,-0.00011626817286014557,987.0,0.0025144629180431366,0.000340077473083511,,974,0.5521335005760193
76966,,,1763260156.874379,103.97031998634338,,,500.0,,,,,500.0,980,
77343,,,1763260157.211238,104.30717897415161,,,257.0,,,,,257.0,985,
78343,,,1763260158.158621,105.25456213951111,,,500.0,,,,,500.0,995,
78592,-0.0024437159299850464,0.5545122027397156,1763260158.3783352,105.474276304245,0.0,0.00025291857309639454,,0.00032971426844596863,989.0,9.061768651008606e-05,0.002268715063109994,,997,0.49514123797416687
80384,-0.005606301128864288,0.0015552639961242676,1763260160.0340896,107.13003063201904,0.0,0.0002518433320801705,,-0.0028614457696676254,991.0,0.0006980914622545242,428.748046875,,1015,0.4969021677970886
80896,-0.005017735064029694,0.0014625191688537598,1763260160.4847093,107.58065032958984,0.0,0.00025153611204586923,,-0.0013678399845957756,992.0,0.00043445173650979996,423.1913757324219,,1020,0.4700528681278229
82048,-0.01899510622024536,0.10967147350311279,1763260161.547269,108.6432101726532,0.0,0.00025084486696869135,,0.00580171961337328,993.0,0.0009938618168234825,0.0034702352713793516,,1031,0.4668949842453003
83968,-0.0014436673372983932,0.00022530555725097656,1763260163.3723607,110.46830177307129,0.001953125,0.00024969279184006155,,0.003948287107050419,994.0,0.0015979902818799019,151.6337890625,,1050,0.38206350803375244
84343,,,1763260163.6343799,110.73032093048096,,,500.0,,,,,500.0,1053,
84843,,,1763260164.11457,111.21051096916199,,,500.0,,,,,500.0,1058,
