losses/explained_variance,charts/episodic_return,_timestamp,losses/clipfrac,losses/value_loss,_step,losses/approx_kl,charts/learning_rate,losses/old_approx_kl,global_step,losses/policy_loss,charts/episodic_length,charts/SPS,losses/entropy,_runtime
1.0669231414794922e-05,,1763260290.6096559,0.0,399.4857482910156,2493,0.0005006492137908936,0.0001654377847444266,-0.0029733125120401382,224384,-0.003059170674532652,,1057.0,0.5642340183258057,238.06470584869385
-0.17007017135620117,,1763260291.88856,0.001953125,0.00012819933181162924,2506,0.0005693957209587097,0.00016459292965009809,0.007273240014910698,225792,-0.0031003914773464203,,1058.0,0.5730276107788086,239.34361004829407
-0.03663051128387451,,1763260292.5854876,0.0,0.0045913271605968475,2514,0.00021115969866514206,0.00016413209959864616,-0.0008801417425274849,226560,0.0028463080525398254,,1058.0,0.5100377798080444,240.0405375957489
-0.031853556632995605,,1763260292.7036667,0.0,0.00021290719450917095,2515,0.0003475816920399666,0.00016405529459007084,0.003915772773325443,226688,-0.002165950834751129,,1058.0,0.528544545173645,240.15871667861938
0.26765960454940796,,1763260293.1483994,0.0,9.820562991080806e-05,2520,0.00012694578617811203,0.00016374807455576956,0.00029695872217416763,227200,0.0024970881640911102,,1058.0,0.48227739334106445,240.603449344635
-2.086162567138672e-05,,1763260294.3038151,0.0,243.11546325683594,2533,7.211044430732727e-05,0.00016298002447001636,0.0023787114769220352,228480,-0.00045746564865112305,,1058.0,0.5197058320045471,241.75886511802673
-0.007082819938659668,,1763260295.0093918,0.01953125,0.0003226773114874959,2540,0.0033381041139364243,0.00016251919441856444,-0.0010770633816719055,229248,-0.003934532403945923,,1058.0,0.46882322430610657,242.46444177627563
-0.36044061183929443,,1763260295.7120154,0.0,0.0068873572163283825,2547,0.0003720177337527275,0.00016205837891902775,-0.0038538584485650063,230016,5.555152893066406e-05,,1058.0,0.5309016704559326,243.16706538200378
,500.0,1763260297.7925,,,2570,,,,232376,,500.0,,,245.24755001068115
-4.398822784423828e-05,,1763260297.9246292,0.0,372.06805419921875,2571,0.0006219642236828804,0.00016059908375609666,-0.00042919162660837173,232448,-0.011888576671481133,,1059.0,0.500231921672821,245.37967920303345
-6.711483001708984e-05,,1763260298.371373,0.0,248.29962158203125,2576,1.5939585864543915e-05,0.00016029186372179538,-0.0018398528918623924,232960,0.00014822185039520264,,1059.0,0.5190131664276123,245.8264229297638
0.3234461545944214,,1763260298.482307,0.0,0.004546172451227903,2577,3.3877789974212646e-05,0.00016021505871322006,0.0002633817493915558,233088,-0.00400366447865963,,1059.0,0.5336726307868958,245.93735694885254
-0.27092838287353516,,1763260301.4379063,0.009765625,0.00019082317885477096,2608,0.002880890853703022,0.00015829493349883705,0.005423027090728283,236288,-0.015379548072814941,,1059.0,0.4935043454170227,248.89295625686646
-0.0001531839370727539,,1763260301.5523517,0.0,256.34490966796875,2610,0.00012289639562368393,0.00015821812849026173,-0.0036868909373879433,236416,-0.0005014613270759583,,1059.0,0.5144528746604919,249.0074017047882
9.554624557495117e-05,,1763260303.4144661,0.0,222.2098846435547,2630,0.0003106566146016121,0.0001569892483530566,0.0022296207025647163,238464,0.0006163241341710091,,1060.0,0.5568971037864685,250.86951613426208
-2.9383153915405273,,1763260303.9715412,0.0078125,0.006115070544183254,2636,0.005569900386035442,0.00015660522331018,0.02391783520579338,239104,-0.026269856840372086,,1060.0,0.5297955870628357,251.4265911579132
