global_step,charts/episodic_length,losses/value_loss,losses/policy_loss,charts/learning_rate,losses/clipfrac,losses/explained_variance,_step,charts/SPS,losses/entropy,_runtime,charts/episodic_return,_timestamp,losses/approx_kl,losses/old_approx_kl
50560,,180.4874267578125,-0.024379849433898926,0.00026973886997438967,0.0,0.43833279609680176,689,904.0,0.5829778909683228,82.15631413459778,,1763260135.227545,0.0014105476438999176,0.008148057386279106
51200,,76.34886932373047,-0.009739011526107788,0.00026935484493151307,0.0,0.685135006904602,698,904.0,0.5991564989089966,82.91603469848633,,1763260135.9872656,0.0004145028069615364,0.007644123397767544
51456,,126.37826538085938,0.0006137080490589142,0.00026920123491436243,0.00390625,0.7230760455131531,702,903.0,0.6087525486946106,83.22661590576172,,1763260136.2978468,0.0036144014447927475,0.016838470473885536
51775,120.0,,,,,,707,,,83.59195876121521,120.0,1763260136.6631896,,
53422,322.0,,,,,,729,,,85.33412861824036,322.0,1763260138.4053595,,
56064,,0.9306490421295166,0.0013254135847091675,0.0002664362546056509,0.0,0.18132352828979492,757,911.0,0.5615376234054565,87.82668495178223,,1763260140.8979158,0.00011258292943239212,-0.000986502505838871
56448,,760.3712158203125,0.00883982889354229,0.00026620583957992494,0.0,0.0011591315269470215,762,911.0,0.5153509378433228,88.21182227134705,,1763260141.2830532,0.0008189529180526733,-0.009550392627716064
56832,,54.84265899658203,-0.0016371142119169235,0.000265975424554199,0.0,0.0021957755088806152,767,912.0,0.5368648767471313,88.55533194541931,,1763260141.6265628,5.191843956708908e-05,-5.0603412091732025e-05
57705,422.0,,,,,,775,,,89.31336331367493,422.0,1763260142.3845942,,
59008,,0.37695741653442383,-0.003161504864692688,0.00026466973940841854,0.0,0.06163227558135986,788,918.0,0.5419610738754272,90.56305384635925,,1763260143.6342847,0.00023531541228294373,0.0011146236211061478
59904,,0.23311105370521545,0.0003330875188112259,0.0002641321043483913,0.0,0.2196093201637268,797,920.0,0.4847022593021393,91.38977336883545,,1763260144.4610043,0.00010522734373807907,-0.002633797936141491
60800,,354.75238037109375,-0.002985384315252304,0.00026359446928836405,0.0,0.022967934608459473,806,922.0,0.4628700613975525,92.21776604652405,,1763260145.288997,0.00013398565351963043,0.0030272286385297775
61705,500.0,,,,,,815,,,93.01429629325867,500.0,1763260146.0855272,,
66560,,0.009377248585224152,-0.015398209914565086,0.00026013824390247464,0.015625,-0.09171414375305176,863,933.0,0.5744040012359619,97.55500555038452,,1763260150.6262364,0.007732030004262924,0.018018005415797234
67456,,61.96945571899414,-0.0033619850873947144,0.0002596006088424474,0.0,-0.0015882253646850586,872,935.0,0.5153577327728271,98.36449432373047,,1763260151.4357252,0.0006983056664466858,0.008595716208219528
67915,500.0,,,,,,876,,,98.78384280204773,500.0,1763260151.8550737,,
72320,,561.2869873046875,-0.005370236933231354,0.00025668201851658523,0.0,0.0018003582954406738,922,941.0,0.5310383439064026,103.12234354019165,,1763260156.1935744,8.307676762342453e-05,-0.0011391779407858849
73156,500.0,,,,,,930,,,103.92433452606201,500.0,1763260156.9955654,,
73984,,0.000748241669498384,-0.010455497540533543,0.00025568355340510607,0.001953125,-0.5710357427597046,938,942.0,0.5406864881515503,104.75327491760254,,1763260157.8245058,0.0017316052690148354,0.004394537769258022
74240,,376.22705078125,-0.0023428592830896378,0.00025552994338795543,0.0,0.0024300813674926758,941,942.0,0.5064123868942261,105.0171594619751,,1763260158.0883904,0.0007608616724610329,0.009382660500705242
74368,,0.006326662842184305,-0.012513775378465652,0.0002554531383793801,0.001953125,-0.7224535942077637,942,943.0,0.5631481409072876,105.12843227386475,,1763260158.1996632,0.001716887578368187,0.013016564771533012
75008,,0.0009446635376662016,-0.001191161572933197,0.0002550691133365035,0.013671875,-0.11986911296844482,948,943.0,0.5137479901313782,105.75743269920349,,1763260158.8286636,0.0013355035334825516,0.011734377592802048
77656,500.0,,,,,,974,,,108.34953951835632,500.0,1763260161.4207704,,
78208,,522.2459716796875,0.003023706376552582,0.0002531489881221205,0.0,-1.919269561767578e-05,980,945.0,0.583008885383606,108.96659874916077,,1763260162.0378296,0.0018266253173351288,0.004933882504701614
78720,,261.5152282714844,-0.02890048921108246,0.0002528417680878192,0.001953125,0.0008896589279174805,985,946.0,0.5731006860733032,109.4903130531311,,1763260162.561544,0.002473847009241581,0.008031538687646389
79744,,266.9698181152344,0.0007881931960582733,0.00025222732801921666,0.0,-0.0001304149627685547,995,947.0,0.5031870603561401,110.48493909835815,,1763260163.55617,0.0005701417103409767,-0.004032689146697521
80000,,9.199731721309945e-05,-0.008314359933137894,0.0002520737471058965,0.00390625,-0.4698396921157837,997,947.0,0.5561390519142151,110.71093893051147,,1763260163.7821698,0.0008602961897850037,-0.0022150203585624695
81792,,0.005352351814508438,0.007067885249853134,0.000250998476985842,0.0,-0.8283021450042725,1015,949.0,0.5729179382324219,112.40906500816345,,1763260165.480296,0.00015881657600402832,0.0007766447961330414
82304,,0.00868967641144991,-0.033857718110084534,0.0002506912569515407,0.0078125,-0.4632681608200073,1020,950.0,0.49507004022598267,112.87419581413269,,1763260165.9454267,0.00677129253745079,0.0348421186208725
83456,,0.0006365100853145123,-0.03331347554922104,0.0002500000118743628,0.0,0.2803294062614441,1031,952.0,0.5367474555969238,113.93384099006653,,1763260167.0050719,0.0051857540383934975,0.02144424244761467
85376,,0.00588262127712369,-0.0011307746171951294,0.000248847936745733,0.0,-0.28846871852874756,1050,954.0,0.49196740984916687,115.72016310691833,,1763260168.791394,0.00022633187472820282,-0.0013189390301704407
85656,500.0,,,,,,1053,,,115.95991158485413,500.0,1763260169.0311425,,
86156,500.0,,,,,,1058,,,116.42492365837097,500.0,1763260169.4961545,,
88832,,0.007363032083958387,0.002365605905652046,0.0002467742015141994,0.0,0.1646471619606018,1083,958.0,0.4701288938522339,118.91784000396729,,1763260171.989071,0.0008866190910339355,0.001814102753996849
89656,500.0,,,,,,1091,,,119.61715149879456,500.0,1763260172.6883824,,
