charts/learning_rate,charts/SPS,global_step,losses/clipfrac,_runtime,losses/value_loss,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,_step,charts/episodic_length,_timestamp
,,75250,,181.18378233909607,,,500.0,,,,,930,500.0,1763260239.6641715
0.00025445467326790094,486.0,76032,0.0,182.86346101760864,0.0007592067122459412,0.4472006559371948,,-0.003655293956398964,-0.3861466646194458,0.0009349239990115166,-0.0024269437417387962,938,,1763260241.3438501
0.0002543010632507503,486.0,76288,0.0,183.3588945865631,444.5430603027344,0.4721768796443939,,0.014293357729911804,0.0005832910537719727,0.002306983806192875,0.023846454918384552,941,,1763260241.8392837
0.000254224258242175,486.0,76416,0.0,183.61993098258972,0.0075863380916416645,0.5017073154449463,,0.0008630640804767609,-0.049468278884887695,6.614159792661667e-05,-0.0014692386612296104,942,,1763260242.10032
0.0002538402331992984,486.0,77056,0.015625,184.86895728111267,0.0002652335388120264,0.4500000476837158,,-0.006657898426055908,-0.26499903202056885,0.005986806936562061,0.00798963662236929,948,,1763260243.3493464
0.00025222732801921666,487.0,79744,0.015625,190.15269255638123,0.0001978600339498371,0.4485282897949219,,0.008170939981937408,0.001561880111694336,0.0028978344053030014,-0.01612764224410057,974,,1763260248.6330817
0.00025192013708874583,487.0,80256,0.0,191.2091736793518,355.6477966308594,0.540858805179596,,0.0025305896997451782,-0.0001024007797241211,0.00046730972826480865,-0.0027881264686584473,980,,1763260249.6895628
0.00025161291705444455,487.0,80768,0.00390625,192.2097132205963,315.4134826660156,0.5099502801895142,,-0.01278676837682724,-5.2094459533691406e-05,0.002499680034816265,0.008840144611895084,985,,1763260250.6901023
0.000250998476985842,487.0,81792,0.0,194.2296199798584,504.5467529296875,0.5586267113685608,,0.0010263267904520035,0.00040161609649658203,5.944725126028061e-05,0.0002337498590350151,995,,1763260252.710009
0.00025084486696869135,487.0,82048,0.0,194.7181670665741,0.0006764597492292523,0.538882851600647,,0.00019738823175430298,0.44134700298309326,0.0001361370086669922,-0.005099205300211906,997,,1763260253.1985562
0.00024976959684863687,487.0,83840,0.0,198.3217113018036,183.83522033691406,0.491170734167099,,0.00018867477774620056,0.0001819133758544922,0.0005820626392960548,0.0006455807015299797,1015,,1763260256.8021004
0.0002494623768143356,487.0,84352,0.0,199.30619025230408,57.58664321899414,0.5591975450515747,,0.0035405494272708893,6.16908073425293e-05,0.0008559208363294601,0.0006944388151168823,1020,,1763260257.7865794
0.0002487711317371577,488.0,85504,0.0,201.37350726127625,0.00021436212409753352,0.4428781270980835,,-0.002297593280673027,-0.10137069225311279,0.00038999319076538086,-0.0034245382994413376,1031,,1763260259.8538964
0.0002476190566085279,493.0,87424,0.0,203.53978157043457,0.005077408626675606,0.4983389675617218,,-0.0043563805520534515,-0.0035941600799560547,0.0008228421211242676,0.007493587210774422,1050,,1763260262.0201707
,,87750,,203.82817268371582,,,500.0,,,,,1053,500.0,1763260262.3085618
,,88250,,204.53751921653748,,,500.0,,,,,1058,500.0,1763260263.0179083
,,90750,,208.8689591884613,,,500.0,,,,,1082,500.0,1763260267.3493483
0.00024562212638556957,496.0,90752,0.005859375,209.04580998420715,81.91361999511719,0.4777911901473999,,0.0045679230242967606,-0.0001323223114013672,0.0005753999575972557,0.0035392651334404945,1083,,1763260267.526199
0.00024508449132554233,497.0,91648,0.009765625,210.59230661392212,0.0003334176726639271,0.5148251056671143,,-0.00320637971162796,-0.25414907932281494,0.004015399143099785,-0.005911935120820999,1091,,1763260269.0726957
0.0002441628312226385,499.0,93184,0.00390625,213.08966398239136,0.00023776720627211034,0.5125762820243835,,-0.015006646513938904,-0.29462647438049316,0.0042469315230846405,-0.021853234618902206,1106,,1763260271.570053
0.0002434715861454606,501.0,94336,0.0,214.39708423614502,424.9948425292969,0.4288088083267212,,-0.006835229694843292,-0.00020968914031982422,0.0012695975601673126,0.005829524248838425,1118,,1763260272.8774734
0.00024301075609400868,503.0,95104,0.00390625,215.23666715621948,0.0002876362414099276,0.46822601556777954,,-0.00921555608510971,0.19371336698532104,0.001607048325240612,0.021497629582881927,1125,,1763260273.7170563
0.00024254992604255676,504.0,95872,0.005859375,216.3483715057373,151.2168731689453,0.4820505976676941,,-0.013948841020464897,8.690357208251953e-05,0.0015781894326210022,0.006562460213899612,1133,,1763260274.8287606
0.00024178187595680356,505.0,97152,0.0,218.6582977771759,0.00026525292196311057,0.46770358085632324,,-0.017354995012283325,-0.10672271251678467,0.0020622219890356064,0.006395967677235603,1145,,1763260277.138687
0.00024062980082817376,506.0,99072,0.041015625,222.09624218940735,0.00026178103871643543,0.5269359946250916,,-0.010359209030866623,-0.4043431282043457,0.005787824280560017,-0.016609035432338715,1164,,1763260280.5766313
0.00024055299581959844,506.0,99200,0.01171875,222.44385981559753,0.0003611539432313293,0.48839887976646423,,-0.011487659066915512,-0.7151057720184326,0.003965551033616066,0.01630808785557747,1165,,1763260280.924249
0.00024016897077672184,505.0,99840,0.0,224.08512496948242,235.6110382080078,0.5270382761955261,,-0.011282391846179962,0.00012993812561035156,0.000997941941022873,0.008353136479854584,1172,,1763260282.565514
,,100750,,225.3890256881714,,,500.0,,,,,1181,500.0,1763260283.8694148
,,101250,,225.94891500473022,,,500.0,,,,,1186,500.0,1763260284.4293041
0.00023863287060521543,509.0,102400,0.0,227.27358055114746,0.00968130212277174,0.42274725437164307,,0.0008735489100217819,-0.38289403915405273,0.0012477217242121696,-0.008865616284310818,1197,,1763260285.7539697
0.00023763440549373627,513.0,104064,0.0,229.15611171722412,0.0004925225512124598,0.4624210298061371,,-0.001581534743309021,-0.11237144470214844,0.0003210846334695816,-0.001638246700167656,1213,,1763260287.6365008
,,104250,,229.33021306991577,,,500.0,,,,,1215,500.0,1763260287.8106022
