_step,losses/approx_kl,losses/explained_variance,losses/clipfrac,charts/SPS,_runtime,_timestamp,losses/entropy,charts/episodic_return,charts/learning_rate,losses/old_approx_kl,charts/episodic_length,losses/policy_loss,losses/value_loss,global_step
1165,0.0005810698494315147,0.09835559129714966,0.0,1074.0,109.78542971611023,1763260160.8642957,0.5183532238006592,,0.0002460061514284462,0.0017429674044251442,,0.007247325964272022,0.000151292493683286,90112
1172,8.781068027019501e-05,0.00012993812561035156,0.0,1074.0,110.35000896453857,1763260161.428875,0.40669408440589905,,0.00024562212638556957,0.0006001945585012436,,-0.003950238227844238,694.5767822265625,90752
1181,,,,,111.20016932487488,1763260162.2790353,,500.0,,,500.0,,,91703
1186,,,,,111.67202997207642,1763260162.750896,,500.0,,,500.0,,,92203
1197,0.00020414311438798904,-6.73532485961914e-05,0.0,1074.0,112.69639825820923,1763260163.7752643,0.4888130724430084,,0.00024408602621406317,-0.004597014747560024,,-0.0006964616477489471,466.61187744140625,93312
1213,0.0012455414980649948,0.05256885290145874,0.0,1075.0,114.20569920539856,1763260165.2845652,0.4604829251766205,,0.000243087561102584,0.00825309008359909,,-0.005024898797273636,0.0010116914054378867,94976
1215,,,,,114.35067176818848,1763260165.4295378,,500.0,,,500.0,,,95203
1226,0.0008005155250430107,5.543231964111328e-06,0.0,1075.0,115.37029147148132,1763260166.4491575,0.4346746504306793,,0.0002423195110168308,-0.001866568811237812,,-0.002015121281147003,586.931396484375,96256
1230,,,,,115.72745132446289,1763260166.8063173,,500.0,,,500.0,,,96703
1234,0.0004363562911748886,0.014729976654052734,0.001953125,1075.0,116.19045186042786,1763260167.2693179,0.4131205677986145,,0.00024178187595680356,0.006833892315626144,,0.007502581924200058,0.0003520197933539748,97152
1245,,,,,117.1311731338501,1763260168.2100391,,500.0,,,500.0,,,98203
1254,0.0005127405747771263,0.08662772178649902,0.001953125,1076.0,118.05654287338257,1763260169.1354089,0.4655485451221466,,0.00024055299581959844,0.004708611406385899,,-0.0028337277472019196,0.0003070449747610837,99200
1271,0.0014762897044420242,-0.053615570068359375,0.0,1076.0,119.5585823059082,1763260170.6374483,0.4769288897514343,,0.00023955453070811927,0.005314787849783897,,-0.002833789214491844,0.005884235259145498,100864
1299,,,,,122.16111826896667,1763260173.2399843,,500.0,,,500.0,,,103703
1339,0.00021830573678016663,-0.00010466575622558594,0.0,1078.0,125.86469173431396,1763260176.9435577,0.5309795141220093,,0.00023540706024505198,0.002546403557062149,,0.00013293325901031494,631.168212890625,107776
1340,0.0016485163941979408,0.039813101291656494,0.001953125,1078.0,125.97450184822083,1763260177.0533679,0.4683540463447571,,0.00023533025523647666,-0.006704743020236492,,-0.006546884775161743,0.005406711250543594,107904
1349,0.00015159137547016144,0.00011610984802246094,0.0,1078.0,126.79266214370728,1763260177.8715281,0.48357847332954407,,0.00023479262017644942,0.00235041044652462,,-0.005654513835906982,559.0220947265625,108800
1363,0.00034078583121299744,-4.291534423828125e-06,0.0,1078.0,128.06204628944397,1763260179.1409123,0.5239741206169128,,0.00023394777963403612,-0.0008316542953252792,,-0.0061013363301754,614.7101440429688,110208
1365,0.0034068813547492027,-0.19880402088165283,0.00390625,1078.0,128.31407690048218,1763260179.392943,0.49413177371025085,,0.00023379416961688548,-0.027240760624408722,,-0.011198371648788452,0.0008601809968240559,110464
1370,0.0036222022026777267,-0.6458902359008789,0.005859375,1078.0,128.77188348770142,1763260179.8507495,0.4851846396923065,,0.0002334869495825842,0.010130439884960651,,-0.021288804709911346,0.000631496193818748,110976
1380,0.0036419834941625595,-0.06648778915405273,0.00390625,1078.0,129.70901799201965,1763260180.787884,0.4716140329837799,,0.00023287250951398164,0.002274485304951668,,-0.024218834936618805,0.0009750408353284001,112000
1381,0.0023726653307676315,-0.4718055725097656,0.00390625,1078.0,129.81994795799255,1763260180.898814,0.4456275403499603,,0.00023279570450540632,0.004487911239266396,,0.001528322696685791,0.0003374287625774741,112128
1388,1.814030110836029e-05,5.537271499633789e-05,0.0,1078.0,130.42049193382263,1763260181.499358,0.515139639377594,,0.00023241167946252972,-0.0018253196030855179,,0.00032170116901397705,629.5543212890625,112768
1395,0.002485533244907856,0.21827328205108643,0.00390625,1079.0,131.10178303718567,1763260182.180649,0.4355239272117615,,0.0002319508494110778,-0.008143731392920017,,0.006352599710226059,0.0009986012009903789,113536
1399,0.0003075478598475456,0.02362203598022461,0.0,1078.0,131.4735198020935,1763260182.5523858,0.4693148136138916,,0.00023172043438535184,0.0015245014801621437,,0.003531370311975479,0.002921388717368245,113920
1405,0.007963241077959538,-0.012140989303588867,0.060546875,1079.0,132.03378176689148,1763260183.1126478,0.4640967547893524,,0.00023133640934247524,-0.013991723768413067,,-0.0234026238322258,0.0009148531826213002,114560
1432,0.0002466682344675064,-7.152557373046875e-05,0.0,1079.0,134.4703288078308,1763260185.5491948,0.5513269901275635,,0.0002297235041623935,-0.005222843959927559,,-0.0013082921504974365,897.1585693359375,117248
1433,0.0005520517006516457,-0.10475516319274902,0.0,1079.0,134.62150859832764,1763260185.7003746,0.5476516485214233,,0.0002296466991538182,-0.0028236890211701393,,-0.008389925584197044,0.004063150379806757,117376
1455,0.00047618523240089417,0.041915297508239746,0.0,1079.0,136.72850966453552,1763260187.8073757,0.5217403173446655,,0.00022826420899946243,0.0027917195111513138,,-0.008782412856817245,0.0001969226577784866,119680
1456,,,,,136.73845529556274,1763260187.8173213,,500.0,,,500.0,,,119703
1457,0.00014095567166805267,4.8100948333740234e-05,0.0,1079.0,136.8447232246399,1763260187.9235892,0.5158628821372986,,0.0002281874039908871,-0.0019002370536327362,,-0.0012142378836870193,519.8695678710938,119808
1514,8.756481111049652e-05,-0.042767882347106934,0.0,1080.0,142.19419026374817,1763260193.2730563,0.5908347964286804,,0.00022465437359642237,4.867091774940491e-06,,0.000771060585975647,0.0003323220880702138,125696
1521,0.0006485059857368469,-0.004304766654968262,0.0,1081.0,142.75485515594482,1763260193.8337212,0.5337805151939392,,0.00022427034855354577,-0.004490045830607414,,0.0034132814034819603,0.005830047652125359,126336
1525,0.0007223356515169144,-3.516674041748047e-05,0.0,1080.0,143.13126945495605,1763260194.2101355,0.5457577705383301,,0.0002240399335278198,-0.0013371016830205917,,0.0185801200568676,628.10595703125,126720
1527,0.0006925137713551521,-0.007768511772155762,0.0,1080.0,143.35470604896545,1763260194.433572,0.458956778049469,,0.00022388632351066917,0.0007016761228442192,,0.0024942532181739807,0.000658765493426472,126976
1529,0.000443778932094574,0.0002892017364501953,0.0,1080.0,143.47016286849976,1763260194.5490289,0.5252255201339722,,0.00022380951850209385,-0.0026130639016628265,,-0.004989292472600937,511.6034240722656,127104
1534,0.00014054682105779648,-0.00013506412506103516,0.0,1080.0,143.95775365829468,1763260195.0366197,0.5656688213348389,,0.00022350229846779257,0.000971590168774128,,-0.0020288825035095215,442.1223449707031,127616
1536,0.005293859168887138,0.12019824981689453,0.021484375,1080.0,144.18265676498413,1763260195.2615228,0.5067340731620789,,0.00022334868845064193,0.018821261823177338,,-0.019672028720378876,0.0011383149540051818,127872
1543,0.002469790168106556,0.0005087852478027344,0.009765625,1081.0,144.7470829486847,1763260195.825949,0.5029866099357605,,0.00022296466340776533,-0.016375228762626648,,0.006873421370983124,814.48974609375,128512
1545,0.0002643084153532982,-0.0853121280670166,0.0,1081.0,145.00615525245667,1763260196.0850213,0.5815334916114807,,0.0002228110533906147,-0.0008328137919306755,,0.00062614306807518,0.0008763314108364284,128768
1546,1.0784715414047241e-05,-0.10337591171264648,0.0,1081.0,145.11711263656616,1763260196.1959786,0.5768848657608032,,0.00022273424838203937,-0.0001515951007604599,,0.0018446147441864014,0.0002877822844311595,128896
1558,0.000910353846848011,8.791685104370117e-05,0.001953125,1081.0,146.1628246307373,1763260197.2416906,0.5810529589653015,,0.00022204301785677671,0.0003075459972023964,,0.013286948204040527,634.2077026367188,130048
1559,0.0017184242606163025,0.16319769620895386,0.0,1081.0,146.27442002296448,1763260197.353286,0.5474160313606262,,0.0002219662128482014,0.01534108817577362,,-0.018657848238945007,0.0059701744467020035,130176
1563,0.0005045551806688309,8.124113082885742e-05,0.0,1081.0,146.61235189437866,1763260197.691218,0.5182604789733887,,0.00022173579782247543,-0.0010895095765590668,,-0.0011945292353630066,676.0816040039062,130560
1566,0.0007707364857196808,-0.020558595657348633,0.0,1081.0,146.9510316848755,1763260198.0298977,0.4868112802505493,,0.00022150538279674947,-0.0006979499012231827,,0.008394619449973106,0.00016190012684091926,130944
1588,0.0014001596719026566,0.06248980760574341,0.0,1081.0,148.99892449378967,1763260200.0777905,0.5400723814964294,,0.00022019969765096903,-0.0069252680987119675,,-0.003323085606098175,0.006131937261670828,133120
1589,0.0007082829251885414,-0.06897485256195068,0.005859375,1081.0,149.10908699035645,1763260200.187953,0.525631844997406,,0.0002201228926423937,0.0006419913843274117,,-0.00030480697751045227,0.0006615706370212138,133248
1597,0.00042093731462955475,-4.744529724121094e-05,0.0,1081.0,149.8200798034668,1763260200.8989458,0.551401674747467,,0.0002196620625909418,-0.002042684704065323,,0.004442255944013596,788.631103515625,134016
1607,0.0002791481092572212,-1.3828277587890625e-05,0.0,1081.0,150.75628900527954,1763260201.835155,0.5189686417579651,,0.00021904762252233922,0.0013772761449217796,,-0.0038740523159503937,586.98193359375,135040
1609,0.004433127120137215,-0.19893968105316162,0.025390625,1081.0,150.98237133026123,1763260202.0612373,0.4389183521270752,,0.00021889401250518858,0.008332263678312302,,-0.00904802791774273,0.0004559920635074377,135296
1610,0.0009462498128414154,-0.07860851287841797,0.0,1081.0,151.09276795387268,1763260202.171634,0.4771369993686676,,0.00021881720749661326,-0.010391861200332642,,0.005917496979236603,0.00016869795217644423,135424
1612,0.000397341325879097,2.2292137145996094e-05,0.0,1081.0,151.20587801933289,1763260202.284744,0.4910995662212372,,0.00021874040248803794,0.002284672111272812,,0.003475189208984375,493.36126708984375,135552
1626,,,,,152.51994252204895,1763260203.5988085,,500.0,,,500.0,,,136967
1638,0.00433905515819788,0.3002545237541199,0.001953125,1081.0,153.680419921875,1763260204.759286,0.5010729432106018,,0.00021712749730795622,-0.024671269580721855,,-0.010316886007785797,0.0013671261258423328,138240
1687,0.0011755190789699554,-0.06731760501861572,0.0,1082.0,158.22695469856262,1763260209.3058207,0.5742392539978027,,0.00021413210197351873,0.0019459091126918793,,0.004810884594917297,0.0004466913815122098,143232
1732,0.0005180435255169868,-0.05085444450378418,0.0,1082.0,162.42355847358704,1763260213.5024245,0.4463048577308655,,0.0002113671216648072,-0.005075824446976185,,-0.011335112154483795,0.00012012077786494046,147840
1745,0.004923129454255104,-0.2809051275253296,0.017578125,1082.0,163.58743810653687,1763260214.666304,0.3807086944580078,,0.000210599071579054,0.019769204780459404,,-0.019156813621520996,0.002242954447865486,149120
1753,2.5754794478416443e-05,-8.881092071533203e-05,0.0,1082.0,164.3035774230957,1763260215.3824434,0.43000543117523193,,0.0002101382560795173,-0.00011417083442211151,,0.0015717297792434692,758.6592407226562,149888
1754,0.0023124422878026962,-0.4836462736129761,0.001953125,1082.0,164.4151062965393,1763260215.4939723,0.399854451417923,,0.00021006145107094198,0.013270830735564232,,-0.0018174825236201286,0.006221130024641752,150016
1765,0.00010714493691921234,-0.09808158874511719,0.0,1083.0,165.4631621837616,1763260216.5420282,0.39155149459838867,,0.0002093702059937641,0.0020745955407619476,,-0.0009036986157298088,0.0007049295236356556,151168
1768,0.0003031119704246521,2.2649765014648438e-06,0.0,1083.0,165.69100260734558,1763260216.7698686,0.47190171480178833,,0.00020921659597661346,-0.00032989121973514557,,0.0038421452045440674,496.738037109375,151424
1777,,,,,166.53251266479492,1763260217.6113787,,500.0,,,500.0,,,152367
1818,6.234366446733475e-05,-0.031908273696899414,0.0,1083.0,170.3697373867035,1763260221.4486034,0.4064486622810364,,0.00020614439563360065,0.002253829501569271,,-0.002506561577320099,0.006843601353466511,156544
1823,0.0008317837491631508,-0.1472160816192627,0.0,1083.0,170.81963849067688,1763260221.8985045,0.35954052209854126,,0.00020583717559929937,0.00019886251538991928,,-0.0005135759711265564,0.00679128197953105,157056
1851,0.0003663850948214531,-6.651878356933594e-05,0.0,1083.0,173.41350388526917,1763260224.49237,0.3489511013031006,,0.00020414746541064233,0.002057666890323162,,0.005263850092887878,713.3994140625,159872
