_step,charts/episodic_length,_runtime,losses/policy_loss,charts/learning_rate,charts/SPS,global_step,_timestamp,losses/value_loss,losses/entropy,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,losses/explained_variance,charts/episodic_return
1399,,213.3571388721466,-0.015031618997454643,0.00022657449881080538,658.0,122496,1763260269.6159759,0.004931647330522537,0.548148512840271,0.0,0.002014216035604477,-0.0029588285833597183,-0.1902369260787964,
1405,,214.10830450057983,0.003349259030073881,0.00022619047376792878,659.0,123136,1763260270.3671415,0.000775143678765744,0.47334209084510803,0.0078125,0.005781128071248531,0.011385899968445301,-0.5266908407211304,
1432,,216.73484063148499,-0.006608881056308746,0.00022457756858784705,664.0,125824,1763260272.9936776,687.9296875,0.576052725315094,0.0,0.0015842998400330544,0.004838720895349979,7.921457290649414e-05,
1433,,216.84771537780762,-0.0013021975755691528,0.00022450076357927173,664.0,125952,1763260273.1065524,0.003300933400169015,0.551226794719696,0.0,0.0004298565909266472,0.0027394434437155724,0.11443668603897095,
1455,,219.25946044921875,-0.01646672934293747,0.00022311827342491597,668.0,128256,1763260275.5182974,0.0002617912832647562,0.507215142250061,0.00390625,0.006320151500403881,0.002828839235007763,-0.04459953308105469,
1456,500.0,219.2992491722107,,,,128314,1763260275.5580862,,,,,,,500.0
1457,,219.44875741004944,0.004739444702863693,0.00022304146841634065,668.0,128384,1763260275.7075944,681.7803344726562,0.5063114762306213,0.0,0.0012036971747875214,0.021771857514977455,-0.00013208389282226562,
1514,,226.39305019378662,0.005075003951787949,0.00021950845257379115,674.0,134272,1763260282.6518872,0.000326810113620013,0.433636337518692,0.0,0.0004397863522171974,-0.0007722051814198494,-0.06499767303466797,
1521,,227.16689610481262,0.006929606199264526,0.00021912442753091455,675.0,134912,1763260283.425733,635.6808471679688,0.4261276125907898,0.0,0.0006559388712048531,-0.008731151930987835,-1.1920928955078125e-05,
1525,500.0,227.5672378540039,,,,135314,1763260283.8260748,,,,,,,500.0
1527,,227.79028940200806,-0.001509442925453186,0.00021874040248803794,676.0,135552,1763260284.0491264,0.006811555474996567,0.4682689905166626,0.0,0.0009639421477913857,-5.1594339311122894e-05,-0.02049243450164795,
1529,,228.02046537399292,0.004813354462385178,0.0002185867924708873,676.0,135808,1763260284.2793024,0.00015671296569053084,0.5264319777488708,0.0,0.0006677266210317612,0.011149263009428978,0.08260893821716309,
1534,500.0,228.45314264297485,,,,136314,1763260284.7119796,,,,,,,500.0
1536,,228.6409556865692,-0.00028502196073532104,0.0002182027674280107,678.0,136448,1763260284.8997927,0.0060909283347427845,0.5325725078582764,0.0,0.0003191763535141945,-0.012226133607327938,0.002199232578277588,
1543,,229.3336443901062,3.679562360048294e-05,0.00021774193737655878,679.0,137216,1763260285.5924814,0.00013715549721382558,0.4832637906074524,0.0,0.00019969791173934937,0.00853537768125534,-0.0839928388595581,
1545,,229.48810172080994,0.008436791598796844,0.00021766513236798346,679.0,137344,1763260285.7469387,912.3599853515625,0.5081926584243774,0.0,0.0003200266510248184,0.002290397882461548,-0.0002745389938354492,
1546,,229.60308051109314,-0.0006090030074119568,0.00021758832735940814,679.0,137472,1763260285.8619175,0.004159791860729456,0.5005212426185608,0.0,0.0006583882495760918,0.004423166625201702,-0.3907790184020996,
1558,,230.799729347229,-0.003592163324356079,0.00021682027727365494,682.0,138752,1763260287.0585663,0.00029784624348394573,0.4950472116470337,0.0,0.0009774258360266685,-0.0026600314304232597,-3.4568262100219727,
1559,500.0,230.82287621498108,,,,138814,1763260287.0817132,,,,,,,500.0
1563,,231.2594919204712,-0.005818992853164673,0.00021651305723935366,683.0,139264,1763260287.518329,0.0003956790314987302,0.4772692322731018,0.0,0.0022721728309988976,-0.01846683770418167,-1.0320720672607422,
1566,,231.52613162994385,-0.006734713912010193,0.00021635944722220302,683.0,139520,1763260287.7849686,0.005594026762992144,0.4386758506298065,0.0,0.0020178090780973434,0.004255983978509903,0.05381631851196289,
1588,500.0,233.63818907737732,,,,141814,1763260289.897026,,,,,,,500.0
1589,,233.71238589286804,0.0028957873582839966,0.00021497695706784725,687.0,141824,1763260289.9712229,750.458984375,0.5016353726387024,0.0,0.0012252414599061012,0.006321250461041927,1.4841556549072266e-05,
1597,,234.65645098686218,0.0013700062409043312,0.00021443932200782,688.0,142720,1763260290.915288,0.00018442279542796314,0.5357458591461182,0.0,5.08725643157959e-05,0.00014504045248031616,-0.06598818302154541,
1607,,235.94602251052856,-0.009087448939681053,0.00021382488193921745,689.0,143744,1763260292.2048595,0.0002734807785600424,0.5449712872505188,0.001953125,0.0009366851300001144,0.01585308089852333,-0.051711440086364746,
1609,,236.1313374042511,-0.0023608021438121796,0.00021374807693064213,689.0,143872,1763260292.3901744,434.7314758300781,0.5132220387458801,0.0,0.0002435026690363884,0.001272096298635006,-0.00014162063598632812,
1610,,236.27745914459229,-0.006327422335743904,0.0002136712719220668,689.0,144000,1763260292.5362961,0.006663999520242214,0.5225313305854797,0.0,0.00048644188791513443,-0.002139388583600521,0.175959050655365,
1612,,236.5822241306305,-0.0035854466259479523,0.00021351766190491617,689.0,144256,1763260292.841061,0.000140433621709235,0.5629349946975708,0.00390625,0.0012501012533903122,0.0028181299567222595,-0.12513327598571777,
1626,500.0,238.26099348068237,,,,145591,1763260294.5198305,,,,,,,500.0
1638,,239.78177118301392,0.005213409662246704,0.00021198156173340976,691.0,146816,1763260296.0406082,0.004311359487473965,0.6179795265197754,0.0,0.00023640599101781845,0.0027427440509200096,-0.164908766746521,
1687,,245.5617425441742,-0.0004443526268005371,0.00020906298595946282,695.0,151680,1763260301.8205795,0.00541134737432003,0.508761465549469,0.0,5.325954407453537e-05,-0.004275810904800892,-0.8827230930328369,
1732,,249.97447538375854,-0.005385465919971466,0.0002062980056507513,702.0,156288,1763260306.2333124,0.0003870592045132071,0.5410097241401672,0.0,0.0008015763014554977,0.000269472599029541,0.05949884653091431,
1745,,251.16063237190247,0.002405226230621338,0.0002055299555649981,704.0,157568,1763260307.4194694,344.69940185546875,0.47348761558532715,0.0,0.001073179766535759,0.004096841439604759,0.0001575946807861328,
