_timestamp,_step,_runtime,losses/value_loss,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,losses/policy_loss,charts/episodic_return,charts/SPS,global_step,losses/clipfrac,charts/learning_rate,losses/entropy,losses/explained_variance
1763260184.7541625,1349,133.76369643211365,0.0009423888986930251,0.003820478916168213,,8.651986718177795e-05,0.0024895593523979187,,1085.0,116992,0.0,0.00022987711417954415,0.5466892123222351,0.4338897466659546
1763260186.0560384,1363,135.0655722618103,0.0020371966529637575,0.009803369641304016,,0.0011809468269348145,0.004498852416872978,,1085.0,118400,0.0,0.00022903225908521563,0.4538159966468811,-0.3588733673095703
1763260186.1741092,1365,135.18364310264587,,,500.0,,,500.0,,118541,,,,
1763260186.6194096,1370,135.62894344329834,,,500.0,,,500.0,,119041,,,,
1763260187.5512502,1380,136.5607841014862,497.34033203125,-0.003100879490375519,,0.000567292794585228,0.003972867503762245,,1085.0,120064,0.0,0.00022803379397373646,0.4919784963130951,-0.0009288787841796875
1763260187.6654227,1381,136.6749565601349,0.00689466530457139,-0.004402565769851208,,0.0033592311665415764,-0.01792859472334385,,1085.0,120192,0.005859375,0.00022795698896516114,0.39582452178001404,0.06725198030471802
1763260188.3740888,1388,137.3836226463318,0.0013449001125991344,0.022020254284143448,,0.0034020068123936653,-0.0055311620235443115,,1085.0,120960,0.0,0.00022749615891370922,0.38787320256233215,-0.419384241104126
1763260188.973881,1395,137.98341488838196,696.9196166992188,-0.011274688877165318,,0.0005975691601634026,0.0004960820078849792,,1085.0,121600,0.0,0.00022711213387083262,0.4037705659866333,0.0005871057510375977
1763260189.331545,1399,138.34107899665833,,,500.0,,,500.0,,122041,,,,
1763260189.8763094,1405,138.88584327697754,488.23974609375,-0.006010108627378941,,0.0007748855277895927,-3.214925527572632e-05,,1086.0,122624,0.0,0.00022649769380223006,0.4879366457462311,-0.0008366107940673828
1763260192.4545965,1432,141.46413040161133,0.001434057834558189,-0.003651338629424572,,0.0008227331563830376,0.00519484281539917,,1086.0,125440,0.00390625,0.00022480798361357301,0.5194258689880371,-8.793190002441406
1763260192.4911485,1433,141.5006823539734,,,500.0,,,500.0,,125541,,,,
1763260194.5529516,1455,143.56248545646667,0.010046514682471752,-0.0143161965534091,,0.003694324754178524,0.00034868717193603516,,1086.0,127744,0.0078125,0.00022342549345921725,0.5289088487625122,-4.258416175842285
1763260194.6656816,1456,143.6752154827118,0.0016936208121478558,0.017819125205278397,,0.001466190442442894,-0.005772050470113754,,1086.0,127872,0.0,0.00022334868845064193,0.4905659556388855,-5.925196647644043
1763260194.776737,1457,143.7862708568573,0.0009147817618213594,-0.010018321685492992,,0.0019663507118821144,-0.020211055874824524,,1086.0,128000,0.001953125,0.0002232718834420666,0.5754116177558899,-0.9297528266906738
1763260200.025354,1514,149.03488779067993,0.006970121059566736,-0.004290128126740456,,0.0005361661314964294,0.0053732991218566895,,1086.0,133760,0.0,0.00021981567260809243,0.5563215017318726,0.06288951635360718
1763260200.7317307,1521,149.7412645816803,0.0018677362240850925,-0.0004298398271203041,,0.00027551036328077316,-0.0027083754539489746,,1086.0,134528,0.0,0.0002193548425566405,0.38287514448165894,-0.2826199531555176
1763260201.0668287,1525,150.07636260986328,0.0015252804150804877,-0.0023853061720728874,,0.0001239301636815071,-0.0021160896867513657,,1087.0,134912,0.0,0.00021912442753091455,0.4369581937789917,-0.8026340007781982
1763260201.179147,1527,150.1886808872223,,,500.0,,,500.0,,135041,,,,
1763260201.4035678,1529,150.41310167312622,0.00031562859658151865,-0.008817468769848347,,0.006750443018972874,-0.034724507480859756,,1087.0,135296,0.009765625,0.00021889401250518858,0.4652247130870819,-1.0985162258148193
1763260201.8913507,1534,150.9008846282959,0.0012184499064460397,0.005239628255367279,,0.0006996579468250275,0.0017293784767389297,,1087.0,135808,0.0,0.0002185867924708873,0.3891475200653076,-1.8510246276855469
1763260202.0395517,1536,151.04908561706543,,,500.0,,,500.0,,136041,,,,
1763260202.714964,1543,151.72449779510498,0.0067776888608932495,0.0009803399443626404,,0.0002669151872396469,-0.0023222267627716064,,1087.0,136704,0.0,0.00021804915741086006,0.42268773913383484,-0.2726113796234131
1763260202.9367561,1545,151.94629001617432,0.0003536334843374789,0.02816169336438179,,0.004018192179501057,0.004738442599773407,,1087.0,136960,0.0,0.00021789554739370942,0.4854904115200043,0.16782301664352417
1763260202.9658544,1546,151.97538828849792,,,500.0,,,500.0,,137041,,,,
1763260204.0977106,1558,153.10724449157715,0.010024797171354294,0.016231900081038475,,0.0038793161511421204,-0.014075426384806633,,1087.0,138240,0.005859375,0.00021712749730795622,0.42542538046836853,-0.10796546936035156
1763260204.2098532,1559,153.21938705444336,0.0014665147755295038,-0.009249554947018623,,0.001639900729060173,0.02564377337694168,,1087.0,138368,0.0,0.0002170506922993809,0.43497657775878906,0.2026197910308838
1763260204.5479417,1563,153.557475566864,0.004128736909478903,0.015269611030817032,,0.003799606114625931,-0.017424777150154114,,1087.0,138752,0.001953125,0.00021682027727365494,0.4424220323562622,0.41325151920318604
1763260204.8229475,1566,153.83248138427734,,,500.0,,,500.0,,139041,,,,
1763260206.9093704,1588,155.9189043045044,0.0007081771618686616,0.0024844426661729813,,0.00016296468675136566,-0.0014522764831781387,,1087.0,141312,0.0,0.00021528417710214853,0.4546130299568176,0.7317415475845337
1763260207.0209486,1589,156.03048253059387,0.0006535598076879978,0.0212519820779562,,0.002087273634970188,-0.005836021155118942,,1087.0,141440,0.001953125,0.0002152073720935732,0.4929713308811188,0.14747148752212524
1763260207.7191465,1597,156.72868037223816,0.003416799008846283,-0.0019506309181451797,,0.00041830167174339294,-0.0008272267878055573,,1087.0,142208,0.0,0.0002147465420421213,0.43797197937965393,0.40790992975234985
1763260208.640644,1607,157.65017795562744,0.004134334623813629,0.0032084202393889427,,0.001037505455315113,-0.004048693925142288,,1087.0,143232,0.0,0.00021413210197351873,0.4376470744609833,0.4189227223396301
1763260208.897985,1609,157.90751886367798,0.00047942338278517127,0.0011106617748737335,,0.00011989474296569824,0.00286845862865448,,1087.0,143488,0.0,0.0002139784919563681,0.4193352460861206,-0.6250643730163574
