losses/clipfrac,losses/old_approx_kl,_timestamp,charts/episodic_return,losses/entropy,losses/approx_kl,_runtime,losses/policy_loss,charts/learning_rate,charts/episodic_length,charts/SPS,losses/explained_variance,_step,global_step,losses/value_loss
,,1763260160.8344986,291.0,,,104.8079125881195,,,291.0,,,636,47184,
0.0,0.00017310120165348053,1763260161.4229772,,0.5380523800849915,5.852431058883667e-06,105.39639115333557,-0.0009667780250310898,0.00027158219018019736,,610.0,0.0008082985877990723,640,47488,501.3750305175781
0.0,-0.0006300341337919235,1763260162.8492272,,0.5573885440826416,9.013339877128601e-06,106.82264113426208,0.0001953616738319397,0.0002710445551201701,,610.0,0.001018524169921875,650,48384,6.854867935180664
0.0,0.00278262235224247,1763260164.8356462,,0.5731015801429749,0.0001854393631219864,108.80906009674072,-0.0010189656168222427,0.0002702765050344169,,611.0,0.051695287227630615,664,49664,224.15968322753906
0.0,0.00045212171971797943,1763260167.8297615,,0.5572728514671326,1.7955899238586426e-05,111.80317544937134,-0.0022253282368183136,0.0002691244299057871,,612.0,-0.0014965534210205078,684,51584,5.104270935058594
0.0,-0.00039112288504838943,1763260168.5873451,,0.5728349089622498,8.800998330116272e-07,112.5607590675354,-8.884072303771973e-05,0.00026881720987148583,,613.0,0.1543593406677246,689,52096,4.556822299957275
,,1763260169.8950517,322.0,,,113.86846566200256,,,322.0,,,698,52948,
0.0,0.000379977747797966,1763260170.4923882,,0.596355676651001,0.0003932993859052658,114.46580219268799,0.001048792153596878,0.00026812596479430795,,613.0,-0.004110574722290039,702,53248,4.037092685699463
0.0,0.0009491909295320511,1763260171.289048,,0.5553163886070251,9.567290544509888e-05,115.26246190071106,-0.00014778226613998413,0.00026781874476000667,,613.0,-0.6488571166992188,707,53760,5.073984146118164
0.001953125,0.010762018151581287,1763260174.6725643,,0.5413405895233154,0.0019405754283070564,118.64597821235657,-0.004061553627252579,0.0002665130596142262,,614.0,-3.2511343955993652,729,55936,7.161932468414307
0.0,-0.002632996067404747,1763260178.8739667,,0.5744666457176208,0.0005332045257091522,122.84738063812256,-0.0016630776226520538,0.0002648233494255692,,617.0,-3.0069990158081055,757,58752,1.7321364879608154
0.0,4.104897379875183e-05,1763260179.6528022,,0.5263519883155823,5.476176738739014e-07,123.626216173172,5.335360765457153e-05,0.0002645161293912679,,617.0,-0.0358586311340332,762,59264,0.6226378679275513
0.01171875,0.04580299183726311,1763260180.403245,,0.52910977602005,0.010205102153122425,124.37665891647339,-0.03346877545118332,0.0002642089093569666,,617.0,0.7652755379676819,767,59776,0.808040976524353
0.0,0.0005889246240258217,1763260181.5360281,,0.5630514621734619,0.00014964397996664047,125.50944209098816,-0.002227913588285446,0.0002637480793055147,,618.0,0.0015314221382141113,775,60544,1011.05419921875
0.0,0.0021254941821098328,1763260183.4292288,,0.5416428446769714,0.0004074685275554657,127.4026427268982,-0.009052958339452744,0.0002629800292197615,,619.0,0.1740700602531433,788,61824,0.2345566600561142
0.001953125,0.01529101561754942,1763260183.6103601,,0.5107118487358093,0.00560873094946146,127.58377408981323,-0.026825428009033203,0.00026290322421118617,,619.0,-0.1608649492263794,789,61952,0.2758122980594635
0.0,0.008834801614284515,1763260184.741029,,0.5643302202224731,0.00022619590163230896,128.71444296836853,-0.0023131035268306732,0.00026244239415973425,,620.0,0.2484952211380005,797,62720,0.12042023241519928
0.0,0.007558425888419151,1763260185.862476,,0.5440093278884888,0.00041447021067142487,129.83589005470276,-0.00524742528796196,0.00026198156410828233,,621.0,0.00514751672744751,806,63488,579.5472412109375
0.021484375,0.011491953395307064,1763260187.1852555,,0.5257875919342041,0.0028612399473786354,131.15866947174072,0.01778549700975418,0.0002614439290482551,,621.0,-0.21401572227478027,815,64384,0.0284042377024889
0.0,-0.014600630849599838,1763260194.2834468,,0.4042247533798218,0.0022716550156474113,138.25686073303223,-0.010831337422132492,0.0002585253387223929,,625.0,-2.73197865486145,863,69248,0.000687136547639966
0.0,0.018013931810855865,1763260195.5390253,,0.4623371958732605,0.0010934770107269287,139.51243925094604,-0.010745065286755562,0.0002579877036623657,,626.0,0.4896802306175232,872,70144,0.004157947842031717
0.0,-0.007675030268728733,1763260196.0767004,,0.4793958067893982,0.0009288517758250237,140.05011439323425,0.00680827721953392,0.0002577572886366397,,627.0,0.004915356636047363,876,70528,588.1630859375
0.025390625,0.04086751490831375,1763260201.8782742,,0.3977162539958954,0.00683603435754776,145.8516881465912,-0.0036839842796325684,0.00025529952836222947,,631.0,-1.6456809043884277,916,74624,0.004305236041545868
0.021484375,0.012004806660115719,1763260202.7537117,,0.4166646897792816,0.004218867979943752,146.72712564468384,0.003726363182067871,0.00025491550331935287,,631.0,-4.5338263511657715,922,75264,0.0005277816671878099
0.0,0.0014499099925160408,1763260203.8231323,,0.3204745054244995,7.03008845448494e-05,147.79654622077942,-0.003346625715494156,0.00025445467326790094,,632.0,-1.7176806926727295,930,76032,0.006235014647245407
,,1763260204.9259534,500.0,,,148.8993673324585,,,500.0,,,938,76849,
0.0,-0.003035985864698887,1763260205.4409444,,0.37284862995147705,0.0009224964305758476,149.41435837745667,0.0029063429683446884,0.00025376342819072306,,633.0,0.2812996506690979,941,77184,0.0005176417180337012
0.0,-0.007027043960988522,1763260205.6050477,,0.38499224185943604,0.00025424081832170486,149.5784616470337,-9.877979755401611e-05,0.00025368662318214774,,633.0,-0.14451885223388672,942,77312,0.00033712369622662663
,,1763260206.3753104,500.0,,,150.34872436523438,,,500.0,,,948,77849,
0.001953125,0.0012723058462142944,1763260210.0549884,,0.4208452105522156,0.0016331616789102554,154.0284023284912,-0.008912049233913422,0.0002517665270715952,,636.0,-0.00310516357421875,974,80512,0.005230014678090811
0.0078125,0.011450020596385002,1763260210.9255028,,0.5125916004180908,0.005028184503316879,154.898916721344,-0.02210286259651184,0.0002513825020287186,,637.0,-0.15192043781280518,980,81152,0.0007081168005242944
0.009765625,-0.022525351494550705,1763260211.6341581,,0.4919002652168274,0.005786247551441193,155.60757207870483,0.00032901763916015625,0.0002510752819944173,,638.0,0.07271629571914673,985,81664,0.00017291946278419346
0.0,-0.0009375987574458122,1763260213.018889,,0.547638475894928,0.00358539167791605,156.99230289459229,-0.014608271420001984,0.00025046084192581475,,639.0,-0.10559296607971191,995,82688,0.0006231111474335194
,,1763260213.2345855,500.0,,,157.20799946784973,,,500.0,,,997,82849,
0.005859375,-0.001967238262295723,1763260215.7838633,,0.5987393856048584,0.0024991557002067566,159.75727725028992,0.006712924689054489,0.0002492319617886096,,641.0,-0.2009669542312622,1015,84736,0.0005611731903627515
0.037109375,0.004058226011693478,1763260216.4603102,,0.5266774892807007,0.004261421971023083,160.43372416496277,0.006935290992259979,0.00024892474175430834,,641.0,0.2228783369064331,1020,85248,0.0006785938749089837
,,1763260217.900505,500.0,,,161.87391901016235,,,500.0,,,1031,86349,
0.015625,-0.000996946357190609,1763260220.6030285,,0.5228301286697388,0.0064383456483483315,164.57644248008728,0.00745304673910141,0.00024708142154850066,,644.0,-0.25280797481536865,1050,88320,0.0003839756827801466
0.005859375,0.020339293405413628,1763260220.9578023,,0.5363635420799255,0.003998733125627041,164.9312162399292,-0.004631467163562775,0.00024692781153135,,645.0,0.024382293224334717,1053,88576,0.007416045293211937
0.0,-0.0017210682854056358,1763260221.6515348,,0.47099995613098145,0.0001996336504817009,165.6249487400055,0.0037697479128837585,0.00024662059149704874,,645.0,-0.38664329051971436,1058,89088,0.006708220578730106
0.009765625,0.0009822249412536621,1763260224.9220815,,0.4254775047302246,0.006562996655702591,168.8954954147339,-0.012500017881393433,0.00024516129633411765,,647.0,0.37821483612060547,1082,91520,0.00959441065788269
0.056640625,0.006958847865462303,1763260225.091889,,0.5285210609436035,0.009282941929996014,169.06530284881592,0.030604325234889984,0.00024508449132554233,,647.0,-0.6259018182754517,1083,91648,0.0012513395631685853
0.005859375,0.0230497308075428,1763260226.1199002,,0.5270406603813171,0.006025579757988453,170.0933141708374,-0.021226225420832634,0.0002446236612740904,,648.0,-0.01697707176208496,1091,92416,0.0021269572898745537
0.0,-0.005395353771746159,1763260228.1391828,,0.487417995929718,0.001891416497528553,172.1125967502594,-0.013351548463106155,0.00024370200117118657,,650.0,0.02353811264038086,1106,93952,0.0003711174940690398
0.0,0.0034361574798822403,1763260229.744519,,0.44357484579086304,0.0005430895835161209,173.71793293952942,0.0011759139597415924,0.00024301075609400868,,650.0,-0.00019681453704833984,1118,95104,928.7640380859375
0.0,0.01692834496498108,1763260230.7273386,,0.4928104281425476,0.002577131614089012,174.70075249671936,0.0027620065957307816,0.00024254992604255676,,651.0,-0.15635967254638672,1125,95872,0.0008391233859583735
